RS,Reliance Steel & Aluminum Co. Common Stock (DE),NASDAQ
44.08,45.62,45.74,43.94
45.48,45.26,45.94,45.01
45.25,46.82,46.94,45.09
46.51,46.56,46.71,45.67
46.49,48.42,48.60,46.49
49.03,47.45,49.05,46.66
46.90,46.58,47.04,46.10
46.92,46.94,47.15,45.23
46.95,45.93,46.99,45.58
45.80,44.46,46.08,44.39
44.65,45.41,45.44,44.46
46.30,46.86,47.10,44.89
46.80,45.50,47.02,45.06
44.86,43.28,45.91,43.14
44.08,43.77,44.27,43.50
43.01,42.26,43.65,41.65
42.23,41.96,42.78,40.41
42.09,41.20,42.29,40.58
41.42,40.74,43.49,40.34
41.00,42.23,42.72,41.00
43.19,43.10,43.40,42.01
42.71,42.20,43.35,42.09
41.61,39.46,41.77,39.39
39.50,41.13,41.21,38.77
41.15,40.06,41.59,40.06
40.76,41.49,41.89,40.70
41.25,40.91,41.69,40.17
40.91,42.30,42.86,40.85
41.61,42.81,42.97,40.83
43.33,44.04,44.14,42.39
44.51,44.53,44.65,43.21
43.80,44.00,44.57,42.92
44.02,44.02,44.17,43.66
44.25,44.19,44.46,43.43
44.08,42.81,44.15,42.47
43.08,43.58,44.10,42.93
42.88,44.37,44.48,42.11
44.08,44.34,44.46,43.53
44.63,45.51,45.72,44.39
45.80,46.16,46.50,45.41
46.21,46.03,46.95,45.89
46.57,46.44,47.00,45.97
46.98,47.23,47.38,46.84
47.30,47.31,47.56,46.78
46.90,47.00,47.65,46.58
47.01,47.31,47.84,46.66
46.89,47.36,47.66,46.38
47.53,47.42,47.84,46.96
47.31,47.23,47.37,46.35
47.35,48.35,48.54,47.32
48.68,48.46,49.02,48.30
48.25,47.14,48.55,47.12
45.96,45.96,47.49,45.77
45.44,47.85,48.11,45.28
48.05,49.25,49.30,47.89
48.80,48.41,49.02,48.11
48.88,47.38,49.20,47.23
47.67,48.16,49.20,47.59
48.43,50.46,50.60,48.43
50.34,49.40,50.45,49.00
49.23,49.23,50.00,49.14
50.03,50.97,50.97,49.90
54.90,54.96,55.47,53.30
54.70,53.65,54.70,53.42
53.72,52.96,53.72,52.50
52.51,52.72,52.80,51.50
52.97,53.60,53.77,52.79
53.90,52.47,53.90,52.16
52.34,52.79,53.16,52.07
53.49,53.61,53.78,52.55
53.61,52.74,54.00,52.69
52.34,52.06,53.07,51.33
51.72,51.59,52.05,50.84
51.82,53.06,53.75,51.73
53.22,53.57,53.78,52.15
49.69,50.70,51.16,48.00
50.78,51.61,51.69,50.34
51.48,52.35,53.08,51.48
51.87,49.26,52.03,49.12
49.65,49.68,50.23,49.04
50.32,50.43,50.72,49.52
50.45,48.81,50.62,48.77
49.15,50.29,50.38,48.79
49.00,49.36,49.75,48.53
48.53,46.97,49.34,46.60
46.73,46.20,48.89,43.33
45.98,45.08,46.99,44.21
47.86,48.01,48.53,47.00
47.24,47.49,48.53,46.98
47.88,48.36,48.70,47.52
48.09,48.04,49.54,47.74
47.48,46.60,47.48,45.35
46.87,45.81,46.89,44.21
46.80,44.99,47.41,44.86
44.68,45.15,45.97,43.92
43.52,42.18,43.99,42.15
41.28,44.07,44.99,41.28
43.72,43.36,44.95,43.33
41.77,44.29,44.39,41.33
44.65,44.10,46.06,43.78
45.60,46.89,46.92,45.55
46.87,45.91,47.05,45.33
45.40,43.67,46.13,43.64
43.82,45.83,45.85,43.82
46.42,45.23,46.50,44.30
44.17,42.74,44.90,42.51
42.88,41.24,43.12,41.22
41.27,42.15,42.22,41.05
42.64,42.32,43.86,42.00
43.41,44.16,44.45,43.41
43.44,44.44,44.50,43.42
45.12,44.54,45.74,44.42
44.92,45.61,45.70,44.08
46.36,45.66,46.39,45.19
45.71,44.28,45.71,43.84
44.43,43.81,44.56,43.63
44.76,43.63,45.73,43.27
43.62,42.24,43.96,42.20
42.02,42.67,42.87,41.45
42.06,41.01,42.38,40.93
41.08,41.32,41.73,40.61
41.38,39.32,41.38,38.94
38.60,36.81,38.60,36.57
36.63,36.15,37.70,36.10
36.31,35.95,36.97,34.91
36.18,35.64,36.50,35.12
36.57,35.35,36.70,34.98
35.35,36.65,36.75,35.25
36.87,36.76,37.36,36.17
36.38,37.47,37.67,36.38
37.19,36.30,37.20,36.11
36.96,36.91,37.28,36.62
36.75,37.24,37.31,36.33
37.07,36.97,37.16,36.14
36.64,35.86,36.69,35.69
36.00,35.71,36.37,35.38
35.04,36.63,36.64,34.95
37.08,36.37,37.63,35.89
38.00,39.10,39.59,37.00
39.88,40.66,41.07,39.55
41.01,41.24,41.34,39.70
41.31,40.29,41.39,39.93
39.86,39.56,40.74,39.22
40.09,39.46,40.46,38.95
38.70,39.28,39.51,38.70
40.22,40.40,40.89,40.04
40.25,40.30,40.74,39.74
40.60,40.84,40.88,39.73
40.32,40.37,40.56,39.88
39.80,41.39,41.43,39.80
41.85,40.78,42.03,40.64
39.97,40.36,40.60,39.64
39.16,38.52,39.50,38.45
37.88,38.95,39.16,37.59
38.88,38.36,38.97,38.29
38.28,38.84,39.05,38.06
39.49,39.76,40.02,38.89
39.16,40.06,40.38,38.91
39.79,39.15,40.74,39.00
38.90,38.48,38.90,37.84
38.73,37.30,38.83,37.28
36.50,35.96,36.85,35.95
35.62,36.40,36.53,34.58
36.63,36.42,37.38,36.31
36.89,38.06,38.57,36.30
37.57,36.76,37.95,36.71
36.71,37.25,37.91,36.62
38.02,39.78,39.83,38.02
39.65,39.85,40.26,39.15
40.66,40.57,40.78,40.11
40.25,40.15,40.92,39.92
40.29,40.84,41.49,40.27
41.43,40.50,41.53,40.22
40.54,40.62,41.03,40.22
41.20,41.29,41.84,41.20
40.97,41.01,41.67,40.36
40.47,40.60,40.82,40.00
40.36,40.67,41.02,40.30
40.93,40.35,40.95,39.97
40.43,39.88,40.43,39.56
39.68,40.18,40.99,39.40
40.10,40.93,41.43,40.10
40.43,40.17,41.25,40.10
40.78,41.82,42.00,40.78
41.81,41.01,41.98,40.92
40.94,41.15,41.30,39.95
41.03,41.18,41.56,40.89
41.75,41.53,42.10,40.85
42.30,42.19,42.54,41.76
42.13,41.42,42.22,40.90
41.93,42.28,42.62,41.69
42.27,42.72,42.98,42.19
43.00,42.45,43.00,41.60
42.47,43.89,44.00,42.47
43.89,43.57,44.14,43.36
43.39,43.24,43.54,42.39
43.72,43.36,43.85,43.27
43.27,43.12,43.60,42.77
43.56,42.96,43.59,41.84
42.99,43.34,43.38,42.59
42.32,41.89,43.00,41.71
42.20,42.46,43.11,42.03
39.90,41.36,41.75,39.65
41.34,41.03,41.41,39.80
41.52,41.64,41.91,41.21
41.26,40.89,41.48,40.75
40.47,41.02,41.12,40.15
41.34,40.97,41.95,40.80
40.88,41.85,42.11,40.85
42.08,42.35,43.00,41.77
42.89,43.82,43.89,42.83
43.91,44.52,44.63,43.51
45.49,45.99,46.66,45.31
46.07,46.06,46.64,45.72
45.89,46.55,46.56,45.84
48.01,46.19,48.01,45.94
46.35,47.04,47.19,45.77
46.51,46.83,47.41,46.51
46.50,45.67,46.60,45.36
46.10,45.81,46.67,45.70
45.34,44.33,45.38,44.03
44.41,44.03,44.88,43.88
44.88,44.35,45.37,44.22
44.13,45.31,45.47,43.62
45.09,45.37,45.44,44.30
44.53,44.45,44.78,44.07
44.85,44.49,45.01,44.32
44.09,44.25,44.38,43.67
43.94,43.84,44.05,42.90
43.35,44.45,45.45,43.13
45.21,46.60,46.63,45.17
46.67,48.21,48.24,46.67
47.97,49.52,49.55,47.80
49.19,49.74,50.00,49.19
50.50,49.73,51.19,49.68
49.75,49.03,50.66,48.94
49.44,49.42,49.85,48.81
49.44,49.52,49.93,49.00
50.00,49.70,50.31,49.52
49.78,49.45,50.04,49.16
