GASL,Direxion Daily Natural Gas Related Bull 3X Shares,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
39.20,40.06,41.23,39.20
41.00,40.38,41.00,38.53
38.90,37.14,38.90,36.98
37.02,37.15,37.23,36.51
36.25,38.77,38.92,36.11
39.44,37.19,39.50,36.91
39.22,39.25,39.62,38.87
38.95,39.70,39.84,38.55
39.93,40.78,40.78,39.93
41.25,39.97,41.25,39.97
39.39,39.11,39.39,39.00
38.50,39.16,39.23,38.50
38.57,38.57,38.76,38.57
40.90,40.95,40.95,40.90
41.59,41.18,41.59,41.17
42.37,42.72,42.72,42.05
42.38,42.36,42.38,42.36
41.68,41.78,42.18,41.15
42.28,42.10,42.28,42.05
41.21,41.21,41.21,41.21
40.32,37.84,40.32,37.65
37.20,36.98,37.41,36.18
37.55,36.71,37.55,36.71
36.25,36.44,36.46,36.25
37.09,37.68,38.00,37.03
37.00,37.10,37.19,36.58
36.51,35.25,36.51,35.25
35.25,34.31,35.25,33.84
34.71,34.17,34.71,34.16
34.00,32.84,34.00,32.48
32.41,32.83,32.99,31.58
33.59,32.73,33.77,32.38
34.04,34.51,34.63,33.69
34.71,33.90,34.84,33.90
33.32,33.81,34.22,33.29
35.35,35.98,36.19,35.35
36.02,36.52,36.55,35.99
38.08,38.01,38.26,37.50
37.08,36.35,37.08,36.35
37.11,36.93,37.37,36.93
37.66,37.11,37.66,37.11
37.53,38.07,38.07,37.53
38.66,38.45,38.66,38.02
37.97,38.00,38.50,37.97
37.51,37.44,37.51,37.10
37.33,37.36,37.84,37.25
37.48,37.05,37.48,36.92
37.06,38.07,38.08,36.76
38.45,38.00,38.45,37.41
38.50,37.58,38.56,37.55
37.47,37.14,37.70,36.95
38.50,39.06,39.19,38.50
39.07,39.22,39.47,39.02
39.00,38.67,39.00,38.19
40.04,40.52,40.56,40.04
41.48,40.46,41.62,40.46
41.42,41.78,41.90,41.42
41.85,40.45,41.85,40.29
41.25,42.12,42.46,41.23
42.54,42.84,43.25,42.52
42.54,42.44,42.54,42.25
43.14,44.08,44.08,43.14
44.52,44.16,44.66,44.16
43.12,44.05,44.05,43.01
44.74,44.84,45.10,44.72
44.92,44.34,45.17,44.34
44.82,44.49,44.82,44.40
45.31,45.39,45.39,45.31
43.71,43.50,43.98,43.50
43.05,44.07,44.11,43.00
44.04,43.32,44.54,42.96
42.99,43.15,43.15,42.99
44.18,43.83,44.18,43.83
42.60,42.50,42.97,42.50
42.10,41.76,42.10,41.16
41.76,41.76,41.76,41.76
41.83,43.48,43.48,41.83
45.55,44.95,46.22,44.95
45.50,46.52,46.54,45.50
46.48,46.70,46.70,45.55
49.52,49.80,49.80,49.52
49.58,49.72,49.77,49.50
49.96,50.85,50.85,49.84
50.80,50.62,53.01,50.62
50.80,52.33,52.33,50.09
51.88,52.68,52.82,51.88
51.74,50.50,51.74,50.24
51.03,50.99,51.15,50.99
49.16,47.32,49.20,46.95
47.25,48.60,48.67,47.25
49.67,49.98,50.02,49.67
49.83,50.31,50.31,49.82
50.31,50.68,50.68,50.28
50.68,50.68,50.68,50.68
49.34,49.86,49.86,49.34
49.21,49.27,49.27,49.21
48.09,49.28,49.36,48.09
48.34,48.48,48.66,48.34
50.68,50.93,50.94,50.12
52.09,52.93,52.93,52.09
53.12,53.44,53.44,53.12
54.50,54.65,54.75,54.23
56.48,54.41,56.48,54.30
53.73,53.41,53.73,53.41
54.39,53.69,54.39,53.03
53.97,53.96,53.97,53.50
55.13,55.42,55.58,55.13
55.45,53.72,55.45,53.72
53.97,53.50,54.59,53.50
53.22,53.47,53.47,52.95
53.36,53.47,53.47,53.36
51.58,53.86,53.86,51.58
55.00,56.00,56.00,55.00
56.36,56.54,56.67,56.36
56.50,56.50,56.50,56.50
56.87,55.61,56.87,55.57
56.82,56.82,56.82,56.82
57.35,57.58,57.58,57.35
57.71,57.72,58.33,57.36
57.65,57.65,57.65,57.65
59.36,58.82,59.59,58.82
58.78,57.10,58.78,57.07
54.37,58.28,60.32,54.37
58.67,57.75,58.67,57.64
57.29,57.87,57.87,57.29
57.40,58.38,58.53,57.40
59.81,59.52,59.81,59.48
61.15,61.16,61.16,61.15
61.18,60.77,61.61,60.57
60.66,62.00,62.00,60.66
64.15,62.85,64.15,61.47
62.85,60.98,62.85,60.98
59.93,58.97,59.93,57.24
60.65,59.68,60.65,59.68
60.66,60.66,60.66,60.66
60.87,58.94,60.87,58.94
60.67,62.08,62.11,60.35
61.90,61.24,62.05,59.12
61.39,60.84,61.50,60.73
60.84,60.84,60.84,60.84
62.92,66.51,66.85,62.92
66.57,66.45,67.43,66.20
66.10,65.15,66.10,64.92
66.27,65.27,66.27,65.06
66.90,66.40,67.37,66.22
65.84,65.80,66.21,64.80
63.03,63.76,65.30,63.03
64.04,64.97,64.97,64.03
64.39,64.39,64.78,64.22
65.19,66.85,66.85,65.19
65.64,66.22,66.22,65.64
66.22,67.75,67.75,66.22
66.33,68.15,68.15,66.33
67.96,67.68,67.96,67.58
68.50,66.18,70.19,66.04
67.20,70.97,71.16,67.20
72.80,70.24,72.80,69.90
71.46,73.95,74.28,71.21
75.82,75.36,75.82,72.05
75.98,71.31,75.98,71.31
70.21,71.22,71.35,70.21
72.43,72.57,72.57,71.40
73.32,73.24,73.32,71.86
73.95,72.86,75.40,71.10
72.66,70.12,72.66,70.12
70.41,70.36,71.47,70.00
69.07,65.20,69.07,62.00
62.00,67.89,68.00,62.00
68.10,69.28,69.31,66.79
65.24,68.80,69.32,62.00
69.18,68.30,71.64,66.35
70.16,72.06,72.54,70.03
73.72,71.47,73.72,71.47
74.65,75.23,75.56,74.44
75.66,75.50,75.66,74.87
76.00,75.30,78.18,73.97
75.70,76.32,76.49,75.22
76.91,79.11,79.49,75.86
80.11,76.73,80.11,76.73
75.70,78.19,78.61,74.47
79.30,80.22,81.10,78.93
81.17,80.88,81.76,80.42
82.40,81.61,82.83,81.03
81.81,81.95,83.00,81.81
82.00,81.81,82.64,81.73
83.09,80.40,83.26,79.45
79.26,80.54,81.09,78.92
80.77,81.38,82.48,80.50
81.93,77.01,82.04,76.39
75.00,71.98,75.01,70.11
74.45,73.38,74.58,72.34
71.24,74.03,74.46,70.27
74.93,78.82,78.82,73.13
74.13,72.39,74.13,71.00
72.39,73.36,73.36,72.39
76.22,76.02,76.80,75.15
77.76,77.24,77.76,75.08
78.52,76.43,78.52,75.86
77.80,77.46,78.00,76.30
78.49,78.38,78.49,75.17
78.90,79.33,79.76,76.88
79.50,81.59,81.85,79.02
82.00,80.08,83.21,79.51
78.50,75.13,78.50,73.49
75.00,70.90,75.00,69.95
68.19,67.64,70.03,66.50
66.15,68.50,71.65,66.15
67.28,71.73,72.25,66.40
72.00,72.65,72.93,70.88
70.06,67.70,70.06,67.00
66.60,66.79,68.01,64.90
66.68,65.01,66.68,65.01
65.50,65.59,67.90,65.34
64.88,65.96,66.00,63.86
66.02,68.30,69.23,66.02
68.64,68.28,69.62,67.50
68.20,69.89,70.12,66.85
66.70,66.92,67.73,66.70
67.95,67.95,69.77,67.77
69.14,70.29,70.33,68.65
71.01,72.09,72.09,70.06
72.71,72.08,73.63,71.94
75.25,72.93,75.25,71.88
73.37,70.07,74.11,69.79
70.99,70.68,71.10,68.81
67.43,69.58,70.57,67.25
69.07,66.11,69.69,66.09
66.20,66.83,67.88,66.20
