BDX,Becton,NASDAQ
78.99,78.60,79.68,78.26
78.40,77.87,78.72,77.77
77.99,77.66,78.08,77.28
77.45,77.64,77.89,77.02
77.67,77.91,78.31,77.38
78.35,78.41,78.60,77.77
78.28,77.25,78.28,77.14
77.32,77.50,77.99,77.32
76.50,77.04,77.25,76.11
76.76,76.29,76.94,75.68
76.42,77.29,77.67,76.36
77.40,76.79,77.60,76.01
77.20,76.15,77.31,76.08
75.10,75.08,76.40,74.76
75.26,75.78,76.39,75.12
75.47,75.57,75.80,75.03
75.30,76.00,76.34,74.75
78.63,76.48,78.63,75.60
76.74,75.37,76.82,75.11
75.43,75.71,76.12,74.81
75.93,77.02,77.06,75.38
76.94,76.64,76.94,76.12
76.11,74.71,76.38,74.68
74.56,74.89,74.93,73.85
74.69,74.68,75.14,74.07
75.47,75.26,75.66,74.33
75.11,74.64,75.25,74.28
74.71,75.22,75.29,74.27
74.75,75.84,75.93,74.14
75.93,76.91,76.96,75.33
77.22,77.36,77.74,76.93
77.64,77.96,78.00,76.96
77.42,77.54,77.90,76.68
77.77,77.50,77.90,77.10
77.41,77.87,78.06,76.75
77.90,78.82,78.86,77.58
78.42,78.52,78.62,77.73
78.73,77.87,78.90,77.75
78.11,79.02,79.02,77.88
79.02,79.14,79.63,78.73
78.71,78.68,79.21,78.62
78.76,78.50,79.02,78.21
78.66,78.60,78.68,78.24
78.66,77.95,78.66,77.77
77.89,78.47,78.64,77.75
78.47,78.92,79.10,78.29
79.02,78.46,79.02,77.55
78.69,78.37,78.69,77.79
78.34,79.00,79.01,78.06
79.17,79.03,79.57,78.77
79.55,79.24,79.56,78.85
79.00,79.39,79.58,78.92
79.67,79.10,79.67,78.71
79.08,80.14,80.56,79.00
80.17,79.71,80.45,79.31
79.43,79.01,79.67,78.79
79.44,78.87,79.66,78.74
78.89,78.51,78.99,78.24
78.46,79.00,79.16,78.40
79.17,79.05,79.17,78.90
78.98,78.73,79.40,78.40
78.93,78.96,79.24,78.42
79.21,78.51,79.22,78.42
78.42,78.43,78.84,78.11
78.01,78.50,79.19,78.01
78.56,78.63,78.93,78.21
78.76,78.91,78.98,78.37
79.02,79.00,79.27,78.72
78.93,78.72,79.00,78.21
78.54,78.49,78.78,78.13
78.24,78.05,78.75,77.97
77.98,77.74,78.40,77.46
77.82,78.46,78.67,77.82
78.70,79.66,79.85,78.60
79.77,78.56,79.92,78.36
77.56,77.27,77.83,76.03
77.55,77.55,78.36,77.14
77.58,76.40,78.08,76.38
76.70,76.04,76.70,75.61
76.09,76.70,77.04,76.00
75.28,76.60,78.37,75.28
76.74,76.37,77.15,76.05
76.38,76.22,76.53,75.15
75.53,75.44,75.90,74.97
75.41,75.61,76.18,74.76
75.38,74.88,75.89,72.48
74.99,73.66,75.05,73.12
75.60,75.57,76.70,74.70
75.34,74.75,75.34,74.24
75.01,75.10,75.30,74.26
75.23,74.47,75.69,74.40
74.30,73.26,74.30,72.82
73.11,73.78,74.05,73.11
74.61,74.30,75.11,74.14
74.18,73.73,74.56,73.27
72.75,71.65,72.81,71.65
71.22,71.49,71.81,69.95
71.41,71.33,72.14,71.24
70.51,71.44,71.54,69.58
71.58,70.66,72.29,70.62
71.56,72.21,72.25,71.09
72.23,71.30,72.23,71.17
71.09,70.71,71.87,70.68
70.64,72.40,72.47,70.25
72.19,72.39,72.88,71.74
71.59,70.08,71.59,69.95
70.36,69.29,70.55,69.27
69.07,68.92,69.38,68.11
69.07,68.64,69.68,68.50
69.41,69.76,69.80,69.21
69.55,69.69,69.82,69.17
71.04,70.19,71.04,70.10
70.46,71.11,71.11,70.20
70.90,72.05,72.05,70.48
72.09,71.92,72.22,71.47
71.97,71.32,72.03,71.27
71.73,71.48,72.15,71.25
71.48,71.16,72.56,71.15
71.21,70.05,71.26,69.90
70.01,69.42,70.30,69.33
69.33,69.05,69.92,68.74
69.32,69.16,69.61,68.50
68.06,67.45,68.32,67.00
67.24,67.62,68.14,67.05
67.73,67.29,67.73,66.63
67.34,67.97,68.36,67.29
68.63,68.18,68.83,67.59
68.14,70.28,70.30,67.90
70.52,69.96,71.02,69.44
69.91,69.46,70.09,69.05
69.41,69.08,69.46,68.83
69.55,69.52,70.08,69.40
69.28,69.59,69.59,68.52
69.30,69.36,69.69,68.87
69.16,67.75,69.33,67.62
67.98,68.06,68.38,67.80
67.53,68.13,68.17,67.14
68.26,66.92,68.26,66.64
67.26,67.40,68.24,67.10
67.07,66.89,67.07,66.47
67.06,68.55,68.64,66.72
69.22,68.27,69.26,68.09
68.09,68.33,68.80,67.39
69.32,67.54,69.93,67.13
67.15,68.80,69.15,66.87
69.55,70.40,70.50,69.20
70.36,70.46,70.88,70.11
70.63,71.19,71.27,70.25
71.00,71.61,71.78,70.74
71.19,71.68,71.80,70.49
71.60,71.88,72.00,71.50
71.44,72.39,72.69,71.06
71.60,71.10,71.78,70.53
70.22,71.06,71.22,70.22
71.00,70.96,71.26,70.64
70.62,70.63,70.80,70.14
70.91,71.98,72.31,70.67
71.97,72.33,72.68,71.57
71.96,71.31,72.04,70.71
70.87,70.82,71.47,69.95
71.07,71.01,71.80,70.99
70.35,69.30,70.35,69.06
69.00,69.76,70.08,68.94
69.82,68.83,69.95,68.82
69.04,69.72,69.79,68.68
69.52,69.26,69.91,69.25
69.09,68.19,69.28,68.07
68.84,69.52,69.79,68.83
69.54,70.27,70.27,69.54
70.60,70.62,70.69,69.97
69.90,69.83,70.38,69.61
69.85,69.71,70.05,69.54
70.19,70.83,71.00,69.92
70.79,71.27,71.39,70.60
71.70,71.19,72.05,70.95
71.21,71.59,71.94,70.86
71.24,72.55,72.78,71.24
72.26,72.75,73.06,71.89
73.05,73.48,73.50,72.87
73.56,73.58,73.69,72.75
73.80,73.71,74.00,73.33
73.70,73.48,74.29,73.03
72.99,73.11,73.62,72.91
73.72,74.28,74.30,73.56
74.70,74.22,74.90,74.20
74.45,74.82,74.86,73.97
74.54,74.17,74.70,73.85
74.36,74.10,74.83,73.97
74.56,74.30,74.72,73.69
74.15,73.67,74.29,73.39
74.10,74.87,75.09,74.04
74.93,75.13,75.39,74.70
75.32,74.52,75.49,74.25
74.70,74.75,75.00,74.45
74.91,74.92,75.48,74.79
74.71,75.55,75.66,74.39
75.75,76.02,76.16,75.48
76.17,76.08,76.36,75.73
76.50,76.13,76.50,75.60
76.22,76.82,76.86,76.11
76.26,76.35,76.62,75.88
76.45,76.90,77.01,76.42
77.00,77.00,77.64,76.73
77.01,76.40,77.27,76.31
76.68,76.91,77.24,76.68
76.62,76.73,77.01,76.58
