EGPT,VanEck Vectors Egypt Index ETF,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
82.16,82.04,82.16,82.04
81.96,81.85,81.96,80.04
81.20,80.32,81.20,80.04
79.80,78.64,80.00,78.24
79.38,79.00,79.52,78.84
80.08,80.49,80.56,79.52
80.32,81.28,81.28,80.32
80.24,80.64,80.64,80.16
80.68,80.04,80.68,79.96
81.04,81.76,82.22,81.04
81.64,81.64,81.64,81.64
81.76,82.96,82.96,79.96
81.76,81.20,81.76,81.20
80.32,80.64,80.80,80.00
81.04,81.68,81.68,80.94
80.40,81.12,81.40,80.40
82.20,81.48,82.20,80.88
77.04,76.16,77.36,74.92
77.52,77.56,77.60,76.80
77.44,78.24,78.40,77.44
78.32,78.12,78.36,77.86
78.24,77.88,78.24,77.60
76.96,77.92,77.92,76.96
79.24,79.84,79.84,79.08
79.64,79.64,79.64,79.64
79.97,79.92,80.24,79.92
80.08,79.68,80.08,79.52
80.60,81.16,81.16,80.60
80.40,81.20,81.20,80.40
80.64,80.76,81.64,80.64
nan,82.48,nan,nan
83.00,82.92,83.00,82.44
84.32,84.04,84.84,84.04
85.72,84.60,85.72,84.44
85.40,86.00,86.76,85.16
86.36,86.68,86.80,86.20
87.84,87.35,87.88,87.28
87.24,87.36,87.48,86.40
89.68,88.64,89.68,88.00
88.56,87.80,88.56,87.28
87.40,86.12,87.42,86.12
85.72,85.76,85.76,83.72
87.00,86.68,87.00,86.68
86.84,87.04,87.04,86.84
85.12,85.76,87.08,85.12
85.72,87.20,87.20,85.70
87.76,88.56,88.56,87.69
88.16,86.80,88.60,86.40
86.56,86.96,87.44,85.76
86.32,86.72,86.80,85.60
86.84,85.84,86.84,85.68
86.00,85.64,86.00,84.08
84.80,83.54,84.80,83.36
82.92,83.12,83.12,81.12
82.04,84.32,84.32,79.64
81.76,80.72,82.52,79.60
80.44,80.36,81.80,80.36
81.92,80.72,81.92,78.68
80.60,80.38,80.60,79.84
80.40,78.52,80.40,78.52
79.64,77.16,79.64,77.16
75.76,76.00,76.28,75.08
77.92,76.72,78.20,75.38
74.64,73.56,74.64,72.64
72.88,72.14,72.88,72.12
71.92,72.44,72.96,70.65
72.70,71.74,72.70,71.64
68.46,68.16,68.52,66.61
69.28,69.32,71.04,69.28
72.00,71.52,72.00,71.44
nan,72.02,nan,nan
72.76,71.72,72.76,71.72
71.88,71.88,71.88,71.88
73.60,72.64,73.92,72.64
72.00,70.60,73.72,70.60
70.80,70.80,70.80,70.80
72.44,71.88,72.44,71.08
71.80,71.80,71.80,71.80
71.88,72.46,72.46,71.60
72.88,72.96,72.96,72.88
73.46,73.20,73.46,73.20
73.46,73.46,73.46,73.46
73.16,73.24,73.24,73.16
nan,72.40,nan,nan
nan,72.40,nan,nan
nan,72.40,nan,nan
nan,72.16,nan,nan
nan,72.16,nan,nan
nan,72.16,nan,nan
nan,72.16,nan,nan
71.40,71.40,71.40,71.40
70.60,70.60,70.60,70.60
67.32,70.16,70.16,67.32
67.20,67.20,67.20,67.20
nan,69.78,nan,nan
nan,69.78,nan,nan
67.08,67.76,67.76,67.08
nan,68.48,nan,nan
nan,68.48,nan,nan
nan,68.48,nan,nan
nan,69.80,nan,nan
nan,69.80,nan,nan
nan,69.92,nan,nan
nan,69.92,nan,nan
67.52,67.52,67.52,67.52
69.08,69.12,69.12,69.08
68.00,68.00,68.52,68.00
68.00,68.00,68.00,68.00
68.06,68.00,68.06,68.00
70.87,70.55,70.96,68.76
71.40,70.04,71.40,70.04
69.92,69.92,69.92,69.92
70.76,70.76,70.76,70.76
71.52,71.52,71.52,71.52
72.72,72.20,72.72,71.52
73.00,72.00,73.00,72.00
72.00,72.00,72.00,72.00
71.60,71.60,71.60,71.60
72.92,72.92,72.92,72.92
75.08,73.44,75.08,73.40
73.44,74.04,74.04,73.44
72.72,72.72,72.72,72.72
72.84,72.84,72.84,72.84
72.64,72.68,72.68,72.64
72.52,72.52,72.52,72.52
72.56,73.96,74.04,72.56
73.20,73.20,73.20,73.20
nan,70.98,nan,nan
nan,70.98,nan,nan
nan,70.98,nan,nan
72.04,73.00,73.68,72.04
nan,71.34,nan,nan
nan,71.34,nan,nan
73.20,73.20,73.20,73.20
72.40,72.60,72.60,72.40
nan,72.79,nan,nan
nan,72.79,nan,nan
nan,72.79,nan,nan
nan,73.59,nan,nan
nan,73.26,nan,nan
nan,73.26,nan,nan
73.18,73.18,73.18,73.18
74.80,74.80,74.80,74.04
74.96,74.84,75.00,74.78
74.80,73.56,74.84,73.56
73.56,73.00,74.76,73.00
74.76,73.94,74.76,73.80
75.44,74.76,75.64,74.32
76.92,76.76,76.92,75.08
77.08,77.32,77.32,75.16
77.76,76.56,77.92,76.10
78.00,78.00,78.00,77.79
78.16,78.84,78.96,78.00
77.76,77.20,77.76,75.40
77.44,77.14,77.44,75.12
75.88,76.43,77.68,75.24
76.88,76.16,76.88,76.00
76.88,76.44,76.88,76.20
76.96,77.72,78.16,76.52
78.48,78.41,78.68,78.24
79.44,78.37,79.44,78.24
78.40,77.88,78.40,77.52
78.92,77.56,78.92,77.56
77.20,76.12,77.20,76.12
77.40,77.80,78.04,77.40
79.62,79.12,79.68,78.40
78.64,78.14,78.68,78.14
79.28,78.40,79.28,77.40
79.28,78.72,79.28,78.00
78.64,76.80,78.64,76.12
77.20,77.00,77.32,77.00
77.32,76.28,77.40,76.28
78.02,76.76,78.02,76.76
78.56,76.00,78.56,76.00
77.80,77.12,77.80,76.44
75.96,75.20,76.12,75.20
77.28,74.70,77.28,74.56
75.18,75.64,76.84,75.18
74.00,75.36,76.16,74.00
74.68,76.48,76.76,74.68
76.08,75.68,76.48,75.68
77.12,77.80,78.22,77.12
78.92,79.20,79.20,77.96
79.60,79.80,80.40,79.24
79.88,78.88,79.92,78.60
79.84,79.20,79.84,78.00
78.40,78.60,79.28,78.40
79.08,77.52,79.08,77.20
77.84,79.20,80.32,77.84
79.12,78.64,79.12,77.40
78.72,78.40,78.76,77.08
79.24,80.76,80.92,79.24
80.80,81.00,81.00,80.68
81.56,81.68,81.80,79.84
80.52,79.80,80.52,79.20
nan,80.52,nan,nan
79.64,79.72,79.72,78.64
79.32,79.48,79.48,77.96
77.96,77.08,78.28,77.08
77.08,78.76,78.76,77.08
78.36,78.76,78.76,77.76
78.72,78.60,78.80,78.08
78.60,78.16,78.84,77.21
79.36,77.80,79.36,77.80
79.32,79.12,79.32,78.92
79.20,78.80,79.20,78.80
79.80,79.42,79.80,79.28
80.08,79.74,80.08,78.49
80.32,80.00,80.32,77.64
79.60,79.40,79.60,78.04
77.48,78.04,79.08,77.48
78.74,79.22,79.32,78.74
79.04,79.00,79.20,78.40
78.32,79.07,79.64,78.32
79.28,78.80,79.40,78.80
nan,79.64,nan,nan
79.88,78.80,79.96,78.80
80.40,79.36,80.40,79.36
80.24,80.48,80.72,79.92
80.92,80.92,81.08,79.08
80.68,80.76,80.76,80.16
80.92,81.24,81.28,80.00
82.12,81.80,82.12,80.62
81.80,82.52,82.52,81.42
82.00,81.88,82.00,80.88
81.88,81.68,81.88,80.32
82.08,81.80,82.08,81.20
82.00,81.40,82.00,80.98
81.60,81.40,81.80,81.40
80.40,81.60,81.60,80.40
nan,81.68,nan,nan
79.20,75.00,79.20,75.00
76.00,74.92,76.00,74.92
75.20,75.28,75.80,74.96
75.86,75.20,76.20,74.76
75.36,75.20,75.36,74.80
75.20,74.98,75.20,73.28
70.80,69.96,70.80,68.80
63.84,67.16,67.16,63.60
65.92,64.88,66.68,63.60
66.16,70.00,70.00,66.00
70.40,74.08,76.56,70.40
73.92,71.36,73.92,69.80
70.56,71.60,72.60,70.36
73.52,71.40,73.52,71.04
74.80,72.60,75.20,72.08
74.60,72.20,74.60,71.04
71.68,70.88,72.00,70.44
70.20,71.20,75.20,69.84
70.84,74.40,77.00,70.84
77.72,77.24,79.12,74.84
77.16,75.60,77.20,75.28
75.44,76.24,76.88,74.96
74.96,75.96,76.00,74.96
nan,74.92,nan,nan
73.40,75.36,76.44,73.40
76.12,74.80,76.20,74.36
75.80,73.36,75.80,72.64
75.60,73.36,75.60,72.84
73.12,69.56,73.12,68.76
70.76,70.28,71.88,69.88
70.20,68.60,70.20,68.32
68.68,71.80,72.08,68.68
71.96,70.28,71.96,69.80
71.20,70.56,71.20,69.52
70.92,75.16,75.44,70.80
74.40,76.84,76.84,73.20
74.08,73.72,74.20,72.80
72.40,72.84,73.60,72.40
71.84,70.56,74.00,69.40
68.80,71.60,72.00,68.28
70.40,69.20,71.04,69.20
69.44,70.74,70.84,69.44
71.60,71.80,71.80,70.04
72.16,70.60,72.20,69.96
68.80,66.60,68.80,65.72
63.20,61.20,63.20,60.40
63.40,63.44,63.76,62.00
63.72,61.80,63.72,61.60
64.32,63.60,64.32,63.52
65.52,65.16,65.52,65.04
65.00,64.72,65.12,64.08
64.60,64.64,64.76,64.24
64.80,65.20,65.20,64.60
65.20,65.00,65.40,64.40
65.36,64.72,65.40,64.72
64.72,64.80,65.00,64.48
64.44,64.40,64.44,64.00
64.48,64.60,64.80,64.12
63.20,63.48,63.68,62.88
62.76,61.60,62.76,61.48
62.60,62.56,63.24,62.44
63.28,62.84,63.28,62.44
62.68,61.56,62.84,61.56
59.60,58.68,59.60,58.12
60.52,59.88,60.52,59.16
59.48,59.52,59.52,59.24
nan,59.28,nan,nan
59.40,58.72,59.40,58.72
59.08,59.12,59.36,58.96
59.04,59.20,59.20,58.92
59.40,60.00,60.00,59.32
59.48,59.40,59.52,59.28
59.96,59.20,60.00,59.20
59.24,59.12,59.24,59.00
59.12,58.20,59.12,58.04
58.32,57.60,58.32,57.24
57.72,57.44,58.04,57.20
57.60,58.08,58.08,57.24
58.00,58.28,58.48,57.88
58.56,58.20,58.56,58.00
58.24,58.80,58.92,57.84
58.80,58.68,59.00,58.04
59.20,59.20,59.60,59.04
59.40,59.73,59.76,59.40
60.40,60.76,61.12,60.16
61.20,61.20,61.36,60.88
61.40,60.48,61.40,60.32
60.12,60.40,60.96,60.12
60.84,60.20,60.84,60.20
60.92,61.60,61.84,60.92
61.76,62.16,62.16,61.60
nan,62.04,nan,nan
63.16,63.68,63.72,63.00
63.60,62.60,63.64,62.60
62.24,62.68,62.68,61.72
61.88,61.80,62.20,61.60
61.96,62.00,62.52,61.96
63.00,62.52,63.16,62.04
62.68,62.80,63.28,62.60
63.56,63.27,63.56,63.12
63.56,62.48,63.56,62.48
63.44,63.16,63.52,62.96
63.60,64.84,65.80,63.60
64.32,64.08,64.76,63.76
