HRT,Arrhythmia Research Technology Inc. Common Stock,NASDAQ
3.47,3.50,3.50,3.38
3.45,3.30,3.53,3.20
3.34,3.28,3.40,3.28
3.30,3.33,3.35,3.30
3.35,3.60,3.60,3.35
3.55,3.63,3.65,3.55
3.63,3.65,3.70,3.63
3.65,3.65,3.65,3.56
3.61,3.71,3.71,3.61
3.69,3.71,3.71,3.69
3.50,4.05,4.05,3.50
4.05,5.00,5.00,4.03
5.05,5.35,5.58,5.00
5.39,5.84,6.00,5.35
6.09,6.30,6.49,6.01
6.47,6.10,6.47,5.90
6.10,5.59,6.10,5.31
5.75,5.50,5.85,5.25
5.50,5.14,5.57,5.07
5.03,4.99,5.15,4.75
4.99,5.57,5.80,4.65
5.64,5.75,6.27,5.61
5.65,5.45,5.70,5.29
5.68,5.55,5.70,5.25
5.66,5.51,5.66,5.42
5.20,5.15,5.42,5.15
5.12,5.00,5.12,4.89
4.96,4.95,4.98,4.80
4.81,4.88,5.00,4.69
5.25,4.85,5.25,4.69
4.80,5.44,5.55,4.76
5.47,6.00,6.00,5.15
6.15,6.32,6.36,6.00
6.33,6.72,6.89,6.33
6.65,6.38,6.83,6.25
6.50,7.15,7.35,6.41
7.25,7.18,7.25,6.38
7.20,7.20,7.25,6.85
7.24,7.01,7.24,6.77
7.05,7.10,7.24,6.86
7.24,7.22,7.24,7.05
7.15,7.00,7.19,6.81
6.98,6.95,7.20,6.36
6.95,7.08,7.17,6.64
7.15,7.03,7.15,6.85
7.13,7.19,7.25,7.05
7.24,7.18,7.30,6.85
7.20,7.28,7.30,6.93
7.30,7.02,7.42,6.90
7.10,7.20,7.30,7.00
7.28,7.23,7.30,7.13
7.29,7.21,7.40,7.11
7.19,7.19,7.40,7.01
7.27,7.21,7.42,7.07
7.21,7.40,7.42,7.06
7.42,8.06,8.19,7.42
8.00,8.30,8.55,7.95
8.17,8.20,8.60,7.85
8.00,7.99,8.23,7.43
8.09,7.97,8.10,7.76
7.97,7.95,7.98,7.71
6.76,7.39,7.97,6.76
7.14,7.23,7.35,6.85
7.00,7.13,7.35,7.00
7.13,7.29,7.63,7.13
7.18,7.65,7.69,7.14
7.65,7.82,8.07,7.52
7.98,8.00,8.24,7.66
7.91,7.73,7.97,7.67
7.85,7.93,8.10,7.67
7.90,7.97,8.09,7.75
8.10,7.71,8.19,7.71
7.55,7.57,7.71,7.40
7.55,7.95,7.97,7.55
7.87,7.91,8.23,7.87
8.00,7.94,8.00,7.52
8.00,7.61,8.04,7.61
7.52,7.68,7.80,7.52
7.73,7.91,7.91,7.72
7.97,8.07,8.09,7.85
8.10,8.09,8.10,7.97
8.00,8.01,8.01,7.95
8.33,7.86,8.33,7.71
8.00,6.98,8.00,6.85
6.74,6.21,6.88,5.70
6.45,5.90,6.45,5.82
6.20,5.95,6.38,5.90
6.21,6.24,6.25,6.12
6.33,6.47,6.47,6.30
6.47,6.52,6.64,6.42
6.39,6.48,6.57,6.19
6.56,6.40,6.56,6.22
6.25,6.17,6.40,6.17
6.15,6.17,6.17,6.15
6.35,6.50,6.57,6.35
6.45,5.89,6.45,5.70
5.95,5.52,6.00,5.50
5.49,5.27,5.95,5.27
5.48,5.01,5.48,4.39
5.01,5.55,5.67,5.01
5.83,6.00,6.00,5.61
6.00,5.56,6.00,5.56
5.57,5.51,5.75,5.51
5.31,5.19,5.49,5.14
5.40,5.31,5.50,5.31
5.28,5.03,5.30,5.03
4.77,4.65,4.77,4.40
5.00,4.18,5.00,4.04
4.27,4.65,4.65,4.27
4.70,4.81,5.10,4.70
4.85,4.79,4.95,4.65
4.71,4.50,4.77,4.44
4.60,4.74,4.79,4.54
5.00,4.67,5.00,4.60
4.76,4.76,4.76,4.76
4.67,4.76,4.84,4.65
4.85,4.87,4.94,4.68
4.90,4.53,4.90,4.53
4.69,4.75,4.75,4.53
4.62,4.67,4.77,4.55
4.79,4.75,4.80,4.74
4.75,4.80,4.97,4.75
4.74,4.80,4.86,4.55
4.66,4.79,4.79,4.57
4.59,4.60,4.62,4.50
4.50,4.55,4.55,4.50
4.50,4.40,4.50,4.40
4.42,4.40,4.57,4.40
4.40,4.40,4.40,4.40
4.40,4.40,4.40,4.40
4.40,4.40,4.40,4.40
4.66,4.68,4.68,4.65
4.70,4.91,4.91,4.70
5.00,4.85,5.00,4.81
5.00,4.85,5.00,4.85
5.00,5.00,5.00,4.95
5.10,5.07,5.10,5.07
5.14,5.20,5.20,5.10
5.20,5.20,5.20,5.08
5.20,5.20,5.21,5.15
5.13,5.15,5.15,5.11
5.29,5.29,5.29,5.29
4.94,4.93,4.95,4.83
4.93,4.93,4.93,4.93
5.00,5.00,5.17,4.86
5.25,4.93,5.25,4.93
4.99,4.99,4.99,4.80
4.94,4.85,4.95,4.83
4.92,4.99,4.99,4.61
4.95,4.81,4.95,4.80
4.98,4.98,4.98,4.98
4.86,4.75,4.86,4.65
4.77,4.75,4.97,4.75
4.60,4.62,4.62,4.60
4.57,4.55,4.57,4.34
4.46,4.45,4.46,4.45
4.55,4.86,4.86,4.55
4.95,4.55,4.95,4.55
4.62,4.64,4.64,4.62
5.00,4.73,5.00,4.69
4.59,4.59,4.64,4.51
4.59,4.59,4.59,4.59
4.51,4.59,4.59,4.51
4.74,4.74,4.74,4.74
4.70,4.81,4.81,4.70
4.94,4.90,4.94,4.90
4.90,4.90,4.90,4.90
4.95,4.90,5.05,4.90
4.83,5.00,5.00,4.82
4.95,4.82,5.06,4.82
4.80,5.17,5.18,4.80
5.17,5.67,5.67,5.11
5.87,5.92,6.00,5.68
5.90,6.10,6.10,5.90
6.18,6.18,6.20,5.95
5.90,6.00,6.07,5.90
6.20,6.20,6.20,6.01
6.20,6.22,6.30,6.20
6.20,5.40,6.20,5.40
5.85,5.79,5.95,5.70
5.80,5.91,6.10,5.80
6.01,6.18,6.18,6.00
6.21,5.96,6.21,5.92
6.09,6.13,6.19,6.00
6.19,6.09,6.25,6.02
5.80,6.09,6.09,5.75
5.70,6.09,6.09,5.70
6.10,6.05,6.10,6.05
6.19,5.98,6.20,5.98
5.78,5.75,5.89,5.58
5.75,5.75,5.75,5.75
5.98,6.07,6.07,5.88
6.05,6.05,6.05,6.05
6.01,5.86,6.05,5.62
5.68,5.63,5.86,5.63
5.57,5.51,5.57,5.50
5.69,5.79,5.95,5.69
5.85,5.47,5.90,5.47
5.61,5.62,5.62,5.60
5.50,5.65,5.89,5.47
5.52,5.52,5.52,5.52
5.82,5.90,5.90,5.82
5.69,5.65,5.69,5.35
5.63,5.44,5.63,5.44
5.44,5.50,5.55,5.44
5.51,5.50,5.54,5.50
5.46,5.46,5.59,5.46
5.60,5.50,5.60,5.50
5.46,5.50,5.55,5.46
5.50,5.50,5.50,5.50
5.50,5.50,5.50,5.50
5.55,5.55,5.55,5.55
5.55,5.92,5.99,5.55
5.88,5.78,5.99,5.78
5.76,5.77,5.78,5.76
6.00,6.02,6.02,5.95
6.25,6.02,6.25,6.00
6.25,6.10,6.25,6.05
6.11,6.20,6.20,6.11
6.27,6.05,6.30,6.05
5.85,5.86,6.04,5.66
6.14,6.10,6.14,6.09
5.91,5.65,5.91,5.52
5.60,5.61,5.79,5.60
5.70,5.58,5.70,5.58
5.58,5.58,5.58,5.58
5.42,5.95,5.96,5.42
5.95,5.95,5.95,5.95
5.95,5.95,5.95,5.95
5.65,5.77,5.83,5.65
5.85,5.69,5.85,5.63
5.84,5.64,5.84,5.64
5.57,5.55,5.75,5.42
5.50,5.50,5.69,5.44
5.73,5.60,5.75,5.60
5.62,5.60,5.62,5.43
5.48,5.42,5.48,5.42
5.65,5.65,5.65,5.27
5.45,5.40,5.46,5.02
5.38,5.50,5.50,5.38
5.50,5.24,5.50,5.18
5.10,5.25,5.25,5.10
5.26,5.50,5.50,5.11
5.50,5.35,5.64,5.20
5.35,5.60,5.60,5.35
5.64,5.85,5.85,5.47
5.65,5.66,5.89,5.43
5.98,5.53,5.98,5.53
5.55,5.55,5.82,5.55
5.55,5.50,5.63,5.40
5.51,5.50,5.51,5.39
5.35,5.59,5.59,5.35
5.34,5.50,5.50,5.34
5.50,5.50,5.50,5.50
5.47,5.44,5.66,5.44
5.44,5.44,5.44,5.44
5.47,5.50,5.50,5.46
5.48,5.53,5.53,5.48
5.33,5.33,5.33,5.33
5.33,5.33,5.33,5.33
5.35,5.37,5.52,5.25
5.51,5.51,5.51,5.51
5.32,5.26,5.34,5.25
5.36,5.35,5.60,5.35
5.27,5.58,5.59,5.27
5.50,5.43,5.50,5.43
5.28,5.50,5.50,5.28
5.50,5.50,5.50,5.50
5.34,5.40,5.58,5.34
5.40,5.45,5.45,5.40
5.56,5.75,5.75,5.56
5.50,5.50,5.84,5.50
5.65,5.60,5.65,5.60
5.60,5.60,5.60,5.60
5.60,5.45,5.60,5.44
5.45,5.45,5.45,5.45
5.45,5.75,5.75,5.44
5.76,5.47,5.76,5.14
5.49,5.50,5.50,5.49
5.48,5.59,5.59,5.44
5.50,5.55,5.69,5.35
5.55,5.55,5.55,5.55
5.64,5.87,5.87,5.63
5.87,6.13,6.25,5.87
6.15,6.20,6.25,6.15
6.11,5.95,6.15,5.95
5.90,5.99,6.25,5.90
5.88,5.94,5.94,5.88
6.12,5.95,6.12,5.95
5.85,5.96,6.02,5.78
6.00,6.25,6.25,5.97
6.25,6.22,6.25,6.21
6.25,6.20,6.25,6.18
6.05,6.13,6.13,6.05
6.05,6.13,6.13,6.05
6.12,6.15,6.20,6.05
5.99,6.10,6.18,5.99
6.05,6.23,6.23,6.00
6.11,6.00,6.11,6.00
6.00,6.00,6.00,5.92
5.75,5.55,5.90,5.55
5.59,5.74,5.75,5.49
5.55,5.49,5.67,5.46
5.53,5.53,5.53,5.53
5.58,5.65,5.65,5.51
5.65,5.60,5.71,5.60
5.61,5.68,5.68,5.60
5.65,5.50,5.65,5.44
5.35,5.40,5.53,5.34
5.30,5.25,5.30,5.20
5.21,5.21,5.24,5.20
5.22,5.21,5.36,5.20
5.21,5.21,5.21,5.21
5.50,5.50,5.50,5.40
5.33,5.25,5.47,4.94
5.30,5.30,5.30,5.29
5.30,5.49,5.49,5.30
5.55,5.58,5.59,5.53
5.53,5.47,5.53,5.36
5.44,5.54,5.54,5.39
5.50,5.50,5.50,5.50
5.48,5.48,5.48,5.40
5.50,5.50,5.60,5.35
5.50,5.50,5.50,5.48
5.63,5.75,5.80,5.62
5.62,5.54,5.62,5.43
5.62,5.66,5.67,5.60
5.48,5.42,5.63,5.29
5.42,5.62,5.62,5.42
5.62,5.62,5.62,5.62
5.43,5.48,5.61,5.37
5.34,5.60,5.60,5.34
5.73,5.64,5.73,5.64
5.45,5.62,5.65,5.45
5.83,5.55,5.83,5.45
5.70,5.70,5.70,5.70
5.50,5.72,5.73,5.50
5.78,5.60,5.88,5.55
5.51,5.85,5.88,5.51
5.92,5.85,5.93,5.85
6.07,5.82,6.07,5.60
5.77,5.82,5.82,5.77
5.90,5.99,6.10,5.89
5.93,6.02,6.07,5.93
6.00,6.02,6.02,6.00
6.00,5.60,6.00,5.50
5.48,5.65,5.65,5.48
5.70,5.70,5.75,5.70
5.75,5.80,5.80,5.75
5.79,5.75,5.80,5.75
5.76,5.78,5.80,5.72
5.78,5.78,5.78,5.78
5.70,5.71,5.80,5.70
5.72,5.74,5.90,5.72
5.77,5.67,5.77,5.67
5.75,5.69,5.75,5.69
5.60,5.70,5.70,5.60
5.70,5.70,5.70,5.70
5.60,5.59,5.65,5.59
5.65,4.80,5.65,4.80
5.00,5.00,5.09,4.85
5.07,5.00,5.15,4.96
5.00,5.00,5.00,5.00
5.00,4.48,5.00,4.40
4.42,4.60,4.60,4.40
4.60,4.50,4.73,4.50
4.48,4.53,4.59,4.41
4.62,4.60,4.91,4.56
4.42,4.50,4.50,4.41
4.55,4.45,4.55,4.44
4.44,4.30,4.44,4.26
4.30,4.17,4.30,3.93
4.17,4.10,4.25,4.02
4.15,4.01,4.18,3.97
4.12,3.99,4.12,3.95
3.95,4.01,4.08,3.92
4.03,4.05,4.05,4.00
3.93,4.00,4.00,3.92
4.00,3.92,4.03,3.84
3.97,3.88,4.06,3.88
3.94,4.16,5.00,3.93
4.27,4.03,4.49,4.00
4.23,4.07,4.26,4.03
4.02,4.09,4.09,4.02
4.24,4.02,4.36,4.02
4.03,4.19,4.30,4.02
4.10,4.48,4.49,4.02
4.46,4.44,4.49,4.25
4.38,4.43,4.49,4.33
4.47,4.34,4.47,4.25
4.36,4.75,4.83,4.36
4.79,4.50,4.81,4.50
4.52,4.52,4.63,4.52
4.51,4.37,4.51,4.32
4.16,4.33,4.35,4.10
4.30,4.33,4.38,4.30
4.30,4.30,4.30,4.28
4.13,4.17,4.27,4.11
4.17,4.17,4.17,4.17
4.05,4.03,4.05,4.00
3.94,3.95,3.97,3.94
3.89,3.98,3.99,3.89
3.98,3.91,4.04,3.85
3.98,4.04,4.08,3.95
3.92,3.91,4.00,3.91
3.91,3.92,4.00,3.91
3.91,3.87,3.91,3.80
2.88,3.85,4.07,2.88
3.85,3.85,3.85,3.85
3.98,3.95,4.00,3.92
3.96,3.51,3.98,3.36
3.49,3.57,3.65,3.39
4.07,3.85,4.07,3.85
3.89,3.91,3.92,3.87
3.91,3.91,3.91,3.91
3.89,3.90,3.90,3.89
3.83,3.80,3.83,3.75
3.71,3.80,3.80,3.71
3.66,3.74,3.85,3.53
3.80,3.85,3.85,3.78
3.85,3.77,3.85,3.77
3.77,3.77,3.77,3.77
3.68,3.83,3.83,3.68
3.68,3.61,3.68,3.59
3.70,3.70,3.70,3.70
3.57,3.60,3.60,3.55
3.60,3.60,3.60,3.60
3.63,3.60,3.65,3.60
3.60,3.56,3.68,3.55
3.77,3.95,4.07,3.73
4.30,4.10,4.32,3.83
4.01,4.00,4.01,3.82
3.90,3.89,3.95,3.89
3.52,3.68,3.68,3.52
3.52,3.52,3.52,3.52
3.55,3.60,3.71,3.50
3.60,3.60,3.60,3.60
3.56,3.17,3.56,3.17
3.35,3.30,3.38,3.20
3.36,3.12,3.36,3.01
3.02,3.12,3.13,3.02
3.03,3.05,3.19,3.03
3.00,3.02,3.15,3.00
3.05,3.12,3.12,3.02
3.12,3.20,3.30,3.12
3.20,3.20,3.20,3.20
3.28,3.23,3.28,3.23
3.29,3.30,3.32,3.29
3.28,3.25,3.30,3.25
3.15,3.21,3.21,3.15
3.21,3.21,3.21,3.21
3.23,3.30,3.30,3.21
3.32,3.29,3.35,3.25
3.21,3.34,3.34,3.21
3.48,3.27,3.49,3.27
3.35,3.30,3.35,3.27
3.30,3.30,3.30,3.30
3.10,3.30,3.30,3.10
3.27,3.30,3.32,3.27
3.40,3.40,3.50,3.31
3.45,3.45,3.45,3.45
3.50,3.49,3.50,3.49
3.50,3.50,3.50,3.33
3.50,3.55,3.55,3.50
3.75,3.45,3.75,3.23
3.46,3.38,3.63,3.17
3.38,3.38,3.38,3.38
3.40,3.30,3.40,3.30
3.60,3.40,3.60,3.40
3.60,3.55,3.60,3.53
3.57,3.55,3.57,3.55
3.55,3.44,3.55,3.40
3.42,3.26,3.45,3.25
3.28,3.45,3.58,3.28
3.27,3.43,3.47,3.26
3.46,3.26,3.46,3.26
3.25,3.23,3.36,3.10
3.23,3.39,3.43,3.23
3.40,3.32,3.40,3.20
3.38,3.38,3.38,3.38
3.38,3.20,3.40,3.20
3.27,3.33,3.40,3.26
3.20,3.32,3.45,3.20
3.25,3.35,3.40,3.25
3.23,3.66,3.70,3.23
3.64,3.63,3.79,3.62
4.31,3.58,4.31,3.38
3.45,3.49,3.51,3.45
3.71,3.70,3.75,3.67
3.64,3.49,3.75,3.47
3.47,3.55,3.55,3.47
3.75,3.20,3.75,3.12
3.18,3.18,3.18,3.18
3.35,3.32,3.36,3.32
3.32,3.32,3.32,3.32
3.25,3.25,3.36,3.20
