IDU,iShares U.S. Utilities ETF,NASDAQ
75.35,75.06,75.55,74.84
74.92,74.28,75.14,73.89
74.16,74.67,74.85,74.16
74.56,74.39,74.56,74.19
74.24,74.33,74.34,73.92
74.53,75.08,75.08,74.53
74.82,74.69,75.23,74.50
74.88,75.51,75.55,74.68
75.41,75.29,75.46,74.94
74.77,74.84,75.05,74.07
74.84,75.75,75.76,74.70
75.27,75.00,75.27,74.34
74.82,73.96,75.50,73.70
73.68,72.48,73.85,72.43
73.07,72.90,73.15,72.35
72.69,73.09,73.36,72.48
72.87,72.67,72.90,71.69
72.80,72.03,72.90,71.66
72.14,71.44,72.42,71.44
71.49,72.01,72.01,71.14
71.82,72.61,72.61,71.43
72.21,72.12,72.44,71.85
71.61,70.26,71.75,70.23
70.17,69.98,70.21,68.97
69.99,69.30,70.23,69.30
69.92,69.93,70.62,69.64
70.00,69.70,70.00,69.09
69.79,70.18,70.22,68.97
69.68,69.93,69.94,69.30
70.17,71.17,71.21,70.14
71.55,71.04,71.55,70.89
70.75,71.47,71.55,70.74
71.26,72.41,72.58,71.23
72.84,72.05,72.84,72.00
71.77,71.47,72.09,71.38
71.94,71.57,71.94,70.88
70.80,71.39,71.46,70.38
71.41,70.93,71.53,70.83
71.09,71.77,71.93,71.09
71.98,72.10,72.44,71.98
72.29,72.09,72.55,71.93
72.21,72.12,72.21,71.69
72.40,72.86,72.96,72.31
72.81,72.99,73.05,72.81
72.82,72.77,72.96,72.68
72.68,72.95,73.03,72.58
72.90,73.14,73.16,72.62
73.37,72.74,73.48,72.65
72.70,72.96,73.01,72.54
73.20,73.75,73.78,72.89
73.82,73.98,74.11,73.72
74.05,73.68,74.11,73.49
73.54,73.54,73.99,73.07
73.62,73.16,73.62,72.91
73.26,73.43,73.50,72.98
73.27,72.78,73.28,72.75
72.36,71.55,72.36,71.51
71.69,71.73,72.01,71.45
72.03,72.57,72.62,72.00
72.70,72.53,72.93,72.49
72.42,72.32,72.68,72.01
72.71,73.11,73.31,72.71
73.34,73.63,73.68,73.14
73.50,74.25,74.32,73.47
74.10,73.62,74.14,73.36
73.25,73.19,73.30,72.94
73.34,73.59,73.60,72.66
73.96,73.91,74.10,73.72
73.59,73.65,73.78,73.21
73.66,73.73,73.73,73.32
73.48,73.68,73.75,73.32
73.52,72.92,73.65,72.69
72.66,73.00,73.05,72.49
73.67,73.84,73.84,73.29
