ALJJ,ALJ Regional Holdings,NASDAQ
0.24,0.28,0.28,0.24
0.25,0.27,0.27,0.25
0.27,0.27,0.28,0.27
0.28,0.28,0.28,0.28
0.27,0.28,0.28,0.27
0.29,0.29,0.30,0.28
0.30,0.30,0.30,0.30
nan,0.30,nan,nan
0.29,0.29,0.29,0.29
0.28,0.26,0.28,0.26
0.26,0.28,0.28,0.25
nan,0.28,nan,nan
nan,0.28,nan,nan
0.25,0.28,0.28,0.23
0.25,0.24,0.25,0.23
0.25,0.25,0.25,0.25
nan,0.25,nan,nan
0.25,0.29,0.29,0.25
nan,0.29,nan,nan
0.24,0.29,0.29,0.24
nan,0.29,nan,nan
nan,0.29,nan,nan
0.24,0.27,0.29,0.24
0.26,0.26,0.26,0.26
0.26,0.28,0.29,0.26
0.29,0.26,0.29,0.26
0.28,0.24,0.28,0.24
0.28,0.28,0.28,0.28
nan,0.28,nan,nan
0.24,0.26,0.26,0.24
0.28,0.24,0.28,0.24
0.24,0.24,0.24,0.24
0.24,0.23,0.24,0.23
0.23,0.23,0.23,0.23
nan,0.23,nan,nan
0.20,0.20,0.21,0.20
nan,0.20,nan,nan
0.17,0.15,0.20,0.15
0.24,0.24,0.24,0.17
0.24,0.24,0.24,0.24
nan,0.24,nan,nan
nan,0.24,nan,nan
0.18,0.25,0.25,0.18
0.24,0.25,0.25,0.20
0.20,0.25,0.25,0.20
nan,0.25,nan,nan
0.21,0.25,0.25,0.21
nan,0.25,nan,nan
0.25,0.28,0.28,0.20
0.21,0.21,0.28,0.21
0.21,0.23,0.23,0.21
0.22,0.28,0.28,0.22
0.25,0.28,0.28,0.25
0.24,0.28,0.28,0.24
0.23,0.28,0.28,0.23
nan,0.28,nan,nan
0.23,0.26,0.26,0.23
0.26,0.26,0.26,0.26
0.23,0.26,0.26,0.23
0.23,0.26,0.26,0.23
0.26,0.27,0.28,0.26
N/A,N/A,N/A,N/A
0.30,0.29,0.30,0.29
0.28,0.28,0.28,0.27
0.26,0.26,0.26,0.26
0.26,0.28,0.28,0.26
0.28,0.30,0.30,0.28
0.23,0.29,0.29,0.23
0.29,0.29,0.29,0.27
0.30,0.31,0.31,0.30
0.30,0.30,0.31,0.30
0.31,0.31,0.31,0.31
0.31,0.30,0.31,0.28
0.31,0.32,0.32,0.30
nan,0.32,nan,nan
0.31,0.33,0.33,0.31
0.33,0.29,0.33,0.28
0.32,0.32,0.32,0.32
0.28,0.28,0.28,0.28
0.32,0.31,0.33,0.31
nan,0.31,nan,nan
0.31,0.31,0.31,0.31
0.33,0.34,0.40,0.33
0.34,0.34,0.34,0.34
0.34,0.34,0.34,0.34
0.34,0.34,0.34,0.34
0.34,0.39,0.39,0.30
0.34,0.34,0.34,0.30
0.36,0.36,0.36,0.36
0.30,0.39,0.39,0.30
0.34,0.38,0.38,0.28
0.38,0.38,0.38,0.28
nan,0.38,nan,nan
0.39,0.39,0.39,0.39
0.39,0.39,0.39,0.39
0.33,0.32,0.33,0.30
0.30,0.30,0.33,0.30
0.30,0.30,0.32,0.30
0.30,0.30,0.32,0.30
0.30,0.33,0.33,0.30
0.31,0.35,0.35,0.31
0.32,0.35,0.35,0.32
nan,0.35,nan,nan
nan,0.35,nan,nan
0.32,0.35,0.35,0.32
0.32,0.35,0.35,0.32
0.33,0.33,0.35,0.33
0.35,0.37,0.37,0.35
0.35,0.34,0.35,0.34
0.34,0.35,0.35,0.34
0.35,0.35,0.35,0.33
0.35,0.38,0.38,0.35
0.38,0.36,0.38,0.35
0.36,0.36,0.36,0.36
nan,0.36,nan,nan
0.35,0.38,0.38,0.35
0.38,0.38,0.38,0.36
0.36,0.38,0.38,0.36
nan,0.38,nan,nan
0.36,0.35,0.36,0.31
0.33,0.35,0.35,0.33
0.32,0.30,0.32,0.29
0.32,0.32,0.32,0.32
0.29,0.31,0.32,0.28
0.29,0.29,0.29,0.28
0.31,0.31,0.31,0.31
0.28,0.27,0.28,0.27
0.28,0.28,0.28,0.28
0.27,0.25,0.27,0.25
0.27,0.30,0.35,0.27
nan,0.30,nan,nan
0.30,0.30,0.30,0.30
0.27,0.30,0.30,0.27
0.30,0.32,0.32,0.30
0.27,0.27,0.28,0.25
0.26,0.26,0.26,0.26
0.25,0.27,0.27,0.25
0.30,0.30,0.30,0.30
0.25,0.25,0.26,0.25
0.29,0.29,0.29,0.29
nan,0.29,nan,nan
nan,0.29,nan,nan
0.28,0.29,0.29,0.28
nan,0.29,nan,nan
nan,0.29,nan,nan
0.29,0.29,0.29,0.27
0.27,0.29,0.29,0.27
nan,0.29,nan,nan
0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27
0.29,0.29,0.29,0.29
0.27,0.32,0.32,0.27
0.32,0.32,0.32,0.32
0.27,0.28,0.28,0.27
0.27,0.30,0.30,0.27
0.30,0.30,0.30,0.30
nan,0.30,nan,nan
0.28,0.29,0.29,0.28
0.28,0.29,0.29,0.27
0.28,0.28,0.28,0.28
nan,0.28,nan,nan
0.27,0.28,0.28,0.27
N/A,N/A,N/A,N/A
0.27,0.28,0.28,0.27
0.27,0.28,0.28,0.27
0.27,0.28,0.28,0.27
0.27,0.28,0.28,0.26
0.26,0.28,0.28,0.26
0.26,0.28,0.28,0.26
N/A,N/A,N/A,N/A
0.26,0.28,0.28,0.26
0.26,0.26,0.26,0.25
0.25,0.25,0.25,0.23
0.25,0.25,0.25,0.25
0.23,0.24,0.24,0.23
0.23,0.25,0.25,0.22
0.25,0.25,0.25,0.25
0.27,0.27,0.27,0.23
0.24,0.24,0.27,0.23
0.25,0.25,0.25,0.25
0.24,0.25,0.25,0.23
0.25,0.23,0.27,0.23
0.27,0.24,0.27,0.24
0.24,0.27,0.27,0.24
0.24,0.26,0.26,0.24
N/A,N/A,N/A,N/A
0.24,0.27,0.27,0.24
0.24,0.26,0.26,0.24
0.23,0.26,0.26,0.23
0.23,0.26,0.26,0.23
0.23,0.26,0.26,0.23
0.23,0.26,0.26,0.23
0.26,0.26,0.26,0.26
0.26,0.26,0.26,0.25
N/A,N/A,N/A,N/A
0.26,0.26,0.26,0.26
0.25,0.28,0.28,0.25
0.29,0.29,0.29,0.29
0.28,0.32,0.32,0.28
0.30,0.32,0.32,0.30
0.30,0.32,0.32,0.30
0.30,0.32,0.32,0.30
0.31,0.31,0.31,0.29
0.31,0.33,0.33,0.31
0.33,0.33,0.33,0.31
0.33,0.33,0.33,0.33
0.31,0.33,0.33,0.31
0.32,0.31,0.32,0.31
0.31,0.31,0.31,0.31
0.31,0.30,0.31,0.30
0.30,0.28,0.30,0.28
0.28,0.30,0.30,0.28
0.28,0.30,0.30,0.28
0.28,0.28,0.28,0.28
0.30,0.30,0.30,0.30
0.31,0.31,0.31,0.31
N/A,N/A,N/A,N/A
0.31,0.31,0.31,0.31
N/A,N/A,N/A,N/A
0.29,0.31,0.31,0.29
N/A,N/A,N/A,N/A
0.29,0.31,0.31,0.29
N/A,N/A,N/A,N/A
0.30,0.31,0.31,0.30
0.29,0.31,0.31,0.29
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.29,0.30,0.30,0.28
0.28,0.28,0.30,0.28
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.30
0.30,0.29,0.30,0.29
0.28,0.29,0.29,0.28
0.29,0.28,0.29,0.28
0.28,0.28,0.28,0.28
0.28,0.30,0.30,0.28
0.28,0.30,0.30,0.28
N/A,N/A,N/A,N/A
0.28,0.29,0.30,0.28
0.28,0.30,0.30,0.27
0.26,0.31,0.31,0.26
0.31,0.31,0.31,0.31
0.31,0.31,0.31,0.31
0.28,0.30,0.30,0.28
0.28,0.30,0.30,0.28
0.28,0.30,0.30,0.28
0.28,0.30,0.30,0.28
0.28,0.30,0.30,0.28
0.28,0.30,0.30,0.28
0.28,0.30,0.30,0.28
N/A,N/A,N/A,N/A
0.29,0.30,0.30,0.29
0.30,0.30,0.30,0.30
0.30,0.30,0.30,0.29
0.30,0.30,0.30,0.28
0.30,0.30,0.30,0.30
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.28,0.30,0.30,0.28
0.30,0.30,0.30,0.30
N/A,N/A,N/A,N/A
0.30,0.32,0.32,0.30
N/A,N/A,N/A,N/A
0.30,0.32,0.32,0.30
0.30,0.32,0.32,0.30
0.32,0.32,0.32,0.32
0.30,0.31,0.32,0.30
0.30,0.31,0.31,0.30
N/A,N/A,N/A,N/A
0.31,0.26,0.31,0.26
0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.26
0.27,0.26,0.28,0.26
0.28,0.27,0.28,0.24
0.27,0.27,0.27,0.27
N/A,N/A,N/A,N/A
0.27,0.27,0.27,0.27
0.28,0.28,0.28,0.25
0.27,0.28,0.28,0.27
0.27,0.28,0.30,0.27
0.28,0.29,0.30,0.28
0.29,0.30,0.30,0.29
0.30,0.30,0.30,0.29
0.30,0.32,0.32,0.30
0.32,0.32,0.32,0.32
0.32,0.32,0.32,0.32
0.30,0.32,0.32,0.30
0.30,0.32,0.32,0.30
0.30,0.31,0.31,0.30
0.32,0.32,0.32,0.28
0.28,0.30,0.30,0.28
0.30,0.27,0.30,0.27
0.28,0.28,0.29,0.27
0.30,0.30,0.30,0.30
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.30,0.30,0.30,0.29
0.29,0.30,0.30,0.28
0.30,0.30,0.30,0.30
0.29,0.30,0.30,0.28
0.29,0.29,0.30,0.29
0.28,0.29,0.29,0.28
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.29,0.30,0.30,0.29
0.28,0.30,0.31,0.28
0.31,0.30,0.31,0.30
0.31,0.32,0.32,0.31
0.31,0.32,0.32,0.31
0.31,0.32,0.32,0.31
0.33,0.33,0.33,0.32
0.33,0.35,0.35,0.33
0.36,0.38,0.38,0.36
0.36,0.38,0.38,0.35
0.38,0.38,0.38,0.38
0.35,0.37,0.37,0.35
0.37,0.37,0.37,0.37
0.34,0.37,0.38,0.34
0.37,0.38,0.38,0.37
0.38,0.38,0.38,0.37
N/A,N/A,N/A,N/A
0.34,0.39,0.39,0.33
N/A,N/A,N/A,N/A
0.36,0.39,0.39,0.36
0.38,0.38,0.38,0.38
0.32,0.38,0.38,0.32
0.32,0.37,0.38,0.32
0.37,0.37,0.37,0.34
0.37,0.37,0.37,0.37
0.37,0.37,0.38,0.35
N/A,N/A,N/A,N/A
0.37,0.37,0.37,0.35
0.37,0.37,0.37,0.37
0.34,0.38,0.38,0.34
0.34,0.37,0.38,0.34
0.34,0.37,0.37,0.34
0.37,0.37,0.37,0.37
N/A,N/A,N/A,N/A
0.37,0.38,0.38,0.37
0.34,0.37,0.37,0.34
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.37,0.44,0.45,0.37
0.44,0.42,0.44,0.41
0.41,0.40,0.41,0.37
0.40,0.42,0.42,0.37
0.42,0.42,0.42,0.40
0.42,0.41,0.42,0.41
0.42,0.42,0.42,0.40
0.40,0.42,0.42,0.40
0.42,0.44,0.44,0.42
0.41,0.44,0.44,0.41
0.43,0.44,0.44,0.43
0.43,0.43,0.43,0.43
0.44,0.44,0.44,0.44
0.42,0.43,0.44,0.37
0.41,0.44,0.44,0.41
0.44,0.45,0.45,0.42
0.45,0.48,0.48,0.45
0.48,0.48,0.48,0.47
0.50,0.51,0.51,0.48
0.51,0.53,0.54,0.50
0.53,0.53,0.56,0.47
0.51,0.51,0.51,0.48
0.47,0.53,0.53,0.47
0.52,0.47,0.52,0.45
0.47,0.47,0.50,0.45
0.47,0.49,0.49,0.47
0.47,0.50,0.50,0.47
0.51,0.51,0.51,0.51
0.47,0.51,0.51,0.47
0.51,0.51,0.51,0.46
N/A,N/A,N/A,N/A
0.51,0.51,0.51,0.51
0.51,0.46,0.51,0.46
0.46,0.51,0.51,0.46
0.50,0.50,0.50,0.50
0.51,0.51,0.51,0.51
0.51,0.51,0.51,0.51
0.46,0.50,0.50,0.46
0.50,0.56,0.56,0.50
0.56,0.57,0.57,0.55
0.56,0.56,0.56,0.55
0.56,0.56,0.58,0.56
0.56,0.56,0.56,0.55
0.57,0.60,0.60,0.57
0.60,0.59,0.60,0.59
0.60,0.60,0.60,0.59
0.60,0.60,0.60,0.59
0.60,0.60,0.60,0.60
0.60,0.66,0.80,0.60
0.66,0.70,0.74,0.66
0.71,0.72,0.73,0.69
0.70,0.67,0.72,0.67
0.69,0.68,0.70,0.62
0.68,0.67,0.68,0.65
0.66,0.66,0.66,0.66
0.66,0.62,0.70,0.62
0.62,0.69,0.69,0.62
0.69,0.65,0.70,0.61
0.65,0.65,0.65,0.65
0.61,0.60,0.61,0.55
0.52,0.58,0.59,0.52
0.56,0.52,0.56,0.52
0.53,0.57,0.57,0.53
0.57,0.62,0.64,0.57
0.60,0.65,0.71,0.60
0.67,0.65,0.67,0.62
0.65,0.61,0.65,0.61
0.61,0.64,0.64,0.61
0.62,0.64,0.64,0.62
0.61,0.57,0.61,0.55
0.60,0.60,0.60,0.60
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.60,0.60,0.60,0.57
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.56,0.56,0.56,0.55
0.56,0.56,0.56,0.54
0.54,0.53,0.54,0.52
0.52,0.53,0.56,0.52
0.56,0.53,0.56,0.52
0.53,0.56,0.56,0.53
0.52,0.56,0.56,0.52
0.52,0.55,0.56,0.48
0.51,0.52,0.58,0.51
0.57,0.53,0.57,0.51
0.56,0.56,0.56,0.56
0.52,0.53,0.53,0.48
0.50,0.54,0.54,0.50
0.52,0.50,0.52,0.49
0.52,0.50,0.52,0.50
0.47,0.47,0.51,0.46
0.46,0.48,0.48,0.46
0.46,0.46,0.48,0.46
0.46,0.46,0.46,0.46
0.46,0.48,0.50,0.46
0.46,0.44,0.48,0.44
0.42,0.50,0.50,0.40
N/A,N/A,N/A,N/A
0.41,0.48,0.48,0.41
0.48,0.49,0.52,0.48
0.52,0.47,0.52,0.47
0.46,0.50,0.50,0.45
0.50,0.50,0.50,0.50
0.50,0.48,0.51,0.47
0.52,0.47,0.52,0.47
0.50,0.50,0.50,0.47
N/A,N/A,N/A,N/A
0.47,0.44,0.47,0.44
0.50,0.50,0.50,0.50
0.44,0.50,0.50,0.44
0.44,0.46,0.47,0.44
0.44,0.44,0.46,0.44
N/A,N/A,N/A,N/A
0.46,0.46,0.46,0.46
0.42,0.46,0.46,0.42
N/A,N/A,N/A,N/A
0.42,0.44,0.44,0.42
N/A,N/A,N/A,N/A
0.40,0.44,0.44,0.40
0.38,0.40,0.44,0.38
0.40,0.41,0.41,0.40
N/A,N/A,N/A,N/A
0.41,0.40,0.41,0.40
0.38,0.40,0.40,0.38
0.34,0.34,0.35,0.34
0.38,0.38,0.38,0.37
0.38,0.40,0.40,0.38
0.38,0.38,0.38,0.38
0.38,0.41,0.41,0.38
0.40,0.44,0.44,0.40
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.40,0.42,0.42,0.39
0.42,0.42,0.42,0.38
N/A,N/A,N/A,N/A
0.40,0.38,0.41,0.38
0.40,0.39,0.40,0.39
0.40,0.40,0.40,0.40
0.38,0.40,0.40,0.38
N/A,N/A,N/A,N/A
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.38
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.39,0.44,0.44,0.39
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.40,0.40,0.44,0.38
0.40,0.40,0.40,0.37
0.37,0.37,0.40,0.37
0.36,0.35,0.36,0.35
0.40,0.35,0.40,0.35
0.35,0.40,0.40,0.35
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.40,0.40,0.40,0.40
0.36,0.40,0.40,0.36
0.40,0.40,0.40,0.36
0.36,0.39,0.39,0.36
0.42,0.43,0.45,0.40
0.44,0.44,0.45,0.42
0.46,0.45,0.46,0.45
0.44,0.46,0.46,0.44
N/A,N/A,N/A,N/A
0.44,0.44,0.46,0.44
0.46,0.42,0.46,0.42
0.42,0.44,0.45,0.42
0.40,0.41,0.44,0.40
0.40,0.44,0.44,0.39
0.44,0.42,0.44,0.40
0.42,0.44,0.44,0.42
0.42,0.41,0.42,0.41
0.41,0.41,0.41,0.41
0.41,0.41,0.44,0.40
N/A,N/A,N/A,N/A
0.44,0.44,0.44,0.44
0.40,0.44,0.44,0.40
0.42,0.41,0.42,0.41
0.40,0.40,0.42,0.39
0.40,0.40,0.42,0.40
0.42,0.40,0.44,0.40
0.42,0.42,0.44,0.42
0.43,0.43,0.43,0.43
0.42,0.42,0.43,0.42
0.42,0.42,0.43,0.42
0.44,0.46,0.46,0.44
0.46,0.46,0.46,0.46
0.47,0.46,0.47,0.45
0.47,0.46,0.47,0.46
0.47,0.52,0.52,0.47
0.53,0.52,0.55,0.52
0.52,0.56,0.56,0.52
0.55,0.52,0.56,0.52
0.55,0.54,0.55,0.52
0.56,0.50,0.56,0.50
0.50,0.50,0.53,0.50
0.50,0.50,0.50,0.49
0.48,0.50,0.50,0.48
0.48,0.47,0.50,0.47
0.48,0.50,0.50,0.48
N/A,N/A,N/A,N/A
0.47,0.50,0.50,0.47
0.48,0.50,0.50,0.48
N/A,N/A,N/A,N/A
0.50,0.50,0.50,0.50
0.50,0.52,0.52,0.50
0.48,0.47,0.52,0.45
0.43,0.47,0.47,0.43
0.44,0.47,0.47,0.44
0.45,0.47,0.47,0.45
0.43,0.53,0.53,0.43
0.53,0.52,0.53,0.52
0.45,0.45,0.52,0.45
0.51,0.51,0.51,0.51
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.45,0.50,0.50,0.45
0.46,0.50,0.50,0.44
0.45,0.48,0.48,0.45
0.45,0.46,0.47,0.45
0.46,0.46,0.46,0.45
0.44,0.48,0.48,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.44,0.46,0.46,0.44
0.46,0.47,0.50,0.46
0.48,0.48,0.48,0.48
0.50,0.51,0.54,0.50
0.50,0.49,0.50,0.49
0.49,0.51,0.52,0.49
0.54,0.54,0.54,0.54
0.52,0.50,0.52,0.46
0.48,0.50,0.50,0.48
0.49,0.51,0.51,0.49
0.51,0.51,0.51,0.51
0.48,0.48,0.48,0.48
0.50,0.50,0.50,0.50
0.50,0.47,0.50,0.47
0.45,0.45,0.47,0.45
0.45,0.46,0.46,0.45
0.46,0.46,0.46,0.46
0.46,0.46,0.46,0.43
0.45,0.46,0.46,0.45
0.48,0.44,0.48,0.44
0.44,0.44,0.44,0.44
N/A,N/A,N/A,N/A
0.44,0.44,0.44,0.44
0.44,0.44,0.44,0.44
0.45,0.44,0.45,0.44
0.44,0.44,0.44,0.44
0.45,0.42,0.45,0.42
0.41,0.42,0.43,0.41
0.43,0.42,0.43,0.42
0.42,0.42,0.44,0.42
0.44,0.42,0.44,0.42
0.42,0.42,0.42,0.42
0.42,0.41,0.42,0.36
0.40,0.40,0.40,0.40
0.40,0.42,0.42,0.40
0.41,0.40,0.42,0.40
0.40,0.40,0.42,0.40
0.40,0.38,0.41,0.38
0.40,0.40,0.40,0.38
0.41,0.46,0.48,0.41
0.44,0.42,0.44,0.42
0.45,0.44,0.45,0.44
0.44,0.44,0.46,0.42
0.46,0.46,0.46,0.46
N/A,N/A,N/A,N/A
0.42,0.46,0.46,0.42
0.46,0.48,0.48,0.46
0.46,0.47,0.47,0.45
0.45,0.47,0.47,0.45
0.45,0.45,0.46,0.45
0.44,0.46,0.46,0.44
0.46,0.44,0.46,0.44
0.44,0.46,0.46,0.44
N/A,N/A,N/A,N/A
0.44,0.46,0.46,0.44
0.44,0.44,0.46,0.44
0.46,0.44,0.46,0.44
0.44,0.44,0.46,0.44
0.44,0.42,0.44,0.42
0.43,0.43,0.43,0.42
0.43,0.42,0.43,0.41
0.42,0.44,0.44,0.42
0.41,0.44,0.44,0.40
0.37,0.44,0.44,0.37
0.41,0.40,0.44,0.40
0.40,0.42,0.44,0.40
0.40,0.40,0.40,0.40
0.40,0.41,0.42,0.39
0.40,0.42,0.42,0.40
0.38,0.40,0.42,0.38
0.40,0.39,0.42,0.39
0.39,0.42,0.42,0.39
N/A,N/A,N/A,N/A
0.41,0.42,0.42,0.41
0.38,0.41,0.42,0.38
0.40,0.40,0.42,0.40
0.42,0.39,0.42,0.39
0.42,0.39,0.42,0.39
0.42,0.42,0.42,0.42
0.42,0.45,0.45,0.42
0.43,0.42,0.43,0.42
0.42,0.42,0.42,0.42
0.42,0.42,0.42,0.42
0.40,0.42,0.42,0.40
0.42,0.42,0.42,0.42
0.40,0.44,0.44,0.40
0.42,0.44,0.44,0.42
N/A,N/A,N/A,N/A
0.42,0.43,0.43,0.41
0.42,0.41,0.44,0.40
0.41,0.40,0.41,0.40
0.40,0.42,0.42,0.40
N/A,N/A,N/A,N/A
0.42,0.40,0.42,0.40
0.42,0.43,0.43,0.42
0.40,0.41,0.41,0.40
N/A,N/A,N/A,N/A
0.40,0.40,0.40,0.40
N/A,N/A,N/A,N/A
0.41,0.40,0.41,0.40
0.40,0.40,0.40,0.40
0.39,0.42,0.42,0.39
