DRAM,Dataram Corporation - Common Stock,NASDAQ
68.40,69.12,71.10,66.60
68.58,74.16,75.78,68.40
73.98,74.88,81.00,73.08
75.78,75.06,77.40,72.00
74.16,73.98,75.42,72.72
73.08,71.10,74.63,69.12
70.74,67.86,70.74,65.16
68.40,70.92,72.00,66.24
70.20,70.74,71.46,68.65
70.74,68.04,70.74,67.14
68.94,67.43,69.30,65.70
66.60,63.54,66.60,63.00
64.26,61.56,64.26,57.60
60.84,56.88,60.84,55.98
56.88,54.54,58.14,51.48
53.64,55.08,57.46,51.30
54.18,55.08,55.98,52.92
55.98,53.10,55.98,49.68
52.74,50.22,54.90,49.68
51.48,51.30,53.10,49.50
52.38,52.02,52.74,50.94
52.56,55.44,57.24,52.20
54.72,51.30,57.38,50.58
51.30,47.59,52.20,46.26
48.24,47.88,49.50,45.63
50.22,50.69,53.46,49.50
50.58,51.19,52.74,49.86
51.48,50.40,51.84,48.96
49.14,49.68,50.94,48.45
49.50,50.22,50.94,48.42
51.12,51.84,53.10,49.86
52.02,51.23,53.82,50.76
52.56,56.52,63.18,52.38
58.68,56.52,59.76,54.18
56.52,54.00,57.06,53.28
54.00,54.36,55.62,53.10
51.84,51.48,51.84,47.70
49.50,49.14,51.30,47.70
48.96,49.14,50.76,45.72
48.78,50.40,50.40,48.06
50.94,50.40,51.84,48.78
49.86,49.86,50.58,48.96
49.86,50.58,50.69,48.15
49.86,50.76,51.30,49.68
50.22,54.00,55.08,50.22
53.46,54.90,56.34,53.46
55.08,54.36,55.08,52.20
54.00,54.54,54.90,53.64
53.82,52.20,54.72,51.84
51.84,50.58,52.09,48.60
50.22,48.78,50.58,47.16
48.96,48.60,50.40,46.44
48.24,44.82,49.86,44.46
45.54,46.08,47.34,43.02
45.54,46.98,47.16,45.36
46.08,45.90,46.62,45.18
45.00,44.28,46.62,43.56
43.74,44.10,46.26,43.74
44.28,43.20,44.78,42.84
43.20,42.30,43.20,41.94
41.79,43.92,44.10,41.76
N/A,N/A,N/A,N/A
45.18,44.82,45.18,44.10
45.09,47.70,48.24,42.30
47.70,48.24,50.40,47.70
48.60,48.78,49.50,47.34
48.78,49.14,49.50,48.60
48.60,47.52,48.60,46.62
46.98,47.52,47.70,45.90
46.98,49.14,49.14,46.98
48.95,49.14,49.14,47.70
48.60,45.18,48.96,43.74
45.18,46.26,47.16,44.10
46.08,48.24,48.24,45.00
48.78,47.70,48.78,46.62
46.80,47.16,47.70,45.00
47.52,47.70,47.70,46.62
48.60,45.72,48.60,45.00
45.24,43.38,45.24,42.48
43.38,42.84,43.38,39.98
42.84,43.02,43.31,41.41
42.48,42.84,42.84,40.86
42.66,41.94,43.20,40.86
41.58,38.88,41.58,38.16
39.06,38.88,39.78,37.98
38.88,38.34,38.88,36.00
37.80,36.90,37.80,35.82
38.16,33.30,38.34,33.30
33.30,35.64,36.00,33.30
36.36,40.14,40.77,35.78
40.50,40.50,41.58,38.16
37.76,38.88,40.50,37.10
37.08,36.72,38.70,36.00
36.90,36.00,38.34,36.00
36.00,33.66,36.00,33.48
32.40,32.40,34.18,31.86
30.96,32.22,34.20,30.96
32.22,32.40,34.74,31.53
31.50,30.60,32.04,29.70
30.78,29.70,31.32,29.70
31.32,31.14,35.64,30.06
31.14,32.04,33.30,30.60
31.59,31.32,31.59,30.42
30.78,30.60,31.86,30.42
31.50,30.60,33.30,30.60
30.06,29.70,32.40,29.70
29.52,28.98,31.14,28.98
28.98,27.00,28.98,26.64
27.90,28.26,29.34,27.90
29.16,28.44,29.88,28.44
28.80,30.24,30.96,28.80
31.68,29.88,32.76,28.26
31.69,31.68,38.16,28.80
32.09,30.78,33.12,30.60
30.60,31.32,31.86,29.70
31.50,33.84,33.84,30.78
34.92,29.88,34.92,29.88
28.98,31.50,32.13,28.98
30.96,30.96,31.68,29.16
31.50,29.16,31.50,28.98
29.16,29.34,32.04,28.98
28.98,28.26,31.86,27.36
27.72,23.58,27.72,23.40
23.40,26.82,27.00,22.50
25.20,23.94,25.92,21.42
22.86,23.58,24.48,22.68
24.30,26.28,26.64,24.12
25.74,27.43,27.54,25.38
26.46,27.90,28.44,26.10
25.74,26.82,27.54,25.56
28.02,29.88,30.78,27.36
31.14,30.42,31.14,29.70
29.88,29.34,31.47,28.44
28.44,28.44,29.34,27.18
27.72,28.80,30.06,27.18
31.13,26.28,31.14,26.28
26.82,27.54,28.44,26.46
27.37,25.92,27.65,25.92
26.98,25.92,28.62,25.56
29.97,27.00,29.97,25.83
27.36,27.54,30.06,27.00
29.79,29.34,29.79,27.03
29.88,30.78,31.32,28.80
27.72,30.96,30.96,26.28
31.68,32.94,34.20,30.24
32.94,33.66,34.92,32.94
33.66,33.80,34.20,31.50
34.20,32.40,34.20,31.86
31.50,31.32,32.40,30.96
31.50,32.40,32.40,31.50
32.22,31.23,34.56,30.78
31.86,32.40,34.20,31.50
33.48,32.76,33.48,31.50
31.50,32.72,33.30,30.78
31.32,31.68,32.94,31.32
31.68,31.19,31.68,29.70
31.14,30.96,32.76,29.70
30.24,31.50,32.40,29.70
31.50,30.42,32.19,29.16
30.42,30.60,31.50,28.98
30.60,31.36,32.40,30.60
30.06,30.06,30.60,30.06
30.06,30.06,30.06,28.80
29.70,30.60,30.60,28.26
30.24,29.16,30.60,29.16
29.82,29.52,30.78,29.52
29.46,29.52,29.88,29.46
29.34,30.96,30.96,27.36
30.78,31.86,32.94,30.60
31.14,34.20,34.38,29.88
34.38,32.94,34.38,32.40
31.68,32.76,33.12,31.50
31.50,30.78,32.22,29.88
30.78,30.78,31.86,30.42
29.70,32.40,32.67,29.70
32.40,31.50,32.58,30.60
30.24,29.94,30.96,29.52
29.70,28.98,30.42,28.44
28.98,31.50,31.50,28.98
30.60,31.31,31.86,29.52
32.40,31.50,32.40,29.18
31.50,31.50,32.40,30.96
31.68,31.68,32.22,31.68
33.12,31.68,33.48,30.24
30.06,30.42,32.03,29.70
30.42,29.52,30.42,29.16
29.52,31.68,34.20,29.52
31.48,31.14,32.40,29.70
30.24,30.60,33.30,30.24
30.78,31.50,31.68,30.60
31.32,31.86,31.86,30.42
31.86,35.10,35.10,31.68
35.10,34.20,35.10,33.84
34.02,34.20,35.10,34.02
34.02,33.30,34.92,32.40
31.68,34.56,34.56,31.68
34.20,34.56,35.10,34.20
35.10,35.28,35.82,33.66
35.82,35.46,36.72,34.92
35.28,40.50,40.50,35.28
40.50,41.94,42.84,39.77
42.66,41.40,42.66,41.22
41.40,41.58,41.76,40.86
41.94,42.66,43.02,41.40
43.02,44.82,46.26,42.84
45.36,44.10,45.36,44.10
44.10,43.20,47.34,43.20
43.20,44.46,46.26,43.20
45.00,43.92,46.26,43.22
45.72,44.10,45.72,40.89
44.82,43.02,44.82,42.30
43.56,42.84,44.10,42.66
43.92,43.02,44.28,43.02
44.10,43.74,45.00,43.38
45.36,44.64,45.36,43.74
44.81,44.28,45.00,43.20
43.74,42.48,44.45,42.48
42.48,40.14,42.48,39.60
40.13,38.52,41.04,37.44
37.98,36.54,40.68,32.40
35.82,36.18,37.08,35.46
36.36,36.33,37.80,35.28
37.26,37.80,39.96,37.24
37.26,37.80,41.21,34.92
37.09,36.18,37.62,34.38
35.46,37.80,37.98,35.10
37.44,38.70,38.70,36.00
38.88,39.06,39.60,37.62
35.82,37.26,38.88,35.82
36.90,36.90,38.88,36.36
36.54,37.08,37.62,36.54
37.26,36.18,37.62,36.18
36.36,37.80,38.68,36.36
37.08,36.36,38.70,36.18
36.00,35.82,36.71,35.28
35.64,35.10,35.82,34.56
34.56,32.76,35.10,32.76
32.22,32.04,35.28,31.50
32.40,32.40,32.40,31.86
31.68,29.88,31.86,29.52
29.70,28.08,29.70,28.08
28.08,28.62,30.24,28.08
30.42,28.62,30.42,28.44
28.80,28.26,29.52,27.18
27.90,27.90,29.16,27.00
27.54,27.90,28.62,27.00
28.62,28.26,29.63,27.54
28.08,27.36,28.76,26.28
26.64,28.44,28.80,25.92
27.90,27.18,28.10,25.56
27.90,28.26,28.26,27.18
28.08,28.26,28.80,27.00
27.90,27.18,27.90,27.00
27.90,30.96,33.12,26.82
31.32,30.06,31.32,29.34
31.68,28.98,32.40,28.26
29.34,28.98,30.42,28.98
28.98,31.50,32.04,28.98
31.68,32.94,33.30,31.68
34.20,34.74,34.74,33.30
35.10,34.56,36.00,34.51
35.46,34.93,35.46,33.30
34.20,33.79,34.20,33.12
33.84,32.58,34.02,32.22
31.50,31.32,32.03,30.42
31.50,31.32,31.68,29.16
29.88,31.14,31.68,29.88
32.40,32.04,32.76,31.32
32.22,32.76,33.48,30.42
33.48,34.92,36.00,33.48
35.28,34.20,35.28,32.58
33.84,40.86,43.38,33.66
38.16,39.42,43.20,36.92
39.24,41.94,41.94,37.44
42.30,40.32,42.30,38.70
40.50,40.50,40.50,39.06
42.12,41.94,42.30,40.50
41.58,40.68,41.94,40.50
40.86,41.76,41.94,40.86
41.04,45.00,45.00,41.04
45.36,44.28,47.70,42.48
45.90,43.02,45.90,42.12
41.58,39.42,42.30,37.44
39.42,38.70,39.60,37.44
38.16,39.60,41.40,37.80
38.88,42.66,44.82,38.88
43.56,42.84,43.74,42.30
43.20,39.96,43.20,38.88
39.06,39.24,40.86,39.06
39.60,40.68,41.94,39.60
40.32,41.40,42.30,40.32
41.36,42.12,42.12,41.36
42.12,42.48,45.00,42.12
42.30,43.02,45.36,42.30
45.00,41.58,45.00,41.04
42.17,41.76,42.30,40.99
41.22,42.48,44.28,41.22
41.58,43.38,44.46,41.58
41.76,41.94,42.66,40.16
41.58,41.94,42.48,40.50
42.48,41.22,42.48,40.14
37.08,40.14,41.87,36.72
39.42,38.52,40.32,38.16
38.16,39.78,40.86,38.16
40.50,39.60,40.50,38.70
39.60,38.52,41.22,37.98
40.12,40.14,40.86,39.24
40.68,40.14,41.76,39.60
40.50,40.50,42.12,38.70
40.23,40.82,41.76,39.96
40.32,39.42,41.40,39.22
39.42,39.60,40.50,39.42
40.68,40.68,41.40,39.60
40.50,41.40,41.40,39.96
40.50,39.42,40.50,38.88
39.60,37.98,40.14,37.98
38.16,38.16,39.60,37.62
38.88,39.24,40.81,37.62
39.06,38.77,39.94,38.75
39.94,37.08,39.94,36.18
36.90,38.41,39.24,36.90
38.34,37.08,39.06,37.08
37.08,37.62,38.65,37.08
38.34,37.98,38.52,37.08
39.06,38.16,39.60,36.90
36.36,36.90,38.70,36.36
38.86,38.16,38.86,36.00
36.90,37.03,38.70,36.18
36.90,35.64,36.90,35.33
36.00,36.49,36.70,35.64
36.72,38.34,38.70,36.36
37.80,36.90,37.80,35.82
36.00,34.92,36.00,34.67
34.92,34.56,35.46,34.38
34.02,32.40,35.82,31.68
30.96,33.30,34.15,30.78
33.84,34.38,34.38,33.68
34.02,34.20,35.64,32.04
34.38,34.51,35.28,33.48
34.38,33.30,35.59,32.40
34.02,34.74,34.74,33.66
34.56,34.02,35.28,34.02
34.02,36.00,36.72,34.02
36.00,33.84,36.70,33.12
33.84,33.30,34.00,33.12
32.58,32.94,33.30,32.58
32.94,32.76,32.94,32.24
32.58,31.86,33.12,31.86
31.86,32.76,33.61,31.86
31.86,31.50,33.12,31.50
31.86,32.76,33.12,31.50
32.76,31.86,32.76,30.42
31.14,30.60,31.86,30.60
31.50,31.86,32.22,30.78
