PM,Philip Morris International Inc Common Stock,NASDAQ
48.33,49.35,49.59,48.25
49.37,48.92,49.57,48.76
48.66,48.92,49.00,48.29
48.77,49.53,49.60,48.56
49.32,49.26,49.52,48.78
49.78,49.44,49.80,49.25
49.37,49.17,49.37,48.85
49.17,49.67,49.89,49.17
49.48,49.60,49.98,49.48
49.66,49.62,49.97,49.46
49.60,50.09,50.20,49.51
49.90,49.24,49.91,48.70
49.22,47.73,49.31,47.59
47.60,46.81,47.77,46.71
47.09,47.05,47.63,47.02
46.69,47.00,47.40,46.69
46.85,46.64,47.10,46.22
46.66,46.21,47.10,46.02
46.53,45.51,47.09,45.43
45.74,46.11,46.23,45.63
46.21,47.60,47.72,46.07
47.33,46.97,47.44,46.81
46.60,45.94,46.81,45.90
46.22,45.66,46.22,45.01
45.31,45.53,46.28,45.31
45.93,46.85,47.00,45.70
46.81,46.81,47.09,46.39
46.65,48.67,48.93,46.05
48.35,49.29,49.93,48.20
49.60,49.42,49.92,49.06
49.51,49.83,49.89,49.35
49.59,50.28,50.35,49.59
50.20,49.98,50.41,49.80
50.00,49.75,50.07,49.68
49.75,49.30,50.00,49.18
49.32,49.83,49.97,48.97
49.43,49.61,49.88,49.00
49.62,48.98,49.63,48.95
49.05,48.93,49.25,48.79
49.39,49.81,50.09,49.11
49.82,49.98,50.17,49.72
50.16,50.66,50.80,50.06
50.75,51.25,51.38,50.52
51.13,50.79,51.28,50.69
50.61,50.38,50.78,50.20
50.25,50.30,50.41,49.85
50.29,50.24,50.51,49.68
50.25,50.14,50.50,49.95
50.05,50.92,51.12,49.81
50.98,51.24,51.43,50.82
51.45,51.83,51.92,51.27
51.94,51.82,51.99,51.65
52.68,52.68,52.85,51.83
52.39,52.89,53.07,52.23
52.20,52.44,52.44,51.69
52.43,51.89,52.70,51.84
52.12,51.72,52.53,51.66
51.78,52.12,52.45,51.68
52.27,52.53,52.74,52.25
52.62,52.49,52.92,52.16
52.50,52.16,52.50,51.95
52.24,52.47,52.68,52.16
52.60,52.85,52.99,52.36
52.64,52.65,52.95,52.55
52.57,52.52,52.80,52.29
52.29,52.37,52.72,52.21
52.76,52.75,52.81,52.03
52.86,52.95,53.20,52.74
52.78,52.46,52.82,52.08
52.09,51.30,52.09,50.80
50.65,51.59,51.62,50.65
51.45,50.74,51.68,50.56
50.55,51.35,51.44,50.55
51.48,51.92,53.91,51.16
51.97,51.99,52.87,51.80
50.38,51.24,51.32,50.08
51.18,51.14,51.23,50.60
51.04,50.13,51.14,50.06
50.01,48.44,50.07,48.22
48.67,49.09,49.34,48.53
49.45,49.58,50.30,49.33
49.47,49.08,49.81,49.02
49.32,49.42,49.68,49.15
49.01,49.00,49.75,48.86
48.89,48.71,49.55,48.50
48.50,47.00,48.91,44.00
46.14,46.42,47.00,45.92
47.91,48.35,49.04,47.70
47.74,48.35,48.63,47.74
47.93,47.99,48.31,47.52
47.86,47.36,48.19,47.31
47.27,46.56,47.47,46.29
46.60,46.25,46.83,45.89
46.44,45.56,46.76,45.37
45.37,46.26,46.52,45.10
45.47,44.55,45.92,44.49
43.90,44.26,44.71,43.38
44.04,44.30,44.72,43.57
43.60,43.72,43.92,42.97
43.85,43.70,44.56,43.55
44.23,44.70,44.80,44.09
44.76,44.12,44.80,44.02
43.77,43.97,44.59,43.51
44.04,45.05,45.06,44.04
45.06,45.02,45.36,44.69
44.57,43.74,44.75,43.51
43.72,43.17,44.25,43.07
43.13,43.73,43.77,42.94
43.98,44.15,45.14,43.78
44.59,45.11,45.58,44.59
44.84,44.35,44.94,43.09
44.61,45.57,45.95,44.61
46.22,45.56,46.22,45.47
45.39,45.55,45.78,45.13
45.78,45.60,45.96,45.34
45.67,45.91,46.28,45.60
46.28,46.29,46.64,45.93
45.81,44.99,46.01,44.95
45.96,46.49,47.08,45.90
46.28,46.43,46.72,46.04
46.56,45.90,47.00,45.90
46.00,46.29,46.68,45.90
45.90,45.72,46.80,45.54
46.15,45.84,46.36,45.75
45.77,46.55,46.68,45.55
46.63,46.45,46.88,46.23
46.75,46.77,47.19,46.34
46.59,47.54,47.56,46.39
47.95,48.54,48.68,47.67
48.80,48.59,48.90,48.22
48.57,48.84,48.99,48.26
49.12,49.30,49.45,49.00
49.18,49.52,49.73,48.96
49.62,50.10,50.30,49.33
49.99,49.67,50.89,49.51
49.51,49.96,50.10,49.43
49.66,50.63,50.75,49.63
50.78,49.89,50.86,49.20
50.38,50.84,51.09,49.90
50.82,50.66,50.97,50.27
50.57,51.19,51.23,50.57
51.26,51.34,51.38,50.95
51.36,51.04,51.45,50.90
51.16,51.18,51.55,50.78
