THM,International Tower Hill Mines,NASDAQ
7.37,7.27,7.37,7.16
7.30,7.40,7.47,7.23
7.38,7.70,7.84,7.38
7.71,7.60,7.71,7.50
7.51,7.81,7.81,7.51
7.91,7.74,8.08,7.65
7.68,7.40,7.68,7.30
7.43,7.58,7.66,7.32
7.58,7.37,7.65,7.29
7.32,7.32,7.35,7.19
7.34,7.48,7.54,7.25
7.30,7.16,7.30,7.09
7.15,6.81,7.22,6.65
6.77,6.90,6.98,6.65
6.91,6.75,7.03,6.69
6.59,6.60,6.70,6.50
6.56,6.32,6.60,6.27
6.41,6.13,6.41,6.00
6.10,6.02,6.27,5.98
6.10,6.35,6.35,5.97
6.46,6.43,6.70,6.33
6.45,6.22,6.45,6.07
6.07,5.76,6.08,5.75
5.67,6.00,6.00,5.50
6.05,5.89,6.07,5.87
5.95,6.00,6.02,5.83
6.00,5.98,6.02,5.75
6.00,6.50,6.57,6.00
6.46,6.39,6.46,6.29
6.60,6.78,6.83,6.48
6.80,6.62,6.80,6.41
6.48,6.87,6.89,6.40
6.77,6.71,6.78,6.64
6.82,6.50,6.82,6.46
6.40,6.17,6.58,6.12
6.16,6.15,6.25,6.12
6.02,6.53,6.54,5.98
6.60,6.58,6.65,6.43
6.60,6.63,6.65,6.55
6.65,6.97,7.07,6.63
7.04,6.85,7.08,6.85
6.93,6.90,6.94,6.65
6.91,6.80,6.97,6.76
6.87,6.67,6.87,6.65
6.52,6.48,6.54,6.36
6.42,6.15,6.46,6.10
6.18,5.95,6.18,5.80
5.99,5.92,6.03,5.85
6.00,5.84,6.00,5.67
5.93,6.30,6.38,5.87
6.25,6.13,6.35,6.06
6.13,5.94,6.13,5.91
5.83,5.83,6.01,5.71
5.69,5.71,5.79,5.64
5.80,5.93,6.00,5.77
6.00,5.71,6.00,5.69
5.80,5.61,5.80,5.60
5.60,5.68,5.74,5.52
5.76,5.84,5.90,5.68
5.87,5.78,5.96,5.75
5.81,5.76,5.98,5.72
5.87,6.24,6.32,5.80
6.50,6.71,6.80,6.39
6.80,6.90,6.99,6.67
6.97,7.14,7.26,6.92
7.09,7.13,7.24,6.94
7.20,7.55,7.65,7.15
7.56,7.35,7.79,7.30
7.26,7.22,7.28,7.13
7.24,7.21,7.33,7.13
7.17,7.06,7.26,7.05
6.99,6.89,7.00,6.65
6.81,6.89,6.89,6.61
6.91,7.10,7.19,6.91
7.12,7.08,7.18,7.01
7.03,7.18,7.25,6.86
7.11,7.27,7.39,7.01
7.29,7.09,7.40,7.08
7.08,7.00,7.13,6.92
7.05,7.22,7.30,6.97
7.31,7.28,7.44,7.21
7.36,7.02,7.36,6.98
7.03,6.93,7.12,6.83
6.90,6.74,6.91,6.64
6.55,6.44,6.70,6.34
6.41,6.61,6.70,6.32
6.55,6.53,6.74,6.47
6.56,6.78,6.79,6.55
6.96,7.19,7.28,6.82
7.29,7.18,7.39,7.15
7.26,7.20,7.30,7.12
7.22,7.15,7.30,6.94
7.11,7.17,7.26,6.90
7.18,7.05,7.29,6.95
6.85,6.80,6.90,6.57
6.52,6.40,6.71,6.26
6.33,6.62,6.85,6.26
6.85,6.58,6.88,6.53
6.52,6.88,6.96,6.25
7.00,7.11,7.14,6.90
7.12,7.18,7.23,6.93
7.07,7.19,7.23,7.07
7.25,7.02,7.31,7.02
7.02,6.99,7.12,6.82
7.03,6.90,7.04,6.80
6.86,6.63,6.87,6.56
6.60,6.71,6.79,6.50
6.76,6.70,6.83,6.68
6.77,6.47,6.79,6.42
6.49,6.51,6.52,6.43
6.45,6.49,6.51,6.44
6.48,6.27,6.60,6.23
6.32,6.50,6.53,6.26
6.37,6.61,6.86,6.37
6.67,6.76,6.81,6.66
6.84,6.81,6.95,6.74
6.81,6.39,6.88,6.30
6.29,6.40,6.61,6.29
6.41,6.53,6.65,6.32
6.51,6.56,6.66,6.48
6.60,6.77,6.81,6.57
6.80,6.85,7.00,6.78
6.62,6.72,6.80,6.43
6.65,6.63,6.73,6.57
6.47,6.59,6.63,6.04
6.59,6.25,6.61,6.22
6.26,6.01,6.30,6.01
6.00,6.20,6.23,6.00
6.22,6.12,6.22,6.04
6.20,6.16,6.25,6.02
6.16,6.08,6.18,5.99
6.15,6.27,6.32,6.15
6.26,6.22,6.28,6.11
6.24,6.18,6.24,6.05
6.12,6.00,6.21,5.97
5.95,5.89,6.00,5.80
5.84,6.08,6.13,5.83
6.11,5.84,6.14,5.80
5.90,5.90,6.01,5.81
5.94,6.13,6.14,5.93
6.14,6.10,6.16,6.10
6.11,5.98,6.11,5.93
6.04,6.03,6.05,5.96
6.06,6.17,6.20,6.05
6.16,6.20,6.25,6.16
6.19,6.26,6.35,6.06
6.30,6.31,6.45,6.22
6.40,6.19,6.40,6.09
6.12,5.97,6.14,5.97
6.02,6.05,6.14,5.99
6.07,6.03,6.12,5.92
6.00,6.04,6.05,5.90
5.97,6.04,6.04,5.85
6.07,6.21,6.24,6.01
6.22,6.18,6.23,6.11
6.23,6.22,6.29,6.18
6.27,6.21,6.28,6.17
6.18,6.39,6.44,6.10
6.40,6.33,6.49,6.29
6.27,6.27,6.28,6.14
6.28,6.06,6.28,6.04
