DGSE,DGSE Companies,NASDAQ
1.40,1.40,1.42,1.33
1.38,1.32,1.38,1.32
1.36,1.31,1.36,1.31
1.34,1.35,1.35,1.34
1.35,1.35,1.35,1.35
1.31,1.31,1.31,1.31
1.33,1.34,1.34,1.31
1.33,1.35,1.35,1.30
1.31,1.31,1.31,1.31
1.31,1.31,1.31,1.31
1.36,1.34,1.40,1.34
1.34,1.34,1.34,1.34
1.35,1.36,1.36,1.35
1.35,1.38,1.40,1.34
1.36,1.39,1.39,1.35
1.40,1.48,1.50,1.36
1.47,1.43,1.47,1.43
1.43,1.43,1.43,1.43
1.42,1.37,1.42,1.37
1.42,1.42,1.50,1.41
1.42,1.42,1.42,1.42
1.42,1.46,1.46,1.42
1.46,1.46,1.46,1.46
1.42,1.45,1.45,1.36
1.51,1.48,1.51,1.48
1.49,1.55,1.55,1.49
1.56,1.58,1.70,1.56
1.69,1.68,1.70,1.67
1.64,1.67,1.70,1.63
1.60,1.72,1.75,1.50
1.65,1.65,1.65,1.63
1.61,1.61,1.66,1.61
1.58,1.60,1.75,1.51
1.60,1.62,1.62,1.60
1.62,1.67,1.70,1.62
1.63,1.65,1.65,1.62
1.65,1.68,1.68,1.63
1.62,1.62,1.62,1.61
1.68,1.85,2.00,1.67
1.85,1.92,1.98,1.85
2.00,2.03,2.19,1.95
2.08,2.01,2.08,2.00
2.14,2.16,2.16,2.04
2.50,2.17,2.56,2.15
2.15,2.20,2.46,2.15
2.29,2.10,2.29,2.10
2.35,2.26,2.35,2.17
2.25,2.25,2.25,2.20
2.25,2.25,2.26,2.25
2.21,2.12,2.22,2.11
1.96,2.03,2.11,1.93
2.00,2.00,2.08,1.89
2.15,2.15,2.19,2.01
2.11,2.08,2.11,1.75
2.02,2.10,2.16,2.02
2.10,2.00,2.10,1.79
2.15,2.06,2.15,2.05
2.06,2.06,2.06,2.06
2.00,2.07,2.07,2.00
1.93,2.10,2.10,1.93
2.15,2.25,2.30,2.15
2.25,2.26,2.30,1.61
2.33,2.55,2.58,2.22
2.60,2.60,2.76,2.48
2.45,2.54,2.55,2.45
2.50,2.29,2.50,2.28
2.35,2.65,2.73,2.32
3.18,2.60,3.18,2.52
2.50,2.58,2.70,2.50
2.55,2.65,2.70,2.43
2.65,2.53,2.70,2.50
2.60,2.58,2.60,2.58
2.58,2.58,2.58,2.58
2.59,2.43,2.59,2.43
2.43,2.38,2.56,2.15
2.48,2.58,2.60,2.48
2.75,2.65,2.75,2.65
2.50,2.39,2.70,2.36
2.47,2.55,2.65,2.47
2.50,2.50,2.50,2.50
2.65,2.60,2.65,2.50
2.60,2.57,2.60,2.57
2.35,2.50,2.50,2.17
2.50,2.50,2.50,2.50
2.36,2.47,2.47,2.36
2.42,2.42,2.44,2.42
2.22,2.45,2.48,2.22
2.30,2.50,2.60,2.30
2.50,2.43,2.50,2.34
2.36,2.50,2.50,2.36
2.40,2.40,2.40,2.40
2.36,2.65,2.65,2.35
2.73,2.75,2.84,2.67
2.84,2.75,3.24,2.70
2.91,2.95,2.95,2.80
3.18,3.09,3.18,2.99
3.00,2.95,3.00,2.85
2.96,2.75,2.96,2.75
2.75,2.68,2.91,2.44
2.53,2.56,2.88,2.36
2.70,2.65,2.82,2.51
2.65,2.51,2.65,2.40
2.39,2.46,2.51,2.39
2.56,2.60,2.70,2.39
2.50,2.77,2.92,2.50
2.30,2.56,2.64,2.27
2.65,2.36,2.85,2.27
2.31,2.57,2.68,2.30
2.60,2.67,2.67,2.60
2.67,2.84,2.97,2.67
2.95,2.98,2.98,2.86
3.10,3.13,3.18,3.00
3.17,3.17,3.17,3.17
3.15,3.05,3.18,3.05
3.14,3.05,3.20,2.95
3.16,3.13,3.16,3.13
3.19,3.10,3.20,3.10
3.20,3.20,3.20,3.20
3.15,3.10,3.15,3.09
3.20,3.20,3.20,3.20
3.20,3.10,3.20,2.93
3.04,3.04,3.04,3.04
3.20,3.20,3.20,3.15
3.12,3.17,3.25,3.12
3.05,3.13,3.20,2.96
3.25,3.15,3.25,3.10
