SLMBP,SLM Corporation - Floating Rate Non-Cumulative Preferred Stock,NASDAQ
39.03,38.97,39.03,38.97
39.50,39.50,39.50,39.50
39.50,39.50,39.50,39.50
40.50,41.20,41.20,40.50
41.20,41.20,41.20,41.20
41.75,41.75,41.75,41.75
41.58,42.50,42.50,41.45
43.76,43.76,43.76,43.76
44.10,43.59,44.10,43.59
43.50,43.50,43.50,43.50
43.50,43.50,43.50,43.50
43.50,43.50,43.50,43.50
43.50,43.50,43.50,43.50
42.72,42.50,42.72,42.48
42.50,41.80,42.50,41.80
43.05,43.56,43.60,43.05
43.60,43.60,43.60,43.60
43.01,43.00,43.01,43.00
42.01,42.80,42.80,42.01
42.33,42.02,42.33,41.94
42.14,41.80,42.14,41.80
41.66,41.66,41.66,41.66
42.25,42.25,42.25,42.25
42.33,42.25,42.33,42.25
42.25,42.25,42.25,42.25
42.25,42.25,42.25,42.25
42.25,42.25,42.25,42.25
42.25,42.25,42.25,42.25
41.00,41.00,41.00,40.98
41.00,41.00,41.00,41.00
41.00,41.00,41.00,41.00
41.50,41.70,41.70,41.50
41.22,41.00,41.22,40.90
40.87,41.00,41.01,40.00
40.83,40.73,40.83,40.73
40.02,40.30,40.30,40.02
40.50,40.63,40.63,40.50
41.74,41.74,41.74,41.74
42.34,41.75,42.34,41.75
41.75,41.75,41.75,41.75
41.00,41.00,41.01,41.00
41.00,41.00,41.00,41.00
41.50,41.99,42.00,41.50
41.99,41.99,41.99,41.99
41.23,41.23,41.23,41.22
41.22,41.22,41.22,41.22
42.00,41.97,42.00,41.75
44.75,45.25,49.75,44.44
43.60,43.60,43.60,43.60
45.00,45.04,45.55,45.00
45.04,45.04,45.04,45.04
45.80,44.20,46.00,44.10
43.60,43.50,43.75,43.50
44.40,43.81,44.48,43.81
43.81,43.81,43.81,43.81
43.81,43.81,43.81,43.81
43.81,43.81,43.81,43.81
45.00,45.00,45.00,45.00
45.00,45.00,45.00,45.00
45.00,45.00,45.00,45.00
45.00,45.00,45.00,45.00
45.00,45.00,45.00,45.00
45.00,46.25,46.25,45.00
46.00,46.25,46.25,46.00
45.00,46.25,46.25,45.00
46.25,46.25,46.25,46.25
46.25,46.25,46.25,46.25
46.25,46.22,46.25,46.22
46.25,46.25,46.25,46.25
46.15,45.11,47.00,45.11
46.23,46.76,46.76,46.23
47.00,47.00,47.70,47.00
47.04,47.55,47.55,47.04
47.26,47.10,47.30,47.10
46.11,46.11,46.11,46.11
47.50,47.50,47.50,47.50
47.50,47.50,47.50,47.50
47.50,47.50,47.50,47.50
47.50,47.50,47.50,47.50
48.00,48.00,48.00,48.00
