VAW,Vanguard Materials ETF - DNQ,NASDAQ
68.73,69.87,69.87,68.66
69.91,70.29,70.31,69.62
70.37,71.28,71.58,70.37
71.07,70.97,71.07,70.30
70.88,71.74,71.75,70.59
72.78,71.50,72.78,71.08
70.60,70.11,70.73,69.38
70.31,70.75,70.78,69.25
70.64,70.09,70.85,69.92
70.08,69.44,70.16,69.15
69.48,70.63,70.63,69.40
69.88,69.54,70.19,68.72
69.55,66.65,69.59,66.65
66.43,65.12,67.14,65.12
65.70,65.62,66.44,65.57
65.08,64.96,66.08,64.57
64.73,64.61,65.07,63.30
65.00,63.30,65.06,62.90
63.65,62.29,64.56,62.12
62.87,64.37,64.43,62.87
64.60,64.94,65.15,64.00
64.57,64.29,65.29,64.09
63.43,61.69,63.47,61.69
61.72,62.66,62.66,60.56
62.67,61.58,63.12,61.58
62.76,63.12,63.69,62.21
63.03,62.89,63.33,61.99
62.81,63.85,63.98,62.50
63.11,64.01,64.14,62.57
64.89,65.62,65.72,64.86
66.07,65.76,66.30,65.35
65.44,66.48,66.60,65.44
66.17,66.83,67.14,66.00
67.11,66.69,67.16,66.36
66.31,65.42,66.70,65.21
65.62,65.52,66.12,65.18
64.53,65.58,65.58,64.01
65.62,65.46,65.70,64.92
65.85,66.67,66.70,65.58
67.25,67.46,67.90,67.21
67.79,68.10,68.82,67.77
68.30,68.27,68.52,67.75
68.71,69.22,69.44,68.70
69.44,69.17,69.64,68.89
68.81,68.92,69.46,68.62
68.94,68.93,69.52,68.48
68.59,69.18,69.20,68.11
69.49,69.68,70.04,69.41
69.60,69.45,69.60,68.94
69.87,70.47,70.48,69.82
70.70,70.97,71.44,70.67
71.12,70.45,71.33,70.31
69.60,69.60,70.78,69.44
68.86,70.50,70.61,68.76
70.66,71.49,71.49,70.28
71.22,71.21,71.63,70.82
71.96,69.75,71.96,69.67
70.11,70.26,70.85,69.77
70.70,70.99,71.34,70.64
71.21,71.09,71.59,70.62
70.87,70.78,71.39,70.65
71.32,71.90,72.04,71.06
72.34,72.95,73.00,72.03
72.66,73.16,73.35,72.63
72.94,72.68,73.37,72.32
72.36,72.84,72.91,71.91
73.11,73.16,73.18,72.69
73.20,72.75,73.28,72.60
72.58,72.63,72.69,72.08
72.94,73.27,73.29,72.80
73.22,73.21,73.52,73.00
73.04,72.02,73.24,71.52
71.60,71.93,72.06,70.72
72.49,72.27,72.72,71.94
72.37,72.30,72.50,71.65
71.72,72.89,72.94,71.08
72.99,73.91,73.91,72.87
74.23,73.86,74.64,73.75
73.55,71.52,73.59,71.36
72.01,72.12,72.46,71.45
72.59,72.90,73.16,72.51
73.12,71.51,73.41,71.51
71.99,71.84,72.05,71.11
70.91,69.24,70.91,68.81
68.31,68.52,69.62,67.71
68.10,66.49,69.29,60.00
66.40,65.48,67.38,64.49
66.48,68.72,68.85,66.48
67.86,68.04,68.98,67.81
68.34,69.57,69.75,68.33
69.54,68.88,70.13,68.64
68.09,67.05,68.25,66.41
67.28,66.88,67.70,65.29
67.51,65.94,68.39,65.78
65.45,65.51,65.91,64.08
63.73,62.44,64.02,62.40
61.52,63.94,64.16,61.20
63.51,63.02,64.23,62.93
61.10,63.70,63.75,60.80
64.40,63.49,65.05,63.28
64.71,66.14,66.14,64.19
66.00,65.12,66.38,64.64
64.47,62.98,65.28,62.87
63.61,64.74,64.74,63.31
64.91,64.34,65.17,63.53
63.34,61.61,63.45,61.50
61.98,60.49,62.01,60.47
60.54,61.61,61.69,60.31
62.09,61.52,63.12,61.31
62.75,63.79,63.82,62.75
62.88,64.75,64.75,62.88
65.44,64.21,65.68,64.13
64.88,65.95,65.98,64.63
65.50,65.78,66.17,65.26
65.95,65.53,65.98,64.74
65.51,65.85,66.15,65.51
66.76,66.01,67.48,65.52
66.01,64.44,66.33,64.40
64.31,64.47,64.84,63.42
64.09,62.80,64.41,62.80
63.01,63.72,64.00,62.60
63.85,63.07,63.85,62.96
