AIII,ACRE Realty Investors,NASDAQ
1.31,1.35,1.35,1.31
1.32,1.34,1.34,1.30
1.31,1.31,1.34,1.28
1.37,1.70,1.70,1.35
1.65,1.57,1.65,1.57
1.62,1.57,1.62,1.57
1.54,1.53,1.54,1.53
1.54,1.60,1.60,1.54
1.53,1.60,1.60,1.52
1.60,1.60,1.60,1.60
1.55,1.60,1.60,1.55
1.60,1.54,1.60,1.52
1.54,1.54,1.54,1.54
1.39,1.39,1.39,1.39
1.57,1.54,1.58,1.53
1.38,1.38,1.38,1.38
1.53,1.56,1.56,1.53
1.53,1.53,1.53,1.51
1.53,1.51,1.53,1.51
1.52,1.57,1.57,1.52
1.52,1.33,1.52,1.16
1.34,1.35,1.40,1.34
1.31,1.31,1.31,1.30
1.28,1.29,1.29,1.28
1.29,1.36,1.37,1.29
1.31,1.31,1.31,1.31
1.32,1.31,1.32,1.31
nan,1.31,nan,nan
1.30,1.30,1.30,1.30
1.30,1.30,1.30,1.30
1.33,1.25,1.33,1.25
1.28,1.25,1.28,1.25
1.25,1.23,1.25,1.22
1.25,1.26,1.27,1.23
1.42,1.28,1.42,1.28
1.27,1.29,1.30,1.27
1.26,1.34,1.34,1.26
1.33,1.35,1.35,1.30
1.33,1.40,1.43,1.33
1.38,1.38,1.38,1.38
1.36,1.36,1.36,1.36
1.35,1.36,1.36,1.35
1.36,1.38,1.38,1.36
1.37,1.43,1.43,1.37
1.40,1.40,1.40,1.37
1.25,1.25,1.25,1.25
1.38,1.38,1.38,1.37
1.37,1.38,1.39,1.37
1.37,1.35,1.39,1.35
1.35,1.30,1.35,1.30
1.34,1.30,1.34,1.27
1.30,1.30,1.30,1.30
1.34,1.34,1.34,1.34
1.32,1.32,1.34,1.32
1.34,1.34,1.35,1.34
1.31,1.30,1.31,1.30
1.30,1.30,1.32,1.30
1.30,1.30,1.31,1.30
1.30,1.30,1.30,1.30
1.30,1.30,1.35,1.30
1.30,1.29,1.30,1.27
1.29,1.38,1.40,1.29
1.40,1.47,1.65,1.37
1.50,1.60,1.65,1.50
1.55,1.45,1.55,1.45
1.56,1.56,1.56,1.56
1.49,1.49,1.49,1.49
1.62,1.46,1.62,1.40
1.52,1.72,1.76,1.52
1.76,1.68,1.78,1.60
1.72,1.73,1.73,1.65
1.65,1.74,1.80,1.65
