GTIM,Good Times Restaurants Inc. - Common Stock,NASDAQ
1.08,1.08,1.08,1.08
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.09,1.09,1.09,1.09
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.09,1.09,1.09,1.09
1.09,1.09,1.09,1.09
1.09,1.09,1.09,1.09
1.14,1.14,1.14,1.14
1.13,1.15,1.15,1.13
1.25,1.25,1.25,1.25
1.28,1.28,1.28,1.28
1.28,1.28,1.28,1.28
1.28,1.28,1.28,1.28
1.22,1.25,1.25,1.18
1.25,1.25,1.25,1.25
1.15,1.24,1.24,1.15
1.20,1.17,1.20,1.17
1.17,1.22,1.22,1.17
1.16,1.13,1.16,1.13
1.12,1.12,1.12,1.12
1.12,1.18,1.19,1.10
1.10,1.08,1.10,1.08
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.13,1.13,1.13,1.13
1.08,1.08,1.08,1.08
1.08,1.08,1.08,1.08
1.08,1.08,1.08,1.08
1.10,1.15,1.15,1.10
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.10,1.21,1.21,0.96
1.07,1.05,1.08,1.00
1.09,1.09,1.09,1.09
1.05,1.05,1.05,1.05
1.05,1.05,1.05,1.05
1.05,1.10,1.10,1.05
1.09,1.09,1.09,1.09
1.05,1.05,1.05,1.05
1.08,1.08,1.08,1.08
1.16,1.04,1.20,1.02
1.15,1.11,1.15,1.11
1.10,1.23,1.25,1.10
1.19,1.19,1.20,1.19
1.06,1.28,1.28,1.06
1.11,1.10,1.11,1.10
1.11,1.11,1.11,1.11
1.19,1.03,1.19,1.03
1.20,1.25,1.25,1.19
1.25,1.32,1.44,1.08
1.18,1.25,1.25,1.15
1.25,1.25,1.25,1.25
1.20,1.20,1.20,1.20
1.20,1.20,1.20,1.20
1.19,1.19,1.19,1.19
1.20,1.16,1.20,1.16
1.08,1.08,1.08,1.08
1.08,1.08,1.08,1.08
1.11,1.11,1.11,1.11
1.14,1.14,1.14,1.14
1.08,1.16,1.16,1.08
1.16,1.16,1.16,1.16
1.08,1.08,1.08,1.08
1.18,1.25,1.25,1.18
1.07,1.25,1.25,1.07
1.25,1.25,1.25,1.25
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.11,1.11,1.11,1.11
1.11,1.07,1.34,1.06
1.06,1.06,1.06,1.06
1.07,1.06,1.07,1.06
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.06,1.18,1.25,1.06
1.18,1.18,1.18,1.18
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.06,1.06,1.06,1.06
1.04,1.03,1.05,1.03
1.03,1.03,1.03,1.03
1.05,1.06,1.06,1.05
1.11,1.11,1.11,1.11
1.03,1.01,1.03,1.01
1.03,1.03,1.03,1.03
1.03,1.03,1.03,1.03
1.01,1.01,1.01,1.01
1.04,1.01,1.04,1.01
1.01,1.01,1.01,1.01
1.10,1.07,1.10,1.01
1.07,1.00,1.07,1.00
1.04,1.16,1.16,1.04
1.16,1.16,1.16,1.16
1.00,0.94,1.00,0.90
1.17,0.99,1.17,0.99
1.07,1.01,1.07,1.01
1.13,1.01,1.13,1.01
0.94,0.94,0.94,0.94
0.94,0.92,0.95,0.92
1.03,0.92,1.03,0.92
1.03,0.99,1.03,0.99
0.95,0.95,0.95,0.95
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.95,0.95,0.95,0.95
0.94,0.95,0.95,0.94
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.92,0.92,0.92,0.92
0.95,1.00,1.00,0.95
0.99,1.00,1.00,0.99
1.00,1.00,1.00,1.00
0.99,1.01,1.01,0.99
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
0.92,1.00,1.00,0.92
0.83,0.88,0.88,0.83
0.95,0.92,1.03,0.88
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.85,0.77,0.85,0.77
0.77,0.77,0.77,0.77
0.77,0.77,0.77,0.77
0.77,0.77,0.77,0.77
0.59,0.53,0.60,0.53
0.60,0.91,1.00,0.60
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.76,0.70,0.76,0.68
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.74,0.74,0.74,0.74
0.85,0.91,0.91,0.80
0.91,0.92,0.92,0.90
0.92,0.92,0.92,0.92
0.70,0.58,0.70,0.55
0.59,0.36,1.00,0.35
0.38,0.30,0.53,0.30
0.33,0.40,0.44,0.33
0.45,0.44,0.45,0.35
0.45,0.40,0.45,0.40
0.43,0.43,0.43,0.43
0.44,0.46,0.48,0.44
0.48,0.59,0.59,0.48
0.60,0.80,0.82,0.60
0.81,0.76,0.82,0.74
0.78,0.82,0.82,0.78
0.74,0.76,0.76,0.70
0.71,0.76,0.76,0.65
0.66,0.74,0.74,0.66
0.65,0.76,0.76,0.65
0.76,0.80,0.80,0.67
0.70,0.91,0.94,0.66
0.86,0.82,0.86,0.82
0.85,0.85,0.85,0.85
0.90,0.94,0.94,0.90
0.94,1.00,1.00,0.92
1.00,0.82,1.00,0.82
0.85,0.75,0.85,0.64
0.75,0.74,0.84,0.70
0.80,0.80,0.80,0.80
0.80,0.81,0.81,0.80
0.86,0.81,0.86,0.81
0.81,0.81,0.81,0.81
0.81,0.81,0.81,0.81
0.81,0.81,0.81,0.81
0.67,0.75,0.75,0.67
0.76,0.75,0.76,0.75
0.72,0.75,0.75,0.72
0.75,0.72,0.75,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.72,0.72,0.72,0.72
0.69,0.77,0.84,0.69
0.77,0.77,0.77,0.77
0.77,0.77,0.77,0.77
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.70,0.70,0.75,0.70
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.71
0.71,0.75,0.75,0.71
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.97,0.74,0.97,0.71
0.70,0.68,0.70,0.68
0.68,0.68,0.68,0.68
0.69,0.70,0.70,0.69
0.70,0.69,0.70,0.63
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.69,0.69,0.69,0.69
0.70,0.70,0.70,0.70
0.70,0.70,0.70,0.70
0.66,0.68,0.68,0.66
0.67,0.70,0.70,0.67
0.70,0.70,0.70,0.70
0.70,0.54,0.70,0.40
0.53,0.53,0.53,0.53
0.53,0.58,0.59,0.53
0.50,0.52,0.68,0.50
0.51,0.56,0.57,0.51
0.56,0.60,0.60,0.55
0.55,0.60,0.60,0.55
0.60,0.60,0.60,0.60
0.63,0.63,0.63,0.63
0.60,0.65,0.65,0.60
0.65,0.65,0.65,0.65
0.60,0.60,0.60,0.60
0.61,0.61,0.67,0.61
0.62,0.62,0.62,0.62
0.61,0.68,0.70,0.61
0.70,0.68,0.70,0.63
2.04,2.04,2.04,2.04
2.07,2.00,2.07,2.00
2.10,2.10,2.12,1.98
2.10,2.10,2.10,2.10
0.86,2.02,2.10,0.86
1.52,2.09,2.99,1.52
1.95,2.68,2.78,1.76
2.26,2.67,2.67,2.25
2.25,2.25,2.25,2.25
2.30,2.05,2.30,1.75
2.00,2.00,2.25,2.00
2.02,2.04,2.04,2.00
2.00,2.30,2.30,1.85
2.30,2.30,2.30,2.30
2.29,2.81,3.00,2.29
2.85,3.00,3.10,2.57
3.00,4.73,4.89,2.83
4.79,3.49,4.79,3.11
3.53,3.32,3.56,3.14
3.14,2.93,3.16,2.78
2.98,3.75,4.05,2.11
3.96,3.55,3.96,3.20
3.50,3.60,3.67,3.50
3.52,3.52,3.53,3.50
3.50,3.33,3.62,3.31
3.43,3.68,3.73,3.43
3.64,3.86,3.96,3.63
3.86,3.86,3.86,3.86
3.80,3.75,3.97,3.69
3.75,3.87,3.87,3.75
3.73,3.68,3.73,3.68
3.98,3.98,3.98,3.98
3.77,3.69,3.77,3.56
3.87,3.59,3.96,3.59
3.66,3.90,3.93,3.66
3.73,2.95,3.73,2.95
3.18,2.95,3.21,2.95
2.95,3.08,3.08,2.90
2.72,2.89,2.89,2.72
2.89,2.95,2.95,2.89
3.10,3.10,3.10,3.10
2.72,2.98,2.98,2.72
2.98,2.98,2.98,2.98
2.98,2.98,2.98,2.98
2.88,2.67,2.88,2.67
2.58,2.40,2.58,2.40
2.48,2.27,2.49,2.18
2.28,2.24,2.43,2.01
2.05,2.27,2.27,2.03
2.27,2.27,2.27,2.27
2.23,2.28,2.28,2.23
2.28,2.28,2.28,2.28
2.07,2.12,2.12,2.06
2.06,2.05,2.06,2.05
2.05,2.05,2.05,2.05
2.05,2.05,2.05,2.05
2.01,1.99,2.01,1.99
1.99,1.99,1.99,1.99
1.95,1.95,1.95,1.95
1.88,1.91,1.91,1.88
1.80,1.80,1.80,1.80
1.99,2.30,2.39,1.99
2.33,2.25,2.39,2.05
2.32,1.96,2.32,1.91
1.95,1.90,1.99,1.90
2.29,2.34,2.39,2.25
2.48,2.44,2.99,2.34
2.45,2.11,2.53,1.95
2.14,2.12,2.20,2.12
2.11,2.26,2.40,2.11
2.20,2.40,2.40,2.20
2.36,2.20,2.51,2.20
2.05,2.11,2.15,2.05
2.06,1.91,2.06,1.86
1.87,1.90,2.11,1.87
1.89,1.80,1.90,1.80
1.80,1.87,1.87,1.78
1.90,1.84,1.90,1.84
1.87,1.80,1.90,1.80
1.80,1.80,1.80,1.80
1.83,1.83,1.83,1.83
1.83,1.83,1.83,1.83
1.86,1.91,1.91,1.86
1.85,1.85,1.85,1.85
1.90,1.98,1.98,1.90
1.99,1.99,1.99,1.99
1.99,1.99,1.99,1.99
1.99,1.99,1.99,1.99
1.85,1.94,1.99,1.85
1.94,1.94,1.94,1.94
2.00,2.00,2.00,2.00
1.83,1.83,1.83,1.83
2.00,1.98,2.00,1.98
1.93,1.93,1.93,1.93
1.95,2.00,2.00,1.81
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.86,1.80,1.86,1.80
1.80,1.78,1.80,1.78
1.80,1.80,1.80,1.80
1.79,1.79,1.79,1.79
1.78,1.78,1.78,1.78
1.75,1.79,1.79,1.74
1.79,1.79,1.79,1.79
1.79,1.79,1.79,1.79
1.79,1.79,1.79,1.79
1.77,1.77,1.77,1.77
1.77,1.77,1.77,1.77
1.85,1.85,1.85,1.85
1.76,1.83,1.83,1.75
1.85,1.71,2.00,1.68
1.71,1.71,1.71,1.71
1.92,1.93,1.93,1.92
1.66,1.74,1.98,1.60
1.92,1.98,1.98,1.92
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.92,1.99,1.99,1.90
1.91,1.81,1.91,1.81
1.81,1.81,1.81,1.81
1.81,1.81,1.81,1.81
1.75,1.67,1.80,1.47
1.67,1.70,1.91,1.52
1.70,1.70,1.70,1.70
1.67,1.64,1.71,1.55
1.64,1.64,1.64,1.64
1.60,1.60,1.72,1.60
1.60,1.60,1.60,1.60
1.62,1.61,1.62,1.61
1.80,1.86,1.97,1.80
1.74,1.88,1.99,1.74
1.88,1.88,1.88,1.88
1.83,1.85,1.86,1.83
1.84,1.68,1.84,1.68
1.78,1.68,1.78,1.68
1.67,1.65,1.67,1.65
1.65,1.65,1.65,1.65
1.65,1.65,1.65,1.65
1.73,1.72,1.73,1.72
1.72,1.72,1.72,1.72
1.63,1.62,1.67,1.49
1.62,1.62,1.62,1.62
1.62,1.62,1.62,1.62
1.59,1.59,1.59,1.59
1.75,1.77,1.77,1.75
1.77,1.77,1.77,1.77
1.77,1.77,1.77,1.77
1.68,1.49,1.68,1.47
1.52,1.48,1.85,1.48
1.48,1.48,1.48,1.48
1.48,1.50,1.50,1.44
1.44,1.44,1.44,1.44
1.85,1.54,1.85,1.45
1.50,1.75,1.75,1.50
1.78,1.72,1.78,1.59
1.71,1.74,1.79,1.50
1.84,1.85,1.85,1.84
1.85,1.85,1.85,1.85
1.56,1.80,1.80,1.56
1.76,1.70,1.78,1.62
1.57,1.50,1.57,1.43
