LLIT,Lianluo Smart Limited - Common Stock,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
10.26,12.58,12.69,10.25
12.40,12.39,13.47,12.11
12.88,11.59,12.88,11.11
11.40,12.00,12.20,10.80
12.00,11.40,12.00,11.33
11.34,10.91,11.50,10.80
11.50,10.60,12.25,10.40
10.77,10.06,10.81,10.06
10.04,8.70,10.19,8.21
8.42,9.02,9.48,8.42
8.80,8.70,8.90,8.26
8.43,8.38,8.70,8.06
8.21,8.11,8.44,8.08
8.10,8.25,8.25,7.91
8.30,8.46,8.46,8.02
8.43,8.25,8.44,8.13
8.47,8.70,9.00,8.31
8.69,8.40,8.70,8.30
8.37,7.20,8.40,7.01
7.50,6.60,7.50,6.50
6.31,7.17,7.25,6.30
7.17,7.19,7.40,6.94
7.39,7.29,7.39,6.98
7.19,6.89,7.37,6.89
7.30,7.20,7.46,7.04
7.46,7.69,7.69,7.46
7.73,7.76,7.88,7.49
7.75,8.00,8.00,7.70
7.95,7.93,8.00,7.71
7.79,7.26,7.79,7.26
7.56,7.57,7.74,7.56
7.74,7.51,7.74,7.49
7.80,7.20,7.80,7.15
7.26,6.85,7.28,6.85
7.10,7.00,7.50,6.90
6.66,7.62,7.79,6.60
7.67,7.15,7.75,7.15
7.50,7.20,7.50,7.15
7.35,6.74,7.35,6.71
7.20,7.02,7.20,7.02
7.14,6.85,7.39,6.85
7.20,6.89,7.20,6.88
6.94,7.00,7.40,6.70
7.01,6.90,7.01,6.80
6.83,6.79,7.07,6.64
6.60,6.60,6.60,6.50
6.70,6.45,6.70,6.32
6.45,6.30,6.45,6.24
6.30,6.30,6.30,6.30
6.20,6.03,6.20,6.00
5.92,5.92,5.92,5.92
5.92,6.00,6.14,5.55
6.15,6.28,6.41,6.15
6.25,5.99,6.25,5.99
6.00,5.97,6.00,5.66
5.99,5.25,5.99,5.18
5.99,5.55,5.99,5.39
5.50,5.48,5.50,5.40
5.32,5.24,5.34,5.24
5.14,4.90,5.14,4.84
4.87,4.75,5.15,4.75
4.95,5.23,5.47,4.86
5.26,5.26,5.26,5.26
5.47,5.15,5.50,5.15
5.00,5.22,5.22,4.92
4.90,5.22,5.25,4.90
4.90,4.75,5.03,4.75
4.90,4.90,4.90,4.90
5.12,5.12,5.12,5.12
4.90,4.80,4.90,4.80
5.01,4.94,5.01,4.90
4.82,4.82,4.84,4.81
5.07,4.80,5.07,4.80
4.80,4.80,4.80,4.80
4.75,4.75,4.75,4.60
4.62,4.62,4.62,4.62
4.63,4.52,4.63,4.52
4.50,4.07,4.50,4.06
4.10,4.00,4.19,4.00
4.02,4.60,4.62,4.02
4.60,4.60,5.15,4.25
4.54,4.44,4.89,4.26
4.35,4.49,4.97,4.26
4.40,4.23,4.40,4.16
4.22,4.06,4.23,4.00
4.06,4.04,4.07,4.04
4.00,3.91,4.02,3.88
3.88,3.87,3.88,3.72
3.91,3.64,3.91,3.62
3.71,3.80,3.81,3.70
3.70,3.56,3.70,3.50
3.56,3.48,3.79,3.48
3.78,3.75,3.79,3.53
3.78,3.72,3.78,3.49
3.51,3.93,3.94,3.41
3.93,4.50,4.50,3.93
4.40,5.06,5.19,4.06
5.23,6.01,6.40,5.23
6.13,7.01,7.29,6.13
7.10,6.83,7.50,6.50
6.54,6.16,6.54,5.21
6.04,5.75,6.04,5.51
5.60,5.44,5.60,5.19
5.60,5.56,5.60,5.44
5.60,5.90,5.90,5.40
5.63,5.65,5.84,5.39
5.50,5.48,5.50,5.34
5.41,5.19,5.45,5.05
5.12,5.17,5.19,4.89
5.17,5.00,5.17,4.73
5.00,5.06,5.10,4.85
4.96,4.90,4.98,4.73
4.90,5.24,5.24,4.84
5.02,5.06,5.25,4.80
5.00,5.01,5.06,4.81
5.02,5.00,5.05,5.00
4.96,5.00,5.00,4.85
4.80,4.86,4.90,4.68
5.00,5.95,5.99,4.99
6.03,6.60,6.90,5.90
6.49,6.30,6.86,6.18
6.23,6.00,6.60,5.77
5.78,5.54,5.90,5.50
5.58,6.09,6.09,5.58
6.25,6.12,6.25,6.01
6.47,6.12,6.47,5.98
6.14,6.25,6.25,5.91
6.25,5.86,6.25,5.80
5.80,6.00,6.10,5.65
6.01,5.61,6.45,5.46
5.66,5.57,5.80,5.41
5.54,5.38,6.01,5.30
5.40,5.78,5.98,5.40
5.85,5.73,5.88,5.50
5.51,5.73,5.75,5.30
5.70,5.46,5.75,5.30
5.31,5.15,5.80,5.08
5.05,4.95,5.42,4.84
5.01,5.60,5.78,5.01
5.70,5.36,5.80,5.17
4.64,5.22,5.72,4.64
5.10,5.32,5.32,5.10
5.33,5.59,5.70,5.31
5.65,6.00,7.50,5.65
5.87,5.50,5.95,5.50
6.15,4.92,6.15,4.80
4.93,5.75,6.29,4.93
5.68,5.53,6.24,5.45
5.50,5.26,5.50,5.10
5.39,5.48,5.62,5.26
5.66,5.42,5.69,5.16
5.13,5.20,5.64,5.11
5.11,5.12,5.57,5.01
5.10,5.35,5.43,5.10
5.35,5.16,5.35,4.95
5.50,5.02,5.50,4.76
5.04,5.03,5.04,4.93
5.00,5.01,5.01,4.77
5.07,4.80,5.07,4.80
5.04,4.90,5.04,4.90
4.84,4.77,4.89,4.75
4.81,4.85,4.90,4.81
4.85,4.80,4.95,4.80
4.91,4.73,4.94,4.53
4.53,4.59,4.63,4.34
4.89,4.83,4.89,4.61
4.85,5.00,5.30,4.85
5.28,5.00,5.28,5.00
5.05,5.04,5.23,5.00
5.05,5.00,5.16,5.00
5.04,5.05,5.19,5.00
5.00,5.01,5.05,4.87
5.01,5.00,5.02,5.00
5.05,4.92,5.19,4.90
5.00,5.12,5.14,5.00
5.10,5.13,5.19,5.10
5.19,5.94,6.00,5.19
6.20,7.10,7.19,6.01
7.20,6.76,7.74,6.39
6.91,6.44,6.98,6.12
6.49,6.32,6.49,6.20
6.35,6.36,6.49,6.32
6.31,5.95,6.31,5.60
5.90,5.83,6.00,5.41
5.80,5.89,6.00,5.64
5.64,5.90,5.90,5.64
5.97,6.06,6.47,5.90
6.18,6.33,6.48,6.07
6.33,6.02,6.33,5.98
5.92,5.82,6.00,5.76
5.78,5.87,6.18,5.78
5.71,5.68,5.80,5.67
5.65,5.62,5.73,5.60
5.55,5.51,5.56,5.48
5.48,5.48,5.54,5.48
5.46,5.72,5.77,5.46
5.77,5.41,5.85,5.41
5.42,5.35,5.51,5.35
5.35,5.20,5.48,5.20
5.14,5.36,5.45,5.14
5.20,5.37,5.40,5.20
5.31,5.42,5.49,5.31
5.44,5.72,5.95,5.34
5.52,5.52,5.70,5.45
5.60,5.52,5.60,5.50
5.41,5.50,5.50,5.40
5.51,5.33,5.52,5.32
5.40,5.32,5.40,5.30
5.32,5.35,5.46,5.32
5.36,5.72,5.87,5.36
5.50,5.54,5.72,5.50
5.39,5.47,5.52,5.38
5.47,5.43,5.60,5.40
5.59,5.47,5.59,5.39
5.47,5.41,5.47,5.39
5.40,5.47,5.60,5.40
5.46,5.40,5.57,5.39
5.37,5.32,5.42,5.32
5.35,5.26,5.35,5.15
5.26,5.50,5.56,5.10
5.75,6.18,6.45,5.75
6.20,5.93,6.44,5.93
5.96,5.55,5.96,5.48
5.55,5.37,5.55,5.25
5.44,5.61,5.68,5.44
5.74,6.08,6.24,5.74
6.06,5.75,6.06,5.51
5.67,5.80,5.89,5.67
5.85,5.63,5.85,5.55
5.61,5.59,5.68,5.51
5.45,5.60,5.74,5.45
5.60,5.55,5.60,5.55
5.37,5.35,5.56,5.26
5.26,5.24,5.47,4.92
5.18,5.11,5.29,4.90
5.06,4.95,5.06,4.93
4.96,4.96,5.10,4.91
4.98,4.99,5.08,4.97
5.04,5.23,5.69,5.04
5.05,5.04,5.10,4.93
5.05,4.83,5.05,4.80
4.81,4.60,4.81,4.45
4.60,4.60,4.60,4.60
4.74,4.88,4.88,4.74
4.84,4.85,4.87,4.65
4.85,4.70,4.87,4.54
4.61,4.40,4.61,4.36
4.42,4.80,4.86,4.42
4.82,4.74,4.88,4.50
4.70,4.60,4.70,4.50
4.58,4.48,4.80,4.46
4.50,4.49,4.50,4.45
4.50,4.45,4.50,4.40
4.60,4.59,4.60,4.59
4.87,4.55,4.88,4.55
4.55,4.48,4.55,4.46
4.47,4.49,4.64,4.47
4.69,4.69,4.70,4.57
4.65,4.68,4.68,4.53
4.68,4.85,5.05,4.55
5.00,5.30,5.30,4.96
4.45,4.26,4.62,3.63
4.55,4.21,4.55,4.06
4.15,4.28,4.35,4.02
4.25,3.98,4.25,3.80
3.98,4.00,4.28,3.80
3.87,3.81,4.09,3.75
3.81,3.41,3.81,3.23
3.45,3.35,3.45,3.28
3.39,3.51,3.85,3.28
3.49,3.49,3.56,3.40
3.50,3.50,3.55,3.50
3.56,3.66,3.74,3.30
3.64,3.47,3.66,3.44
3.55,3.40,3.55,3.25
3.36,3.75,3.85,3.26
3.77,3.44,3.81,3.36
3.33,3.59,3.60,3.32
3.58,3.32,3.58,3.25
3.34,2.95,3.34,2.90
3.00,3.09,3.25,3.00
2.89,3.00,3.02,2.89
3.00,2.95,3.00,2.90
2.93,2.87,2.93,2.83
2.82,2.62,2.88,2.38
