MOG.B,Moog Inc. Class B Common Stock,NASDAQ
30.34,30.34,30.34,30.34
29.39,31.20,31.20,29.39
31.72,32.59,32.59,31.72
32.76,32.60,32.81,32.45
32.60,32.60,32.60,32.60
32.80,32.80,32.80,32.78
28.98,28.98,28.98,28.98
32.72,32.72,32.72,32.72
33.00,33.72,33.72,33.00
33.43,32.80,33.43,32.80
33.42,33.42,33.42,33.42
32.80,32.42,32.80,32.42
32.33,32.50,32.50,32.33
31.90,32.25,32.25,31.90
31.98,32.12,32.12,31.61
31.38,31.38,31.38,31.38
30.26,30.26,30.26,30.26
31.49,30.97,31.49,30.62
30.66,30.60,30.66,30.46
28.43,28.43,28.43,28.43
30.30,31.01,31.01,30.30
31.59,31.47,31.59,31.47
31.17,30.53,31.17,30.53
29.95,30.31,30.31,29.71
30.08,29.62,30.08,29.62
30.01,30.04,30.05,30.01
30.65,30.97,30.97,30.65
31.17,32.17,32.17,31.17
31.83,31.83,31.83,31.83
31.89,32.10,32.10,31.89
32.52,32.76,32.76,32.52
31.48,31.48,31.48,31.48
32.69,33.77,34.11,32.69
33.69,33.82,33.84,33.69
33.99,33.91,33.99,33.76
32.56,32.56,32.56,32.56
32.15,32.15,32.15,32.15
30.87,30.87,30.87,30.87
34.46,34.43,34.67,34.43
33.72,33.72,33.72,33.72
31.27,31.27,31.27,31.27
35.06,35.06,35.06,35.06
35.69,35.69,35.69,35.69
36.31,36.10,36.31,36.00
35.18,35.18,35.18,35.18
36.60,36.83,36.83,36.60
35.98,35.98,35.98,35.98
33.04,33.04,33.04,33.04
35.76,35.76,35.76,35.76
36.54,36.54,36.54,36.54
37.04,37.04,37.04,37.04
37.20,37.05,37.20,37.05
36.55,36.18,36.55,36.18
36.35,37.25,37.25,36.35
37.40,37.39,37.40,37.13
37.39,37.30,38.00,37.00
37.30,37.64,37.99,37.30
37.10,37.00,37.10,37.00
37.06,37.06,37.06,37.06
36.55,36.45,36.55,36.09
36.10,35.50,36.30,35.50
35.76,35.65,36.00,35.31
36.00,36.00,36.00,36.00
35.53,35.53,35.53,35.53
35.16,35.60,35.80,35.16
35.40,35.87,35.87,35.40
33.91,33.91,33.91,33.91
35.89,36.10,36.10,35.89
36.18,37.04,37.04,36.18
37.44,37.90,37.90,37.44
38.14,37.95,38.19,37.95
38.01,38.02,38.25,37.80
37.51,37.83,37.84,37.33
37.97,38.20,38.20,37.80
38.60,38.60,38.60,38.60
38.20,38.85,38.85,37.65
39.10,39.25,39.25,39.10
39.50,39.14,39.70,39.12
39.23,38.18,39.23,38.18
38.18,38.04,38.40,37.74
37.87,39.50,39.50,37.87
39.19,37.41,39.19,37.41
37.50,39.00,39.00,37.50
38.90,37.19,38.90,37.00
37.49,36.80,37.56,36.55
36.31,34.99,36.31,32.83
34.50,33.40,34.50,33.20
34.19,35.80,35.80,34.19
32.50,32.50,32.50,32.50
36.59,36.59,36.59,36.59
37.00,36.90,37.00,36.80
36.05,35.84,36.31,35.60
36.50,35.71,36.50,35.10
35.99,35.17,35.99,35.17
34.38,34.50,34.50,34.10
33.71,32.80,33.71,32.40
31.80,32.90,32.90,31.80
32.70,32.35,32.76,32.35
31.56,31.76,31.84,30.90
32.24,32.24,32.24,32.24
33.00,33.00,33.00,33.00
33.06,33.55,33.55,33.06
32.75,32.78,33.00,32.31
32.10,32.75,32.75,32.10
33.50,33.01,33.50,33.01
32.22,31.01,32.22,31.01
31.10,30.53,31.10,30.51
30.80,31.00,31.00,30.80
31.18,31.40,31.40,31.18
31.98,31.90,31.98,31.90
32.90,32.12,32.90,32.12
32.89,32.90,33.53,32.89
32.99,33.61,33.61,32.71
32.05,32.05,32.05,32.05
30.60,30.60,30.60,30.60
33.61,33.56,33.61,33.56
