VGT,Vanguard Information Tech ETF - DNQ,NASDAQ
55.55,55.80,55.94,55.48
55.81,55.74,55.88,55.41
55.76,55.35,55.86,55.23
55.29,55.14,55.33,54.90
54.97,55.57,55.57,54.90
55.71,55.33,55.79,55.03
54.96,54.60,55.12,54.39
54.84,55.20,55.32,54.36
55.12,55.55,55.68,55.02
55.48,54.86,55.68,54.59
54.89,55.62,55.62,54.88
55.26,54.90,55.26,54.28
55.10,54.36,55.38,54.15
54.12,52.32,54.13,52.22
52.75,52.65,52.98,52.36
52.55,52.65,53.26,52.35
52.50,52.96,53.10,52.13
52.78,51.54,52.83,51.12
51.86,50.38,52.00,50.15
50.61,51.19,51.19,50.53
51.26,51.63,51.74,50.94
51.34,51.78,51.88,51.28
51.36,50.26,51.50,50.23
50.33,50.73,50.79,49.80
50.76,50.47,51.11,50.47
51.06,51.02,51.42,50.61
51.00,50.91,51.21,50.54
50.87,51.58,51.68,50.62
51.08,51.70,51.75,50.84
52.00,52.44,52.51,51.85
52.73,52.68,52.74,52.44
52.60,53.14,53.19,52.54
52.90,53.08,53.29,52.79
53.28,52.97,53.29,52.82
52.82,52.26,52.90,51.96
52.48,52.75,52.93,52.48
52.02,52.59,52.64,51.68
52.62,52.65,52.77,52.36
52.88,53.50,53.51,52.83
53.69,53.48,53.85,53.36
53.62,53.51,53.83,53.35
53.61,53.76,53.79,53.22
54.15,54.44,54.61,54.00
54.53,54.69,54.79,54.53
54.48,54.90,55.27,54.48
54.98,55.35,55.42,54.90
55.22,55.51,55.53,55.07
55.69,55.51,55.69,55.31
55.38,55.33,55.45,54.94
55.51,55.74,55.80,55.29
55.88,56.06,56.38,55.82
56.06,56.06,56.20,55.92
55.56,55.56,56.18,55.37
55.27,56.08,56.26,55.21
56.18,56.65,56.66,56.00
56.42,56.21,56.47,56.19
56.64,56.30,57.11,56.27
56.52,56.25,56.60,55.97
56.47,56.22,56.60,56.14
56.44,56.52,56.66,56.11
56.24,56.18,56.57,56.10
56.50,56.17,56.81,55.75
56.35,56.94,56.95,56.25
56.73,57.01,57.20,56.56
56.89,56.87,57.16,56.58
56.75,56.88,56.98,56.32
56.99,57.32,57.35,56.80
57.42,57.55,57.72,57.30
57.50,57.73,57.79,57.30
58.26,58.76,58.89,58.19
58.69,59.05,59.13,58.69
58.88,58.31,58.98,58.00
58.24,58.26,58.44,57.50
58.60,58.64,58.75,58.18
59.05,58.87,59.14,58.53
58.32,59.09,59.11,57.83
59.12,59.33,59.50,58.83
59.40,59.25,59.57,59.25
59.00,58.02,59.30,57.90
58.39,58.17,58.39,57.60
58.41,58.72,58.81,58.25
58.79,57.42,58.79,57.36
57.55,58.21,58.36,57.55
57.43,56.46,57.52,56.05
55.87,56.07,56.50,55.59
55.78,54.07,56.20,44.46
53.86,52.95,54.40,51.72
55.01,55.52,56.50,53.95
55.06,55.33,56.23,54.85
55.70,56.69,56.74,55.58
56.60,55.96,57.04,55.83
55.53,54.72,55.57,54.10
55.01,54.84,55.13,53.78
55.47,53.99,55.59,53.76
53.86,53.64,54.31,53.05
52.50,51.69,52.81,51.55
50.80,52.24,52.58,50.50
52.36,51.90,52.71,51.90
50.52,51.80,51.81,50.15
52.18,51.44,52.95,51.25
52.41,53.34,53.34,52.41
53.37,52.83,53.37,52.39
52.36,52.02,53.31,52.01
52.40,53.32,53.32,52.01
53.47,53.99,54.08,53.27
53.01,52.10,53.48,51.88
52.21,51.03,52.47,50.98
51.08,51.06,51.23,50.28
51.46,50.68,51.94,50.53
51.43,52.02,52.08,51.27
51.64,52.64,52.70,51.50
53.19,52.51,53.39,52.48
52.75,54.10,54.15,52.75
53.91,54.20,54.40,53.70
54.48,54.37,54.51,53.90
54.53,54.44,54.77,54.26
55.12,54.01,55.12,53.74
54.13,53.42,54.60,53.40
53.48,53.20,53.66,52.79
52.97,52.21,53.11,52.10
52.46,52.26,52.68,51.86
52.26,52.28,52.61,51.92
51.51,50.18,51.52,49.87
50.16,49.46,50.54,49.31
49.50,49.24,49.79,48.38
49.22,49.13,49.50,48.73
49.99,49.36,50.27,48.98
49.54,51.22,51.24,49.54
51.83,51.49,51.83,50.93
51.49,51.84,51.87,51.38
51.74,52.17,52.39,51.74
52.73,53.05,53.22,52.32
53.14,53.46,53.78,53.10
53.47,53.42,53.54,52.61
53.17,51.81,53.17,51.78
52.00,52.39,52.49,51.75
51.36,52.79,52.79,51.13
53.16,51.98,53.16,51.88
52.76,53.44,53.61,52.60
53.29,53.93,53.93,53.07
54.01,54.34,54.38,53.71
54.66,54.38,54.67,54.13
54.27,53.76,54.44,53.58
54.02,53.22,54.04,52.75
52.72,53.02,53.31,52.41
53.67,54.05,54.21,53.42
53.90,53.78,54.00,53.58
54.01,54.24,54.27,53.58
53.97,53.95,54.07,53.60
53.44,53.81,53.89,53.10
53.92,54.13,54.26,53.75
53.81,53.38,53.81,53.06
52.51,51.94,52.52,51.74
50.80,51.07,51.27,50.61
50.85,50.73,51.10,50.73
50.48,50.94,51.25,50.35
51.36,51.60,52.01,51.30
51.48,51.82,52.07,51.36
51.68,51.17,51.80,50.90
51.03,51.13,51.27,50.77
51.43,50.63,51.56,50.63
50.07,49.82,50.38,49.70
49.49,50.15,50.36,49.38
50.26,49.66,50.53,49.60
50.02,50.36,50.43,48.74
50.21,49.70,50.49,49.70
49.51,49.35,49.78,49.13
50.04,50.76,50.91,50.03
50.85,51.28,51.28,50.72
51.78,52.13,52.17,51.64
51.94,51.63,52.15,51.58
51.71,51.84,52.00,51.57
52.33,51.93,52.39,51.86
52.04,51.91,52.04,51.60
52.39,53.04,53.14,52.39
52.97,53.30,53.71,52.79
53.18,53.56,53.69,53.09
53.51,53.91,53.93,53.47
54.30,54.13,54.34,53.86
54.31,54.99,55.10,54.24
55.06,54.87,55.36,54.77
54.71,54.60,54.95,54.25
54.22,54.57,55.13,54.12
55.17,55.76,55.80,55.17
55.78,55.71,56.10,55.60
55.83,55.82,55.94,54.90
55.66,55.87,56.06,55.65
56.14,55.60,56.45,55.27
56.01,55.60,56.09,55.37
55.44,54.96,55.55,54.62
55.52,56.13,56.28,55.40
56.03,55.70,56.27,55.31
55.92,55.84,55.98,55.44
55.90,56.21,56.36,55.50
56.32,56.27,56.58,56.15
56.20,56.68,56.81,55.76
57.13,57.23,57.51,56.88
57.35,57.24,57.50,56.96
57.94,58.25,58.29,57.52
58.33,58.42,58.57,58.06
57.54,57.50,58.06,57.10
57.66,57.91,58.30,57.55
58.21,57.98,58.43,57.43
58.04,58.41,58.44,57.90
58.68,58.69,59.07,58.61
58.41,58.74,58.83,58.10
58.46,59.10,59.12,58.42
59.36,59.07,59.36,58.65
59.14,59.16,59.47,59.14
