DO,Diamond Offshore Drilling,NASDAQ
100.01,101.17,101.43,100.01
101.27,102.03,103.10,101.23
102.03,104.90,105.25,101.28
104.38,104.50,104.94,103.07
104.19,106.34,106.66,103.40
107.12,104.24,107.12,103.06
102.97,103.01,103.98,101.81
102.79,103.90,104.23,101.21
103.91,103.90,104.57,102.53
104.14,102.84,104.37,102.01
101.98,103.52,103.62,101.98
102.00,101.11,102.00,99.96
101.29,98.05,101.89,97.75
97.68,94.38,98.76,93.92
95.04,96.05,97.15,94.75
95.58,95.12,97.89,94.42
94.94,95.10,96.13,92.79
96.39,93.80,97.06,92.81
94.54,91.53,95.82,90.96
91.96,94.89,94.96,91.96
95.13,96.36,97.00,94.81
95.92,95.78,96.90,95.02
94.26,89.79,94.81,89.50
89.61,88.46,90.22,85.84
88.65,88.24,89.98,87.16
89.04,90.00,91.34,88.87
87.32,86.37,89.50,85.89
86.31,86.96,87.35,84.46
85.93,85.29,85.98,84.14
87.00,87.73,88.00,86.37
88.01,87.82,88.63,86.22
87.27,88.09,88.62,86.88
88.22,89.12,89.69,87.55
90.06,88.41,90.17,87.52
87.91,86.94,88.11,86.50
86.42,87.35,88.56,86.27
86.35,87.31,87.55,85.40
86.98,87.32,87.57,86.32
87.93,87.58,88.62,87.08
87.57,87.24,88.15,86.04
87.70,87.91,88.48,87.24
88.10,87.09,88.23,86.56
87.80,87.93,88.19,86.90
88.25,88.50,88.83,87.54
88.08,88.76,89.29,87.85
88.48,89.38,90.18,88.19
89.02,89.58,89.78,88.51
90.14,89.56,90.53,89.24
89.42,87.61,89.42,86.73
88.01,88.32,88.53,87.00
87.49,87.37,88.59,87.10
87.26,85.07,87.56,84.42
84.41,84.41,85.85,83.37
83.76,84.62,84.94,83.18
84.97,85.15,85.78,84.22
84.36,84.52,85.89,84.26
85.25,83.23,85.75,83.23
83.60,84.68,85.32,83.21
85.61,85.82,86.73,85.61
86.02,85.41,86.71,85.15
86.50,88.81,89.10,86.20
90.04,91.01,91.69,89.76
92.62,92.22,92.62,91.30
91.58,91.94,92.59,91.14
91.97,90.45,91.97,90.21
89.69,90.38,90.64,89.20
90.42,90.72,91.37,89.80
90.60,91.33,91.80,90.60
91.25,90.96,91.55,89.67
91.60,93.01,93.42,91.01
93.01,91.54,93.41,91.42
90.40,87.21,90.40,86.01
86.71,87.79,88.33,86.60
89.30,91.20,91.92,88.86
91.32,90.30,91.69,89.62
86.10,85.43,86.80,84.70
85.19,85.60,86.08,84.61
85.84,85.18,86.00,84.81
84.91,84.52,85.93,83.91
85.18,85.94,86.08,83.68
84.88,82.74,85.26,81.82
82.25,79.10,83.00,77.46
79.09,78.69,79.67,75.40
77.88,77.24,77.88,76.17
76.18,77.35,78.48,75.37
77.14,73.92,78.01,69.50
73.75,72.90,75.00,71.37
74.88,75.42,75.93,74.04
74.04,75.07,76.29,74.04
75.79,75.44,76.44,74.21
75.22,72.14,75.49,71.90
71.72,71.67,71.90,69.69
71.91,71.50,72.47,70.19
72.59,70.10,73.71,69.70
69.72,69.01,70.86,67.67
67.73,67.90,69.60,65.40
67.09,70.55,72.31,66.99
70.92,67.74,70.98,67.53
66.21,69.30,69.60,66.12
70.13,68.55,70.29,68.33
69.91,68.08,70.91,67.01
66.49,63.10,66.91,63.00
61.36,58.51,61.36,57.10
59.70,60.14,61.25,58.31
61.06,60.49,61.06,58.42
59.17,59.15,62.55,58.94
59.37,59.21,60.23,58.74
56.57,56.94,57.80,54.70
57.58,57.10,61.00,56.95
59.94,61.35,61.74,59.33
61.04,60.99,62.36,59.89
62.45,60.25,62.74,60.13
61.01,63.15,63.36,60.71
62.80,62.83,64.86,62.15
63.83,62.79,63.89,62.06
62.78,63.87,64.00,62.48
65.15,64.74,65.31,63.86
64.59,62.85,68.65,62.36
63.00,62.62,63.33,61.20
62.70,59.85,62.70,59.71
59.70,61.72,62.53,59.57
62.00,60.44,62.17,60.28
59.52,60.16,60.75,58.85
60.42,62.19,63.66,59.92
62.93,63.84,64.89,61.86
63.85,63.49,65.75,63.18
65.57,62.90,65.81,61.81
63.45,64.26,64.37,62.28
64.98,65.26,65.41,63.02
65.61,64.40,66.00,63.50
64.41,64.09,65.50,63.50
65.08,65.33,65.64,63.71
65.35,65.91,67.03,64.71
65.97,65.91,66.51,64.12
65.09,62.55,65.09,62.48
63.21,63.19,63.92,62.32
62.03,65.02,65.38,61.82
65.50,64.14,65.68,63.49
63.00,62.31,63.42,61.06
61.81,61.66,61.81,60.45
62.11,62.83,62.89,61.64
63.19,62.83,63.50,60.91
62.43,61.22,62.98,61.06
60.73,59.81,61.72,59.29
59.38,59.49,59.89,58.75
60.34,61.68,62.30,60.13
61.52,63.34,63.47,60.83
63.50,67.28,67.80,63.50
67.29,67.49,67.98,66.30
66.50,66.43,67.19,65.61
67.13,65.65,67.13,65.38
64.63,64.83,65.08,63.80
63.93,62.26,63.93,61.65
61.25,61.02,62.14,60.78
60.94,60.51,61.78,60.45
60.38,61.37,61.38,59.79
62.35,62.19,63.32,61.45
62.46,61.23,62.46,60.85
61.16,60.13,61.37,59.75
59.99,59.03,59.99,58.30
59.28,59.08,60.00,58.94
58.00,59.81,61.19,57.76
59.59,59.27,59.74,58.50
59.55,58.42,60.14,58.33
58.72,60.00,60.11,58.18
59.54,59.50,60.75,59.35
59.25,58.18,59.87,57.96
59.31,60.91,61.69,59.13
60.96,60.81,61.50,59.40
61.41,60.48,61.67,60.10
60.10,60.41,61.01,59.80
60.26,61.01,61.53,60.26
61.63,60.36,61.73,60.10
60.91,62.26,62.82,60.79
63.21,63.15,63.94,62.77
63.28,63.76,64.06,62.02
63.33,62.20,63.59,61.32
61.49,61.51,62.45,61.08
61.47,61.90,62.32,61.00
62.32,63.13,63.66,61.53
62.97,62.33,63.36,62.06
62.66,63.06,63.29,62.09
62.19,61.89,62.82,61.56
62.44,62.82,63.34,62.20
63.00,64.77,65.48,62.94
65.10,66.63,66.91,64.00
66.79,68.88,69.70,66.60
69.42,67.77,70.44,66.63
68.91,66.66,69.32,66.21
66.55,65.26,67.05,64.91
66.23,66.87,67.57,66.00
67.17,66.80,67.50,66.53
67.56,66.02,67.75,65.30
65.99,67.13,67.80,65.72
67.24,66.68,67.80,66.30
66.45,69.37,69.72,66.14
70.15,70.94,71.21,69.31
71.13,71.71,72.65,70.61
72.14,71.65,72.19,70.11
71.47,72.00,72.91,71.23
70.85,68.66,70.85,68.55
69.10,68.87,70.08,68.01
71.74,68.63,71.74,67.29
70.31,69.51,70.64,69.30
70.75,69.50,70.79,69.42
68.93,68.77,69.29,68.46
68.27,67.80,68.72,67.26
67.46,66.30,67.96,65.73
66.27,66.16,66.45,65.32
67.33,66.85,67.95,66.12
67.43,67.81,67.94,66.89
68.19,68.64,68.65,67.35
69.77,69.73,70.00,68.82
69.83,69.80,70.00,69.05
69.51,72.29,72.53,69.51
73.35,73.06,76.39,72.39
73.29,74.12,74.26,71.70
73.13,72.24,73.74,71.89
71.19,70.47,72.23,69.79
71.11,68.75,71.15,68.31
68.23,67.95,68.75,66.62
67.61,68.06,68.66,67.23
69.00,68.34,69.11,68.03
67.78,68.93,68.99,67.78
68.61,67.53,68.63,66.56
66.69,65.85,66.75,65.52
66.16,65.73,66.45,65.46
65.46,65.24,66.40,65.02
64.97,66.11,66.42,64.17
64.99,64.76,66.49,63.37
65.76,65.91,66.20,65.16
66.00,66.75,67.34,65.90
66.60,66.23,66.86,65.77
66.10,65.72,66.36,65.61
66.71,64.74,66.87,64.52
64.82,65.37,65.43,63.87
65.92,65.22,66.15,64.57
65.49,65.49,65.69,64.66
66.03,65.60,66.24,65.49
65.76,64.84,66.44,64.73
64.86,63.39,65.70,63.12
62.99,63.76,64.19,62.90
63.90,64.00,64.79,63.56
64.06,64.06,64.30,63.41
64.32,64.18,64.95,64.17
64.20,64.91,65.26,64.01
64.72,65.02,65.20,64.39
64.82,64.15,64.85,64.00
64.43,64.24,64.59,64.11
64.26,66.05,66.24,64.26
66.11,65.93,66.50,65.27
65.95,66.87,67.03,65.71
68.00,65.69,68.21,65.50
65.99,64.74,66.09,64.50
64.67,68.14,68.23,63.97
68.36,67.29,69.39,67.01
70.08,70.57,70.85,69.43
70.91,69.33,71.40,69.14
70.23,70.30,70.60,69.75
71.90,71.65,72.41,70.66
71.86,72.14,72.78,70.95
71.95,74.90,74.91,71.94
74.80,75.01,75.29,73.81
75.09,73.94,75.24,73.76
73.47,74.49,74.85,72.11
75.23,73.37,75.70,73.04
72.50,72.38,73.81,71.43
72.27,72.32,72.46,71.03
72.76,73.96,74.75,72.44
73.61,72.00,74.06,71.33
72.11,70.19,72.60,70.06
70.30,71.71,72.51,69.38
72.20,71.25,72.24,70.84
71.03,72.35,72.62,70.72
73.15,72.90,74.15,71.65
72.31,71.67,72.49,71.05
72.49,72.12,72.90,71.75
71.96,71.82,72.04,70.58
70.92,69.39,71.52,68.87
69.03,70.25,70.74,68.94
69.99,69.91,70.28,68.90
69.83,73.09,73.10,69.83
73.81,72.38,73.93,71.70
72.78,73.83,74.74,72.56
73.98,75.97,76.27,73.19
75.93,75.62,76.43,74.85
76.48,74.54,76.92,73.96
74.80,76.03,77.17,74.59
76.35,76.32,78.19,75.91
77.00,77.60,77.70,76.01
77.41,78.23,78.57,76.06
78.61,77.00,80.15,76.80
76.67,78.96,79.39,76.42
79.05,78.44,79.40,77.22
78.56,78.73,78.90,77.83
78.94,76.83,79.45,76.59
77.18,75.87,77.18,75.35
