SFBC,Sound Financial Bancorp,NASDAQ
4.75,4.75,4.75,4.75
4.75,4.75,4.75,4.75
4.25,4.12,4.25,4.12
4.12,4.12,4.12,4.12
4.12,4.12,4.12,4.12
4.12,4.12,4.12,4.12
4.95,5.10,5.10,4.95
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
5.10,5.10,5.10,5.10
4.15,4.00,4.15,4.00
4.05,4.05,4.05,4.05
4.05,4.05,4.05,4.05
4.10,3.85,4.10,3.85
3.85,3.85,3.85,3.85
3.85,3.85,3.85,3.85
4.50,4.25,4.55,3.85
4.25,4.25,4.25,4.25
3.85,3.85,3.85,3.85
3.85,3.85,3.85,3.85
3.85,3.85,3.85,3.85
3.85,3.85,3.85,3.85
4.00,3.95,4.00,3.95
3.95,3.95,3.95,3.95
4.00,4.00,4.00,4.00
4.05,4.01,4.05,4.01
4.01,4.01,4.01,4.01
4.02,3.98,4.02,3.98
3.96,3.98,3.98,3.96
3.98,3.98,3.98,3.98
3.98,3.98,3.98,3.98
4.00,4.00,4.00,4.00
4.00,4.05,4.05,4.00
4.10,4.10,4.10,4.10
4.10,4.10,4.10,4.10
4.11,4.11,4.11,4.11
4.11,4.11,4.11,4.11
4.11,4.11,4.11,4.11
4.11,4.11,4.11,4.11
4.11,4.11,4.11,4.11
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.70,4.70,4.70,4.70
4.80,4.80,4.80,4.80
4.50,4.50,4.50,4.50
4.50,4.50,4.50,4.50
4.95,4.95,4.95,4.95
4.95,4.95,4.95,4.95
5.00,5.00,5.00,5.00
5.20,5.45,5.45,5.20
5.50,6.40,6.40,5.50
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.00,6.00,6.00,6.00
6.40,6.95,6.95,6.40
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
7.00,7.00,7.00,7.00
6.50,5.05,6.50,5.05
5.05,5.05,5.05,5.05
5.05,5.05,5.05,5.05
5.05,5.05,5.05,5.05
