LH,Laboratory Corporation of America Holdings Common Stock,NASDAQ
75.47,76.37,76.50,74.83
76.06,75.44,76.37,75.35
75.34,74.19,75.80,73.81
73.81,74.17,74.25,73.38
74.15,74.06,74.42,73.82
74.60,74.89,75.23,74.37
74.76,73.81,75.22,73.72
74.08,75.36,75.57,74.08
75.47,76.92,77.00,75.15
76.91,75.75,76.97,75.43
75.92,76.57,77.00,75.92
76.38,75.78,77.09,75.50
76.06,74.60,76.09,74.10
74.62,72.27,74.63,72.06
72.34,73.05,73.13,70.20
72.49,73.18,73.74,72.49
72.93,72.19,73.37,71.85
72.47,71.04,72.74,70.90
71.16,71.10,71.87,70.32
71.72,71.60,71.83,70.87
71.66,72.60,72.69,71.40
72.34,71.80,72.37,71.58
71.21,70.54,71.80,70.46
70.44,70.64,70.71,69.61
70.59,70.14,70.83,69.98
70.52,70.15,70.97,70.00
69.92,70.97,71.17,69.63
69.80,71.56,71.64,69.49
71.34,71.76,71.84,70.58
72.37,72.43,72.44,71.53
72.49,73.15,73.50,72.49
73.18,73.12,73.32,72.78
73.00,73.98,74.10,72.79
74.17,73.97,74.47,73.67
73.69,73.40,74.16,73.17
73.70,73.50,73.81,73.24
73.24,73.13,73.25,72.47
73.14,73.31,73.86,73.08
73.37,74.19,74.23,73.25
74.37,74.65,75.08,74.33
74.46,73.28,74.51,72.87
73.42,72.59,73.69,72.19
72.79,72.45,72.93,72.07
72.24,72.04,72.35,71.86
71.93,71.89,72.13,71.65
71.87,72.32,72.63,71.62
72.26,73.78,73.80,72.09
73.69,73.70,74.27,73.50
73.70,74.67,74.67,73.54
74.63,75.00,75.10,74.19
75.11,75.71,76.00,75.00
76.01,76.17,76.25,75.47
75.51,75.51,76.15,75.17
75.43,76.26,76.43,75.32
75.06,74.33,75.40,74.05
74.26,73.98,74.67,73.77
73.99,74.90,75.07,73.82
75.99,75.58,75.99,74.78
75.78,75.81,75.88,75.47
75.75,75.95,75.96,75.65
75.69,75.71,76.03,75.19
76.04,77.17,77.22,76.04
77.46,76.89,77.50,76.82
77.12,77.15,77.47,76.92
77.25,76.46,77.48,76.13
76.49,76.13,76.56,75.92
76.03,76.16,76.25,75.72
76.09,76.67,76.67,75.95
76.45,76.44,76.58,75.84
76.47,76.26,76.47,75.69
75.86,77.75,77.94,75.86
77.16,76.98,77.96,76.77
75.14,79.33,80.82,75.14
79.71,80.24,80.24,78.84
79.42,81.00,83.00,78.93
80.32,80.69,81.04,79.44
80.44,79.99,80.60,79.30
80.11,78.91,80.11,78.83
78.23,77.42,78.96,77.28
77.47,78.13,78.27,76.90
78.69,78.83,78.99,78.32
78.96,78.57,79.17,78.53
78.58,78.56,79.06,78.23
77.90,77.83,78.23,77.39
77.71,77.67,78.56,77.56
77.56,76.26,78.25,73.12
76.06,75.23,76.66,74.98
77.73,76.86,77.73,76.20
76.38,76.94,77.33,75.89
77.15,77.19,77.39,76.68
77.03,77.80,77.87,76.69
77.25,77.47,77.63,76.62
77.34,77.52,77.92,76.75
77.77,76.93,78.42,76.64
76.81,77.71,77.84,76.59
76.51,75.98,76.82,75.74
75.14,76.00,76.17,75.01
75.75,75.40,76.11,75.19
74.35,75.46,75.54,73.90
75.53,74.99,76.04,74.93
75.94,76.41,76.46,75.77
76.19,75.61,76.29,75.48
75.06,75.00,75.95,74.80
75.35,76.58,76.64,74.96
76.83,76.87,77.64,76.58
75.90,75.05,76.51,74.80
75.35,75.00,76.12,74.93
75.10,75.46,75.55,74.72
75.65,75.57,76.41,75.43
76.45,77.47,77.58,76.45
77.24,78.24,78.36,76.94
78.32,78.81,79.31,78.32
79.24,79.60,79.79,78.89
79.01,80.39,80.53,79.01
80.50,80.40,80.59,79.98
80.52,80.25,80.52,79.84
80.50,80.22,80.94,80.00
80.43,78.95,80.85,78.86
78.72,78.41,79.32,78.05
78.03,77.05,78.51,76.97
76.28,77.19,77.87,76.28
77.55,78.00,78.35,77.25
77.07,76.52,77.40,76.17
76.04,75.35,76.76,75.28
75.31,75.42,75.62,73.60
75.78,74.50,75.78,74.13
75.42,74.20,75.42,73.67
74.45,74.99,75.03,73.82
75.40,75.62,75.84,75.24
75.39,74.33,75.48,74.01
74.10,74.87,74.94,74.01
75.41,75.84,75.94,74.89
75.44,76.29,76.56,75.30
76.28,76.58,76.89,75.91
76.06,75.03,76.58,74.99
75.41,75.27,75.59,74.83
74.69,76.80,77.03,74.50
75.46,75.95,76.74,74.31
78.21,72.24,78.65,71.58
72.58,72.96,74.41,72.20
73.37,74.40,74.48,73.08
74.69,74.51,75.09,72.77
74.56,73.63,74.88,73.46
74.34,73.24,74.66,72.58
72.81,72.98,73.18,72.45
73.94,74.87,74.88,73.54
74.90,75.04,75.47,74.01
75.30,75.65,75.80,75.05
75.20,75.74,75.81,74.94
75.29,75.50,75.68,74.68
75.70,75.41,75.98,75.16
74.95,76.54,77.39,74.74
75.69,74.94,75.84,74.80
74.08,75.42,75.73,73.80
75.13,75.01,75.53,74.84
74.56,74.86,75.12,73.76
75.49,76.07,76.52,75.07
76.29,76.00,76.32,75.55
75.58,74.95,75.77,74.26
74.54,75.76,76.00,74.54
76.13,75.61,76.76,75.57
74.80,75.53,75.76,74.79
75.43,76.12,76.74,75.33
76.18,75.08,76.29,75.08
75.42,75.22,75.45,74.33
75.26,73.97,75.30,73.92
73.67,72.62,74.08,72.33
