GRN,iPath Global Carbon ETN,NASDAQ
23.80,23.55,24.60,23.28
25.49,23.97,25.49,23.97
24.78,24.82,24.82,22.46
23.38,23.12,24.44,23.12
26.04,24.22,26.04,22.34
25.17,25.18,28.00,25.17
25.80,24.04,25.80,22.83
24.02,24.75,25.24,24.02
24.00,25.00,25.00,24.00
24.15,24.16,25.86,24.15
25.38,25.90,25.97,25.00
25.90,25.90,25.90,25.90
25.00,25.00,25.00,25.00
25.43,25.18,25.43,25.18
25.00,25.01,25.55,25.00
25.01,25.01,25.01,25.01
24.42,24.29,24.64,24.12
24.15,24.15,24.15,24.15
24.00,24.00,24.00,24.00
23.33,23.35,23.35,23.33
23.35,23.35,23.35,23.35
24.97,22.99,25.00,22.78
22.99,22.99,22.99,22.99
22.39,23.52,23.52,22.33
23.52,23.52,23.52,23.52
23.28,23.86,25.85,23.28
23.86,23.86,23.86,23.86
23.86,23.86,23.86,23.86
24.45,24.45,24.45,24.45
24.51,24.51,24.51,24.51
24.09,24.13,24.13,23.83
24.13,24.13,24.13,24.13
23.90,23.02,23.90,22.85
23.02,23.02,23.02,23.02
23.02,23.02,23.02,23.02
25.24,24.16,25.24,23.83
23.57,23.57,23.57,23.57
23.57,23.57,23.57,23.57
23.57,23.57,23.57,23.57
24.30,24.30,24.30,24.30
24.72,25.07,25.29,24.72
25.07,25.07,25.07,25.07
24.25,24.78,24.78,24.25
24.15,24.54,24.66,24.15
24.54,24.54,24.54,24.54
24.54,24.54,24.54,24.54
24.54,24.54,24.54,24.54
24.54,24.54,24.54,24.54
24.54,24.54,24.54,24.54
23.69,23.69,23.69,23.69
23.76,23.73,23.76,23.26
23.73,23.73,23.73,23.73
23.96,23.96,23.96,23.96
23.96,23.96,23.96,23.96
23.70,23.70,23.70,23.70
23.70,23.70,23.70,23.70
26.95,23.20,26.95,23.20
24.27,23.49,24.27,23.49
23.49,23.49,23.49,23.49
23.49,23.49,23.49,23.49
23.49,23.49,23.49,23.49
23.49,23.49,23.49,23.49
23.94,24.02,24.26,23.94
23.87,24.18,24.18,23.87
24.18,24.18,24.18,24.18
24.35,24.98,25.11,24.35
25.21,25.21,25.21,25.21
25.79,24.97,25.79,23.66
25.08,24.72,25.30,24.71
25.75,25.74,25.77,25.73
24.75,25.36,25.36,24.75
26.03,23.26,26.22,23.26
26.50,26.26,26.50,22.74
26.38,26.50,26.50,26.38
26.42,26.42,26.42,26.42
24.88,26.00,26.00,24.88
26.00,26.00,26.00,26.00
25.15,25.08,25.15,25.08
27.50,27.24,29.08,26.03
28.02,28.00,29.00,27.25
27.60,27.60,27.60,27.60
27.60,27.60,27.60,27.60
29.00,30.64,30.75,29.00
27.31,29.62,29.62,27.31
29.16,29.63,29.63,28.94
28.76,28.87,30.27,28.10
28.87,28.87,28.87,28.87
29.08,28.96,29.21,27.07
28.41,26.52,28.41,26.42
27.52,29.56,31.86,27.52
29.38,29.33,29.38,27.37
29.51,28.74,29.51,27.21
28.37,26.48,28.37,26.46
27.15,27.44,27.50,27.15
26.70,26.15,26.70,26.15
26.91,27.29,27.34,26.00
32.99,26.00,32.99,26.00
26.00,26.00,26.00,26.00
26.21,27.80,27.80,26.21
27.80,27.80,27.80,27.80
27.80,27.80,27.80,27.80
27.80,27.86,27.86,27.71
28.00,27.96,28.73,26.82
27.96,27.96,27.96,27.96
27.96,27.96,27.96,27.96
26.81,27.85,27.85,26.81
27.85,27.85,27.85,27.85
28.69,29.16,29.16,28.47
29.40,29.25,29.40,29.25
29.31,28.97,29.31,28.94
27.47,27.55,27.71,27.47
29.36,29.85,30.08,29.36
29.60,29.68,29.68,29.60
29.01,28.86,29.01,28.86
29.26,29.45,29.46,29.26
29.27,28.63,29.27,28.63
28.84,29.44,29.44,28.84
28.04,28.05,28.13,28.04
27.10,27.45,27.45,27.10
27.17,27.25,28.36,27.14
27.40,27.40,27.40,27.40
27.32,26.95,27.32,26.95
26.74,26.74,26.90,26.74
27.36,28.75,28.84,27.36
27.62,27.62,27.62,27.62
27.62,27.62,27.62,27.62
26.50,27.65,27.65,26.50
26.50,26.49,26.50,26.49
26.00,26.66,26.66,25.66
26.93,27.08,27.08,26.93
26.46,25.11,26.46,25.11
25.11,25.11,25.11,25.11
25.11,25.00,25.11,25.00
25.68,25.63,25.68,24.86
26.47,26.35,26.47,26.34
26.52,26.77,26.81,26.52
26.03,25.54,26.03,25.54
25.16,24.99,25.20,24.99
25.52,25.69,25.69,25.52
25.25,25.53,25.53,25.25
25.13,24.72,25.13,24.38
24.53,24.63,24.63,24.53
24.50,24.88,24.88,24.50
25.28,25.28,25.28,25.28
25.28,25.28,25.28,25.28
25.84,26.74,26.74,25.84
26.66,26.66,26.66,26.66
25.62,25.61,25.62,25.61
25.61,25.61,25.61,25.61
25.74,26.09,26.09,25.74
26.09,26.09,26.11,25.82
26.09,26.09,26.09,26.09
26.09,26.09,26.09,26.09
26.09,26.09,26.09,26.09
26.09,26.09,26.09,26.09
26.09,26.09,26.09,26.09
26.09,26.09,26.09,26.09
25.89,25.90,25.90,25.89
25.90,25.90,25.90,25.90
26.81,26.81,26.81,26.81
26.81,26.81,26.81,26.81
26.81,26.81,26.81,26.81
26.81,26.81,26.81,26.81
26.81,26.81,26.81,26.81
28.33,27.75,28.34,27.75
28.23,28.16,29.15,28.16
27.71,28.40,28.40,27.64
28.40,28.40,28.40,28.40
28.89,28.89,28.89,28.89
29.10,29.10,29.10,29.10
28.13,28.17,28.18,28.12
28.39,28.39,28.39,28.39
28.39,28.39,28.39,28.39
28.40,27.70,28.40,27.70
28.58,29.20,29.74,28.57
28.42,28.42,28.42,28.42
28.42,28.42,28.42,28.42
28.35,27.97,28.35,27.95
27.97,27.97,27.97,27.97
27.73,27.74,27.74,27.73
27.17,27.68,27.68,27.17
27.30,27.30,27.30,27.30
26.92,26.91,26.92,26.91
26.94,28.35,28.35,26.00
28.06,28.06,28.06,28.06
28.47,28.83,28.83,28.33
29.24,28.56,29.24,28.56
28.43,28.22,28.43,28.22
28.22,28.22,28.22,28.22
27.65,27.58,27.65,27.58
28.30,28.87,28.87,28.30
28.51,28.76,28.76,28.02
28.50,28.50,28.50,28.50
27.97,28.57,28.57,27.97
29.00,28.46,29.00,28.46
29.10,28.55,29.10,28.55
28.89,28.69,29.52,27.97
28.69,28.69,28.69,28.69
28.41,28.08,28.41,28.08
28.03,28.27,28.27,28.03
27.33,26.11,28.20,25.92
27.57,28.06,28.46,27.57
26.88,27.14,27.14,26.88
26.74,27.54,27.54,26.74
30.00,27.92,31.99,27.90
27.23,27.15,27.25,26.98
27.15,27.15,27.15,27.15
26.86,27.37,27.37,26.86
26.88,26.88,26.88,26.88
27.18,27.18,27.18,27.18
26.98,26.88,27.18,26.45
26.96,26.80,26.96,26.80
29.00,26.06,29.22,25.97
25.67,25.72,25.72,25.67
25.11,25.42,25.42,25.03
27.49,25.72,27.49,25.38
26.02,26.01,26.02,25.80
26.22,26.22,26.22,26.22
25.52,27.71,27.71,25.52
27.30,27.00,27.30,26.99
26.84,26.84,26.84,26.84
26.87,26.91,26.91,26.87
27.34,27.34,27.34,27.34
27.34,27.34,27.34,27.34
27.22,27.18,27.22,27.14
26.65,26.66,26.66,26.65
27.40,27.40,27.40,27.40
27.40,27.40,27.40,27.40
26.20,26.20,26.20,26.20
25.01,26.15,26.15,25.01
26.65,27.12,27.12,26.55
26.31,26.31,26.31,26.31
26.31,26.31,26.31,26.31
26.15,26.42,26.42,26.15
26.75,26.75,26.75,26.75
27.74,26.61,27.74,26.52
25.58,25.54,25.92,25.54
26.61,26.15,26.61,25.31
26.02,26.50,26.60,26.02
25.79,25.97,26.22,25.79
25.97,25.97,25.97,25.97
25.47,25.70,25.70,25.47
25.15,25.17,25.17,25.15
24.85,25.15,25.15,24.81
25.15,25.15,25.15,25.15
25.15,25.15,25.15,25.15
24.52,24.52,24.52,24.52
25.34,24.88,25.35,24.55
24.43,24.73,24.73,24.43
24.73,24.73,24.73,24.73
24.73,24.73,24.73,24.73
25.90,25.54,25.93,25.54
25.68,25.34,25.75,25.34
25.34,25.34,25.34,25.34
25.63,25.42,25.67,25.27
25.81,25.57,25.81,25.57
25.57,25.57,25.57,25.57
25.87,25.87,25.87,25.87
25.87,25.87,25.87,25.87
25.29,26.01,26.01,25.20
26.01,26.01,26.01,26.01
26.01,26.01,26.01,26.01
25.87,25.87,25.87,25.87
26.38,25.68,26.38,25.68
24.25,25.34,25.34,24.25
25.50,25.62,27.86,25.47
24.63,24.71,24.71,24.63
24.70,24.70,24.70,24.70
26.00,26.00,26.00,26.00
26.00,26.00,26.00,26.00
24.68,24.68,24.68,24.68
24.68,24.68,24.68,24.68
27.66,27.94,27.94,27.66
25.60,25.65,25.65,25.60
25.65,25.65,25.65,25.65
25.16,25.15,25.16,25.15
26.78,26.78,26.78,26.78
25.20,26.97,26.97,25.20
25.26,25.26,25.26,25.26
25.04,25.04,25.04,25.04
25.00,25.92,25.92,25.00
25.92,26.10,26.39,25.92
26.10,26.10,26.10,26.10
25.11,27.38,27.62,25.11
27.38,27.38,27.38,27.38
27.11,27.58,27.58,27.11
29.74,29.07,29.74,26.50
28.92,29.23,29.23,28.92
27.33,27.33,27.33,27.33
27.40,26.30,28.01,25.69
26.06,26.11,26.11,26.06
26.11,26.11,26.11,26.11
28.40,27.98,28.40,27.98
28.60,28.60,28.60,28.60
28.78,28.78,28.78,28.78
28.88,28.88,28.88,28.88
28.88,28.88,28.88,28.88
28.88,28.88,28.88,28.88
28.88,28.88,28.88,28.88
27.75,27.72,27.78,27.72
27.61,28.00,28.00,27.51
29.10,29.60,29.60,29.10
30.57,30.88,30.88,30.35
30.58,32.90,32.95,29.00
32.88,31.00,32.88,31.00
32.89,31.00,35.50,29.61
31.01,34.48,34.55,31.00
34.45,30.89,34.45,30.89
31.92,29.16,31.92,28.82
30.01,29.21,30.01,28.81
29.20,28.50,30.83,28.50
28.01,29.00,29.67,28.01
28.16,28.51,28.51,28.16
28.21,28.46,28.46,28.21
27.82,28.99,28.99,27.77
28.99,28.99,28.99,28.99
32.09,30.00,32.09,30.00
31.97,30.30,31.97,30.30
30.38,32.00,32.84,28.79
32.45,31.46,32.96,31.08
32.51,31.02,32.51,30.15
32.20,32.25,32.51,31.81
32.28,31.28,32.28,31.23
29.75,30.10,30.21,29.50
31.31,31.40,31.40,31.31
31.34,29.36,31.34,29.21
31.30,31.00,31.46,29.34
31.75,31.12,31.78,30.22
32.30,31.99,32.30,31.99
