IFON,InfoSonics Corp - Common Stock,NASDAQ
1.06,1.06,1.11,1.00
1.08,1.22,1.22,1.07
1.22,1.30,1.38,1.20
1.30,1.29,1.38,1.24
1.29,1.29,1.29,1.25
1.29,1.27,1.30,1.26
1.28,1.23,1.28,1.19
1.23,1.19,1.25,1.16
1.20,1.11,1.20,1.08
1.11,1.45,1.60,1.05
1.40,1.23,1.48,1.16
1.27,1.16,1.33,1.15
1.18,1.12,1.19,1.07
1.13,1.11,1.15,1.03
1.05,1.11,1.13,1.05
1.08,1.08,1.12,1.07
1.08,1.10,1.10,1.05
1.11,1.10,1.11,1.04
1.08,1.04,1.08,1.03
1.05,1.04,1.06,1.02
1.07,1.15,1.15,1.05
1.14,1.09,1.15,1.09
1.09,1.05,1.12,1.05
1.05,1.06,1.08,1.03
1.06,1.10,1.15,1.06
1.10,1.06,1.10,1.04
1.09,1.11,1.11,1.05
1.15,1.14,1.15,1.10
1.06,1.09,1.13,1.06
1.15,1.16,1.16,1.07
1.14,1.14,1.16,1.09
1.15,1.14,1.16,1.14
1.10,1.13,1.15,1.09
1.10,1.20,1.25,1.10
1.24,1.15,1.29,1.11
1.18,1.13,1.19,1.09
1.15,1.18,1.23,1.12
1.18,1.15,1.18,1.12
1.15,1.15,1.18,1.09
1.15,1.13,1.17,1.10
1.15,1.11,1.15,1.09
1.14,1.09,1.14,1.09
1.09,1.13,1.18,1.05
1.16,1.18,1.18,1.16
1.16,1.15,1.17,1.15
1.16,1.15,1.17,1.10
1.14,1.15,1.17,1.14
1.14,1.14,1.18,1.14
1.14,1.14,1.17,1.14
1.12,1.14,1.18,1.11
1.16,1.11,1.16,1.10
1.13,1.08,1.17,1.07
0.98,0.98,1.08,0.91
1.03,0.92,1.03,0.91
0.94,1.01,1.08,0.94
0.99,0.94,1.07,0.91
0.95,0.93,1.03,0.93
0.95,0.96,0.99,0.94
0.96,0.94,0.99,0.94
0.94,0.95,0.96,0.94
0.95,0.95,0.97,0.92
0.88,0.76,0.88,0.71
0.80,0.64,0.80,0.64
0.69,0.68,0.71,0.61
0.72,0.72,0.72,0.68
0.72,0.68,0.72,0.68
0.70,0.71,0.72,0.70
0.72,0.71,0.72,0.69
0.70,0.68,0.71,0.68
0.70,0.74,0.74,0.68
0.76,0.74,0.76,0.71
0.72,0.71,0.72,0.70
0.71,0.70,0.75,0.70
0.71,0.74,0.74,0.70
0.74,0.74,0.75,0.72
0.74,0.72,0.74,0.70
0.72,0.72,0.72,0.71
0.72,0.72,0.73,0.72
0.74,0.73,0.74,0.73
0.70,0.70,0.72,0.70
0.70,0.73,0.73,0.70
0.73,0.72,0.74,0.70
0.73,0.67,0.73,0.67
0.69,0.66,0.69,0.64
0.63,0.63,0.65,0.59
0.62,0.64,0.66,0.62
0.66,0.65,0.71,0.62
0.67,0.69,0.69,0.66
0.70,0.67,0.70,0.65
0.65,0.69,0.69,0.65
0.71,0.69,0.71,0.67
0.67,0.67,0.69,0.67
0.67,0.68,0.70,0.67
0.67,0.65,0.69,0.62
0.65,0.61,0.65,0.60
0.60,0.62,0.65,0.59
0.61,0.54,0.61,0.50
0.54,0.62,0.62,0.54
0.57,0.58,0.60,0.55
0.58,0.58,0.62,0.55
0.60,0.61,0.61,0.59
0.62,0.62,0.64,0.62
0.65,0.68,0.70,0.59
0.68,0.68,0.68,0.68
0.68,0.68,0.68,0.68
0.69,0.64,0.69,0.64
0.64,0.65,0.65,0.64
0.65,0.61,0.67,0.61
0.62,0.61,0.62,0.60
0.61,0.66,0.68,0.58
0.61,0.65,0.65,0.59
0.62,0.62,0.66,0.62
0.62,0.66,0.66,0.62
0.63,0.63,0.68,0.62
0.63,0.62,0.63,0.62
0.62,0.63,0.63,0.60
0.61,0.56,0.68,0.55
0.56,0.57,0.61,0.56
0.57,0.64,0.66,0.57
0.64,0.64,0.65,0.61
0.58,0.59,0.59,0.58
0.59,0.61,0.64,0.59
0.59,0.60,0.62,0.59
0.61,0.58,0.61,0.58
0.61,0.57,0.61,0.57
0.60,0.60,0.60,0.60
0.64,0.58,0.64,0.58
0.58,0.58,0.58,0.57
0.58,0.57,0.58,0.57
0.60,0.58,0.60,0.58
0.58,0.58,0.58,0.58
0.58,0.57,0.58,0.57
0.57,0.59,0.62,0.57
0.58,0.58,0.61,0.58
0.57,0.58,0.60,0.57
0.57,0.57,0.57,0.52
0.55,0.55,0.58,0.53
0.54,0.58,0.59,0.52
0.56,0.56,0.58,0.55
0.59,0.57,0.60,0.56
0.57,0.60,0.60,0.57
0.59,0.60,0.60,0.59
0.59,0.59,0.59,0.59
0.60,0.60,0.60,0.57
0.60,0.59,0.63,0.59
0.56,0.62,0.63,0.56
0.63,0.62,0.63,0.62
0.59,0.60,0.60,0.59
0.60,0.63,0.63,0.60
0.63,0.63,0.63,0.63
0.63,0.64,0.65,0.58
0.59,0.61,0.64,0.57
0.61,0.61,0.61,0.61
0.63,0.63,0.63,0.63
0.57,0.61,0.64,0.56
0.59,0.60,0.60,0.59
0.60,0.66,0.69,0.55
0.65,0.67,0.68,0.59
0.69,0.68,0.69,0.68
0.68,0.66,0.68,0.63
0.62,0.66,0.67,0.58
0.64,0.64,0.64,0.64
0.60,0.63,0.65,0.60
0.60,0.60,0.60,0.60
0.59,0.62,0.63,0.59
0.67,0.64,0.67,0.60
0.60,0.66,0.66,0.60
0.61,0.65,0.65,0.60
0.60,0.64,0.64,0.59
0.64,0.62,0.65,0.59
0.62,0.61,0.62,0.59
0.59,0.60,0.62,0.59
0.60,0.59,0.62,0.59
0.59,0.64,0.65,0.59
0.65,0.62,0.65,0.60
0.61,0.64,0.65,0.61
0.60,0.66,0.66,0.60
0.61,0.64,0.64,0.61
0.64,0.55,0.65,0.55
0.58,0.64,0.65,0.58
0.56,0.60,0.62,0.56
0.62,0.63,0.64,0.60
0.62,0.65,0.68,0.61
0.64,0.62,0.65,0.60
0.60,0.64,0.66,0.60
0.63,0.62,0.63,0.61
0.60,0.62,0.66,0.60
0.65,0.62,0.65,0.62
0.65,0.65,0.66,0.62
0.63,0.63,0.63,0.62
0.61,0.64,0.64,0.61
0.65,0.64,0.65,0.61
0.62,0.65,0.65,0.62
0.65,0.65,0.65,0.65
0.60,0.63,0.64,0.60
0.60,0.72,0.73,0.60
0.71,0.69,0.72,0.66
0.68,0.71,0.71,0.68
0.72,0.72,0.72,0.68
0.71,0.69,0.71,0.68
0.70,0.70,0.71,0.69
0.70,0.72,0.72,0.70
0.71,0.72,0.72,0.70
0.72,0.72,0.72,0.70
0.71,0.87,0.92,0.71
0.89,0.84,0.89,0.77
0.80,0.84,0.85,0.79
0.79,0.84,0.88,0.79
0.84,0.86,0.87,0.84
0.87,0.85,0.90,0.80
0.90,0.90,0.98,0.85
0.85,0.85,0.89,0.80
0.88,0.84,0.89,0.82
0.84,0.84,0.85,0.82
0.82,0.87,0.87,0.82
0.87,0.82,0.87,0.82
0.85,0.82,0.85,0.82
0.82,0.72,0.82,0.64
0.72,0.67,0.76,0.66
0.68,0.68,0.71,0.68
0.70,0.64,0.70,0.64
0.68,0.65,0.69,0.65
0.65,0.65,0.68,0.64
0.68,0.67,0.70,0.65
0.67,0.67,0.67,0.67
0.65,0.66,0.71,0.65
0.67,0.68,0.68,0.66
0.66,0.67,0.69,0.66
0.69,0.72,0.74,0.69
0.75,0.70,0.75,0.70
0.73,0.72,0.74,0.70
0.72,0.72,0.75,0.72
0.72,0.71,0.73,0.70
0.70,0.72,0.74,0.70
0.72,0.72,0.73,0.70
0.74,0.70,0.74,0.70
0.70,0.73,0.80,0.70
0.74,0.77,0.79,0.74
0.78,0.87,0.87,0.78
0.86,0.83,0.86,0.77
0.83,0.82,0.84,0.80
0.81,0.78,0.82,0.77
0.83,0.79,0.83,0.78
0.78,0.78,0.81,0.78
