FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,NASDAQ
48.29,49.90,49.95,48.22
49.83,48.71,49.87,48.54
48.70,49.39,49.73,48.41
49.39,50.01,50.26,49.28
50.23,49.77,50.23,49.42
46.11,43.00,46.15,42.46
43.49,44.14,44.49,43.29
43.98,44.34,44.62,43.68
44.40,44.00,44.52,43.94
44.10,43.87,44.37,43.41
44.15,44.04,44.28,43.72
43.85,43.79,44.02,43.42
44.00,43.02,44.00,42.32
43.00,42.53,43.06,42.26
43.17,42.43,43.18,42.09
42.10,42.15,42.55,41.79
41.85,41.72,42.14,41.25
42.00,42.30,42.43,41.36
42.44,42.16,42.77,42.03
42.11,42.32,42.42,41.76
42.87,42.71,42.89,42.41
42.69,42.65,42.90,42.41
42.24,40.82,42.24,40.65
40.89,40.99,41.26,39.97
41.06,40.93,41.49,40.63
41.40,41.48,41.86,40.93
41.35,41.00,41.56,40.61
40.96,41.69,41.75,40.52
41.39,41.33,41.77,41.08
41.59,41.60,41.87,41.35
41.71,41.90,42.05,41.54
42.09,41.98,42.28,41.86
41.79,41.75,41.98,41.45
41.98,42.00,42.18,41.61
42.01,41.88,42.18,41.68
42.39,41.89,42.39,41.67
41.44,42.38,42.44,41.14
42.28,42.80,42.97,41.82
42.84,43.74,43.86,42.58
44.45,44.49,44.77,44.17
44.67,44.78,45.03,44.53
44.87,44.93,45.10,44.57
45.13,45.59,45.64,44.89
45.34,45.89,46.00,45.24
45.67,45.96,46.23,45.53
45.91,46.21,46.30,45.89
46.04,46.22,46.22,45.82
46.65,46.23,46.65,45.89
46.20,46.17,46.27,45.70
46.16,45.98,46.28,45.81
46.21,46.50,46.51,46.15
46.54,46.71,47.10,46.12
46.46,46.46,47.13,46.22
45.87,46.94,47.14,45.54
47.20,47.45,47.50,46.80
47.31,47.59,47.71,47.26
47.80,47.43,48.05,47.39
47.36,46.70,47.36,46.45
46.51,47.13,47.37,46.51
47.13,47.34,47.65,46.96
47.25,47.53,48.17,47.25
48.04,48.25,48.49,47.88
48.19,48.30,48.81,48.08
48.31,48.63,48.69,48.09
48.60,48.57,48.90,48.40
48.24,48.04,48.44,47.85
48.16,48.56,48.66,48.04
48.69,48.75,48.86,48.47
49.04,48.67,49.04,48.24
48.71,48.47,48.84,48.00
48.22,48.10,48.51,47.92
48.11,46.27,48.16,46.27
46.02,46.51,46.70,45.57
46.78,47.20,47.59,46.39
47.23,47.70,48.00,47.11
47.29,47.35,47.59,46.87
47.35,48.04,48.10,47.13
48.23,47.77,48.45,47.54
47.51,46.01,47.74,45.99
46.47,46.41,46.73,45.63
46.69,47.22,47.38,46.48
47.09,47.33,47.68,46.97
47.55,46.97,47.78,46.87
46.41,44.82,46.54,44.75
44.11,43.77,44.55,43.43
43.69,42.39,44.20,40.82
42.31,42.17,42.68,41.11
45.02,44.41,45.30,43.66
43.26,44.81,45.43,43.26
45.32,45.12,45.45,44.76
45.08,45.04,45.75,44.81
44.74,44.36,44.83,43.90
44.33,43.99,44.80,43.35
44.24,43.49,44.63,43.49
43.19,42.16,43.50,41.74
41.10,40.73,42.00,40.67
40.53,41.74,41.80,40.13
41.76,41.09,41.92,41.08
39.74,41.26,41.37,39.74
41.67,41.42,42.66,41.15
42.19,43.67,43.67,41.92
42.94,42.18,43.44,41.85
41.96,41.93,42.73,41.90
42.43,43.53,43.53,41.94
43.60,43.96,44.37,43.19
43.21,43.51,44.02,42.91
43.09,43.01,43.89,42.90
42.94,43.35,43.61,42.79
43.66,43.55,44.46,43.35
44.17,45.05,45.11,44.17
44.50,45.87,45.91,44.29
46.54,46.01,46.97,45.92
46.65,46.71,46.85,45.92
46.26,46.79,47.12,46.16
46.94,46.75,47.13,46.31
46.70,46.98,47.32,46.44
47.82,46.79,48.07,46.37
46.83,45.78,47.18,45.73
45.64,45.45,45.72,44.18
45.45,45.48,45.88,44.89
45.71,45.85,46.16,44.99
45.99,45.60,46.37,45.59
45.05,44.12,45.06,43.89
43.92,43.15,44.19,43.06
43.20,43.04,43.26,42.06
43.09,43.59,43.93,42.80
44.25,44.24,45.39,43.86
44.65,44.54,44.86,44.12
45.12,44.69,45.12,44.34
44.84,45.41,45.48,44.79
45.52,46.06,46.10,45.41
46.58,46.35,46.92,46.34
46.04,46.42,46.68,46.04
46.28,46.30,46.50,45.86
46.30,45.30,46.33,45.14
45.31,45.02,45.55,44.76
44.68,44.92,45.19,44.58
45.18,44.58,45.25,44.34
45.07,45.09,45.15,44.55
45.30,45.70,45.82,44.97
45.60,46.33,46.49,45.60
46.66,46.71,47.06,46.59
46.73,46.86,47.04,46.42
47.11,47.49,47.59,46.54
47.18,48.68,49.07,47.08
49.48,50.14,50.40,49.31
49.87,50.02,50.30,49.69
50.19,50.38,50.43,49.92
50.18,50.03,50.21,49.89
49.36,49.89,49.89,49.36
50.35,49.62,50.35,49.56
49.31,49.40,49.65,48.92
48.71,48.25,48.73,48.11
47.62,48.00,48.25,47.31
47.98,48.04,48.57,47.94
47.06,48.02,48.13,45.69
48.43,48.69,49.13,48.27
48.73,49.68,49.84,48.44
49.41,49.84,49.87,49.07
49.65,49.93,49.98,49.00
48.52,49.75,49.96,48.45
49.06,49.28,49.72,48.95
48.96,49.46,49.76,47.83
49.69,48.95,49.78,48.89
49.43,49.60,49.75,48.66
49.42,49.24,49.61,48.82
49.01,48.70,49.33,48.70
49.14,49.90,50.11,48.81
50.12,50.99,51.01,49.92
51.61,51.38,52.27,51.05
51.35,50.26,51.35,50.24
50.61,50.18,50.83,50.13
50.66,50.26,50.70,50.07
50.24,50.27,50.47,49.95
50.69,50.89,51.13,50.48
50.98,51.63,51.84,50.68
50.94,51.50,51.68,50.81
50.01,52.40,52.46,50.01
51.92,51.96,52.33,51.73
51.78,51.92,52.35,51.65
52.03,51.06,52.20,50.93
51.25,51.08,51.48,50.83
50.92,50.63,51.43,50.46
51.31,51.26,51.70,51.04
51.42,51.35,51.69,51.22
51.46,51.19,51.65,51.00
51.33,51.08,51.54,50.87
51.33,50.73,51.45,50.63
51.08,51.07,51.41,50.39
50.83,51.28,51.77,50.79
51.84,51.60,52.02,51.54
51.57,50.38,51.57,50.30
50.75,50.19,50.78,50.10
49.88,50.97,51.01,49.70
51.48,52.49,52.49,51.04
52.24,53.47,53.62,51.19
53.49,54.69,55.04,53.49
53.82,54.74,54.93,53.78
55.10,54.19,55.21,54.12
53.72,55.38,55.50,53.41
54.44,53.08,54.56,52.70
53.41,53.62,54.05,53.36
54.29,54.39,55.06,53.95
53.90,53.49,54.63,53.15
53.70,53.63,54.08,53.49
53.23,53.13,53.42,52.87
52.57,52.96,52.97,52.12
53.55,52.92,53.74,52.87
52.61,54.91,55.00,52.61
54.88,54.91,55.38,54.70
55.07,55.50,55.60,55.00
55.11,55.22,55.61,54.84
55.50,55.80,56.30,55.40
56.05,55.38,56.34,55.22
55.37,56.06,56.14,55.00
55.93,55.81,56.89,55.34
55.94,55.66,56.24,54.82
55.36,55.47,55.75,54.85
55.17,55.25,55.61,54.92
55.79,55.00,56.09,54.86
55.00,53.89,55.04,53.60
54.02,54.31,54.65,53.65
54.78,55.27,55.77,54.78
54.90,55.73,55.91,54.80
54.89,55.87,55.96,54.89
54.62,54.80,55.27,54.49
55.33,56.83,56.87,55.28
56.58,55.77,56.68,55.76
55.64,56.18,56.60,54.65
55.65,56.55,56.70,55.23
57.46,57.29,57.65,57.05
57.49,57.38,58.05,57.06
57.27,57.24,57.67,57.11
57.14,56.60,57.17,56.47
56.89,56.64,57.05,56.47
56.86,56.58,57.02,56.35
56.75,56.00,56.75,55.83
56.02,55.93,56.34,55.52
56.39,56.34,56.68,56.13
56.37,56.21,56.70,55.98
56.24,55.46,56.52,55.31
55.66,55.60,55.94,55.43
55.73,55.99,56.14,55.38
56.07,55.74,56.23,55.51
56.09,55.95,56.63,55.89
56.02,55.94,56.11,55.59
55.96,55.74,56.07,55.68
55.61,55.55,55.66,55.19
55.68,55.50,55.93,55.24
55.56,55.63,56.06,55.47
55.63,55.80,56.11,55.63
55.89,55.92,56.11,55.59
56.44,56.47,56.65,56.25
56.72,56.68,56.90,56.43
56.33,56.64,56.65,56.12
56.77,56.05,56.77,55.93
56.08,55.50,56.35,55.29
55.33,55.29,55.60,54.60
55.53,54.93,55.64,54.75
55.67,56.38,57.11,55.67
56.45,56.21,56.67,56.18
56.33,57.16,57.31,56.12
57.17,56.74,57.63,56.58
56.93,55.69,56.96,55.50
55.87,55.13,56.06,54.60
55.34,54.26,55.34,54.08
54.43,54.83,55.01,54.26
54.61,54.83,54.91,54.30
54.97,55.59,55.73,54.75
55.60,54.21,55.66,54.15
54.67,52.67,54.67,52.27
53.11,53.07,53.18,52.71
53.38,54.18,54.22,53.38
53.93,54.08,54.33,53.87
53.97,54.14,54.32,53.54
53.97,53.70,54.15,53.58
53.87,54.79,54.93,53.74
54.46,54.60,54.82,54.38
54.38,53.23,54.70,53.23
53.02,52.95,53.28,52.37
52.83,53.49,53.69,52.57
53.52,53.38,53.75,53.33
53.18,53.25,53.80,52.99
53.73,54.36,54.76,53.60
54.58,55.77,55.78,54.36
56.00,56.84,56.88,55.59
55.91,55.41,56.50,55.29
55.40,54.44,55.85,54.17
54.25,54.80,55.06,53.90
54.03,55.85,56.25,54.03
56.21,56.23,56.59,55.80
56.38,56.01,56.70,55.88
55.99,56.12,56.68,55.78
56.55,57.81,57.89,56.45
57.91,57.34,58.03,56.75
57.41,57.10,57.62,56.77
57.29,57.07,57.70,56.84
57.62,58.07,58.11,56.90
56.91,56.62,57.38,56.60
56.80,57.53,57.78,56.35
57.02,56.75,57.23,56.51
54.76,56.66,56.87,54.75
56.66,55.64,57.14,55.41
57.25,55.49,57.25,55.29
55.87,55.70,56.30,55.36
56.75,56.86,57.31,56.19
57.06,57.24,57.35,56.27
57.32,58.09,58.29,57.02
58.92,58.90,59.60,58.36
59.05,58.93,59.31,58.67
58.83,57.96,59.31,57.86
57.96,58.02,58.07,57.55
58.16,58.20,58.61,57.94
58.32,58.70,59.05,58.21
58.98,59.60,59.70,58.98
59.75,60.09,60.22,59.53
60.09,60.76,60.78,59.49
61.05,60.73,61.50,60.57
60.77,60.43,61.19,59.97
60.67,60.95,60.97,59.93
60.79,61.88,61.92,60.73
61.61,60.18,61.80,59.99
60.67,61.27,61.30,60.27
60.94,61.37,61.50,60.94
61.44,61.14,61.81,61.03
60.13,61.76,61.80,59.70
61.94,62.34,62.57,61.33
62.94,63.13,63.51,62.77
63.47,63.58,63.87,62.70
63.62,63.22,63.78,62.96
63.50,63.80,63.95,62.96
64.01,63.23,64.01,62.89
63.31,62.90,63.39,62.66
62.67,62.90,63.19,62.57
63.30,63.31,63.53,62.96
62.84,62.73,63.27,62.53
62.93,61.33,63.05,61.16
61.19,60.48,61.56,60.07
61.19,61.89,62.02,60.59
62.05,62.27,62.39,61.75
63.30,63.04,63.30,62.19
62.97,62.19,63.34,62.05
62.11,62.50,62.57,61.74
62.72,61.83,62.80,61.60
61.12,62.71,62.98,61.12
62.49,61.86,62.52,61.60
61.83,62.44,62.50,61.62
62.48,62.17,63.09,61.90
62.07,61.80,62.34,61.47
60.60,61.25,61.33,60.60
61.39,61.98,62.00,61.38
61.41,61.49,61.86,61.01
61.54,61.48,61.78,61.18
61.83,61.89,62.12,61.60
62.23,61.93,62.91,61.73
61.97,61.52,62.25,61.52
61.63,63.00,63.24,61.50
62.24,62.75,62.97,61.37
62.36,62.46,62.91,62.13
62.49,63.08,63.30,62.49
62.78,63.00,63.18,62.78
63.32,63.80,64.15,63.09
63.62,62.58,63.67,62.19
62.12,62.69,63.05,62.01
62.96,62.57,62.97,61.92
62.01,62.52,63.46,61.99
62.15,61.54,62.50,61.35
61.91,61.02,62.15,60.83
60.90,62.15,62.25,60.90
62.15,62.64,62.86,61.99
62.61,62.51,62.97,62.51
62.92,62.91,62.95,61.96
63.13,62.57,63.15,62.55
62.34,63.27,63.48,62.34
63.59,65.12,65.39,63.55
65.28,66.00,66.55,65.14
65.83,66.49,66.80,65.75
66.63,68.82,68.83,66.63
68.73,68.28,68.89,67.88
68.25,68.23,68.49,67.29
68.58,67.94,68.58,67.79
67.33,67.96,67.96,67.13
67.32,67.21,67.77,66.99
66.97,67.34,67.73,66.90
67.67,67.49,67.80,66.98
67.94,67.50,68.09,67.22
67.62,68.00,68.05,67.47
67.74,66.91,67.74,66.64
