FRT,Federal Realty Investment Trust Common Stock,NASDAQ
68.06,67.03,68.35,66.47
66.57,66.95,67.03,65.48
67.00,66.77,67.56,66.12
66.55,66.75,67.49,65.88
66.59,66.33,66.75,65.49
66.90,67.16,67.22,66.65
66.68,66.01,67.00,65.31
66.31,67.32,67.53,66.14
67.29,67.05,67.47,66.59
66.94,67.59,67.70,66.38
67.55,69.26,69.60,67.27
68.56,68.36,68.81,68.09
68.45,66.98,68.92,66.83
66.86,65.50,67.80,65.33
66.09,65.63,66.22,64.47
65.36,65.37,66.49,65.06
65.07,65.07,65.62,64.20
65.21,64.54,65.26,63.68
64.92,64.38,65.40,64.24
64.83,65.88,65.96,64.63
66.21,67.81,67.94,65.59
67.49,66.75,67.81,66.29
66.19,63.73,66.42,63.62
63.88,65.02,65.21,63.36
65.05,63.58,65.44,63.42
64.49,63.10,64.49,62.43
63.00,63.07,64.04,61.93
62.79,63.74,64.01,62.43
62.89,64.46,64.58,62.68
65.03,66.22,66.40,64.94
66.43,67.13,67.14,66.21
67.26,68.08,68.11,66.66
67.96,68.49,68.96,67.57
68.73,68.58,68.98,68.22
68.41,68.27,68.73,68.07
68.27,68.62,68.78,68.19
67.58,69.05,69.15,67.34
69.09,68.96,69.63,68.52
69.15,69.57,69.58,68.65
69.64,69.96,70.03,69.39
70.08,69.78,70.08,69.48
69.84,69.91,70.05,69.57
70.28,71.45,71.57,69.65
71.37,72.21,72.37,71.05
71.96,71.81,72.54,71.59
71.67,71.87,72.22,71.40
71.47,71.78,71.89,71.21
71.96,72.36,72.37,71.75
71.75,71.60,72.14,71.29
71.85,73.09,73.20,71.56
73.43,73.67,74.00,73.04
73.66,73.50,73.77,73.23
72.78,72.78,73.57,72.63
72.30,73.55,73.88,72.15
73.68,73.56,73.73,72.85
73.15,73.82,74.31,73.15
74.27,74.11,75.64,74.02
74.56,73.43,74.85,73.20
73.68,73.60,73.68,72.93
73.75,72.91,73.86,72.59
72.71,72.81,73.39,72.25
73.23,72.67,73.40,72.00
72.85,74.59,74.59,72.66
74.43,76.07,76.44,73.99
75.75,74.07,76.41,73.77
73.75,74.06,74.16,73.39
74.03,75.15,75.37,73.77
75.12,74.53,75.29,74.33
