SINA,Sina Corporation - Ordinary Shares,NASDAQ
45.69,45.75,46.25,45.54
45.95,46.21,46.31,45.00
46.32,46.00,47.25,45.53
46.40,45.14,46.40,44.95
44.87,44.91,45.33,44.23
45.50,45.87,46.12,45.16
45.55,44.57,45.83,44.15
46.44,45.12,46.45,44.66
45.35,45.43,46.25,45.26
45.70,44.73,45.82,44.54
44.70,44.63,45.23,44.29
44.26,43.12,44.26,42.67
43.25,41.46,43.55,41.26
41.45,39.03,41.45,38.55
39.88,39.29,39.90,39.03
39.07,38.71,39.11,38.03
38.69,37.89,38.69,37.30
37.90,37.36,38.41,36.90
37.50,36.16,37.86,35.93
35.49,36.46,37.42,35.27
36.37,37.84,37.96,36.37
37.91,37.36,38.01,37.36
37.08,35.93,37.08,35.83
36.00,36.05,36.32,35.50
36.09,35.85,36.65,35.67
36.33,36.09,36.68,35.59
36.30,36.01,36.58,35.26
35.99,36.98,37.04,35.39
36.59,36.06,36.93,35.78
36.34,37.43,37.55,35.90
37.76,38.03,38.50,37.62
37.71,38.05,38.15,37.63
37.81,37.80,38.00,37.40
38.27,37.86,38.27,37.40
37.76,36.96,37.78,36.28
36.94,36.92,37.43,36.38
36.39,37.21,37.34,36.03
37.14,37.82,38.20,37.14
38.34,37.37,38.59,37.03
37.58,38.13,38.48,37.44
38.37,37.49,38.37,37.02
36.60,39.40,39.90,36.60
39.60,40.93,41.04,39.50
40.90,41.95,42.10,40.82
41.47,41.00,41.80,40.85
41.00,41.38,41.50,40.74
41.32,41.13,41.32,40.67
41.25,41.21,41.91,41.10
41.24,40.58,41.62,40.26
40.84,41.11,41.18,40.65
41.25,41.03,41.49,40.92
41.00,40.17,41.10,40.05
40.20,39.76,40.52,39.56
39.50,39.82,40.02,39.13
40.04,38.71,40.22,38.59
38.58,38.53,38.98,37.74
38.88,38.69,39.25,38.52
38.97,38.11,38.97,37.78
38.17,38.27,38.50,38.10
38.22,38.01,38.35,37.83
37.92,37.69,38.32,37.66
37.78,38.50,38.59,37.78
38.74,39.21,39.50,38.60
39.00,39.22,39.86,38.83
39.20,38.81,39.41,38.62
38.55,38.69,39.18,38.17
38.69,39.03,39.19,38.65
39.10,40.07,40.58,38.53
39.98,39.39,40.25,39.11
39.70,38.95,39.93,38.84
38.96,38.91,39.10,38.58
38.53,37.70,38.65,37.56
37.24,36.83,37.56,36.63
37.27,37.93,38.06,36.90
37.92,37.74,37.93,36.94
37.27,37.34,37.40,36.44
37.18,37.79,37.87,36.94
37.73,37.78,38.70,37.71
37.68,36.16,37.68,35.75
36.21,35.51,36.23,35.25
36.17,36.25,36.90,36.01
36.55,36.70,37.00,35.81
36.99,36.68,37.31,36.52
36.32,34.13,36.32,33.94
33.80,34.50,35.11,33.78
34.16,33.00,34.68,32.00
33.27,32.74,33.68,32.18
34.16,34.49,34.92,34.00
33.95,33.76,34.24,33.40
33.87,35.11,35.28,33.68
35.35,35.41,36.84,35.18
35.36,35.11,35.42,34.56
34.00,34.85,35.34,34.00
36.99,37.57,39.17,36.70
37.44,36.29,37.46,35.83
35.32,34.28,35.98,34.20
34.21,35.51,35.69,34.09
35.51,36.16,36.47,35.36
34.82,35.11,35.11,33.93
35.58,35.23,36.19,34.85
36.15,37.14,37.20,36.05
37.05,37.37,37.75,36.85
37.06,36.74,37.45,36.65
36.69,37.39,37.51,36.69
37.64,37.84,38.00,37.39
37.05,36.23,37.50,36.00
36.35,35.11,36.48,35.00
35.22,35.16,35.65,34.83
