SPG,Simon Property Group,NASDAQ
80.49,78.92,81.15,78.45
79.01,78.38,79.04,77.17
78.12,77.50,79.21,77.17
77.63,78.51,79.48,76.06
78.25,76.63,78.31,75.47
76.99,76.70,77.49,76.17
76.20,75.19,76.61,74.75
75.11,75.95,76.70,75.11
75.62,76.29,76.55,75.02
75.80,74.89,76.01,74.76
74.76,76.66,76.74,74.29
75.90,74.88,76.50,74.12
74.92,72.51,75.42,72.30
72.52,70.59,73.04,70.39
71.42,72.10,72.63,70.16
71.66,71.81,72.97,71.15
71.86,72.40,72.46,70.70
72.85,72.08,72.85,71.06
72.30,72.00,73.65,71.33
72.37,73.57,73.58,72.28
73.82,74.47,74.65,72.70
74.13,72.80,74.13,72.41
72.50,69.45,72.50,69.41
70.26,73.36,73.48,70.13
72.95,70.72,73.26,70.46
71.43,70.59,71.86,70.25
70.48,70.27,71.36,69.08
69.51,71.27,71.34,68.76
70.56,72.00,72.16,70.00
72.94,74.82,74.94,72.69
74.84,75.85,76.64,74.79
75.48,77.22,77.71,75.48
76.95,77.72,77.92,76.30
77.91,78.64,79.17,77.27
78.06,77.91,78.60,77.15
77.99,77.53,78.54,77.15
77.20,78.51,78.54,76.19
78.32,78.29,79.31,77.70
78.90,78.40,79.09,78.02
78.65,78.01,79.34,77.72
77.94,77.46,78.06,77.13
77.80,77.61,78.00,77.41
77.94,79.43,79.82,77.71
79.42,79.79,80.11,79.16
79.52,80.82,81.35,79.02
81.14,80.77,81.43,80.32
80.50,80.94,80.96,80.03
81.33,82.08,82.94,81.05
81.68,81.88,82.62,81.00
81.99,84.18,84.63,81.61
84.40,85.65,85.74,83.85
85.67,84.56,86.04,84.47
83.54,83.54,85.63,83.44
83.06,84.97,85.00,82.90
84.96,84.43,85.27,83.65
84.16,84.51,85.25,83.97
85.20,85.53,86.63,85.12
85.92,85.01,86.41,84.65
85.21,85.15,85.54,84.38
84.92,85.16,85.61,84.50
84.60,83.90,84.86,83.78
84.23,84.47,85.12,83.77
84.98,86.14,86.21,84.38
85.78,87.71,87.93,85.35
87.37,84.53,87.71,84.22
84.29,84.73,85.15,84.14
85.00,86.09,86.19,84.23
86.04,85.03,86.26,84.76
85.02,88.18,88.51,84.80
88.31,87.95,88.98,87.19
87.49,85.03,88.00,84.82
84.85,82.27,85.33,81.99
81.72,82.90,84.00,81.65
83.51,84.66,84.68,82.93
84.59,86.99,87.24,84.34
86.10,88.39,88.82,85.75
88.71,89.56,90.06,87.82
89.57,90.59,91.49,89.22
89.95,87.48,90.93,87.39
88.34,87.63,88.50,86.94
88.47,92.42,92.65,88.43
91.61,89.02,93.28,88.56
89.92,92.78,93.59,89.36
91.96,90.09,91.96,89.28
89.51,88.48,90.77,87.52
87.97,84.88,88.80,78.85
85.22,85.68,88.17,83.65
88.77,90.33,90.62,88.24
89.30,90.62,91.67,88.92
90.80,91.31,92.00,89.59
91.16,89.69,91.48,89.53
88.78,86.70,89.22,85.71
87.00,86.69,88.74,84.36
87.81,84.17,88.33,83.72
83.53,83.29,85.58,81.16
81.60,81.09,83.60,80.85
79.77,84.04,84.26,79.14
84.35,81.75,84.44,81.49
80.62,82.66,82.88,78.63
83.82,81.98,84.69,81.38
83.79,86.43,86.65,83.13
86.47,85.03,86.79,84.62
84.14,84.81,86.40,83.84
85.36,86.59,86.79,84.09
86.43,86.13,86.95,85.25
84.35,81.50,85.38,81.14
82.00,80.97,83.23,80.91
81.61,82.17,82.61,79.68
82.92,82.19,84.88,81.81
83.32,85.82,86.09,83.10
84.68,87.08,87.40,84.58
87.76,88.41,88.96,87.26
88.54,90.46,90.46,87.96
89.89,89.45,90.40,88.89
89.66,88.99,89.92,88.41
89.30,89.41,89.99,88.54
90.56,88.86,91.12,88.55
89.20,85.59,89.32,85.51
85.56,86.14,87.16,84.61
85.43,83.97,85.86,83.79
84.89,86.52,86.92,84.15
86.78,84.97,86.99,84.74
83.73,81.82,84.65,81.23
81.83,80.75,83.47,80.49
80.92,81.05,81.52,78.87
81.63,79.08,82.11,78.70
80.71,77.28,81.20,76.47
77.80,81.24,81.33,77.28
82.24,81.71,82.44,80.21
81.86,82.66,82.74,81.20
82.58,82.96,83.26,81.30
84.11,85.07,85.49,83.75
84.40,84.57,85.48,83.76
84.42,84.89,85.08,82.73
84.54,82.23,84.54,81.71
82.59,83.36,83.72,81.27
82.04,84.38,84.55,81.69
85.45,82.36,85.45,81.84
83.74,86.33,86.90,83.52
85.62,87.31,87.48,84.85
87.02,89.07,89.25,86.32
89.25,89.28,90.00,87.78
89.02,89.13,90.35,88.33
89.64,87.93,90.29,87.59
87.74,89.22,89.57,86.70
90.93,93.53,93.79,90.50
93.16,93.16,93.64,92.41
93.22,94.45,94.49,92.60
93.61,93.13,94.44,92.94
92.20,92.84,93.14,91.56
93.55,93.67,93.94,92.83
92.58,92.57,93.57,91.45
90.86,90.64,91.87,89.96
89.51,89.63,91.11,89.18
88.57,89.26,90.47,88.57
88.89,89.40,90.25,88.32
90.27,91.71,92.46,89.64
91.92,91.86,92.41,91.01
91.54,89.39,91.62,89.08
89.00,88.97,89.57,88.46
89.37,88.03,89.76,88.00
86.92,88.25,88.96,86.62
87.38,89.43,89.87,87.38
89.94,88.90,90.47,88.48
89.36,90.52,90.62,87.89
89.94,89.77,91.26,89.71
89.55,90.45,90.79,88.78
92.07,93.56,93.79,91.61
93.79,95.36,95.49,93.53
96.61,96.48,97.00,95.82
95.35,94.53,95.79,94.44
94.86,94.91,95.51,94.32
96.43,94.22,96.43,93.91
94.63,94.85,95.12,93.76
94.82,94.98,95.77,94.44
94.54,94.34,95.26,93.98
93.98,95.42,95.87,93.72
95.31,94.59,95.44,94.19
94.85,95.32,95.42,94.01
95.89,97.24,97.48,95.62
97.65,96.28,98.39,96.18
96.21,95.30,96.66,94.95
94.66,92.78,94.76,92.71
93.83,95.24,95.41,93.75
95.03,93.84,95.26,93.63
93.91,93.87,94.18,92.35
93.50,93.04,93.72,92.73
93.93,92.74,94.79,92.31
93.47,93.59,93.67,92.13
93.41,94.32,94.44,93.39
95.32,95.62,95.94,94.31
95.11,95.46,95.69,94.71
95.84,95.68,96.33,95.10
95.45,95.56,96.20,94.81
95.68,95.73,96.20,95.34
95.26,96.44,97.00,94.91
97.22,97.14,98.09,96.56
96.99,96.74,97.81,96.16
97.82,97.48,98.09,96.76
97.64,98.22,98.32,96.97
97.25,96.12,97.88,95.88
96.35,98.20,98.97,96.35
98.48,97.97,99.46,97.37
98.11,97.69,98.69,97.26
98.55,97.90,98.59,97.48
97.10,97.17,97.70,96.46
96.60,96.78,97.27,95.97
97.46,96.40,97.81,95.27
96.37,96.02,96.98,96.02
97.01,98.62,98.98,96.35
99.48,100.57,100.72,98.93
100.57,100.88,101.27,99.81
101.88,103.84,103.95,100.62
104.26,105.77,105.95,103.25
106.45,106.25,106.50,105.09
106.41,101.18,106.54,100.47
101.50,103.14,103.14,101.31
102.54,101.46,103.02,100.90
100.09,100.40,101.19,99.46
100.75,99.73,101.83,99.65
99.26,96.14,99.70,95.50
96.43,96.94,97.29,96.04
98.40,97.95,98.87,97.62
97.65,98.17,98.39,96.63
97.77,98.58,99.05,97.63
97.03,97.57,97.82,97.00
98.37,100.27,100.31,98.33
99.42,98.84,99.42,98.10
98.13,98.73,98.91,97.18
97.24,98.50,99.68,97.14
99.94,99.84,100.22,98.68
100.16,101.93,102.04,99.83
101.23,102.08,102.27,101.00
101.58,101.90,102.21,100.60
102.71,101.50,103.18,101.37
101.61,99.83,102.17,99.03
100.25,98.43,100.55,98.35
98.84,98.95,99.58,98.53
99.18,98.93,99.59,98.64
98.81,97.67,100.30,97.55
97.28,95.28,97.43,95.20
95.34,94.71,95.95,94.30
94.74,95.43,95.68,94.44
95.43,96.89,97.06,95.36
97.49,98.62,98.76,96.65
98.51,98.64,100.00,98.23
98.45,97.78,98.81,97.72
97.47,99.49,99.53,97.29
99.54,98.96,99.92,98.70
99.66,100.26,100.37,98.67
99.82,99.66,100.29,99.54
99.50,99.49,100.29,99.27
100.21,100.93,101.06,100.10
100.77,97.94,101.00,97.47
97.70,98.25,98.72,97.70
98.45,95.35,98.50,95.29
95.89,96.95,97.17,95.88
96.53,97.54,98.57,96.51
98.13,97.57,98.90,97.31
98.32,97.71,98.73,97.15
97.55,98.15,98.27,97.02
98.10,98.94,98.96,97.51
98.86,99.79,99.79,98.13
99.91,98.73,99.96,98.19
98.70,98.78,99.92,98.51
99.20,99.53,99.54,98.54
99.90,99.75,100.05,98.71
99.58,100.56,100.64,99.04
100.72,100.71,101.19,99.66
101.12,101.35,101.56,100.00
101.59,99.97,102.11,99.55
100.08,101.45,101.64,100.08
102.03,102.47,102.77,100.77
102.34,102.87,103.48,101.84
102.62,104.70,104.93,102.62
104.24,103.47,105.00,102.89
103.73,105.03,105.10,103.61
105.28,106.27,106.34,104.76
105.84,106.26,106.91,105.62
105.33,106.41,106.80,105.02
106.30,107.16,107.45,105.81
107.45,107.03,107.60,106.01
106.45,106.85,107.83,106.13
107.46,107.81,108.39,107.10
107.54,108.13,108.29,107.32
108.51,107.94,108.51,107.15
106.88,107.88,108.59,106.86
107.60,106.98,108.51,105.82
106.96,105.64,106.96,104.25
106.17,106.98,107.08,105.72
107.27,110.04,110.27,107.27
110.32,107.04,110.49,106.98
107.05,105.43,107.78,105.26
106.67,107.38,107.54,106.62
