IJJ,iShares S&P Mid-Cap 400 Value ETF,NASDAQ
66.56,67.01,67.19,66.44
66.96,67.10,67.15,66.60
67.07,67.52,67.56,67.07
67.48,68.04,68.09,67.16
67.91,68.46,68.47,67.78
68.64,68.42,68.83,68.20
67.86,67.67,68.05,67.32
67.86,68.47,68.51,67.46
68.36,68.64,68.69,68.21
68.54,67.78,68.71,67.58
67.81,68.72,68.73,67.81
68.15,68.25,68.31,67.50
68.30,67.37,68.55,67.34
67.32,66.06,67.45,65.94
66.39,66.16,66.60,65.79
66.04,65.97,66.62,65.86
65.75,66.02,66.13,65.03
66.17,65.10,66.20,64.73
65.22,64.24,65.88,64.24
64.38,65.15,65.17,64.38
65.28,66.04,66.16,65.07
65.83,65.59,66.05,65.38
65.10,63.70,65.24,63.70
63.61,63.82,63.82,62.42
63.83,63.31,64.18,63.25
64.01,64.09,64.53,63.45
63.92,64.14,64.51,63.39
64.02,64.93,64.96,63.77
64.30,65.38,65.41,64.15
66.04,66.58,66.58,65.69
66.74,66.90,67.05,66.57
66.90,67.35,67.40,66.90
67.34,67.72,67.90,67.17
67.94,67.92,68.12,67.69
67.74,66.98,67.85,66.93
67.21,67.50,67.54,67.01
66.55,67.48,67.58,66.31
67.57,67.39,67.57,66.95
67.65,68.45,68.45,67.61
68.67,68.76,68.96,68.51
68.97,68.97,69.37,68.78
69.10,68.91,69.28,68.72
69.24,69.88,69.92,69.21
69.90,70.06,70.15,69.83
69.84,70.12,70.49,69.79
70.15,70.63,70.73,70.09
70.36,70.93,71.00,70.10
71.31,70.98,71.36,70.63
70.93,70.95,71.26,70.39
71.05,71.79,71.79,70.94
72.04,72.39,72.65,72.00
72.48,72.08,72.55,72.00
71.39,71.39,72.40,71.20
70.89,72.04,72.14,70.77
72.16,72.70,72.70,71.77
72.31,72.05,72.50,72.04
72.41,71.35,72.52,71.31
71.52,71.28,71.87,71.02
71.65,71.77,71.82,71.47
71.92,71.87,72.16,71.52
71.68,71.33,72.16,71.33
71.91,72.14,72.35,71.59
72.39,73.19,73.19,72.18
72.90,73.65,73.74,72.90
73.51,73.17,73.62,72.78
72.83,73.13,73.22,72.49
73.19,73.68,73.68,72.82
73.82,73.90,73.96,73.52
73.78,74.17,74.20,73.47
74.52,75.36,75.36,74.46
75.25,75.29,75.64,75.15
75.08,74.28,75.27,73.90
73.97,74.26,74.56,73.40
74.64,75.31,75.31,74.45
75.40,75.71,75.75,75.21
75.06,76.46,76.56,74.77
76.56,77.21,77.24,76.25
77.21,76.78,77.47,76.71
76.50,74.97,76.99,74.85
75.31,75.23,75.64,74.89
75.82,76.43,76.58,75.40
76.48,74.80,76.67,74.80
75.33,76.01,76.06,75.24
74.97,73.67,74.97,73.40
73.10,73.00,73.92,72.53
72.65,70.44,73.27,30.05
69.90,68.79,70.78,68.04
71.95,72.31,72.37,71.30
71.60,72.62,73.47,71.40
72.94,74.05,74.11,72.89
73.88,73.28,74.18,73.05
72.79,71.58,72.81,71.07
71.83,71.70,72.47,69.97
72.48,70.61,72.67,70.39
70.21,70.01,71.09,68.92
68.24,66.85,69.01,66.85
65.60,67.86,68.15,65.51
67.55,67.10,68.28,67.10
65.62,67.08,67.10,64.54
67.33,67.21,68.49,67.00
68.73,69.77,69.77,68.26
69.71,69.16,69.80,68.71
68.45,67.20,69.20,67.18
67.51,68.98,69.01,67.07
69.02,69.42,69.54,68.64
67.89,66.47,68.43,66.37
66.74,65.23,66.87,65.23
65.23,65.73,65.74,64.31
66.04,65.76,67.19,65.49
66.76,67.80,67.85,66.76
67.14,68.55,68.59,67.14
69.22,68.86,69.89,68.77
69.37,70.49,70.61,69.18
70.17,70.24,70.65,69.84
70.57,70.18,70.58,69.47
70.52,70.09,70.52,69.77
70.88,69.61,71.09,69.25
69.71,68.03,70.18,68.01
67.79,67.58,68.17,66.82
67.18,66.38,67.44,66.36
66.59,67.18,67.40,66.08
67.15,67.06,67.57,66.64
66.14,64.72,66.14,64.40
64.68,64.11,65.53,64.03
63.99,63.62,64.29,62.32
63.95,63.11,64.05,62.82
63.93,62.83,64.50,62.37
62.94,65.13,65.15,62.94
65.74,65.88,66.16,65.13
65.98,66.69,66.69,65.73
66.39,66.21,66.81,65.73
67.01,67.86,68.10,66.96
67.70,67.68,67.95,67.16
67.68,67.48,67.70,66.52
67.14,65.17,67.14,65.10
65.44,65.62,65.80,64.66
64.69,66.60,66.66,64.40
67.02,65.60,67.22,65.42
66.41,67.56,67.70,66.34
67.39,68.52,68.56,67.11
68.80,69.90,69.91,68.54
70.37,69.62,70.56,69.45
69.41,68.66,69.69,68.40
69.08,68.45,69.33,67.63
67.61,68.50,68.77,67.36
69.58,69.89,69.95,69.21
69.59,69.29,69.92,68.90
69.51,69.96,69.97,69.40
69.54,69.60,69.93,69.36
68.85,69.39,69.63,68.39
69.75,70.02,70.12,69.48
69.42,69.13,69.61,68.68
67.79,66.73,67.87,66.68
65.51,66.30,66.53,65.51
66.03,66.08,66.56,66.01
65.53,66.18,66.47,65.43
66.75,67.26,67.72,66.59
67.15,67.42,67.87,66.63
67.08,66.19,67.33,65.97
65.94,66.04,66.11,65.27
66.32,65.41,66.68,65.41
64.60,64.52,65.08,63.90
64.00,65.05,65.22,63.70
65.17,64.57,65.63,64.47
65.09,65.93,65.95,63.97
65.55,64.70,65.95,64.69
64.58,64.84,65.33,64.18
65.72,66.96,66.97,65.69
67.03,67.78,67.82,66.85
68.55,68.69,68.90,68.24
68.39,67.61,68.44,67.56
67.70,67.97,68.39,67.70
68.76,68.24,68.88,67.96
68.37,68.48,68.73,68.23
69.17,69.65,69.75,69.13
69.46,69.55,69.90,69.20
69.36,69.80,69.94,69.04
69.50,69.43,69.78,69.19
69.80,69.57,69.81,69.07
69.74,70.71,70.83,69.48
70.72,70.30,70.96,70.24
70.09,69.69,70.64,69.52
69.18,69.08,70.03,68.95
69.60,70.40,70.44,69.57
70.35,70.23,70.59,69.97
70.44,70.84,70.93,69.55
70.62,70.87,71.17,70.53
71.38,71.11,71.89,70.80
71.59,71.34,71.78,70.90
71.19,70.66,71.51,70.24
71.35,72.02,72.15,71.10
71.94,71.81,72.20,71.51
72.17,71.69,72.17,71.30
71.75,72.16,72.36,71.48
72.18,72.23,72.50,72.05
72.02,72.43,72.58,71.48
72.84,73.13,73.54,72.56
73.07,72.79,73.32,72.43
73.49,72.85,73.49,72.36
72.87,73.19,73.35,72.84
72.48,72.28,73.32,71.87
72.62,73.18,73.49,72.51
73.48,73.08,73.89,72.51
73.36,73.29,73.36,72.92
73.72,73.54,74.31,73.48
73.10,73.29,73.78,72.86
72.79,73.14,73.15,72.44
73.60,73.14,73.71,72.77
72.91,73.18,73.43,72.91
