UBT,ProShares Ultra 20+ Year Treasury,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
70.87,72.31,72.31,70.87
72.03,71.96,72.29,71.56
71.27,71.20,71.71,71.19
71.30,70.92,71.41,70.86
71.45,71.33,72.02,70.97
70.56,71.06,71.38,70.55
70.95,72.33,72.42,70.82
71.95,71.16,71.96,70.93
71.36,71.39,71.47,70.97
70.45,69.74,70.70,69.68
70.78,71.94,72.01,70.66
71.24,72.21,72.93,71.13
72.12,72.52,72.52,71.97
71.94,71.04,72.57,70.95
71.24,69.68,71.66,69.51
69.51,68.89,69.57,68.16
69.66,69.43,69.69,69.24
68.74,69.69,69.81,68.73
69.06,68.21,69.30,67.69
68.14,67.57,68.14,66.87
68.00,68.26,68.37,67.49
67.82,67.84,68.03,67.49
68.14,69.87,69.93,68.11
69.94,70.14,70.44,69.45
70.81,70.97,71.13,70.56
71.52,71.68,72.35,71.37
71.41,71.76,71.90,71.13
71.04,71.52,71.52,70.78
71.16,71.20,71.20,70.74
70.95,71.74,72.06,70.95
70.81,69.94,70.87,69.68
69.28,69.20,69.44,69.10
69.45,69.33,69.46,69.09
68.72,69.03,69.03,68.43
68.61,69.39,69.68,68.61
69.15,70.24,70.48,69.15
70.16,70.21,70.27,69.70
70.66,71.21,71.24,70.65
71.61,71.81,71.81,71.26
71.75,71.30,71.77,71.16
71.59,71.59,71.97,71.09
71.69,71.73,71.74,71.65
71.42,71.05,71.45,71.00
69.29,68.43,69.82,68.04
67.93,67.49,68.24,67.07
67.23,67.89,67.99,67.21
67.60,67.42,67.64,66.95
67.17,67.78,67.82,66.85
68.40,68.69,68.77,68.20
68.16,68.41,68.41,67.74
66.76,66.15,67.06,66.01
66.62,66.30,66.63,65.93
66.19,67.97,68.27,65.90
68.24,68.07,68.56,67.65
67.75,68.33,68.46,67.55
68.76,69.11,69.24,68.57
69.78,69.54,69.80,69.30
69.54,68.55,69.63,68.55
68.02,68.83,69.13,67.94
69.05,69.80,69.95,68.87
69.97,69.44,69.97,69.29
69.81,69.90,69.91,69.58
70.40,71.05,71.24,70.40
71.27,70.58,71.59,70.58
70.45,70.13,70.47,69.78
70.81,70.28,70.95,69.92
71.33,72.37,72.98,71.16
71.69,71.10,71.93,70.77
71.34,71.58,71.71,70.80
71.95,73.30,73.34,71.78
72.69,73.16,73.20,72.61
75.01,75.70,75.85,74.66
76.69,76.58,78.09,75.80
76.96,81.11,83.94,76.67
79.78,79.25,83.38,78.89
75.26,75.88,76.46,75.14
76.62,75.70,76.63,75.19
74.99,74.42,75.37,74.42
75.46,75.29,75.83,73.89
76.92,78.11,79.02,76.84
77.83,77.48,79.40,77.44
78.05,79.82,80.07,78.00
79.81,80.46,81.38,79.78
83.10,83.76,84.05,82.45
85.97,83.99,86.12,83.31
84.52,83.38,84.58,83.02
86.08,84.28,86.30,83.94
83.43,83.79,83.86,82.41
81.15,79.94,81.40,79.82
80.73,80.66,81.07,80.12
82.60,81.82,82.83,80.92
81.61,80.16,82.23,80.00
79.09,79.12,80.20,78.87
81.96,83.40,83.59,81.55
83.01,84.62,84.62,82.57
83.62,83.83,84.48,83.33
83.08,83.64,83.89,82.60
82.40,80.54,82.46,80.43
82.16,82.64,83.14,81.38
80.80,81.85,81.95,80.68
82.14,81.00,82.26,80.37
82.02,81.88,82.22,81.00
82.18,83.32,83.85,82.12
83.48,83.10,83.75,82.90
80.89,82.58,82.83,80.89
83.07,84.55,84.56,82.92
84.60,85.81,86.18,84.60
85.84,84.69,86.28,84.22
84.17,85.42,85.86,84.17
86.39,87.03,87.04,86.21
87.71,88.99,89.06,87.52
89.55,90.09,90.19,88.50
90.38,90.47,92.28,90.09
89.52,88.85,89.89,88.78
89.15,90.38,90.64,88.99
90.15,88.36,90.18,88.26
87.22,87.23,87.70,86.90
86.47,86.23,86.72,86.23
86.41,86.11,87.28,86.04
85.47,84.68,85.59,84.54
85.37,86.47,86.67,85.02
87.18,88.08,88.44,87.18
88.19,89.02,89.52,88.18
88.60,87.98,88.83,87.66
88.90,88.19,88.90,88.03
88.44,91.21,91.69,88.34
90.17,89.17,90.17,89.08
88.97,87.22,89.24,87.01
86.90,86.87,87.25,85.86
85.42,85.42,85.97,85.10
84.97,85.68,85.81,84.65
84.39,85.85,85.93,84.17
87.91,88.40,88.63,87.62
86.87,86.12,86.96,86.10
86.74,87.01,87.54,86.39
87.45,85.71,87.45,85.71
86.98,86.60,87.23,86.29
87.90,88.42,88.61,87.44
87.84,87.84,88.19,87.63
88.42,88.14,89.95,87.41
89.40,90.53,90.75,89.02
91.15,90.13,91.53,89.89
91.28,92.43,92.62,90.92
95.73,96.89,96.96,95.59
96.88,95.82,96.89,95.35
97.17,96.33,98.28,96.26
96.81,99.36,100.07,96.53
99.88,99.14,100.50,98.80
98.30,99.11,99.31,97.68
100.87,102.43,102.77,100.37
104.29,101.60,105.23,101.07
101.84,103.74,103.82,101.42
102.32,97.63,103.30,97.54
99.40,101.45,101.45,98.67
103.16,103.69,103.85,101.98
101.32,99.44,101.45,97.75
97.81,97.29,97.94,96.44
93.28,95.01,95.30,93.26
97.61,98.73,98.84,97.21
97.26,97.16,97.79,96.25
94.98,93.42,95.18,93.13
92.38,92.53,93.06,91.64
91.49,93.28,93.80,91.49
93.84,95.10,95.14,93.77
93.16,92.39,94.18,92.16
91.07,90.98,91.53,89.88
91.56,91.27,92.13,90.76
92.13,92.33,92.67,91.43
93.16,94.87,95.50,92.52
96.50,96.42,97.04,95.16
98.11,97.26,98.13,95.96
95.39,94.61,95.59,94.61
96.39,97.74,98.04,96.37
97.98,99.08,99.62,97.98
99.49,98.35,99.52,97.92
98.06,98.18,98.26,95.45
96.66,97.27,97.85,96.42
97.39,97.70,97.72,97.01
97.50,96.57,97.56,96.08
97.83,99.03,100.00,97.78
98.32,97.53,98.65,97.52
97.78,96.65,98.88,96.61
96.56,96.68,96.83,96.15
97.03,94.75,97.51,94.70
93.20,94.34,94.49,92.71
94.94,91.72,95.49,91.59
90.08,89.45,90.27,88.73
91.03,91.01,91.45,90.39
89.88,91.86,92.58,89.83
91.32,92.29,92.94,91.14
91.91,90.19,92.14,90.19
89.71,91.32,91.50,89.60
92.70,91.90,92.86,91.73
90.36,89.00,90.76,89.00
88.16,87.53,89.00,87.44
88.04,87.94,88.48,87.43
88.32,89.51,89.63,88.16
90.70,88.85,90.71,88.56
90.16,91.04,91.33,90.16
92.46,87.62,93.35,86.65
88.04,88.92,89.32,87.91
86.36,85.89,87.17,85.89
86.86,86.60,87.31,85.51
86.69,82.90,86.69,82.68
83.02,82.99,83.56,80.87
83.00,82.99,83.36,82.68
82.92,82.05,83.55,82.03
80.91,78.77,81.77,78.74
80.42,82.40,82.64,78.95
81.91,81.69,83.49,81.12
81.63,82.13,82.13,80.55
82.56,83.09,83.09,82.15
84.51,83.88,84.90,82.96
85.00,84.71,85.47,84.60
83.53,81.74,83.84,81.55
83.35,83.85,83.92,83.12
84.84,85.40,85.47,84.12
87.65,86.18,87.66,85.77
83.70,82.65,84.48,82.51
82.54,81.99,83.50,81.85
82.42,80.70,82.42,80.68
81.80,82.94,82.96,81.59
80.46,79.46,80.71,77.79
78.62,77.86,78.64,76.07
78.42,78.59,79.51,77.04
77.95,77.75,78.82,77.74
77.29,78.36,79.01,76.95
76.57,75.91,77.44,74.83
75.92,74.03,76.05,73.27
74.20,74.95,74.96,73.45
75.69,77.87,78.58,75.51
78.59,77.60,79.27,76.76
77.55,78.48,78.48,76.42
78.08,77.55,78.14,77.19
77.19,76.65,77.19,76.10
76.51,78.15,78.15,75.71
77.24,75.07,77.35,74.59
75.36,77.58,78.11,74.88
76.90,77.43,77.69,76.37
78.15,79.06,80.07,78.01
77.60,78.03,79.40,77.11
77.46,78.18,78.50,77.11
76.54,74.86,76.72,74.28
74.79,75.28,75.72,74.22
74.86,76.31,76.64,74.10
76.73,76.98,77.14,75.86
76.36,76.17,76.50,75.05
75.08,75.04,75.82,74.67
74.93,76.24,76.83,74.49
76.94,75.34,77.06,75.30
74.69,74.62,75.08,73.63
74.84,75.68,75.68,74.84
74.90,73.71,74.96,73.00
73.38,74.66,74.69,73.20
75.24,74.80,75.33,74.61
75.27,76.31,76.99,74.55
75.95,74.03,75.95,73.72
74.04,74.54,74.85,73.45
73.53,75.33,75.79,73.53
74.85,74.30,75.39,74.02
73.68,73.61,74.11,73.06
74.11,73.58,74.17,72.64
72.89,72.33,73.62,72.33
71.89,70.93,72.10,70.80
70.67,71.52,71.57,70.42
71.65,70.28,72.00,70.15
70.59,71.39,72.07,69.86
70.99,69.89,71.27,69.89
71.16,71.77,71.90,70.76
71.65,72.01,72.56,71.62
71.74,72.51,72.58,71.23
72.48,72.09,73.10,71.63
72.73,72.23,72.89,72.19
71.83,71.93,71.93,71.22
72.54,73.99,74.14,72.44
74.46,74.60,75.16,73.95
75.34,75.48,76.01,75.11
75.54,76.35,76.35,75.39
76.45,76.69,76.79,76.15
75.66,77.14,77.14,75.57
76.16,74.80,76.35,74.80
74.00,73.22,74.28,73.10
73.33,74.42,74.52,73.25
73.18,73.57,74.50,72.88
73.51,72.61,73.68,72.61
73.24,74.02,74.39,72.91
74.55,76.50,76.50,74.19
76.48,75.65,76.48,75.40
75.61,75.60,76.10,75.46
77.82,77.84,78.17,77.08
78.63,79.55,81.18,78.28
78.36,78.45,79.00,77.61
77.59,78.82,78.82,77.55
77.97,77.91,78.29,77.40
77.72,78.38,78.48,77.57
79.31,78.06,79.31,77.77
77.48,76.92,77.61,76.92
77.57,76.44,77.70,76.29
76.25,76.72,77.20,76.19
76.15,75.48,76.95,75.47
75.68,76.59,76.63,75.55
77.25,76.33,77.31,75.54
75.93,77.13,77.19,75.92
77.14,77.30,77.74,77.03
77.03,76.69,77.18,76.33
76.08,74.39,76.23,74.39
74.41,74.05,74.52,73.74
73.30,73.32,73.91,73.25
73.19,73.36,73.81,72.98
74.50,74.92,75.40,74.46
74.27,75.82,75.84,74.25
76.05,75.82,76.15,75.61
77.18,77.69,77.85,76.98
80.38,78.17,80.38,75.88
78.18,78.86,78.86,78.03
78.45,77.82,78.79,77.72
78.20,77.72,79.14,77.61
77.83,78.35,78.38,77.61
78.79,79.82,79.82,78.75
79.14,78.28,79.34,76.36
78.77,79.38,79.38,78.43
79.26,79.89,79.93,79.26
79.53,80.10,80.20,79.47
80.69,80.93,80.95,80.15
81.36,81.73,81.90,81.31
82.42,83.30,83.53,82.27
81.55,82.58,83.37,81.41
82.33,82.40,82.80,82.25
82.01,81.36,82.31,81.30
81.35,82.26,82.56,81.25
82.42,81.17,82.64,80.59
81.91,82.52,83.04,81.84
82.56,83.59,83.73,82.24
84.33,85.25,85.25,84.24
84.78,83.02,84.91,83.02
81.59,83.05,83.05,81.52
82.65,83.05,83.12,82.03
83.90,83.80,84.52,83.77
83.58,84.44,84.44,83.33
84.46,83.75,84.53,83.45
84.24,85.11,85.15,84.08
84.36,84.91,85.10,84.07
84.58,85.42,85.48,84.43
86.48,87.67,87.86,86.48
85.73,84.48,86.41,84.48
85.90,85.43,85.90,84.05
83.87,84.25,84.67,83.56
83.45,84.89,84.89,83.28
