GMMB,Columbia Intermediate Municipal Bond Fund,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
50.10,50.17,50.18,50.10
50.15,50.14,50.16,50.14
50.25,50.28,50.28,50.17
50.45,50.44,50.46,50.42
50.39,50.39,50.39,50.39
50.34,50.30,50.34,50.30
50.30,50.30,50.30,50.30
50.30,50.30,50.30,50.30
50.46,50.46,50.46,50.46
50.40,50.47,50.47,50.40
50.48,50.47,50.48,50.47
50.45,50.45,50.45,50.45
50.47,50.45,50.47,50.45
50.45,50.45,50.45,50.45
50.45,50.45,50.45,50.45
50.45,50.45,50.45,50.45
50.55,50.55,50.55,50.55
50.55,50.55,50.55,50.55
50.59,50.59,50.59,50.59
50.59,50.59,50.59,50.59
50.59,50.59,50.59,50.59
50.60,50.60,50.60,50.60
50.55,50.55,50.55,50.55
50.63,50.63,50.63,50.63
50.62,50.62,50.62,50.62
50.62,50.62,50.62,50.62
50.70,50.70,50.70,50.70
50.70,50.70,50.70,50.70
50.77,50.75,50.77,50.75
50.75,50.75,50.75,50.75
50.76,50.76,50.76,50.76
50.76,50.76,50.76,50.76
50.69,50.69,50.69,50.69
50.69,50.69,50.69,50.69
50.69,50.69,50.69,50.69
50.49,50.41,50.51,50.41
50.41,50.41,50.41,50.41
50.14,50.14,50.14,50.14
50.15,50.15,50.15,50.15
50.15,50.15,50.15,50.15
50.10,50.10,50.10,50.10
49.98,49.98,49.98,49.98
49.88,49.88,49.88,49.88
49.88,49.88,49.88,49.88
49.82,49.82,49.82,49.82
49.86,49.86,49.86,49.86
49.85,49.85,49.85,49.85
49.85,49.85,49.85,49.85
49.85,49.85,49.85,49.85
49.85,49.85,49.85,49.85
49.85,49.85,49.85,49.85
49.85,49.85,49.85,49.85
49.85,49.85,49.85,49.85
49.85,49.85,49.85,49.85
50.26,50.26,50.26,50.26
50.30,50.30,50.30,50.30
50.28,50.28,50.28,50.28
50.19,50.18,50.19,50.16
50.17,50.17,50.17,50.17
50.17,50.17,50.17,50.17
50.17,50.17,50.17,50.17
50.17,50.17,50.17,50.17
50.17,50.17,50.17,50.17
50.07,50.20,50.22,50.07
50.24,50.24,50.24,50.24
50.24,50.24,50.24,50.24
50.24,50.24,50.24,50.24
50.23,50.07,50.23,50.07
50.07,50.07,50.07,50.07
50.27,50.27,50.27,50.27
50.26,50.26,50.26,50.26
50.26,50.26,50.26,50.26
50.36,50.21,50.36,50.21
50.27,50.27,50.27,50.27
50.27,50.27,50.27,50.27
50.31,50.31,50.40,50.31
50.31,50.31,50.31,50.31
50.36,50.28,50.36,50.24
50.28,50.28,50.28,50.28
50.28,50.28,50.28,50.28
50.40,50.38,50.40,50.38
50.78,50.78,50.78,50.78
49.97,50.15,50.15,49.97
50.15,50.15,50.15,50.15
50.32,50.32,50.32,50.32
50.26,50.42,50.42,50.26
50.44,50.45,50.45,50.44
50.38,50.01,50.38,50.01
50.01,50.01,50.01,50.01
50.01,50.01,50.01,50.01
50.01,50.01,50.01,50.01
50.01,50.01,50.01,50.01
50.01,50.01,50.01,50.01
50.01,50.01,50.01,50.01
50.01,50.01,50.01,50.01
50.01,50.01,50.01,50.01
50.20,50.20,50.20,50.20
50.20,50.20,50.20,50.20
50.20,50.20,50.20,50.20
50.20,50.20,50.20,50.20
50.20,50.20,50.20,50.20
50.20,50.20,50.20,50.20
50.20,50.20,50.20,50.20
50.68,50.68,50.68,50.65
50.68,50.68,50.68,50.68
50.68,50.68,50.68,50.68
50.68,50.68,50.68,50.68
50.68,50.68,50.68,50.68
50.87,50.84,50.87,50.84
50.84,50.84,50.84,50.84
50.76,50.76,50.76,50.76
50.76,50.76,50.76,50.76
50.97,50.97,50.97,50.97
50.97,50.97,50.97,50.97
51.09,51.09,51.09,51.09
51.09,51.09,51.09,51.09
51.20,51.20,51.20,51.20
51.20,51.20,51.20,51.20
51.20,51.20,51.20,51.20
51.20,51.20,51.20,51.20
51.20,51.20,51.20,51.20
51.20,51.20,51.20,51.20
51.20,51.20,51.20,51.20
51.20,51.20,51.20,51.20
51.20,51.20,51.20,51.20
51.20,51.20,51.20,51.20
51.22,51.15,51.22,51.15
51.15,51.15,51.15,51.15
51.06,51.06,51.06,51.06
51.06,51.06,51.06,51.06
51.17,51.17,51.17,51.17
51.17,51.17,51.17,51.17
51.17,51.17,51.17,51.17
51.56,51.58,51.58,51.56
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
52.29,52.29,52.29,52.29
52.13,52.13,52.13,52.13
52.13,52.13,52.13,52.13
52.13,52.13,52.13,52.13
52.13,52.13,52.13,52.13
51.90,51.90,51.90,51.90
51.83,51.83,51.83,51.83
51.83,51.83,51.83,51.83
51.83,51.83,51.83,51.83
51.83,51.83,51.83,51.83
51.83,51.83,51.83,51.83
51.71,51.71,51.71,51.71
51.71,51.71,51.71,51.71
51.71,51.71,51.71,51.71
51.71,51.71,51.71,51.71
51.94,51.97,51.97,51.94
51.97,51.97,51.97,51.97
51.97,51.97,51.97,51.97
51.97,51.97,51.97,51.97
51.97,51.97,51.97,51.97
51.97,51.97,51.97,51.97
51.90,51.80,51.90,51.80
51.80,51.80,51.80,51.80
51.58,51.58,51.58,51.58
51.58,51.58,51.58,51.58
51.59,51.79,51.79,51.59
51.79,51.79,51.79,51.79
51.79,51.79,51.79,51.79
51.90,51.90,51.90,51.90
51.90,51.90,51.90,51.90
51.90,51.90,51.90,51.90
51.90,51.90,51.90,51.90
51.90,51.90,51.90,51.90
51.90,51.90,51.90,51.90
51.90,51.90,51.90,51.90
51.90,51.90,51.90,51.90
51.90,51.90,51.90,51.90
51.90,51.90,51.90,51.90
51.90,51.90,51.90,51.90
51.67,51.67,51.67,51.67
51.61,51.61,51.61,51.61
51.61,51.61,51.61,51.61
51.61,51.61,51.61,51.61
51.61,51.61,51.61,51.61
51.61,51.61,51.61,51.61
51.61,51.61,51.61,51.61
51.34,51.34,51.34,51.34
51.34,51.34,51.34,51.34
51.34,51.34,51.34,51.34
51.34,51.34,51.34,51.34
51.34,51.34,51.34,51.34
51.34,51.34,51.34,51.34
51.06,51.06,51.06,51.06
50.87,50.87,50.87,50.87
50.87,50.87,50.87,50.87
49.11,49.11,49.11,49.11
49.11,49.11,49.11,49.11
50.30,50.32,50.32,50.30
50.32,50.32,50.32,50.32
50.32,50.32,50.32,50.32
50.32,50.32,50.32,50.32
50.32,50.32,50.32,50.32
50.32,50.32,50.32,50.32
50.32,50.32,50.32,50.32
50.32,50.32,50.32,50.32
50.32,50.32,50.32,50.32
50.30,50.30,50.30,50.30
50.30,50.30,50.30,50.30
49.75,49.75,49.75,49.75
50.23,50.23,50.23,50.23
49.40,49.40,49.40,49.40
50.21,50.21,50.21,50.21
50.21,50.21,50.21,50.21
50.21,50.21,50.21,50.21
50.21,50.21,50.21,50.21
50.21,50.21,50.21,50.21
50.21,50.21,50.21,50.21
50.21,50.21,50.21,50.21
50.21,50.21,50.21,50.21
50.21,50.21,50.21,50.21
50.21,50.21,50.21,50.21
50.21,50.21,50.21,50.21
48.49,48.39,48.49,48.39
48.39,48.39,48.39,48.39
49.46,49.46,49.46,49.46
48.42,48.42,48.42,48.42
49.51,49.51,49.51,49.51
49.51,49.51,49.51,49.51
49.51,49.51,49.51,49.51
49.51,49.51,49.51,49.51
49.51,49.51,49.51,49.51
49.41,49.41,49.41,49.41
49.41,49.41,49.41,49.41
49.41,49.41,49.41,49.41
49.41,49.41,49.41,49.41
47.89,47.88,47.89,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
47.88,47.88,47.88,47.88
49.48,49.35,49.48,49.35
49.35,49.35,49.35,49.35
49.35,49.35,49.35,49.35
48.46,49.33,49.33,48.46
49.33,49.33,49.33,49.33
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
49.47,49.47,49.47,49.47
48.25,48.28,48.28,48.25
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.28,48.28,48.28,48.28
48.96,49.05,49.05,48.96
49.05,49.05,49.05,49.05
49.05,49.05,49.05,49.05
49.14,49.14,49.14,49.14
49.14,49.14,49.14,49.14
49.14,49.14,49.14,49.14
50.47,50.47,50.47,50.47
50.80,50.82,50.90,50.79
50.94,50.48,50.94,50.48
50.48,50.48,50.48,50.48
50.48,50.48,50.48,50.48
50.48,50.48,50.48,50.48
50.48,50.48,50.48,50.48
50.48,50.48,50.48,50.48
51.35,51.35,51.35,51.35
51.35,51.35,51.35,51.35
51.35,51.35,51.35,51.35
51.35,51.35,51.35,51.35
