EDC,Direxion Emerging Markets Bull 3X Shares,NASDAQ
2100.00,2193.30,2194.35,2097.00
2220.00,2236.35,2254.80,2196.00
2238.30,2255.10,2279.10,2235.15
2219.85,2224.80,2229.43,2178.00
2211.60,2268.00,2268.00,2197.65
2306.25,2241.75,2307.90,2223.08
2175.00,2152.65,2190.00,2116.50
2175.00,2169.15,2187.75,2108.10
2178.15,2152.65,2178.15,2139.45
nan,2072.55,nan,nan
2094.60,2179.05,2193.00,2087.55
2094.15,2049.75,2096.40,1993.35
2007.75,1865.10,2033.25,1854.75
1833.75,1735.65,1924.35,1723.65
1809.00,1755.60,1819.35,1733.40
1662.75,1651.95,1724.85,1638.15
1630.20,1644.75,1801.50,1569.75
1700.10,1611.15,1705.95,1563.15
1666.50,1552.35,1675.36,1523.40
1595.85,1671.90,1674.90,1590.30
1680.00,1721.70,1726.35,1639.80
1722.90,1690.35,1739.55,1668.15
1603.80,1465.50,1607.85,1448.25
1413.45,1407.75,1431.90,1284.00
1414.65,1373.55,1441.35,1366.50
1474.35,1503.00,1539.75,1437.00
1508.55,1495.35,1531.24,1443.45
1522.80,1606.80,1612.95,1484.40
nan,1567.50,nan,nan
1630.80,1674.00,1674.00,1597.50
1711.95,1685.70,1713.72,1658.10
1650.00,1709.25,1724.70,1638.00
1650.00,1674.15,1701.30,1641.00
1702.50,1674.60,1702.65,1660.20
1647.75,1565.10,1651.35,1553.25
1589.55,1595.25,1635.00,1557.26
1489.05,1560.00,1565.91,1463.10
1561.95,1610.55,1612.35,1535.94
1659.75,1686.90,1695.00,1645.80
1725.45,1740.00,1765.50,1711.65
1758.00,1747.05,1806.90,1716.75
1756.50,1720.05,1756.50,1683.90
1786.80,1845.00,1845.00,1767.30
1865.25,1854.52,1879.65,1839.45
1822.65,1888.35,1909.12,1822.65
1906.05,1920.75,1946.55,1887.75
1883.10,1925.85,1930.95,1863.60
1957.20,1904.10,1957.20,1891.35
1874.25,1866.90,1888.20,1830.03
1889.85,1929.75,1933.50,1863.00
1981.50,1985.40,2014.65,1965.15
1978.20,1942.05,1983.90,1912.65
1948.50,1861.95,1959.15,1856.55
1806.15,1880.10,1889.70,1791.75
1879.50,1917.30,1921.20,1861.50
1855.50,1844.10,1885.35,1835.70
1883.40,1820.25,1898.52,1809.45
1861.80,1831.80,1881.00,1798.07
1886.85,1942.50,1942.50,1883.40
1950.00,1974.30,1980.00,1927.20
1938.90,1983.30,1994.55,1938.75
nan,2121.00,nan,nan
2169.90,2182.50,2196.00,2145.00
2160.00,2202.90,2217.90,2152.35
2184.75,2142.00,2189.10,2108.55
2097.45,2165.55,2172.00,2068.80
2185.20,2206.50,2206.50,2166.30
