MAC,Macerich Company (The) Common Stock,NASDAQ
36.38,34.84,37.11,34.47
34.53,34.43,34.75,34.08
34.51,33.34,34.86,33.20
33.38,33.47,33.69,32.64
33.59,32.84,33.59,32.26
33.33,32.93,33.50,32.80
32.50,32.23,32.97,31.94
32.26,32.99,33.11,31.97
32.83,33.27,33.47,32.38
33.18,32.78,33.31,32.66
32.79,34.14,34.32,32.78
33.67,33.70,34.35,33.50
33.90,32.38,34.00,32.27
32.32,31.55,33.04,31.44
32.17,32.40,32.47,31.18
32.20,31.37,32.57,31.32
31.22,31.94,32.09,30.76
32.10,31.09,32.13,30.70
31.36,30.85,31.85,30.27
31.11,31.45,31.71,30.99
31.70,32.00,32.66,31.19
31.75,31.28,31.92,30.78
30.86,30.17,31.01,30.16
30.30,31.31,31.37,30.17
31.12,30.58,31.49,30.58
31.16,30.50,31.18,30.18
30.42,30.57,31.21,30.03
29.75,29.97,30.11,29.30
29.73,30.85,31.02,29.42
31.25,32.00,32.07,30.95
32.01,33.68,33.88,32.01
33.41,34.06,34.31,33.12
34.04,33.64,34.29,33.56
33.85,33.37,33.90,33.30
33.24,33.67,33.98,33.14
33.80,35.10,35.24,33.50
34.37,35.87,35.98,34.26
35.82,35.64,36.06,35.09
35.90,35.93,36.02,35.47
36.12,36.79,36.94,36.12
36.92,36.30,37.28,36.24
36.35,36.44,36.70,36.17
36.66,38.58,38.85,36.66
38.35,38.81,38.98,38.06
38.51,38.60,39.61,38.27
38.67,38.14,38.99,38.04
38.28,38.61,38.73,37.65
38.91,39.19,39.60,38.40
39.17,39.11,39.35,38.26
39.16,40.95,41.20,39.02
41.18,41.07,41.34,40.64
40.74,40.08,41.05,40.04
39.40,39.40,40.17,39.22
39.15,40.02,40.31,38.95
40.09,39.26,40.09,39.01
39.00,39.20,39.46,38.98
39.69,39.61,40.79,39.55
39.90,39.28,40.50,39.17
39.38,39.63,40.08,39.17
39.80,38.92,39.80,38.71
38.80,38.31,39.08,38.08
38.67,38.77,38.92,38.17
39.06,40.43,40.53,38.94
40.09,42.47,42.64,39.94
42.26,40.47,42.50,40.19
40.22,40.29,40.71,40.01
41.05,41.99,42.18,40.95
42.00,41.90,42.31,41.42
41.77,43.51,43.64,41.68
44.03,43.73,44.09,43.15
40.93,40.90,40.98,40.00
40.76,39.83,41.05,39.62
39.47,40.14,40.70,39.31
40.41,40.74,40.99,40.00
40.74,41.83,41.99,40.74
41.49,43.24,43.24,41.47
43.32,45.00,45.28,42.59
44.96,45.49,45.73,44.83
44.89,43.18,45.56,43.14
43.74,43.52,43.94,42.86
44.17,45.61,46.10,44.12
45.60,44.71,46.71,44.21
45.19,46.50,47.19,44.89
45.26,44.45,45.26,43.95
42.94,44.12,44.55,42.36
43.16,41.60,43.83,37.94
41.47,40.75,42.81,39.76
43.12,44.12,44.18,42.84
43.15,44.38,45.20,42.80
44.81,45.49,46.09,44.66
45.40,44.34,45.73,44.02
43.76,43.31,44.13,42.75
43.59,43.54,44.59,41.80
44.39,42.37,44.48,41.75
42.00,41.54,42.91,40.21
40.16,39.48,40.92,39.03
38.54,40.33,40.72,37.88
40.25,40.15,41.34,39.84
38.55,38.97,39.20,37.71
39.60,39.25,40.74,38.77
40.74,41.43,41.56,39.62
41.46,41.36,42.33,40.88
40.63,39.93,41.65,39.76
40.37,40.35,40.54,39.18
40.31,40.29,40.82,39.50
39.05,37.81,39.87,37.57
38.00,36.99,38.75,36.89
37.05,37.60,37.74,35.82
38.13,38.30,39.33,37.84
39.28,39.94,40.30,38.78
39.22,40.96,41.05,38.92
41.54,41.61,42.31,41.00
