ISNS,Image Sensing Systems,NASDAQ
11.50,11.55,11.55,11.50
11.55,12.10,12.39,11.50
11.80,11.80,11.80,11.80
12.05,12.05,12.05,12.05
12.68,12.66,12.73,12.66
12.67,12.70,12.70,12.67
12.79,12.70,12.80,12.70
12.70,13.05,13.05,12.70
13.05,13.20,13.88,13.05
13.20,12.99,13.20,12.99
13.47,13.46,13.50,13.12
13.58,13.52,13.73,13.52
13.89,13.79,13.92,13.55
13.73,13.75,13.75,13.40
13.98,14.00,14.02,13.75
14.19,14.03,14.20,13.99
13.75,13.18,13.75,13.18
12.98,13.17,13.17,12.62
12.84,13.20,13.68,12.62
13.59,14.52,14.68,13.59
14.74,14.22,14.75,14.10
14.27,13.79,14.27,13.70
13.80,14.27,14.27,13.79
14.50,14.89,14.98,14.25
14.73,15.19,15.25,14.50
15.24,15.10,15.53,14.60
14.93,15.10,15.10,14.93
15.40,15.08,15.40,14.89
14.60,14.40,15.00,14.25
14.58,14.59,14.69,14.25
14.51,14.28,14.65,14.28
14.53,14.13,14.86,14.13
14.20,14.10,14.20,14.01
14.15,14.50,14.52,14.15
14.40,14.40,14.50,14.32
14.46,13.96,14.49,13.96
13.30,13.07,13.30,12.05
13.11,13.28,13.51,12.72
12.79,12.91,13.41,12.75
12.84,12.90,13.00,12.84
12.78,12.75,12.95,12.50
12.98,12.97,12.98,12.42
13.11,12.75,13.25,12.48
12.94,13.25,13.25,12.89
13.43,13.85,14.42,13.43
14.12,13.36,14.15,13.34
12.99,13.20,14.16,12.99
13.40,13.40,13.40,13.40
13.36,14.05,14.25,12.95
14.05,14.45,14.68,14.00
14.57,13.81,14.57,13.51
14.13,14.18,14.55,12.99
13.81,14.60,14.60,13.67
14.30,14.17,14.42,13.94
14.35,14.01,14.35,14.01
14.00,14.00,14.00,13.87
14.00,13.62,14.24,13.62
13.60,13.30,13.93,13.12
13.25,13.09,13.91,13.05
13.11,12.99,13.56,12.95
12.96,13.07,13.43,12.96
13.03,13.06,13.17,13.02
13.56,13.20,13.65,13.15
13.23,13.13,13.65,12.96
12.92,13.08,13.40,12.92
13.36,13.02,13.48,13.02
13.02,13.02,13.02,13.02
13.00,13.20,13.45,12.75
12.20,13.37,13.37,12.20
13.40,13.30,13.42,13.20
12.95,13.25,13.25,12.94
13.39,13.20,13.41,13.01
13.30,13.31,13.40,13.25
13.20,13.39,13.39,13.20
13.41,13.50,13.60,13.38
13.41,13.45,13.45,13.41
13.60,13.41,13.60,13.41
13.41,13.40,13.47,12.65
13.45,13.40,13.45,13.37
13.45,13.80,13.82,13.45
13.95,13.51,13.95,13.50
13.50,13.50,13.50,13.50
13.90,13.56,13.98,13.54
13.95,13.50,14.47,13.50
13.52,13.50,14.18,13.50
13.53,13.06,13.53,13.06
13.09,12.86,13.50,12.81
13.00,13.00,13.10,13.00
12.75,12.55,12.79,12.25
12.75,12.70,13.18,12.70
13.50,13.18,14.45,13.06
12.74,12.97,12.97,12.74
13.32,12.75,13.32,12.65
13.09,12.98,13.22,12.50
12.85,12.85,12.90,12.85
12.85,13.00,13.00,12.61
12.66,12.61,12.79,12.55
12.97,12.45,13.00,12.33
12.28,12.50,12.50,12.22
12.50,13.12,13.45,12.44
13.25,13.15,13.75,13.13
13.12,12.85,13.12,12.85
12.30,13.50,13.75,12.30
13.50,13.00,13.50,12.95
13.00,13.09,13.15,13.00
13.00,13.10,13.25,12.95
13.40,12.84,13.40,12.84
13.01,13.10,13.10,12.50
13.10,12.88,13.35,12.61
12.79,13.13,13.21,12.75
13.10,13.10,13.30,13.10
13.22,13.09,13.25,13.00
13.10,13.10,13.20,12.98
13.25,13.20,13.35,13.10
13.16,13.10,13.16,13.00
13.02,12.75,13.25,12.75
13.24,12.99,13.25,12.95
13.05,12.99,13.15,12.99
13.17,13.23,13.30,13.00
13.21,13.21,13.49,13.21
13.25,13.25,13.30,13.21
13.25,13.10,13.25,13.06
13.15,13.13,13.17,13.07
13.50,13.45,13.50,13.10
13.10,13.36,13.36,13.08
13.29,13.40,13.40,13.05
13.25,13.25,13.26,13.20
13.25,13.27,13.35,13.25
13.25,13.38,13.38,13.25
13.38,13.45,13.45,13.30
13.39,13.50,13.50,13.29
13.50,13.50,13.50,13.50
13.25,13.25,13.25,13.25
13.50,13.25,13.50,13.17
13.49,13.04,13.49,13.04
13.25,13.17,13.25,13.17
13.15,13.08,13.17,12.81
13.08,13.00,13.08,13.00
13.05,13.06,13.06,13.05
13.10,12.96,13.10,12.92
12.90,12.74,12.94,12.52
12.84,12.62,12.84,12.62
12.65,12.81,12.82,12.63
12.66,12.03,12.66,11.83
12.08,12.04,12.08,12.00
11.75,11.41,12.04,11.10
11.41,11.50,11.50,11.15
11.57,11.68,12.90,11.50
11.60,11.60,11.60,11.60
12.00,11.50,12.00,11.50
11.14,11.20,11.21,11.14
11.51,11.44,11.51,11.44
11.40,11.50,11.60,11.40
11.50,11.34,11.50,11.34
11.50,11.35,11.50,11.17
11.40,11.40,11.40,11.39
11.55,11.48,11.55,11.40
11.55,11.22,11.55,11.15
11.50,11.74,11.96,11.50
12.00,12.00,12.00,12.00
11.61,10.96,11.61,10.14
10.93,11.02,11.02,10.90
10.97,10.91,10.97,10.72
10.65,10.85,10.92,10.60
10.60,10.57,10.99,10.25
10.36,10.61,10.61,10.36
10.60,10.69,10.79,10.60
10.63,10.69,10.69,10.63
10.72,10.50,10.72,10.49
10.50,10.50,10.59,10.41
10.31,10.35,10.52,10.25
10.12,10.25,10.31,10.12
10.25,10.15,10.34,10.15
10.10,10.25,10.35,10.10
10.25,10.25,10.25,10.25
10.25,10.25,10.25,10.25
10.24,10.55,10.61,10.17
10.54,10.60,10.85,10.54
10.60,10.60,10.70,10.57
10.60,10.80,11.07,10.60
11.00,11.66,11.82,10.63
11.51,11.55,11.63,11.51
11.58,11.58,11.58,11.58
11.58,11.58,11.58,11.58
11.50,11.09,11.50,10.96
11.43,11.44,11.72,11.43
11.87,11.50,12.00,11.43
11.43,11.20,11.43,10.75
11.20,11.20,11.20,11.20
11.11,11.15,11.20,11.10
11.50,11.23,11.65,11.23
11.43,11.17,11.43,11.17
11.16,11.14,11.50,11.10
11.14,11.14,11.14,11.14
11.20,11.26,11.26,11.20
11.20,11.20,11.33,11.20
11.20,11.41,11.63,11.20
11.24,11.49,12.19,11.21
11.40,11.25,11.40,11.25
11.44,11.88,12.03,11.10
11.78,12.07,12.18,11.32
11.93,11.64,11.93,11.54
11.83,11.36,11.85,11.36
11.80,11.60,11.80,11.59
11.83,11.35,11.83,11.35
11.35,11.50,11.68,11.35
11.52,11.60,11.64,11.51
11.60,11.60,11.61,11.52
11.50,11.59,11.74,11.50
11.82,11.78,12.25,11.60
11.92,11.68,11.92,11.44
11.40,11.22,11.99,11.13
11.76,11.19,11.76,11.10
11.25,12.50,12.50,11.25
12.59,12.99,13.50,12.18
12.96,13.14,13.25,12.75
12.96,13.14,13.14,12.53
13.10,13.20,13.20,13.10
13.11,13.03,13.14,12.75
12.83,12.73,13.18,12.51
12.51,12.99,13.07,12.51
13.00,13.06,13.06,13.00
12.98,12.50,12.99,12.50
12.13,12.75,12.75,12.12
12.97,12.78,13.23,12.51
12.50,12.26,12.55,12.22
12.26,12.22,12.34,12.14
12.22,12.22,12.22,12.22
12.10,12.01,12.74,11.60
12.00,12.31,12.31,11.85
11.98,12.00,12.00,11.98
12.05,12.00,12.05,12.00
12.01,12.05,12.05,12.00
12.02,12.10,12.49,11.95
12.13,12.10,12.13,12.00
12.38,12.07,12.38,12.00
12.01,12.12,12.20,12.00
12.35,12.20,12.37,12.02
12.07,12.00,12.20,12.00
12.15,12.00,12.15,12.00
12.23,12.60,12.60,12.00
12.50,12.90,12.90,12.50
12.90,13.25,13.25,12.62
13.02,13.20,13.45,12.70
13.35,13.41,13.41,13.33
13.41,13.41,13.41,13.41
13.30,13.25,13.30,13.01
12.59,12.56,12.79,12.45
13.00,12.80,13.00,12.45
12.95,12.95,12.95,12.73
12.99,12.99,13.05,12.51
13.00,13.01,13.01,13.00
13.01,13.01,13.25,12.58
13.04,13.46,13.49,13.01
13.95,14.00,14.00,13.76
14.20,13.85,14.20,13.82
13.85,13.67,13.91,13.54
14.06,13.54,14.06,13.32
13.57,13.48,13.58,13.48
13.69,13.72,14.17,13.54
13.70,13.50,13.70,13.05
12.91,13.48,13.48,12.91
13.48,13.45,13.49,12.76
13.04,13.19,13.60,13.02
13.08,13.20,13.20,13.08
13.44,13.11,13.49,13.00
13.03,13.00,13.05,13.00
13.02,13.00,13.22,13.00
13.05,13.15,13.15,13.00
12.99,13.20,13.20,12.99
13.14,12.90,13.14,12.90
12.85,13.76,13.76,12.85
12.83,12.84,12.87,12.83
13.03,13.25,13.26,13.02
13.94,13.73,13.94,13.73
13.88,13.46,13.88,13.46
13.44,13.71,13.89,13.16
13.71,13.71,13.71,13.71
13.43,13.09,13.43,13.00
13.01,13.00,13.41,13.00
13.18,13.07,13.18,13.00
13.24,13.25,13.43,13.02
13.33,13.15,13.33,13.00
13.15,13.27,13.40,13.15
13.40,13.24,13.43,13.24
13.40,13.34,13.43,13.29
13.39,13.62,14.00,13.18
13.84,13.99,13.99,13.16
14.00,13.65,14.34,13.35
13.67,13.50,13.91,13.50
13.61,13.67,13.91,13.29
13.60,13.66,13.66,13.24
13.46,13.65,14.34,13.29
13.18,13.39,13.80,13.18
13.78,13.67,13.91,13.51
13.50,13.70,13.94,13.17
13.24,13.46,13.60,13.24
13.50,13.50,13.67,13.42
13.50,13.62,13.62,13.50
13.62,13.62,13.62,13.62
13.61,13.61,13.70,13.20
13.33,13.50,13.50,13.15
13.50,13.68,13.70,13.45
13.45,13.51,13.51,13.30
13.31,13.64,13.64,13.25
13.51,13.50,13.51,13.50
13.58,13.58,13.58,13.58
13.50,13.50,13.51,13.21
13.60,13.62,13.62,13.49
13.32,13.50,13.50,13.32
13.50,13.50,13.51,13.21
13.51,13.50,13.51,13.50
13.55,13.60,13.60,13.45
13.57,13.73,13.73,13.55
13.63,13.40,13.94,12.86
13.64,13.50,13.64,13.40
13.11,13.92,13.92,13.08
13.76,13.50,13.76,13.50
13.50,13.79,13.84,13.27
13.71,13.84,13.84,13.40
13.81,13.81,13.81,13.81
13.57,13.58,13.58,13.57
13.63,13.86,13.86,13.63
13.86,13.86,13.86,13.86
13.81,13.49,13.81,13.45
13.50,13.90,13.90,13.41
13.71,13.50,13.71,13.40
13.70,13.51,13.84,13.49
12.88,12.00,12.88,11.72
12.03,12.69,13.20,12.03
12.35,12.00,12.50,12.00
12.00,12.00,12.00,12.00
12.08,12.06,12.08,12.06
12.00,11.95,12.05,11.20
11.94,11.90,11.94,11.50
11.80,12.07,12.07,11.80
12.00,11.97,12.05,11.85
12.00,12.00,12.05,11.86
