IBB,iShares Nasdaq Biotechnology Index Fund,NASDAQ
82.47,83.05,83.05,82.02
82.50,82.47,82.99,81.94
82.95,83.10,83.22,82.63
83.25,83.06,83.28,82.45
83.04,83.72,83.72,82.30
84.17,84.16,84.80,83.42
83.83,83.90,84.10,82.95
84.24,84.88,85.12,83.84
84.50,85.11,85.27,84.46
85.19,84.21,85.31,83.71
84.81,85.77,85.77,84.51
86.20,85.07,86.35,84.00
85.38,83.69,85.38,83.36
83.10,83.40,84.32,83.10
84.17,82.78,84.17,82.66
82.34,82.76,83.21,82.03
82.32,83.97,83.97,82.23
84.16,83.19,84.16,82.71
83.53,83.28,84.10,83.19
83.31,83.77,83.78,83.22
83.15,85.49,85.49,83.15
85.20,85.36,86.00,84.61
85.11,82.30,85.11,81.85
82.01,82.08,82.43,80.08
82.43,81.63,82.43,81.16
81.92,82.40,83.04,81.66
82.14,82.22,82.52,81.21
82.56,83.67,83.69,81.72
82.70,84.25,84.25,82.70
85.08,84.47,85.08,83.45
84.63,85.65,85.65,84.45
85.59,85.27,85.66,84.87
85.30,85.33,85.63,84.70
85.16,85.21,85.65,84.82
85.26,84.22,85.41,83.92
84.25,84.81,85.20,84.25
83.90,85.04,85.04,83.67
84.76,85.40,85.42,84.39
85.96,87.41,87.46,85.88
87.19,88.26,88.47,87.19
88.26,87.89,88.34,87.63
87.87,87.75,88.12,87.32
88.25,89.12,89.12,88.14
89.28,88.83,89.30,88.69
88.44,89.80,89.80,88.01
90.09,90.61,90.76,90.03
90.43,90.85,91.12,89.91
91.67,91.28,91.81,90.12
90.77,90.57,90.82,90.03
90.90,91.04,91.19,90.26
91.38,90.71,91.38,90.54
90.62,91.51,91.51,90.48
91.17,91.48,91.57,91.09
90.50,92.27,92.48,90.50
92.94,93.38,93.38,92.17
92.41,92.32,93.53,92.22
92.99,91.67,92.99,91.61
92.37,91.30,92.37,90.77
91.61,91.93,92.02,91.60
91.61,91.57,91.90,91.13
91.27,90.94,91.75,90.83
91.60,91.84,92.15,91.20
92.40,92.60,92.60,91.64
91.99,92.58,92.92,91.99
92.95,92.08,92.95,91.54
91.48,92.04,92.23,90.99
92.20,92.07,92.20,91.42
91.63,91.80,92.04,91.06
91.95,92.05,92.10,91.43
92.76,92.49,92.76,91.91
92.55,92.70,92.90,92.40
92.70,92.28,92.83,91.33
92.10,91.94,92.73,91.15
92.35,92.28,92.35,91.52
92.00,90.78,92.00,90.11
90.00,89.99,90.15,88.90
89.92,90.79,91.35,89.81
90.78,90.31,91.14,90.14
89.70,89.04,90.90,88.83
89.31,89.51,89.70,88.95
89.69,91.87,92.90,89.69
91.88,91.23,92.76,91.05
92.17,92.39,92.65,91.27
91.53,90.57,91.71,89.80
88.71,88.76,88.77,86.80
88.34,86.30,88.85,70.00
85.10,82.55,85.37,81.51
85.14,85.26,86.69,84.59
84.21,86.20,87.10,84.09
86.55,87.92,87.92,86.20
87.74,86.87,87.94,86.75
86.07,85.18,86.65,84.29
85.39,85.37,85.85,83.59
85.81,84.39,86.06,84.15
84.20,84.18,84.92,83.24
83.13,80.87,83.13,80.46
79.47,80.75,81.59,79.41
80.82,80.62,81.55,80.06
78.70,80.48,80.48,77.75
80.51,79.50,81.49,79.23
80.78,81.56,81.61,80.50
81.87,81.23,82.02,80.62
79.90,79.70,81.76,79.56
80.30,82.61,82.61,80.15
82.85,83.47,83.47,82.27
81.51,80.26,82.19,80.01
80.79,79.04,81.12,78.96
79.32,78.19,79.35,77.00
78.97,77.93,79.35,77.63
78.95,80.35,80.35,78.70
79.09,81.24,81.41,79.09
81.77,81.49,82.67,81.39
82.38,83.13,83.24,81.78
82.05,82.88,83.47,82.05
83.30,83.02,83.30,82.01
83.31,83.37,83.70,82.70
84.31,82.18,84.52,81.86
82.54,81.15,83.02,81.02
81.47,81.24,81.71,80.52
