WLK,Westlake Chemical Corporation Common Stock,NASDAQ
25.17,25.45,25.51,25.17
25.34,25.26,25.63,25.06
25.29,25.26,25.50,25.02
25.23,25.17,25.36,24.90
25.11,25.03,25.13,24.85
25.17,24.99,25.17,24.31
24.72,24.58,24.95,24.43
24.75,25.13,25.20,24.45
24.97,24.50,25.10,24.47
24.61,24.43,24.66,24.01
24.41,24.48,24.61,24.28
24.30,23.82,24.39,23.57
23.38,22.28,23.71,22.26
22.31,21.65,22.39,21.58
21.90,21.64,21.90,21.46
21.43,21.42,21.72,21.13
21.31,21.45,21.64,21.02
21.55,20.91,21.55,20.43
21.00,20.53,21.45,20.52
20.60,21.52,21.61,20.18
21.48,21.62,21.68,21.08
21.55,21.26,22.09,21.09
21.11,20.49,21.11,20.45
20.56,20.50,20.80,19.90
20.42,19.66,20.44,19.66
19.96,20.06,20.20,19.80
19.91,19.72,20.04,19.55
19.60,19.69,19.90,19.20
19.50,19.75,19.80,19.36
19.98,19.93,20.09,19.67
20.06,20.11,20.17,19.79
20.03,20.46,20.46,19.93
20.45,20.79,20.90,20.34
20.79,21.16,21.17,20.72
21.06,20.52,21.06,20.25
20.39,20.42,20.73,20.02
20.04,20.63,20.65,20.01
20.59,20.25,20.83,20.22
20.64,22.39,22.40,20.64
22.41,22.85,23.24,22.38
22.95,23.33,23.55,22.64
23.27,23.04,23.42,22.90
23.14,22.75,23.40,22.67
22.68,22.32,22.86,22.30
22.31,22.58,22.67,22.09
22.51,22.68,22.97,22.41
22.49,22.52,22.58,22.15
22.66,22.76,22.80,22.44
22.64,22.83,22.87,22.51
22.98,23.46,23.46,22.86
23.56,24.37,24.75,23.56
24.42,24.71,24.77,24.42
23.35,23.35,24.87,23.25
23.14,23.82,23.98,22.96
23.79,23.73,23.82,23.48
23.54,23.50,23.81,23.45
23.62,22.86,23.62,22.82
22.88,22.98,23.04,22.77
23.11,23.28,23.35,23.05
24.54,25.73,26.09,24.20
25.52,25.79,25.98,25.51
