HOV,Hovnanian Enterprises,NASDAQ
3.88,3.98,3.98,3.88
3.98,4.00,4.02,3.85
3.94,3.98,4.01,3.90
4.10,4.31,4.31,4.02
4.28,4.24,4.33,4.13
4.34,4.19,4.36,4.11
4.12,4.00,4.16,3.98
4.03,4.22,4.24,3.98
4.23,4.13,4.27,4.08
4.13,4.01,4.15,3.91
4.04,4.00,4.04,3.93
3.98,3.88,3.99,3.88
3.91,3.77,3.95,3.72
3.76,3.70,3.87,3.67
3.73,3.54,3.79,3.52
3.54,3.58,3.68,3.53
3.66,3.59,3.66,3.50
3.75,3.69,3.88,3.65
3.74,3.64,3.91,3.63
3.66,3.75,3.75,3.62
3.88,3.98,4.04,3.83
3.96,3.83,3.97,3.77
3.75,3.62,3.75,3.60
3.63,3.55,3.67,3.46
3.59,3.64,3.76,3.48
3.73,3.70,3.74,3.57
3.67,3.68,3.72,3.59
3.68,3.82,3.83,3.63
3.73,3.88,3.91,3.71
3.89,3.96,4.03,3.82
4.10,4.18,4.20,4.05
4.15,4.15,4.20,4.03
4.14,4.13,4.25,4.12
4.16,4.08,4.21,4.04
4.08,3.91,4.11,3.90
3.99,3.92,4.03,3.90
3.83,3.97,3.98,3.77
3.92,3.89,3.99,3.87
3.89,3.96,3.98,3.81
3.99,3.97,4.01,3.92
4.15,4.14,4.25,4.08
4.17,4.09,4.19,4.02
4.12,4.20,4.22,4.11
4.21,4.19,4.27,4.16
4.19,4.29,4.33,4.18
4.29,4.47,4.54,4.26
4.49,4.41,4.50,4.36
4.48,4.38,4.49,4.29
4.42,4.32,4.44,4.32
4.41,4.55,4.55,4.32
4.55,4.57,4.75,4.50
4.53,4.68,4.75,4.50
4.47,4.47,4.75,4.47
4.44,4.57,4.62,4.35
4.68,4.67,4.69,4.58
4.73,4.88,4.91,4.63
4.92,4.75,4.96,4.75
4.76,4.80,4.89,4.76
4.82,4.71,4.88,4.70
4.69,4.52,4.74,4.51
4.51,4.35,4.54,4.35
4.41,4.47,4.60,4.41
4.55,4.64,4.68,4.48
4.69,4.64,4.73,4.62
4.59,4.57,4.72,4.51
4.53,4.48,4.55,4.44
4.62,4.81,4.83,4.56
4.84,4.75,4.86,4.73
4.73,4.63,4.76,4.63
4.69,5.28,5.32,4.66
5.26,5.44,5.74,5.20
5.51,5.39,5.57,5.12
5.29,5.38,5.60,5.26
5.47,5.65,5.75,5.40
5.72,6.32,6.46,5.68
6.21,6.57,6.81,6.02
6.68,7.14,7.31,6.67
7.22,7.23,7.65,7.11
7.09,6.60,7.24,6.51
6.80,6.54,6.98,6.48
6.59,7.16,7.25,6.55
7.36,7.11,7.68,6.81
7.25,7.99,8.05,7.20
7.81,6.98,7.84,6.85
6.99,7.02,7.45,6.54
7.05,6.41,7.23,5.25
6.56,5.95,6.65,5.86
6.54,6.99,7.00,6.42
6.79,7.27,7.55,6.73
7.49,7.46,7.74,7.40
7.54,6.98,7.59,6.91
6.76,6.90,6.97,6.55
6.79,6.46,6.95,6.15
6.77,6.45,6.82,6.35
6.26,6.17,6.57,6.03
5.92,6.05,6.44,5.71
5.85,6.07,6.42,5.67
6.13,5.94,6.49,5.91
5.68,5.95,5.95,5.53
6.34,6.04,6.52,6.00
6.40,6.35,6.40,6.08
6.35,6.19,6.47,6.10
6.02,5.97,6.30,5.94
6.05,6.15,6.22,5.98
6.14,5.27,6.19,5.25
5.17,4.90,5.29,4.83
4.95,4.58,5.01,4.56
4.63,4.74,4.88,4.38
4.81,4.64,4.98,4.58
4.80,4.89,4.94,4.63
4.80,4.73,4.86,4.61
4.82,4.72,4.92,4.70
4.74,4.87,4.88,4.66
4.73,4.75,4.89,4.67
4.78,4.49,4.78,4.45
4.46,4.20,4.53,4.11
4.34,4.04,4.34,3.99
4.03,3.90,4.11,3.87
3.95,4.09,4.11,3.78
4.04,4.19,4.25,4.02
4.19,4.36,4.40,4.10
4.28,4.02,4.35,4.01
4.00,3.78,4.00,3.76
3.88,3.68,3.89,3.66
3.63,3.71,3.77,3.41
3.82,3.59,3.82,3.50
3.63,3.47,3.76,3.42
3.46,3.70,3.70,3.46
3.80,3.73,3.85,3.65
3.74,3.89,3.89,3.70
3.92,3.83,3.98,3.74
3.85,4.26,4.34,3.85
4.19,4.18,4.29,4.01
4.20,4.28,4.28,3.96
4.21,4.03,4.24,4.01
4.03,3.84,4.11,3.69
3.74,4.04,4.11,3.65
4.08,3.92,4.14,3.87
4.01,4.07,4.18,3.88
4.03,4.29,4.29,4.01
4.34,4.57,4.69,4.25
4.61,4.52,4.69,4.48
4.50,4.23,4.53,4.20
4.31,4.31,4.40,4.08
4.25,4.37,4.44,4.17
4.50,4.65,4.75,4.40
4.63,4.43,4.69,4.39
4.50,4.55,4.63,4.50
4.50,4.44,4.50,4.36
4.39,4.42,4.44,4.27
4.44,4.50,4.53,4.37
4.39,4.33,4.45,4.30
4.22,4.11,4.23,4.07
4.00,3.96,4.11,3.95
3.96,3.92,4.10,3.92
3.92,3.86,3.98,3.81
3.95,3.99,4.06,3.90
3.98,4.09,4.12,3.95
4.10,3.89,4.10,3.87
3.82,3.88,3.92,3.77
3.90,3.81,4.00,3.81
3.74,3.74,3.85,3.65
3.73,3.83,3.85,3.68
3.86,3.62,3.92,3.62
3.71,3.66,3.74,3.60
3.66,3.50,3.70,3.50
3.48,3.42,3.55,3.40
3.55,3.68,3.70,3.46
3.68,3.88,3.96,3.68
4.04,4.03,4.12,3.91
4.00,3.86,4.08,3.83
3.89,3.81,3.93,3.79
3.92,3.82,3.95,3.79
3.85,3.84,3.93,3.81
3.92,4.01,4.02,3.90
3.98,3.94,4.02,3.90
3.90,3.86,3.90,3.81
3.85,3.79,3.87,3.76
3.87,3.82,3.88,3.78
3.88,4.17,4.20,3.84
4.32,4.07,4.37,4.05
4.04,4.05,4.18,3.98
3.98,3.80,4.04,3.75
3.89,3.85,3.92,3.82
3.89,3.82,3.90,3.78
3.85,3.90,3.90,3.77
3.82,3.90,3.90,3.82
3.90,3.93,4.03,3.82
3.98,3.89,3.98,3.85
3.87,3.92,3.93,3.79
3.92,3.90,3.96,3.86
3.87,3.88,3.92,3.84
3.89,3.81,3.89,3.81
3.81,3.90,3.91,3.80
3.91,3.82,3.91,3.82
3.82,3.84,3.87,3.80
3.89,3.85,3.89,3.83
3.85,3.80,3.85,3.75
3.85,3.72,3.85,3.72
3.74,3.71,3.75,3.70
3.75,3.70,3.83,3.70
3.72,3.69,3.75,3.61
3.71,3.65,3.78,3.64
3.66,3.69,3.72,3.64
3.73,3.64,3.80,3.62
3.61,3.65,3.67,3.60
3.64,3.57,3.66,3.56
3.62,3.57,3.63,3.55
3.55,3.56,3.61,3.55
3.59,3.54,3.64,3.52
3.60,3.70,3.71,3.54
3.70,3.66,3.73,3.59
3.75,3.92,3.92,3.69
3.97,4.04,4.19,3.89
4.01,4.20,4.20,4.01
4.22,4.03,4.25,4.01
4.05,4.13,4.15,4.00
4.08,4.08,4.13,4.05
4.04,3.96,4.10,3.86
4.01,3.87,4.03,3.87
3.89,3.80,3.95,3.78
3.84,3.71,3.84,3.71
3.78,3.77,3.83,3.76
3.74,3.73,3.78,3.72
3.73,3.70,3.75,3.65
3.66,3.80,3.81,3.65
3.81,3.79,3.85,3.75
3.75,3.69,3.75,3.69
3.71,3.77,3.80,3.67
3.70,3.71,3.78,3.70
3.78,3.80,3.83,3.74
3.80,4.02,4.20,3.78
3.91,4.06,4.08,3.91
4.04,4.16,4.18,4.00
4.20,4.20,4.34,4.16
4.20,4.30,4.33,4.14
4.34,4.36,4.43,4.26
4.33,4.38,4.45,4.31
4.42,4.34,4.43,4.30
4.31,4.12,4.41,4.12
4.12,4.06,4.23,4.04
4.09,4.08,4.15,4.07
4.07,4.21,4.21,4.05
4.25,4.41,4.43,4.25
4.46,4.36,4.49,4.30
4.22,4.25,4.29,4.08
4.12,4.03,4.18,4.03
4.00,4.01,4.02,3.90
3.98,3.92,4.04,3.92
3.90,3.87,3.95,3.87
3.85,3.93,3.96,3.85
3.93,4.09,4.19,3.92
4.16,4.24,4.27,4.13
4.27,4.16,4.27,4.08
4.13,4.25,4.27,4.12
4.27,4.47,4.50,4.22
4.61,4.45,4.65,4.33
4.48,4.38,4.50,4.33
4.51,4.52,4.59,4.45
4.59,4.57,4.64,4.53
4.55,4.58,4.64,4.53
4.53,4.96,4.98,4.53
4.92,4.92,5.00,4.81
4.87,4.66,4.91,4.60
4.63,4.51,4.77,4.50
4.56,4.44,4.64,4.41
4.42,4.60,4.61,4.42
4.55,4.46,4.70,4.31
4.46,4.80,4.81,4.41
4.81,4.73,5.00,4.70
4.88,4.56,4.88,4.52
4.57,4.42,4.61,4.41
4.42,4.67,4.90,4.25
4.64,4.52,4.79,4.50
4.47,4.49,4.70,4.44
4.47,4.26,4.55,4.20
4.28,4.32,4.46,4.26
4.39,4.45,4.50,4.33
4.41,4.67,4.69,4.41
4.57,4.43,4.63,4.43
4.48,4.48,4.52,4.37
4.48,4.36,4.50,4.32
4.32,4.36,4.46,4.31
4.41,4.44,4.50,4.37
4.44,4.50,4.52,4.42
4.54,4.49,4.54,4.46
4.38,4.10,4.42,4.06
4.11,4.04,4.20,4.00
4.02,4.02,4.17,4.00
4.08,4.14,4.20,4.06
4.21,4.08,4.24,4.06
4.08,3.89,4.16,3.82
3.90,3.92,3.98,3.85
4.01,3.91,4.02,3.86
3.91,3.87,3.95,3.81
3.86,3.75,3.90,3.73
3.75,3.86,3.92,3.75
3.87,3.90,3.90,3.82
3.84,3.75,3.85,3.75
3.76,3.83,3.85,3.73
3.82,3.68,3.85,3.68
3.58,3.76,3.78,3.53
3.74,3.60,3.75,3.56
3.67,3.61,3.69,3.59
3.68,3.68,3.76,3.63
3.79,3.77,3.79,3.70
3.77,3.74,3.78,3.71
3.74,3.74,3.76,3.67
3.76,3.75,3.78,3.68
3.73,3.62,3.76,3.62
3.65,3.61,3.69,3.61
3.64,3.58,3.64,3.52
3.57,3.58,3.62,3.54
3.57,3.53,3.58,3.47
3.55,3.48,3.58,3.45
3.50,3.38,3.50,3.33
3.31,3.30,3.40,3.26
3.35,3.32,3.39,3.30
3.35,3.27,3.40,3.27
3.28,3.26,3.37,3.22
3.25,3.31,3.34,3.22
3.27,3.40,3.40,3.25
3.42,3.29,3.44,3.28
3.27,3.28,3.29,3.24
3.28,3.29,3.30,3.26
3.28,3.27,3.30,3.23
3.31,3.34,3.38,3.26
3.41,3.47,3.49,3.36
3.52,3.54,3.54,3.40
3.55,3.51,3.60,3.48
3.51,3.51,3.60,3.48
3.52,3.40,3.54,3.36
3.40,3.35,3.42,3.35
3.37,3.21,3.37,3.20
3.21,3.04,3.26,2.96
3.03,2.94,3.04,2.92
2.93,2.88,2.97,2.84
2.86,2.90,2.92,2.82
2.96,2.88,2.97,2.85
2.86,2.86,2.90,2.82
2.85,2.79,2.85,2.78
2.81,2.60,2.81,2.59
2.60,2.58,2.65,2.37
2.59,2.48,2.62,2.47
2.47,2.40,2.52,2.40
2.36,2.51,2.55,2.31
2.51,2.53,2.64,2.49
2.57,2.57,2.59,2.53
2.58,2.62,2.66,2.55
2.56,2.53,2.60,2.49
2.55,2.51,2.67,2.50
2.49,2.53,2.56,2.49
2.51,2.59,2.59,2.51
2.60,2.70,2.74,2.59
2.75,2.64,2.76,2.61
2.64,2.54,2.67,2.53
2.55,2.52,2.55,2.47
2.48,2.45,2.52,2.43
2.44,2.33,2.44,2.21
2.35,2.34,2.41,2.28
2.22,2.07,2.34,2.06
2.10,2.00,2.10,1.91
1.99,1.93,2.05,1.91
1.95,1.90,1.98,1.86
1.90,1.96,1.98,1.84
1.92,1.96,1.97,1.88
1.94,1.97,2.16,1.92
2.02,2.00,2.07,1.95
2.00,2.02,2.03,1.98
2.05,2.05,2.09,1.99
2.05,2.07,2.18,2.04
2.05,2.05,2.08,2.00
2.09,2.00,2.10,2.00
2.05,2.08,2.08,1.99
2.11,2.12,2.15,2.06
2.12,2.19,2.21,2.11
2.20,2.41,2.48,2.20
2.44,2.58,2.66,2.44
2.59,2.46,2.60,2.40
2.47,2.53,2.57,2.37
2.60,2.58,2.64,2.58
2.50,2.50,2.54,2.43
2.47,2.42,2.48,2.38
2.40,2.44,2.51,2.39
2.48,2.47,2.52,2.42
2.47,2.31,2.50,2.29
2.33,2.31,2.35,2.23
2.31,2.20,2.32,2.13
2.30,2.24,2.33,2.21
2.26,2.28,2.30,2.25
2.31,2.36,2.37,2.29
2.37,2.32,2.37,2.29
2.25,2.16,2.37,2.14
2.17,2.07,2.21,2.05
2.06,1.98,2.06,1.95
1.97,1.94,2.05,1.88
1.88,1.92,1.94,1.86
1.98,1.94,2.04,1.92
1.93,1.77,1.97,1.77
1.81,1.73,1.83,1.68
1.70,1.40,1.71,1.40
1.56,1.40,1.58,1.32
1.38,1.29,1.59,1.20
1.35,1.32,1.38,1.22
1.27,1.23,1.32,1.23
1.29,1.27,1.30,1.20
1.32,1.43,1.43,1.30
1.44,1.71,1.81,1.42
1.71,1.86,1.90,1.70
1.86,1.83,1.93,1.78
