ABCD,Cambium Learning Group,NASDAQ
4.19,4.10,4.20,4.01
4.08,4.01,4.10,4.01
4.03,4.00,4.04,3.96
4.05,3.99,4.05,3.93
3.98,3.95,3.98,3.92
3.98,3.95,3.99,3.95
3.99,4.00,4.00,3.67
3.99,3.95,4.06,3.91
3.95,4.00,4.02,3.93
3.95,4.02,4.05,3.95
4.06,4.06,4.09,3.90
4.06,4.03,4.10,3.99
4.03,4.05,4.05,4.00
4.00,4.00,4.03,4.00
4.00,4.01,4.05,4.00
3.99,3.92,4.00,3.92
3.86,3.89,3.90,3.86
3.95,4.03,4.03,3.95
3.87,3.94,4.00,3.87
4.00,3.80,4.00,3.77
3.77,3.77,3.83,3.75
3.75,3.67,3.75,3.61
3.56,3.72,3.79,3.55
3.55,3.62,3.63,3.51
3.66,3.66,3.71,3.62
3.65,3.57,3.65,3.55
3.75,3.56,3.75,3.50
3.79,3.60,3.79,3.51
3.51,3.68,3.75,3.41
3.74,3.73,3.75,3.73
3.73,3.80,3.80,3.72
3.75,3.75,3.80,3.75
3.76,3.78,3.80,3.75
3.75,3.75,3.79,3.75
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
3.68,3.74,3.74,3.68
3.75,3.70,3.75,3.70
3.70,3.71,3.78,3.70
3.75,3.73,3.76,3.73
3.76,3.61,3.76,3.52
3.65,3.60,3.69,3.55
3.60,3.60,3.62,3.58
3.60,3.56,3.67,3.56
3.55,3.56,3.58,3.55
3.58,3.64,3.75,3.55
3.65,3.64,3.77,3.60
3.75,3.67,3.78,3.67
3.67,3.70,3.70,3.67
3.72,3.94,3.98,3.72
3.91,3.88,3.94,3.85
3.93,3.90,3.94,3.85
3.96,3.92,3.96,3.85
3.79,3.89,3.89,3.77
3.90,3.91,3.93,3.81
3.89,3.90,4.03,3.89
3.90,3.90,3.92,3.90
4.00,3.96,4.00,3.94
4.00,3.85,4.00,3.76
3.85,3.99,4.04,3.83
4.02,4.00,4.03,3.96
N/A,N/A,N/A,N/A
4.74,4.62,4.75,4.51
4.65,4.70,4.75,4.59
4.73,4.62,4.73,4.58
4.59,4.85,4.85,4.51
4.85,5.12,5.14,4.81
5.09,5.06,5.09,5.04
5.04,5.07,5.15,5.04
5.10,4.97,5.10,4.94
5.03,5.10,5.10,4.93
5.10,5.18,5.25,5.06
5.18,5.16,5.18,5.02
5.10,5.16,5.24,5.09
5.05,5.10,5.16,4.97
5.08,5.15,5.33,5.00
5.25,5.17,5.47,5.08
5.11,5.32,5.59,5.11
5.36,5.28,5.36,5.10
5.22,5.21,5.43,5.06
5.21,5.24,5.29,5.12
5.15,4.95,5.15,4.95
4.92,5.10,5.17,4.89
5.00,5.00,5.10,4.92
4.96,5.01,5.08,4.85
4.95,5.01,5.09,4.85
4.82,5.05,5.10,4.75
5.10,5.07,5.22,5.07
5.14,4.93,5.14,4.93
4.91,5.23,5.38,4.91
5.20,5.17,5.29,5.15
5.17,5.09,5.17,5.05
5.09,5.10,5.21,5.00
5.09,4.99,5.20,4.99
5.04,4.99,5.09,4.91
4.90,4.92,4.97,4.80
4.85,5.00,5.05,4.85
4.90,4.89,4.97,4.88
4.80,4.81,4.87,4.76
5.00,4.61,5.00,4.53
4.59,4.82,4.90,4.57
