CYRN,CYREN Ltd. - Ordinary Shares,NASDAQ
3.68,3.84,3.88,3.68
3.87,3.92,3.97,3.86
4.11,4.30,4.30,4.05
4.27,4.20,4.27,4.15
4.16,4.29,4.29,4.11
4.25,4.15,4.27,4.13
4.13,4.12,4.18,4.08
4.12,4.17,4.18,4.07
4.20,4.27,4.30,4.17
4.27,4.18,4.27,4.16
4.14,4.25,4.29,4.14
4.25,4.20,4.25,4.16
4.11,4.02,4.17,4.01
4.01,3.86,4.08,3.80
4.08,3.84,4.08,3.80
3.84,4.00,4.12,3.84
3.94,3.93,4.10,3.93
4.18,3.90,4.18,3.87
3.90,3.90,4.09,3.86
3.88,3.88,3.90,3.86
3.89,3.92,3.97,3.89
3.97,3.90,3.97,3.86
3.87,3.82,3.90,3.82
3.82,3.87,3.88,3.81
3.89,3.90,3.90,3.84
3.90,3.90,3.95,3.82
3.81,3.86,3.95,3.79
3.85,3.89,3.92,3.81
3.84,3.94,3.95,3.84
3.95,3.98,4.14,3.93
4.05,4.00,4.05,3.94
3.97,3.94,3.99,3.90
3.93,3.95,3.95,3.85
3.95,3.89,3.95,3.80
3.85,3.85,3.91,3.75
3.85,3.90,3.90,3.77
3.90,3.90,3.90,3.78
3.89,3.88,3.90,3.87
3.88,3.93,3.95,3.88
3.95,3.81,3.95,3.78
3.95,3.82,3.95,3.77
3.86,3.84,3.89,3.80
3.90,3.92,3.92,3.83
3.90,3.95,3.95,3.85
3.90,3.75,3.90,3.67
3.71,3.77,3.79,3.69
3.85,3.78,3.85,3.75
3.75,3.75,3.80,3.75
3.95,3.73,3.95,3.58
3.74,3.75,3.80,3.70
3.73,3.80,3.87,3.73
3.81,3.87,3.89,3.75
3.88,3.70,3.90,3.70
3.70,3.82,3.87,3.70
3.79,3.80,3.84,3.77
3.85,3.80,3.86,3.78
3.85,3.80,3.90,3.60
3.78,3.85,3.88,3.58
3.82,3.82,3.86,3.73
3.70,3.85,3.88,3.70
3.80,3.80,3.84,3.76
N/A,N/A,N/A,N/A
3.79,3.80,3.82,3.76
3.80,3.80,3.82,3.76
3.80,3.82,3.83,3.73
3.77,3.81,3.81,3.75
3.84,3.83,3.86,3.79
3.80,3.85,3.85,3.77
3.84,3.84,3.85,3.79
3.84,3.93,3.98,3.80
3.89,3.87,3.95,3.75
3.90,3.78,3.90,3.75
3.82,3.83,3.89,3.81
3.83,3.93,3.98,3.82
4.00,3.86,4.00,3.76
3.86,3.82,3.89,3.82
3.80,3.93,3.97,3.80
3.92,3.95,4.00,3.91
3.95,3.92,3.95,3.91
3.93,3.88,3.97,3.88
3.87,4.13,4.14,3.84
4.12,3.94,4.12,3.90
4.00,3.99,4.09,3.94
3.81,3.80,3.98,3.75
3.75,3.65,3.75,3.65
3.59,3.45,3.63,3.31
3.35,3.43,3.46,3.33
3.49,3.58,3.70,3.49
3.55,3.73,3.90,3.41
3.74,3.75,3.85,3.74
3.74,3.78,3.78,3.70
3.73,3.73,3.83,3.57
3.63,3.60,3.69,3.55
