TDG,Transdigm Group Incorporated Transdigm Group Inc. Common Stock,NASDAQ
48.16,49.40,49.40,48.00
49.40,49.87,50.16,49.27
49.66,50.22,50.42,49.66
50.22,50.87,51.01,49.92
51.00,51.45,51.88,50.82
51.89,51.46,51.89,50.85
51.20,50.28,51.20,50.11
50.47,50.45,50.78,50.08
50.15,50.76,50.83,50.00
50.58,50.38,50.70,50.21
50.59,50.42,50.70,50.29
50.86,50.75,51.09,50.01
50.83,50.07,51.13,49.61
49.79,49.05,49.94,48.77
49.40,48.75,49.72,48.65
48.75,48.77,49.08,48.51
48.85,48.99,49.01,48.05
48.96,48.79,49.17,48.41
49.02,48.27,49.17,48.24
48.50,48.44,48.54,48.00
48.39,49.51,49.54,48.25
49.46,49.64,49.79,49.01
49.42,47.70,49.55,47.69
47.83,47.60,47.95,46.54
47.77,47.50,48.06,47.35
47.98,48.35,48.63,47.47
47.50,47.92,48.26,47.35
48.03,47.95,48.08,47.20
47.29,48.03,48.05,47.20
48.26,48.57,48.64,47.84
48.57,48.36,48.65,48.11
48.10,49.19,49.29,48.06
49.19,49.30,49.59,49.04
49.28,49.40,49.59,48.56
49.43,49.00,49.68,48.94
49.02,49.40,49.44,48.76
48.81,49.59,49.64,48.50
49.70,50.22,50.26,49.56
50.81,52.60,52.70,50.66
52.98,52.87,53.52,52.79
52.80,52.71,53.21,52.65
52.77,52.66,52.78,52.39
52.77,52.85,53.17,52.68
53.06,51.92,53.06,51.83
51.99,52.51,52.99,51.92
52.36,52.61,52.93,52.36
52.38,52.84,53.01,52.30
52.86,52.60,52.95,52.17
52.36,52.44,52.50,51.66
52.53,52.25,52.53,51.95
52.25,52.36,52.57,52.16
52.49,52.22,52.49,52.00
52.41,52.41,52.54,52.22
52.03,52.27,52.40,52.00
52.17,52.14,52.50,51.94
52.17,52.12,52.25,51.85
52.25,52.21,52.64,52.03
52.20,52.56,52.90,52.20
52.57,53.45,53.82,52.49
53.61,53.77,54.48,53.57
53.75,53.04,53.75,52.66
53.25,52.78,53.40,52.25
54.57,54.60,55.00,54.17
54.71,54.85,55.07,54.33
54.45,54.41,54.97,53.95
54.17,54.60,54.70,54.17
54.97,54.70,54.97,54.42
54.84,54.75,55.04,54.66
54.77,54.20,54.80,53.65
54.61,54.59,54.61,53.82
54.59,54.47,54.73,54.15
54.25,53.92,54.36,52.73
53.54,53.56,53.79,53.16
53.59,54.48,54.50,53.59
54.29,54.84,55.29,54.29
54.38,56.86,57.12,54.24
56.74,56.71,56.87,55.87
56.78,56.37,57.14,56.31
55.97,55.05,56.51,54.94
55.42,55.16,55.50,54.78
55.24,55.57,55.57,54.94
55.76,55.27,55.90,55.10
55.39,56.59,56.65,55.27
55.85,54.55,56.28,54.29
53.77,53.24,54.19,52.83
52.87,52.54,53.81,48.74
52.54,50.85,52.54,50.01
53.54,54.10,54.52,52.82
53.96,54.81,56.16,53.82
55.14,56.08,56.70,54.90
55.87,56.54,57.31,55.87
56.41,55.51,56.41,54.60
55.94,55.25,56.15,54.53
55.51,54.02,55.82,54.01
53.96,53.55,53.96,52.79
52.25,51.82,53.08,51.41
51.30,52.87,53.11,51.15
52.54,51.87,52.85,51.77
50.55,51.73,51.90,49.54
51.91,51.35,52.54,51.25
52.29,53.11,53.11,52.08
53.12,52.76,53.20,52.28
49.18,50.90,52.88,49.18
50.96,51.65,51.65,50.16
52.12,51.86,52.43,51.32
51.01,49.88,51.18,49.79
49.87,48.85,49.93,48.72
48.88,49.50,49.61,48.68
49.90,50.42,51.74,49.90
51.26,51.60,51.62,50.64
51.05,51.72,51.88,51.00
52.60,52.27,53.43,51.84
52.51,53.31,53.35,52.43
53.10,53.54,53.60,52.89
53.46,53.15,53.64,52.60
53.23,53.37,53.55,52.96
53.90,53.24,53.91,53.01
53.27,52.20,53.74,52.18
52.17,53.07,53.36,52.01
52.77,52.80,53.69,52.61
52.85,53.28,53.71,52.63
53.54,53.60,54.27,53.21
52.95,51.87,52.95,51.45
51.62,51.03,52.42,50.94
51.03,50.52,51.34,49.77
50.70,50.25,50.97,49.89
50.68,50.26,51.09,49.77
50.47,51.25,51.45,49.73
51.84,51.87,52.07,51.35
51.95,52.25,52.31,51.60
50.96,51.05,51.97,50.51
51.40,51.64,51.80,51.14
51.56,52.15,52.46,51.13
52.22,52.20,52.44,51.34
51.83,50.11,51.83,50.00
50.32,50.07,50.52,49.68
49.55,50.59,50.65,49.22
51.01,50.38,51.01,50.03
50.80,51.78,52.04,50.65
51.75,53.11,53.12,51.65
53.46,54.41,54.41,52.91
54.65,54.31,54.70,54.12
54.29,53.90,54.35,53.60
54.20,54.04,54.31,53.07
53.40,54.17,54.23,53.36
55.00,54.78,55.64,54.66
54.55,55.26,55.75,54.55
55.47,56.20,56.39,55.47
55.90,55.46,56.21,55.38
55.13,55.64,55.79,54.99
55.63,56.65,56.79,55.63
58.03,57.05,58.79,56.76
56.12,56.25,56.98,55.79
55.74,56.30,56.69,55.53
56.13,56.03,56.61,55.98
55.76,56.00,56.17,55.53
56.55,56.84,57.59,56.30
56.78,57.71,57.77,56.40
57.52,57.67,58.07,57.39
57.62,57.35,57.62,56.47
57.66,56.33,57.66,56.17
55.75,55.83,56.30,54.86
55.43,55.40,55.85,54.90
55.53,57.02,57.43,55.53
57.20,58.42,58.53,56.82
58.36,58.40,58.73,57.97
58.24,57.89,58.91,57.68
58.74,59.49,59.92,58.30
59.50,61.25,61.25,59.41
61.50,61.42,61.91,60.98
61.09,60.34,61.14,60.33
60.65,61.01,61.10,60.55
61.82,60.94,62.06,60.77
61.04,60.95,61.61,60.51
61.50,62.10,62.13,61.35
61.89,61.50,61.90,61.35
61.41,61.90,61.94,60.99
61.83,62.00,62.33,61.56
62.00,63.15,63.39,61.87
63.25,63.56,63.90,63.00
63.51,62.47,63.62,62.22
62.24,61.90,62.84,61.59
61.65,61.11,61.74,61.01
61.70,62.24,62.41,61.70
62.52,61.68,64.67,61.67
61.45,61.81,61.97,60.68
61.57,63.06,63.15,61.57
63.16,62.05,63.63,61.89
62.01,61.99,62.74,61.59
61.77,61.00,62.06,60.89
61.00,62.21,62.81,60.97
62.23,62.40,62.70,62.23
62.70,62.38,62.85,62.06
62.55,63.54,63.63,62.33
63.51,63.39,63.73,63.18
63.33,63.28,63.54,62.33
63.36,63.87,64.98,62.52
63.76,63.35,63.83,62.99
63.84,63.32,64.20,62.92
63.23,63.00,63.23,62.85
62.45,62.40,62.80,61.72
62.58,63.47,63.83,62.44
63.65,64.99,65.45,63.65
64.95,65.30,65.30,64.49
65.37,65.44,66.03,65.06
64.93,65.67,65.94,64.56
65.43,65.76,65.78,64.76
65.97,65.82,66.18,65.25
65.62,66.27,66.39,65.62
66.71,66.72,66.78,66.35
67.01,67.76,67.76,67.01
67.75,67.05,67.89,66.39
67.63,67.40,68.03,67.11
67.37,67.50,67.64,67.03
67.32,66.81,67.41,66.45
66.94,66.25,67.10,66.01
66.28,66.00,66.28,65.42
65.46,65.60,65.62,65.00
65.25,65.41,65.65,64.96
65.62,65.80,66.41,65.32
68.10,67.28,69.14,66.67
67.48,67.29,67.65,66.97
67.72,68.26,68.83,67.70
68.22,68.27,68.56,67.98
68.15,68.32,68.72,67.98
67.66,67.79,68.03,67.19
68.00,69.05,69.21,68.00
68.63,69.07,69.24,68.47
68.56,68.88,69.25,67.98
68.65,68.50,68.70,67.95
68.67,69.18,70.00,68.67
67.13,69.66,70.00,67.13
69.51,69.50,69.63,68.97
69.35,69.89,70.00,68.97
70.34,70.18,70.49,69.81
70.27,70.14,70.70,69.88
70.51,70.46,70.95,70.14
70.56,70.45,70.99,69.97
71.09,70.66,72.93,70.05
70.64,70.99,71.64,70.53
70.83,71.23,71.70,70.67
72.65,71.81,72.65,70.96
71.81,71.62,71.81,71.14
71.72,71.56,71.85,71.16
71.71,72.28,72.40,71.68
72.23,72.39,72.59,71.90
72.44,72.07,72.58,72.00
71.79,71.86,71.92,71.22
71.93,71.64,71.93,71.45
71.64,71.63,72.10,71.61
71.69,71.59,72.10,71.59
71.77,72.01,72.39,71.64
72.46,73.75,73.89,72.46
73.95,74.36,74.62,73.46
74.36,75.66,75.73,74.15
75.83,76.23,76.49,75.37
76.18,77.40,77.40,76.01
77.04,75.43,77.08,75.05
76.01,76.37,77.03,75.76
76.89,76.60,77.12,76.28
77.05,76.44,77.05,76.24
76.41,76.62,77.12,76.19
76.68,77.35,77.50,76.68
77.42,77.17,77.63,76.64
76.80,76.52,76.91,75.96
76.81,77.14,77.23,76.81
76.96,76.80,77.32,76.50
76.70,77.09,77.32,76.08
77.00,77.88,78.34,77.00
77.92,77.82,78.05,77.39
77.74,76.70,78.36,76.55
76.70,77.48,77.98,76.36
77.88,78.13,78.63,77.69
77.92,77.92,78.30,77.61
77.99,78.59,78.65,77.36
78.82,79.25,79.37,78.48
82.31,80.98,85.38,80.27
82.89,82.58,83.30,81.97
82.60,82.18,82.79,81.09
81.63,81.77,82.00,81.44
81.49,81.53,81.61,81.00
81.99,81.54,82.17,81.09
81.25,81.57,81.90,81.25
81.78,81.81,81.99,80.93
81.66,81.50,81.94,81.10
81.65,81.50,82.22,81.14
80.55,80.70,81.03,79.86
80.64,79.32,81.38,78.62
79.12,79.23,80.00,78.44
79.75,80.34,80.59,79.47
80.78,80.38,81.44,79.88
81.00,81.19,81.37,80.61
81.03,81.47,81.91,81.00
82.03,82.99,83.34,81.94
83.07,82.67,83.29,81.55
83.29,80.93,83.49,80.40
81.20,81.59,82.10,80.56
81.77,81.99,82.18,81.26
81.24,80.31,81.32,79.33
79.98,81.02,81.47,79.57
80.27,82.04,82.25,78.80
80.06,79.72,80.33,79.23
80.16,77.48,80.16,77.25
78.30,78.05,78.89,77.79
78.82,78.81,79.36,78.32
79.47,80.09,80.82,79.45
80.09,80.68,80.88,80.03
80.48,81.19,81.54,79.95
81.52,81.84,81.85,80.91
81.87,82.11,82.66,81.55
82.10,82.17,82.59,81.84
82.07,82.31,82.35,81.66
82.58,82.49,83.24,82.46
82.54,83.83,83.86,82.42
83.99,84.18,85.26,83.77
83.26,83.16,83.83,82.52
82.78,83.04,83.37,82.29
83.23,82.71,83.59,82.63
82.70,81.94,82.89,81.64
82.36,80.50,82.47,79.83
80.50,80.23,80.60,80.05
79.66,79.43,80.04,78.80
79.87,79.18,79.87,78.84
78.77,78.56,78.99,77.95
78.67,78.82,79.29,78.32
78.07,77.55,78.35,76.82
77.48,77.60,78.11,77.17
78.38,79.45,79.83,78.38
79.91,80.00,80.16,79.41
80.21,79.37,80.21,78.72
79.40,80.04,80.62,79.25
80.07,80.80,80.84,79.83
80.74,81.50,81.53,80.47
81.73,83.30,83.30,81.73
83.88,82.88,84.31,82.57
82.70,82.31,83.11,81.96
82.28,81.53,82.52,81.02
81.03,81.82,82.93,80.81
82.75,82.91,83.91,82.75
82.70,83.48,83.56,82.26
81.50,83.04,83.99,81.50
82.94,82.96,83.55,82.55
82.62,83.63,83.95,82.33
83.75,82.68,83.98,82.39
82.38,82.46,83.32,82.10
82.50,82.22,82.79,81.22
82.43,83.89,84.00,82.04
84.18,83.45,84.87,83.26
83.39,82.36,83.39,81.98
81.36,80.49,81.36,80.00
80.54,80.10,80.95,79.60
79.83,80.01,80.16,79.37
79.83,79.60,79.86,79.32
79.95,80.55,80.66,79.79
80.96,82.00,82.00,79.90
81.89,81.33,82.32,81.18
81.49,81.22,81.91,80.73
80.26,80.32,81.22,79.82
80.58,80.51,81.19,79.66
81.05,80.53,81.20,80.02
80.36,80.07,80.54,79.80
80.11,80.61,80.62,79.65
80.16,80.05,80.50,79.20
79.99,79.98,80.35,79.21
81.31,82.48,82.53,80.68
81.82,82.17,82.44,81.44
82.03,82.41,82.49,81.60
83.01,83.83,84.09,82.89
83.53,85.32,85.96,83.33
85.91,86.94,87.41,85.70
86.99,86.89,88.59,86.00
85.77,86.38,86.54,85.16
86.24,85.80,86.68,85.55
85.38,87.30,87.56,85.14
87.69,88.92,89.22,87.36
89.30,88.86,89.30,88.40
89.31,91.19,91.31,89.21
91.20,93.30,94.08,91.20
93.39,93.37,94.18,92.83
93.45,93.94,94.73,93.26
95.03,93.75,95.04,93.55
92.99,93.74,93.84,92.66
92.80,92.54,93.67,92.21
92.08,90.64,92.52,90.42
91.33,91.95,92.74,91.09
91.94,91.21,92.41,90.65
91.50,90.58,91.90,89.72
90.39,89.70,90.47,89.28
90.06,91.39,91.48,90.06
92.10,91.73,92.20,91.07
92.40,93.50,93.57,92.39
93.22,93.03,93.26,91.78
92.37,92.61,93.00,91.66
92.21,91.30,92.48,90.92
90.99,89.89,90.99,89.01
90.17,90.01,91.17,89.67
89.04,90.07,90.92,88.71
90.81,89.05,91.34,87.90
88.76,86.73,89.72,86.64
86.72,88.62,88.92,85.75
87.36,81.05,87.57,80.70
81.99,81.85,82.30,78.44
79.57,73.83,80.40,73.76
76.03,84.87,84.87,75.12
83.90,78.97,84.08,78.66
79.24,86.84,87.64,79.01
87.69,87.72,88.07,85.57
88.88,89.04,89.21,87.34
88.28,89.79,90.78,87.72
90.43,91.23,91.23,90.11
90.50,85.63,90.61,84.81
85.03,84.78,87.98,84.20
87.01,85.83,87.80,85.49
86.29,86.90,87.03,85.16
86.96,86.92,87.24,85.15
87.42,85.95,87.89,85.67
85.17,87.80,88.00,83.99
89.59,91.37,91.38,88.80
91.23,89.90,91.46,89.85
90.56,91.86,91.97,90.49
92.45,91.04,93.12,90.76
90.01,89.41,91.09,88.97
86.46,88.08,88.17,85.57
89.76,90.94,91.52,89.68
89.93,89.39,91.17,89.13
88.07,86.65,89.41,86.15
85.06,85.65,85.77,83.97
86.02,87.62,88.02,85.11
87.96,89.59,90.59,86.63
89.95,89.45,90.75,88.65
90.05,92.37,92.59,89.95
90.50,92.12,93.29,89.86
92.50,90.19,92.98,90.19
89.83,86.18,90.40,86.18
81.82,82.47,84.56,81.80
82.11,84.93,85.40,81.67
85.76,85.24,86.00,84.23
87.30,86.60,88.32,86.15
86.37,82.94,86.80,82.39
84.63,81.69,84.80,79.65
80.65,81.67,82.21,79.97
80.86,77.38,82.35,76.93
76.23,77.74,77.74,74.30
78.40,80.15,80.57,76.99
79.81,81.91,81.99,79.44
82.55,82.81,84.28,81.11
83.87,84.75,85.21,83.56
83.55,85.51,85.80,83.55
85.74,85.93,86.39,85.36
85.24,86.25,86.38,85.06
87.77,87.21,87.90,86.50
86.71,87.26,87.92,86.55
87.52,87.85,88.44,86.60
87.48,85.66,89.09,85.32
84.99,85.27,86.09,84.17
86.82,88.47,88.47,85.86
88.76,92.23,92.25,88.55
91.64,91.41,92.96,91.05
92.50,89.92,93.48,89.63
93.00,93.34,94.13,90.80
92.50,93.35,93.62,92.15
91.65,93.92,94.99,91.65
90.50,90.15,92.26,89.34
91.60,90.63,92.14,90.18
91.55,94.52,94.81,90.94
93.71,93.88,94.32,92.48
93.96,94.33,94.46,93.35
94.99,98.51,98.93,93.42
96.50,96.77,98.69,95.09
97.95,96.26,98.05,95.80
97.00,97.93,98.53,96.95
98.00,97.42,99.70,97.29
97.66,98.40,98.82,97.44
97.73,97.12,98.51,96.17
97.61,93.57,102.73,91.78
93.18,94.41,95.15,92.01
92.56,92.44,93.61,91.47
92.40,92.82,93.62,91.50
91.98,90.83,92.35,90.40
91.13,91.17,92.41,90.52
94.07,92.98,94.07,92.45
92.77,92.57,93.79,92.46
95.05,96.42,96.58,94.80
96.07,97.68,98.00,96.07
98.03,96.54,98.71,96.47
97.90,96.82,98.34,96.58
97.12,96.14,97.22,95.77
95.31,95.02,96.21,93.63
94.40,94.50,95.35,93.99
94.99,97.35,97.71,94.81
96.65,96.00,96.86,95.11
96.41,94.74,97.44,94.29
94.04,94.64,95.08,93.68
95.18,95.14,95.64,94.86
95.35,95.98,96.12,92.00
95.83,95.56,96.98,95.30
97.28,96.92,97.64,96.22
96.54,97.14,97.14,94.95
97.06,97.25,97.92,96.60
97.16,98.45,98.50,97.07
98.21,98.26,98.91,97.96
98.00,95.34,98.39,95.32
95.27,96.49,96.65,95.27
96.49,95.68,96.59,95.49
98.89,94.08,98.91,93.90
93.81,93.13,94.11,93.08
92.74,95.19,95.49,91.97
95.50,96.74,98.30,95.34
97.12,97.45,98.18,96.62
98.72,98.70,99.43,98.17
98.05,98.37,98.76,97.46
98.61,98.03,98.86,97.91
97.34,97.56,98.04,97.20
98.94,97.97,98.94,97.50
96.92,96.60,98.15,96.04
97.08,97.41,98.32,96.77
96.95,97.06,97.54,96.54
97.03,101.11,102.66,97.03
101.45,100.55,101.84,100.27
100.84,102.20,102.48,99.90
102.61,101.83,103.18,101.47
101.56,101.36,101.71,100.81
101.21,102.16,102.28,100.25
102.45,104.53,105.10,102.19
105.26,106.83,107.98,105.25
106.87,106.06,107.62,105.88
107.20,107.83,108.18,107.05
107.45,107.42,109.02,106.71
112.82,113.82,114.62,105.35
114.97,116.00,116.88,113.39
117.27,116.11,118.45,115.90
115.33,116.19,116.40,114.25
116.88,118.18,118.83,115.87
118.20,116.47,118.27,115.71
116.75,115.00,117.52,114.50
115.02,116.35,117.00,114.00
117.14,115.94,117.14,115.83
116.55,116.24,116.83,115.44
116.26,117.39,117.86,115.00
117.01,117.07,117.39,116.33
117.03,117.07,119.41,116.43
116.79,117.52,121.48,115.32
118.22,116.87,118.91,116.00
117.35,118.79,120.88,117.35
119.00,117.11,119.66,117.07
116.29,114.99,117.64,113.35
115.01,115.30,116.35,114.75
113.63,111.90,113.88,111.03
111.77,112.58,113.27,111.29
113.31,113.94,114.87,112.92
113.86,113.78,114.92,112.75
114.02,113.84,115.10,113.38
114.06,115.48,115.55,113.82
115.69,115.03,115.97,114.47
115.33,115.30,115.76,113.50
115.10,115.32,115.57,114.24
113.64,113.15,114.67,111.77
112.23,113.25,113.55,110.60
113.54,114.64,115.04,113.17
113.78,115.46,115.70,113.70
115.33,115.36,115.52,113.69
116.67,117.09,118.21,116.10
116.69,116.29,117.36,116.18
116.55,116.00,116.77,114.88
115.16,114.96,115.44,113.67
115.24,115.76,116.86,115.07
116.04,117.00,117.83,115.87
117.00,117.28,117.70,115.98
116.09,116.18,116.62,115.65
116.04,116.30,116.72,115.33
115.00,114.70,115.24,114.22
114.79,111.93,116.26,111.56
113.58,114.23,114.71,112.25
114.23,117.06,118.76,114.23
116.95,116.04,117.14,115.69
116.49,117.03,117.73,115.18
117.60,119.13,119.48,117.27
118.91,120.20,121.45,118.81
120.20,119.07,120.96,118.38
123.39,122.25,123.39,121.09
121.18,122.00,122.20,119.46
121.97,121.73,122.10,120.37
123.07,124.70,125.00,122.48
124.94,125.41,126.40,124.71
126.13,127.14,128.29,125.43
128.21,126.12,128.29,125.51
126.50,127.07,128.00,125.52
126.00,127.83,128.20,124.26
127.66,129.38,130.09,127.40
128.13,127.56,128.21,126.78
126.28,127.43,128.33,125.14
132.65,128.51,132.69,125.00
