TTNP,Titan Pharmaceuticals,NASDAQ
2.30,2.41,2.42,2.30
2.41,2.34,2.42,2.33
2.49,2.37,2.49,2.34
2.40,2.35,2.40,2.32
2.33,2.35,2.38,2.30
2.33,2.36,2.37,2.33
2.36,2.34,2.37,2.31
2.34,2.30,2.34,2.30
2.31,2.30,2.32,2.14
2.21,2.29,2.32,2.21
2.29,2.37,2.38,2.28
2.35,2.36,2.39,2.35
2.35,2.33,2.36,2.27
2.30,2.30,2.33,2.18
2.25,2.24,2.28,2.20
2.22,2.20,2.24,2.10
2.18,2.13,2.19,2.07
2.12,2.20,2.20,2.10
2.20,2.15,2.20,2.15
2.12,2.18,2.20,2.07
2.20,2.20,2.24,2.07
2.19,2.20,2.24,2.19
2.19,2.20,2.20,2.19
2.19,2.18,2.20,2.07
2.20,2.23,2.35,2.19
2.18,2.15,2.22,2.10
2.15,2.15,2.20,2.15
2.15,2.17,2.19,2.15
2.12,2.17,2.19,2.12
2.13,2.16,2.20,2.10
2.15,2.17,2.19,2.15
2.15,2.17,2.20,2.12
2.17,2.17,2.18,2.17
2.17,2.17,2.18,2.17
2.17,2.18,2.22,2.17
2.17,2.15,2.22,2.15
2.17,2.12,2.17,2.08
2.05,2.07,2.12,2.05
2.05,1.93,2.05,1.88
1.91,1.80,1.93,1.70
1.75,1.78,1.82,1.70
1.78,1.78,1.78,1.75
1.75,1.76,1.80,1.75
1.73,1.75,1.80,1.70
1.75,1.71,1.80,1.70
1.80,1.92,1.95,1.70
1.94,1.96,1.97,1.88
1.95,1.90,1.95,1.88
1.81,1.85,1.90,1.81
1.82,1.93,1.95,1.80
1.93,1.91,1.95,1.91
1.87,1.88,1.90,1.87
1.88,1.88,1.90,1.85
1.85,1.85,1.93,1.82
1.80,1.85,1.85,1.77
1.78,1.85,1.90,1.77
1.82,1.80,1.89,1.80
1.85,1.83,1.85,1.76
1.82,1.80,1.83,1.75
1.80,1.76,1.80,1.76
1.79,1.79,1.82,1.77
1.79,1.75,1.80,1.75
1.77,1.77,1.80,1.75
1.75,1.73,1.76,1.73
1.70,1.69,1.75,1.65
1.68,1.69,1.72,1.68
1.68,1.69,1.70,1.67
1.64,1.63,1.67,1.63
1.62,1.62,1.65,1.51
1.60,1.65,1.65,1.60
1.65,1.65,1.67,1.60
1.67,1.65,1.80,1.61
1.62,1.60,1.70,1.60
1.60,1.75,1.86,1.59
1.80,1.74,1.84,1.67
1.74,1.72,1.84,1.70
1.72,1.70,1.77,1.70
1.71,1.71,1.75,1.71
1.73,1.68,1.73,1.63
1.68,1.63,1.68,1.61
1.60,1.56,1.65,1.54
1.56,1.40,1.56,1.25
1.39,1.25,1.40,1.22
1.24,1.22,1.25,1.12
1.22,1.18,1.22,1.16
1.25,1.18,1.25,1.16
1.16,1.18,1.25,1.16
1.21,1.24,1.29,1.18
1.25,1.35,1.37,1.25
1.27,1.34,1.37,1.27
1.37,1.37,1.37,1.31
1.40,1.29,1.40,1.27
1.27,1.34,1.37,1.20
1.25,1.27,1.35,1.25
1.30,1.08,1.30,1.00
1.01,1.02,1.08,0.92
1.01,1.05,1.08,1.01
1.08,1.04,1.08,1.04
0.98,1.00,1.05,0.96
0.95,1.05,1.08,0.95
1.08,1.11,1.11,1.02
1.06,1.10,1.13,1.06
1.10,1.11,1.11,1.06
1.07,1.11,1.15,1.05
1.13,1.11,1.13,1.07
1.06,1.05,1.12,1.05
1.00,1.10,1.10,1.00
1.10,1.04,1.13,1.02
1.01,1.05,1.12,1.01
1.01,1.05,1.08,1.01
1.03,1.03,1.03,1.02
1.02,1.15,1.15,1.02
1.15,1.15,1.19,1.08
1.10,1.10,1.13,1.06
1.12,1.08,1.15,1.07
1.08,1.07,1.08,1.06
1.07,1.01,1.08,1.01
1.01,1.03,1.07,1.00
1.05,0.98,1.05,0.98
1.03,1.05,1.06,0.98
1.07,1.05,1.14,1.02
1.04,1.04,1.10,1.03
1.05,0.97,1.05,0.96
0.97,1.03,1.05,0.96
0.95,0.99,1.03,0.95
1.00,1.03,1.03,0.95
1.03,1.04,1.04,1.02
0.97,1.02,1.04,0.97
1.01,1.00,1.04,0.98
1.01,1.00,1.01,0.98
0.98,0.97,0.98,0.95
0.97,0.97,0.98,0.95
0.97,0.97,1.03,0.96
0.97,0.99,1.00,0.97
0.99,0.95,0.99,0.95
0.95,0.94,0.96,0.91
0.94,0.95,0.96,0.90
0.96,0.94,0.96,0.90
0.94,0.92,0.94,0.91
0.90,0.95,1.01,0.90
0.95,1.05,1.09,0.91
1.08,1.18,1.18,1.05
1.20,1.11,1.20,1.10
1.08,1.12,1.15,1.07
1.10,1.06,1.11,1.04
1.01,1.04,1.06,1.01
1.03,1.12,1.14,1.03
1.13,1.14,1.15,1.12
1.15,1.12,1.15,1.11
1.10,1.12,1.12,1.08
1.08,1.08,1.12,1.03
1.08,1.08,1.08,0.90
