AMZN,Amazon.com,NASDAQ
136.25,133.90,136.61,133.14
133.43,134.69,135.48,131.81
134.60,132.25,134.73,131.65
132.01,130.00,132.32,128.80
130.56,133.52,133.68,129.03
132.62,130.31,132.80,129.21
128.99,127.35,129.82,126.55
127.90,129.11,129.71,125.75
129.14,127.35,130.38,126.40
129.18,127.14,129.65,127.06
126.20,127.61,128.00,124.33
127.13,125.78,129.20,125.08
127.26,126.62,128.15,125.00
125.60,121.43,127.67,120.76
122.10,120.31,122.28,118.12
120.56,119.48,122.98,119.06
121.03,122.75,123.33,118.80
124.43,126.03,127.20,122.80
129.77,125.41,131.85,124.14
123.18,118.87,124.86,113.82
118.79,118.12,118.98,114.40
117.12,119.10,119.61,116.56
118.64,115.94,120.33,115.74
115.88,117.39,117.65,114.10
119.38,116.83,121.00,116.56
118.20,118.03,119.09,117.00
118.00,117.36,118.61,116.00
117.21,120.09,120.42,116.50
118.99,119.66,119.94,117.50
120.06,117.53,120.50,117.18
117.08,116.31,117.13,115.55
115.84,118.08,118.51,114.82
117.91,117.52,119.09,117.00
117.37,118.01,118.97,116.18
118.01,117.24,119.25,116.51
117.96,119.72,119.80,117.15
118.17,118.20,118.34,115.85
117.88,118.40,119.43,117.00
118.85,124.54,124.66,117.53
125.01,125.53,127.35,124.80
125.40,125.89,126.94,124.43
125.96,128.53,128.85,125.57
129.13,128.91,129.45,127.07
128.30,130.11,130.85,127.71
129.59,128.82,130.81,127.97
129.11,130.51,131.17,128.48
130.45,133.58,133.62,130.36
134.20,131.82,134.20,131.18
131.70,131.13,132.00,128.63
131.24,131.79,132.29,130.50
132.41,131.34,132.69,131.22
131.02,132.76,132.85,130.44
133.71,130.35,133.71,129.66
130.20,130.47,130.96,128.64
130.89,129.26,130.94,128.07
128.64,128.04,129.40,127.20
129.14,134.73,136.91,128.04
134.90,135.06,136.99,133.76
135.37,135.12,136.63,134.33
135.74,136.58,138.19,135.36
136.00,135.77,136.80,134.48
N/A,N/A,N/A,N/A
132.85,131.49,133.74,130.78
131.23,135.56,136.00,131.18
135.96,134.87,136.08,133.86
134.71,140.96,141.25,134.71
140.72,140.06,141.33,139.07
140.00,141.20,142.92,139.68
141.23,140.16,141.98,139.12
140.34,144.28,144.50,139.20
144.55,145.82,147.09,144.00
144.88,142.17,147.17,141.45
142.35,142.43,143.67,139.13
143.83,144.20,144.64,142.10
145.17,146.43,149.00,143.52
147.01,150.09,151.09,145.88
145.38,143.63,149.09,142.42
143.20,147.11,147.73,142.90
145.55,142.02,146.44,141.11
142.59,139.35,142.75,138.69
140.09,141.73,142.45,139.79
141.40,137.10,141.40,136.91
137.20,137.49,139.44,136.11
135.62,129.83,135.81,128.38
128.00,130.93,131.61,127.55
130.00,128.71,132.33,120.60
127.97,124.98,131.18,123.76
129.73,131.29,132.21,129.26
129.95,130.46,133.08,128.47
131.41,133.87,134.13,129.68
133.93,131.47,136.99,131.00
130.36,128.53,131.00,126.76
128.24,128.91,129.95,125.80
130.14,126.28,131.25,125.51
125.51,124.59,127.93,123.80
122.64,119.71,125.00,118.78
117.90,122.72,124.97,117.52
122.57,122.12,124.50,120.65
118.54,124.86,125.19,118.50
125.05,123.21,125.79,122.30
124.98,126.70,126.85,120.60
126.07,125.46,127.60,124.01
124.97,123.24,126.57,123.02
124.02,126.31,126.43,121.65
126.25,128.76,129.15,124.85
126.33,122.77,128.20,122.18
125.84,122.01,126.61,121.67
122.00,118.84,122.00,115.80
120.31,117.91,121.47,117.36
120.00,123.21,123.50,119.20
121.39,123.03,123.53,120.29
124.24,123.83,125.70,123.50
123.20,126.84,126.92,122.50
125.39,126.90,127.98,125.36
126.74,125.89,127.80,124.69
126.48,125.83,127.48,125.07
126.79,122.55,127.48,121.41
122.65,122.31,125.23,121.55
122.11,121.45,123.22,120.04
120.61,118.33,120.85,116.80
118.14,121.00,121.76,117.63
118.85,117.80,120.04,117.10
116.26,108.61,116.48,106.01
108.58,109.26,112.68,108.11
108.90,110.96,111.69,106.70
110.92,109.14,111.29,108.56
110.65,110.06,112.53,109.00
109.84,113.43,113.63,109.81
115.02,116.22,117.48,114.07
116.55,117.26,117.40,114.65
117.81,119.51,119.70,117.32
120.69,123.65,124.88,120.30
123.03,123.30,123.75,121.47
120.13,122.06,122.48,119.26
121.28,118.49,121.92,118.01
118.38,119.94,120.74,117.00
120.61,120.10,120.71,117.51
120.62,117.43,121.25,117.26
118.71,120.07,120.87,118.02
