SBOT,Stellar Biotechnologies,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
0.20,0.20,0.20,0.20
0.20,0.20,0.20,0.20
0.20,0.20,0.20,0.20
0.20,0.20,0.20,0.20
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.35,0.35,0.35,0.35
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.33,0.33,0.33,0.33
0.33,0.33,0.33,0.33
0.34,0.34,0.34,0.34
0.35,0.36,0.39,0.34
0.40,0.40,0.46,0.40
0.43,0.43,0.48,0.43
0.44,0.40,0.44,0.38
0.39,0.37,0.39,0.35
0.39,0.38,0.39,0.38
0.39,0.40,0.40,0.39
0.43,0.47,0.49,0.43
0.46,0.46,0.46,0.45
0.46,0.47,0.48,0.46
0.47,0.44,0.47,0.44
0.44,0.44,0.44,0.44
0.44,0.44,0.46,0.43
0.44,0.44,0.44,0.44
0.45,0.45,0.47,0.45
0.48,0.47,0.49,0.45
0.47,0.47,0.48,0.45
0.46,0.45,0.46,0.45
0.46,0.45,0.46,0.45
0.45,0.46,0.47,0.45
0.47,0.47,0.47,0.47
0.47,0.45,0.47,0.44
0.45,0.45,0.45,0.45
0.45,0.46,0.46,0.45
0.49,0.48,0.49,0.46
0.49,0.55,0.58,0.49
0.57,0.54,0.57,0.54
0.54,0.54,0.54,0.54
0.55,0.53,0.55,0.53
0.68,0.69,0.69,0.68
0.69,0.73,0.76,0.67
0.75,0.76,0.80,0.73
0.78,0.77,0.79,0.75
0.74,0.78,0.79,0.74
0.78,0.77,0.78,0.75
0.78,0.78,0.81,0.77
0.88,0.85,0.88,0.85
0.85,0.80,0.85,0.80
0.84,0.79,0.84,0.79
0.80,0.80,0.80,0.80
0.84,0.89,0.89,0.83
0.95,1.02,1.07,0.95
1.07,1.08,1.15,1.04
1.07,1.10,1.14,1.05
1.11,1.06,1.11,1.00
1.11,0.98,1.11,0.98
0.92,0.96,0.97,0.90
0.97,0.98,0.99,0.96
0.99,0.86,0.99,0.86
0.88,0.97,0.97,0.88
0.97,0.98,1.00,0.97
0.98,1.02,1.02,0.97
1.10,1.01,1.10,0.96
0.97,1.01,1.01,0.97
1.00,0.96,1.00,0.96
0.95,0.99,0.99,0.95
0.98,1.02,1.04,0.97
1.06,1.05,1.06,1.05
1.10,1.09,1.14,1.09
1.15,1.08,1.19,1.08
1.07,1.06,1.07,1.06
1.06,1.08,1.08,1.00
1.14,1.13,1.16,1.10
1.12,1.03,1.12,1.03
1.11,1.14,1.18,1.11
1.18,1.32,1.38,1.17
1.31,1.26,1.35,1.26
1.26,1.25,1.26,1.21
1.14,1.16,1.20,1.13
1.26,1.25,1.27,1.19
1.28,1.18,1.28,1.13
1.14,1.16,1.17,1.13
1.13,1.16,1.16,1.09
1.17,1.12,1.17,1.12
1.12,1.14,1.15,1.12
1.14,1.14,1.14,1.14
1.14,1.14,1.14,1.14
1.20,1.20,1.21,1.15
1.21,1.42,1.45,1.21
1.49,1.43,1.50,1.39
1.43,1.43,1.43,1.43
1.48,1.30,1.48,1.30
1.41,1.38,1.41,1.29
1.35,1.24,1.35,1.21
1.21,1.18,1.22,1.16
1.17,1.18,1.18,1.16
1.16,1.14,1.16,1.10
1.17,1.18,1.19,1.17
1.17,1.10,1.17,1.10
1.11,1.14,1.16,1.09
1.13,1.12,1.15,1.09
1.09,1.10,1.11,1.07
1.01,1.04,1.09,1.00
1.02,1.03,1.12,1.00
1.01,1.02,1.06,0.99
1.04,1.09,1.10,1.00
1.10,1.11,1.11,1.10
1.08,1.06,1.10,1.06
1.05,1.05,1.05,0.99
1.05,1.06,1.06,1.01
1.08,1.01,1.08,1.01
1.06,1.10,1.10,1.06
1.05,1.05,1.06,1.01
1.06,1.09,1.09,1.06
1.09,1.07,1.10,1.06
1.13,1.13,1.16,1.13
1.16,1.15,1.16,1.15
1.11,1.18,1.21,1.08
1.22,1.21,1.22,1.17
1.21,1.16,1.21,1.11
1.19,1.18,1.19,1.13
1.15,1.16,1.21,1.15
1.16,1.10,1.16,1.10
1.10,1.14,1.14,1.10
1.12,1.02,1.12,1.00
1.05,1.04,1.05,1.00
1.03,1.01,1.03,1.01
1.05,1.05,1.05,1.02
1.09,1.06,1.09,1.06
1.05,1.05,1.05,1.05
1.01,1.05,1.05,1.00
1.05,1.05,1.13,1.05
1.05,1.05,1.05,1.05
1.04,1.00,1.04,0.98
0.99,0.99,1.02,0.97
0.99,0.89,0.99,0.87
0.85,0.84,0.86,0.81
0.86,0.85,0.86,0.83
0.84,0.79,0.87,0.77
0.75,0.77,0.77,0.68
0.68,0.75,0.75,0.68
0.76,0.79,0.80,0.71
0.74,0.74,0.80,0.71
0.74,0.85,0.85,0.74
0.92,0.91,0.97,0.89
0.97,0.91,0.97,0.87
0.87,0.88,0.94,0.87
0.88,0.87,0.88,0.85
0.93,1.00,1.00,0.93
0.99,1.00,1.00,0.99
0.98,0.97,1.01,0.97
0.97,0.95,0.97,0.95
0.93,0.87,0.98,0.87
0.86,0.83,0.87,0.83
0.82,0.85,0.85,0.81
0.85,0.85,0.85,0.85
0.93,0.93,0.93,0.93
0.97,0.99,0.99,0.97
0.91,0.91,0.98,0.91
0.90,0.89,0.90,0.88
0.88,0.86,0.89,0.84
0.85,0.87,0.87,0.85
0.86,0.87,0.87,0.86
0.85,0.81,0.87,0.81
0.83,0.84,0.85,0.83
0.88,0.88,0.90,0.88
0.85,0.84,0.85,0.84
0.81,0.78,0.87,0.78
0.81,0.78,0.81,0.78
0.82,0.85,0.85,0.81
0.85,0.85,0.85,0.85
0.82,0.81,0.82,0.81
0.81,0.77,0.81,0.76
0.77,0.77,0.77,0.74
0.78,0.79,0.79,0.78
0.80,0.74,0.80,0.74
0.79,0.79,0.81,0.78
0.82,0.78,0.82,0.78
0.79,0.79,0.79,0.79
0.79,0.75,0.81,0.75
0.76,0.76,0.76,0.76
0.75,0.77,0.77,0.73
0.72,0.71,0.75,0.71
0.70,0.70,0.70,0.69
0.68,0.67,0.70,0.67
0.71,0.67,0.71,0.66
0.68,0.66,0.68,0.65
0.66,0.66,0.66,0.66
0.68,0.66,0.68,0.64
0.65,0.66,0.66,0.63
0.63,0.71,0.71,0.59
0.71,0.69,0.71,0.69
0.66,0.64,0.66,0.64
0.69,0.63,0.70,0.63
0.61,0.63,0.65,0.60
0.61,0.63,0.64,0.60
0.57,0.63,0.63,0.57
0.62,0.64,0.64,0.62
