VNO,Vornado Realty Trust Common Stock,NASDAQ
70.64,70.02,71.44,69.61
70.07,69.49,70.07,68.66
69.58,69.21,70.20,68.72
69.00,70.28,71.10,68.60
69.72,69.50,70.03,68.84
69.77,69.72,70.14,69.15
69.23,68.76,69.71,68.00
68.99,70.46,70.59,68.55
70.23,70.75,70.89,69.89
70.51,70.10,70.82,69.74
70.14,70.68,71.05,69.82
70.21,69.15,70.21,68.86
69.18,66.50,69.62,66.42
66.48,64.71,67.27,64.41
65.76,64.91,65.76,63.99
64.00,64.17,65.20,63.75
63.95,65.09,65.20,63.14
65.48,64.69,65.64,64.26
64.97,64.68,65.97,64.26
65.17,66.06,66.06,65.04
66.27,66.87,67.02,65.38
66.43,65.53,66.45,65.12
65.12,63.13,65.34,63.04
63.33,64.27,64.70,62.26
64.11,62.87,64.97,62.70
63.64,63.01,64.05,61.98
62.92,62.76,63.70,61.76
62.68,62.49,62.99,61.88
61.84,62.70,62.88,61.25
63.16,64.42,64.48,62.83
64.94,63.84,64.94,63.14
63.68,64.83,65.13,63.28
64.52,65.62,65.99,64.12
65.93,65.68,66.14,65.38
64.55,64.57,65.65,64.49
65.09,65.31,65.64,64.30
64.60,65.69,65.75,64.29
65.65,65.72,66.42,64.86
65.99,66.19,66.78,65.62
66.48,66.35,67.00,66.18
66.51,66.45,67.00,65.95
66.43,67.13,67.30,66.28
67.48,69.26,69.41,67.20
69.27,70.53,70.80,69.26
70.19,71.44,71.96,70.03
71.41,72.77,72.78,71.24
72.24,73.14,73.16,72.03
73.74,73.80,74.08,72.95
73.64,73.62,74.07,72.69
73.90,75.41,75.64,73.56
75.58,76.26,76.72,75.35
76.39,76.08,76.88,75.83
75.43,75.43,76.68,75.12
74.80,75.87,76.38,74.80
76.02,75.96,76.11,75.03
75.73,76.39,77.05,75.66
76.93,76.79,78.40,76.69
77.10,76.54,77.27,76.08
76.83,76.94,76.97,76.08
76.85,76.75,77.36,76.20
76.26,75.70,76.69,75.65
76.22,75.85,76.73,75.27
76.19,78.37,78.38,76.04
77.84,79.59,80.32,77.80
79.54,77.25,79.82,76.90
76.88,77.03,77.53,76.77
77.27,79.20,79.22,77.21
79.08,78.24,79.56,78.15
78.27,81.51,82.00,78.24
81.94,81.04,82.23,80.44
80.72,78.24,81.16,78.19
78.02,76.59,79.69,76.45
76.13,76.83,77.50,75.60
77.36,78.09,78.15,76.33
78.00,79.64,80.18,77.80
78.84,81.43,81.87,78.50
81.66,82.51,82.71,80.57
82.22,83.64,84.12,82.20
82.99,81.02,83.26,80.90
81.44,81.47,81.90,80.75
82.42,86.36,86.41,82.12
85.96,83.37,86.75,83.08
84.07,86.05,86.79,83.54
85.27,83.50,85.65,82.91
82.10,82.51,83.58,79.89
81.05,78.37,82.11,72.51
78.07,76.54,80.11,75.58
79.97,81.90,81.99,79.20
80.65,81.88,82.71,80.31
82.32,83.22,83.57,81.53
83.08,81.88,83.28,81.57
81.26,79.55,81.34,78.63
79.67,79.46,80.97,76.94
80.47,77.04,80.91,76.82
76.64,76.40,78.27,74.25
74.83,73.49,76.02,73.26
72.18,76.01,76.20,71.70
76.14,73.68,76.48,73.63
71.59,74.51,74.66,71.05
75.52,73.97,76.26,73.62
75.51,79.08,79.21,75.25
79.79,77.68,79.79,77.45
77.03,75.86,78.05,75.67
76.31,77.86,77.93,75.18
77.86,76.93,77.98,76.13
75.17,72.10,76.09,71.80
72.39,71.79,73.88,71.73
71.85,72.78,73.15,70.06
73.34,73.04,75.44,72.67
74.17,76.45,76.74,73.89
75.64,76.94,77.10,75.36
77.65,77.94,78.88,77.04
78.65,79.60,79.83,77.78
79.00,79.54,79.91,78.52
79.62,79.74,80.05,78.61
79.99,79.38,80.43,79.13
80.39,79.71,81.50,79.46
79.83,77.39,80.47,77.21
77.40,77.64,78.34,76.01
77.00,76.26,78.17,76.02
77.11,78.68,78.90,76.53
79.20,77.29,79.20,77.08
76.16,73.97,76.96,73.38
74.17,72.95,75.34,72.71
73.19,72.98,73.75,71.24
73.00,71.13,73.53,70.97
72.85,69.50,73.14,68.59
69.85,72.86,72.87,69.54
73.72,73.39,74.19,72.09
73.13,75.00,75.07,73.07
74.76,75.62,75.64,74.07
76.51,77.30,77.54,75.87
76.33,76.68,77.34,75.61
76.85,76.88,77.10,74.84
75.96,74.67,76.35,73.98
75.00,75.75,76.14,73.87
74.55,77.15,77.23,74.10
78.09,75.56,78.34,75.24
76.16,79.10,79.68,76.16
79.00,80.12,80.20,77.81
80.32,82.86,83.05,79.52
83.62,82.66,83.94,81.78
82.46,83.10,83.83,81.77
83.77,82.41,83.77,81.50
81.23,82.78,83.02,81.20
84.00,86.41,86.57,83.07
85.46,84.79,85.94,84.44
85.16,85.66,85.90,84.91
84.99,84.95,85.72,84.21
84.00,84.85,84.95,83.27
84.46,85.58,85.66,84.18
84.84,83.96,84.99,82.98
82.82,82.37,83.41,81.96
81.27,81.29,82.32,81.06
81.25,81.00,82.19,80.99
80.68,81.14,81.79,80.45
82.14,84.04,84.64,81.63
84.04,84.02,84.76,83.41
83.78,81.54,83.82,80.96
81.00,81.06,81.77,80.30
81.71,80.96,82.22,80.84
80.23,80.03,80.93,79.26
79.61,81.22,81.61,79.61
81.70,80.43,82.09,80.16
80.85,81.58,81.66,79.06
81.04,80.47,82.34,80.43
80.41,81.06,81.55,79.91
82.37,84.30,84.57,81.97
84.48,86.14,86.17,84.36
86.71,87.41,87.53,86.03
86.62,85.75,86.81,85.70
86.30,85.89,86.83,85.43
86.95,84.55,87.62,84.35
84.94,84.90,85.47,84.28
86.32,86.03,86.34,85.15
85.79,85.77,86.68,85.17
85.06,86.79,87.04,85.03
86.58,86.13,86.74,85.49
86.49,86.53,86.76,85.42
87.19,88.56,89.03,86.59
88.63,88.36,89.06,87.19
87.72,87.28,88.89,87.03
86.86,84.70,86.98,84.68
85.82,87.00,87.26,85.37
86.65,86.85,87.45,86.04
86.79,86.58,86.83,85.28
86.11,85.37,86.33,85.04
85.82,85.53,86.82,84.99
86.48,85.96,86.57,84.80
86.01,86.92,86.94,85.55
87.97,88.36,88.80,86.94
88.02,87.15,88.47,86.50
87.62,87.09,88.17,86.83
87.30,86.95,87.59,86.53
86.94,86.97,87.45,86.55
86.50,87.55,87.72,85.92
87.85,88.07,88.81,87.60
87.72,87.86,88.69,87.30
88.62,87.21,88.85,86.84
87.36,88.74,88.74,87.36
87.75,87.49,88.82,86.95
87.61,89.80,90.68,87.61
90.36,90.79,91.25,89.84
90.58,91.06,91.21,90.35
91.39,91.08,91.67,90.70
90.27,90.14,90.49,89.44
89.72,88.76,89.78,88.12
89.08,87.80,89.61,87.29
87.58,87.39,88.37,87.35
88.13,88.08,89.14,87.26
89.16,89.28,89.36,87.89
89.47,88.66,89.64,88.25
89.09,89.04,89.48,88.40
88.79,89.85,90.95,88.64
89.03,87.97,89.42,87.82
88.02,84.48,88.02,83.84
84.42,85.19,85.48,83.96
84.50,83.55,85.62,83.20
82.92,83.09,83.95,82.54
83.42,81.98,83.80,81.83
81.38,79.13,81.78,78.37
79.37,79.00,79.94,78.60
80.14,79.19,80.29,78.58
79.24,80.22,80.24,78.06
79.93,80.96,81.16,79.74
80.00,80.72,80.73,79.67
80.99,82.21,82.46,80.88
81.30,81.76,82.32,81.30
81.11,81.86,82.04,80.52
81.25,81.58,82.21,80.89
82.78,82.01,82.85,81.58
82.04,82.52,82.63,81.45
82.16,82.85,83.07,81.83
82.42,82.58,82.72,81.19
83.11,83.54,84.08,82.89
83.44,82.23,83.55,81.73
82.59,81.48,82.90,81.25
81.43,81.77,82.19,81.33
81.83,82.10,82.83,81.82
81.95,81.56,83.37,81.23
81.25,80.33,82.25,80.26
80.63,80.08,80.90,79.68
80.07,79.90,80.33,79.59
79.90,80.65,80.70,79.82
80.90,81.78,81.95,80.34
81.76,82.50,83.35,81.73
82.19,82.11,82.81,81.98
81.91,83.03,83.05,81.66
83.03,83.26,83.53,82.58
83.42,84.00,84.20,82.57
83.69,83.71,84.06,83.26
83.68,83.33,84.09,83.18
83.91,85.42,85.52,83.60
85.77,84.00,85.85,83.66
83.70,84.31,84.90,83.53
84.20,83.75,84.51,83.33
84.19,83.67,84.33,82.77
83.00,83.41,83.85,82.58
83.93,83.07,84.03,82.12
84.48,84.05,85.21,83.62
84.16,84.37,84.39,83.55
84.14,86.16,86.16,83.87
86.28,86.99,87.10,85.50
86.63,85.61,86.88,85.26
85.34,86.53,86.80,85.34
86.82,86.61,86.82,85.93
86.40,86.38,87.07,85.81
86.25,87.15,87.19,85.64
86.89,87.11,87.33,86.34
87.45,88.66,88.71,87.22
88.57,87.18,88.96,86.81
87.55,88.09,88.53,87.39
88.62,88.26,88.84,87.37
87.88,87.06,88.40,86.97
86.82,87.11,87.37,86.20
87.36,86.22,87.36,86.14
86.47,87.23,87.56,86.26
87.23,87.00,87.66,86.84
86.53,87.89,88.00,86.53
87.45,88.30,88.70,87.45
88.02,88.99,89.34,87.94
89.08,88.70,89.33,87.89
88.17,88.71,89.50,87.92
89.01,88.19,89.55,87.88
88.02,88.57,88.83,87.92
89.11,89.83,89.84,88.95
88.80,89.19,89.73,88.57
89.26,88.25,89.84,87.32
87.75,87.84,88.50,87.04
88.24,89.98,90.02,87.70
90.23,93.33,93.37,90.02
93.53,91.18,93.53,90.58
90.99,89.65,91.54,89.51
90.15,89.96,90.99,89.66
89.79,88.31,90.06,87.83
88.62,87.62,89.16,87.42
87.85,88.17,89.04,87.67
88.18,88.79,89.31,87.38
87.54,87.28,88.01,87.08
87.19,88.40,88.49,86.66
87.75,87.62,87.96,86.94
84.98,86.98,87.66,84.98
86.85,85.07,86.85,84.72
86.30,86.05,86.55,85.02
87.08,85.95,87.08,85.79
87.08,86.80,87.47,86.37
86.82,85.81,87.36,85.79
85.51,84.58,85.69,84.16
84.94,84.77,85.19,84.24
84.88,85.55,85.90,84.79
85.60,85.12,85.67,84.85
85.00,85.25,85.69,84.31
85.72,86.85,86.92,85.40
86.66,87.50,87.89,86.47
87.99,88.00,88.45,87.48
88.04,88.03,88.29,87.61
87.72,88.37,88.92,87.68
88.97,88.59,88.97,88.01
88.34,87.91,88.35,86.85
88.28,87.54,88.54,87.20
87.59,88.35,88.78,87.59
87.82,88.17,88.81,87.77
88.42,87.83,88.58,87.44
87.45,89.61,89.74,87.42
89.80,90.77,90.88,89.45
89.63,89.67,89.91,88.95
89.66,90.50,90.57,89.38
91.71,91.41,91.71,90.41
91.56,92.22,92.23,90.96
92.35,93.40,93.79,91.92
93.75,94.28,94.47,93.08
94.61,95.17,95.26,93.95
95.18,96.60,97.27,95.01
96.71,96.68,96.84,95.34
97.18,96.84,97.76,95.92
96.83,95.86,97.93,94.47
96.01,95.05,96.57,94.58
94.05,94.20,94.74,93.46
95.22,94.00,95.22,93.90
94.04,94.79,95.20,93.90
95.22,96.50,96.50,95.06
96.17,95.16,96.31,95.07
94.78,95.51,95.53,93.90
95.60,94.78,95.60,94.36
94.70,95.43,96.08,94.44
95.19,95.35,95.90,94.44
95.56,96.59,96.77,94.81
96.99,97.11,97.51,96.27
96.99,95.93,97.33,95.64
94.83,94.52,95.44,94.48
94.90,94.99,95.32,94.41
94.78,95.08,95.83,94.20
94.62,96.23,96.69,94.60
96.76,96.63,96.76,95.95
97.29,98.38,98.42,96.79
98.04,95.19,98.29,95.00
95.19,94.36,95.91,94.07
93.19,94.96,95.70,93.19
94.98,93.37,95.30,93.11
94.02,94.88,96.07,93.79
94.49,94.33,95.79,94.30
95.01,93.66,95.06,92.81
93.18,91.28,93.34,90.93
91.62,91.58,92.43,91.30
92.78,92.66,93.05,91.90
92.01,90.94,92.24,90.14
91.34,91.48,92.22,90.06
92.21,91.48,92.60,91.10
91.02,92.64,93.47,91.01
93.14,93.75,93.81,92.16
93.26,93.25,94.27,93.17
91.91,90.57,91.91,90.12
90.83,90.67,91.40,90.05
90.63,91.57,91.88,90.40
91.85,92.17,92.38,91.23
92.62,93.23,93.54,92.29
93.32,93.18,93.76,92.78
93.14,94.86,95.05,92.93
94.96,95.42,95.80,94.04
95.26,95.91,95.95,94.53
96.46,96.95,97.00,96.25
95.55,96.59,96.68,95.40
95.36,94.59,95.72,94.34
94.08,94.41,96.07,94.04
94.86,92.61,95.00,92.37
93.12,92.40,93.59,92.08
93.01,93.52,93.62,92.20
93.26,92.32,93.26,91.36
92.68,93.88,94.03,92.04
94.05,95.59,95.78,93.73
96.31,97.27,97.60,96.17
97.23,98.60,98.77,96.87
97.48,97.13,97.76,97.07
97.05,96.77,97.13,96.05
96.58,93.84,96.58,93.78
94.17,93.72,94.55,92.50
93.19,93.55,94.00,91.65
94.75,92.31,95.08,91.15
91.95,87.60,92.04,87.47
87.65,87.02,87.77,84.60
85.82,83.11,86.25,82.93
84.43,80.78,84.48,80.23
78.46,72.87,78.73,72.85
73.82,79.49,79.59,73.14
77.90,77.51,81.23,76.43
78.03,82.04,83.72,77.33
82.11,82.61,84.12,81.47
83.28,85.32,85.39,83.01
84.24,84.21,85.34,83.43
84.80,84.86,85.82,84.11
82.62,80.79,83.06,79.85
79.72,79.02,81.33,78.73
80.89,78.72,80.89,77.45
78.87,80.74,80.74,78.06
80.51,81.73,82.00,79.12
81.73,80.83,83.15,79.89
79.96,81.89,82.00,78.34
83.10,84.13,84.22,82.62
83.81,85.04,85.50,82.61
85.45,85.91,86.33,84.45
86.20,85.36,86.62,84.76
82.99,83.72,85.00,82.82
82.02,83.63,84.44,81.99
85.04,86.83,86.96,83.35
85.89,85.92,87.01,85.60
84.85,82.10,85.41,81.63
81.31,83.24,83.37,81.05
83.71,84.10,84.76,82.75
84.60,84.33,85.04,83.02
85.36,86.31,86.48,84.54
86.61,86.01,87.25,84.67
84.57,83.41,85.16,83.30
83.83,83.43,84.38,82.88
83.19,79.23,83.50,79.09
77.93,77.75,78.67,76.69
77.51,78.57,79.12,76.61
78.57,79.21,79.35,77.12
80.66,79.00,80.90,78.65
79.42,77.34,80.18,77.19
78.83,77.68,79.05,76.89
76.81,74.62,78.12,74.62
74.06,70.52,74.90,70.51
69.58,72.09,72.71,68.63
72.24,72.29,72.78,68.39
72.23,73.40,73.54,70.76
73.64,69.97,73.64,69.97
71.54,74.17,74.20,71.25
73.48,73.30,74.42,72.51
73.84,74.44,75.31,73.03
73.53,74.01,74.73,72.21
74.94,76.25,76.35,74.46
75.57,74.35,75.97,74.15
74.31,76.72,77.82,74.29
76.57,75.39,76.93,75.01
75.59,76.63,76.70,74.41
77.20,78.50,78.57,77.11
78.56,80.83,80.91,78.34
80.00,79.28,80.42,79.03
79.96,79.43,80.34,77.89
82.34,82.67,83.31,81.10
82.58,83.11,83.11,81.76
81.75,82.81,84.30,81.45
80.02,79.57,81.73,79.54
81.07,80.77,81.46,79.40
82.03,82.48,82.76,79.71
82.14,80.50,82.14,79.29
80.41,81.39,81.43,79.77
81.95,83.77,83.93,80.50
81.48,79.33,81.82,79.01
80.31,78.01,80.61,77.54
79.11,79.98,80.16,78.71
79.36,77.80,79.45,77.51
77.45,78.59,79.11,77.07
77.75,77.02,78.48,77.00
76.80,75.36,77.35,75.01
75.96,75.73,76.20,74.60
74.05,73.25,74.30,73.12
73.03,72.62,73.64,72.28
71.86,70.20,72.06,70.19
70.24,70.73,72.04,70.00
73.16,72.04,73.31,71.47
72.27,71.10,72.49,70.82
73.50,74.45,74.60,72.75
74.40,74.10,74.59,73.01
74.80,74.00,75.11,73.81
75.05,74.46,75.21,73.94
74.45,74.28,74.77,73.66
73.98,75.25,75.45,73.60
74.81,73.15,74.81,72.93
73.52,74.43,74.75,72.98
73.69,72.34,73.75,71.85
72.84,71.85,73.38,71.27
71.28,72.39,72.81,71.19
73.31,73.50,73.95,72.78
73.95,74.23,74.93,73.75
74.23,73.10,74.40,72.95
74.41,76.51,76.71,74.22
76.19,76.03,76.30,75.26
76.09,76.94,77.34,76.02
77.13,77.10,77.36,76.29
76.94,76.94,77.51,76.34
76.83,75.81,77.00,75.68
75.84,76.92,77.04,75.69
77.13,76.86,77.56,76.52
78.50,77.54,79.45,76.97
76.94,75.77,77.45,75.73
75.43,76.82,76.87,75.17
76.84,76.94,77.39,76.37
77.20,77.26,77.43,76.72
77.95,78.51,79.07,77.91
78.35,79.37,79.49,77.95
78.99,78.83,79.60,78.15
78.00,79.34,79.72,77.31
80.35,78.92,81.00,78.81
78.68,80.04,80.05,78.68
80.20,80.08,80.49,79.50
80.11,80.49,80.61,79.55
80.40,80.68,80.96,80.06
80.30,81.51,81.57,80.20
81.20,82.04,82.17,80.67
81.34,81.14,82.48,81.03
80.96,81.02,81.41,80.41
80.14,79.81,80.32,79.54
80.21,80.88,81.03,79.96
81.36,82.29,82.31,81.19
82.41,83.58,83.74,82.26
84.41,86.01,86.01,83.94
85.74,86.00,86.11,84.92
85.60,85.77,86.21,85.34
86.00,85.73,86.11,84.75
85.76,84.25,85.93,84.20
83.63,83.60,84.24,83.40
84.46,84.86,85.09,84.28
84.80,83.74,84.80,83.33
84.02,83.81,84.52,83.25
84.21,85.19,85.57,83.82
85.34,84.90,85.48,84.31
85.13,84.38,85.15,83.99
84.36,83.73,84.62,83.53
83.53,84.54,84.55,83.14
84.75,84.73,84.75,83.81
84.31,84.21,84.50,83.59
84.20,82.29,84.20,82.15
82.31,81.73,82.60,81.27
81.82,81.82,82.81,81.60
81.91,81.81,82.14,81.54
80.79,81.23,81.52,80.53
80.45,80.06,80.89,79.53
80.34,80.92,81.10,79.45
80.61,79.90,80.89,79.80
80.40,80.02,80.55,79.60
80.12,80.58,81.17,80.03
81.16,83.08,83.29,81.06
83.11,83.03,83.25,82.04
83.01,83.47,83.74,82.79
83.75,83.82,83.89,83.25
83.43,84.76,85.48,83.33
84.22,84.85,85.36,83.99
85.00,84.25,85.10,84.15
83.79,83.39,84.27,82.98
83.58,83.43,83.77,82.81
84.31,84.13,84.37,83.52
84.36,84.11,84.56,83.86
83.95,83.55,84.13,82.75
83.04,83.45,83.61,82.27
83.70,84.20,84.37,83.55
84.12,84.57,84.65,84.00
84.30,84.15,84.49,83.66
83.62,82.84,83.79,82.72
82.51,82.00,83.01,81.70
80.81,80.92,81.22,80.38
80.88,79.33,81.16,79.19
80.12,79.85,80.32,79.46
79.81,81.03,81.03,79.50
80.97,79.94,81.17,79.92
82.00,82.15,83.39,80.95
82.88,83.15,83.48,82.21
82.76,83.06,83.47,82.60
83.27,82.93,83.47,82.65
83.17,83.67,84.22,82.93
82.76,82.78,83.32,82.32
82.96,84.59,84.64,82.90
84.57,84.97,85.10,84.39
84.65,85.36,85.56,84.24
85.85,86.00,86.42,85.23
85.71,85.84,85.86,85.14
86.18,87.49,87.90,85.93
87.06,87.60,87.71,86.26
87.68,87.14,87.94,86.93
86.69,86.28,87.00,85.99
85.98,87.54,87.97,85.75
87.31,88.07,88.21,86.42
87.15,87.83,88.50,86.97
88.30,87.00,88.35,86.61
86.57,87.46,87.97,86.24
86.51,87.01,87.72,86.39
86.86,86.38,87.05,85.96
86.29,84.65,86.29,84.56
84.53,82.44,84.66,82.44
83.09,81.28,83.34,80.93
81.47,82.85,83.03,81.35
83.20,82.96,83.46,82.42
82.44,82.88,83.17,81.47
83.14,83.24,83.78,82.09
83.23,83.10,83.58,82.70
83.47,83.96,84.11,83.04
83.17,81.70,83.34,81.68
81.67,81.92,82.71,80.65
80.81,80.03,81.22,79.88
80.27,79.40,80.46,78.56
79.20,80.51,80.74,78.94
81.53,82.12,82.12,79.93
82.92,81.77,83.00,81.50
81.55,82.64,82.70,81.55
83.49,80.52,83.50,80.41
80.10,80.62,81.01,79.33
80.13,80.06,81.33,79.68
80.40,81.24,81.58,80.17
81.70,81.80,82.03,81.05
81.43,82.65,82.98,81.35
83.00,82.66,83.16,82.36
82.52,82.21,82.77,81.62
82.23,80.73,82.37,80.59
81.15,80.55,81.39,80.25
79.89,79.80,80.24,79.38
79.93,80.32,80.50,79.60
80.67,80.70,80.93,80.01
80.25,81.46,81.46,79.82
82.14,83.98,83.98,82.05
83.72,84.49,84.49,82.84
84.53,84.76,85.29,84.33
84.54,84.70,85.10,84.15
83.73,84.67,84.78,83.61
84.50,84.55,84.66,83.91
84.86,83.71,85.00,83.33
83.69,84.10,84.29,82.99
83.04,84.29,84.74,82.97
84.48,85.84,85.85,84.21
85.90,85.98,86.36,85.25
86.02,86.45,86.56,85.22
86.13,85.59,86.46,85.22
85.63,84.38,85.74,83.58
84.22,83.48,84.70,83.26
82.60,82.36,82.93,81.96
82.24,81.59,82.55,80.90
81.94,81.44,82.06,80.93
82.58,82.62,83.01,81.86
83.01,83.35,83.91,82.82
83.18,83.85,84.15,82.99
83.78,83.50,83.82,83.19
83.91,83.89,84.68,83.49
83.20,83.93,83.93,82.93
84.59,85.65,85.98,84.52
85.84,85.60,86.00,85.23
85.63,83.59,85.63,83.35
83.05,81.60,83.05,81.23
81.53,80.01,81.67,79.84
79.77,79.89,80.32,79.50
80.11,80.76,80.85,79.82
80.88,81.02,81.39,80.47
80.80,81.42,81.58,80.72
81.50,81.67,81.85,80.88
81.92,82.30,82.33,81.69
82.10,81.75,82.22,81.18
81.89,82.86,82.91,81.80
82.62,82.39,82.70,81.33
82.22,81.58,82.38,81.37
81.36,82.10,82.23,81.09
82.25,82.22,82.43,81.78
81.91,81.91,82.19,81.14
81.96,81.87,82.07,81.31
81.39,80.81,81.50,80.58
81.21,81.17,81.45,80.67
81.21,81.35,81.38,80.37
81.55,81.12,81.95,80.72
81.50,81.62,81.91,81.32
81.72,81.88,82.27,81.70
82.42,81.83,82.42,81.39
81.83,82.38,82.44,81.75
82.62,82.63,82.88,82.06
82.60,84.30,84.42,82.41
84.57,85.12,85.58,84.30
85.12,84.64,85.82,84.47
84.58,84.42,84.97,83.92
84.31,83.78,84.60,83.78
83.37,82.62,83.37,81.76
83.12,82.32,83.21,82.31
81.49,82.13,82.95,81.49
82.26,81.01,82.41,80.82
80.91,80.91,81.64,80.83
81.20,81.41,81.84,80.79
80.99,81.05,81.38,80.52
81.37,80.29,81.37,79.60
80.67,80.71,80.99,79.98
80.93,80.61,81.81,80.46
80.94,79.79,81.06,79.63
80.21,80.00,80.63,79.73
79.94,79.45,79.94,79.32
79.51,78.87,80.00,78.86
79.12,78.96,79.25,78.62
79.38,79.02,79.63,78.95
78.98,78.49,79.66,78.36
78.49,78.79,78.85,78.02
79.26,79.30,79.57,78.92
79.10,80.14,80.53,78.47
80.14,82.33,82.35,80.14
82.19,81.30,82.50,80.90
80.93,81.41,81.42,80.52
80.62,80.43,80.82,79.76
80.49,80.09,80.89,79.61
80.77,80.00,81.37,79.15
79.94,79.79,80.01,78.85
79.91,80.21,80.61,79.02
80.14,80.93,81.27,79.64
81.69,80.94,81.86,80.68
80.32,79.88,80.81,79.46
80.09,80.37,80.56,79.34
79.42,78.90,79.71,78.68
78.74,77.97,79.28,77.97
77.66,77.32,78.46,77.29
76.89,76.09,76.89,76.00
75.62,75.54,76.47,75.44
75.67,73.96,75.84,73.82
74.02,73.28,74.54,73.06
73.38,73.23,73.80,72.64
73.94,74.36,74.66,73.81
74.30,74.77,74.77,73.92
74.92,74.88,75.02,74.13
75.29,75.61,75.87,74.46
75.15,75.43,75.93,74.91
75.04,74.98,75.68,74.46
75.37,75.46,75.72,74.72
75.84,75.84,75.99,75.20
75.88,76.43,76.61,75.88
76.75,76.67,77.28,76.43
77.29,76.41,77.29,76.32
76.45,75.93,76.63,75.63
75.13,75.65,75.75,75.02
75.79,76.54,76.70,75.78
76.61,76.66,76.89,76.34
76.89,76.73,77.10,76.61
76.82,76.79,77.04,76.26
76.78,76.73,77.00,76.40
