PRPH,ProPhase Labs,NASDAQ
2.02,2.00,2.05,1.89
1.97,2.04,2.11,1.97
2.10,2.25,2.29,2.10
2.19,2.15,2.25,1.88
2.15,2.15,2.25,2.15
2.15,2.16,2.16,2.15
2.15,2.15,2.19,2.15
2.19,2.01,2.19,2.01
2.05,2.05,2.05,2.05
2.04,2.03,2.04,2.03
2.03,2.03,2.07,2.03
2.01,2.02,2.02,2.01
2.07,2.00,2.07,2.00
1.98,2.10,2.10,1.98
2.00,2.10,2.10,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.92,2.00,2.02,1.92
1.96,2.00,2.03,1.96
2.00,2.05,2.05,2.00
2.00,2.05,2.05,2.00
2.00,2.00,2.00,2.00
1.98,2.20,2.20,1.98
2.09,2.09,2.09,2.09
2.10,2.10,2.10,2.04
2.10,2.10,2.10,2.10
2.10,2.10,2.10,2.10
2.01,2.00,2.01,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
1.90,2.00,2.05,1.89
2.00,2.00,2.01,2.00
2.00,2.00,2.00,2.00
2.00,1.91,2.00,1.91
2.00,2.00,2.03,2.00
2.01,2.02,2.02,2.00
2.00,2.00,2.00,2.00
2.00,2.03,2.03,2.00
2.00,2.00,2.00,2.00
2.00,2.00,2.00,2.00
2.00,2.02,2.02,2.00
2.03,2.03,2.03,2.03
1.95,2.00,2.00,1.95
2.08,1.95,2.08,1.95
1.95,2.00,2.00,1.95
1.95,1.95,1.95,1.95
1.95,2.00,2.00,1.95
2.00,2.00,2.00,2.00
1.95,1.95,2.00,1.95
2.00,2.03,2.04,1.97
2.00,2.00,2.00,2.00
1.89,2.00,2.02,1.89
2.19,2.08,2.19,1.95
2.07,2.13,2.36,2.07
2.10,1.99,2.10,1.96
2.00,1.90,2.00,1.90
1.88,1.99,2.00,1.88
1.91,1.99,2.00,1.90
2.00,2.00,2.05,1.90
2.00,2.01,2.05,1.95
1.94,2.05,2.10,1.94
2.01,2.05,2.05,2.00
2.05,1.91,2.08,1.91
1.95,1.90,2.00,1.90
