CRR,Carbo Ceramics,NASDAQ
69.46,70.96,71.16,69.40
70.69,70.95,71.24,70.00
71.31,70.83,71.82,70.04
70.80,69.98,70.89,68.89
69.72,72.08,72.15,69.72
73.02,70.35,73.07,69.95
69.70,69.01,69.70,68.36
69.15,69.24,69.49,67.53
69.40,69.39,70.69,68.76
69.70,68.80,69.92,67.77
68.95,69.16,69.22,67.97
68.23,68.90,69.17,67.19
68.79,69.75,70.74,67.99
69.74,68.00,69.85,67.68
68.70,67.93,70.06,67.80
67.06,68.22,69.99,67.06
67.77,68.95,69.18,67.03
68.85,68.00,69.09,67.01
68.62,65.92,69.12,65.73
66.42,67.41,67.55,65.71
68.32,69.64,70.00,67.60
69.55,69.78,70.52,68.27
64.30,63.21,65.00,61.50
64.92,64.12,65.40,62.59
64.40,64.00,64.95,62.91
64.90,63.73,65.76,63.64
63.45,63.58,64.29,62.57
63.35,65.07,65.15,62.51
64.15,64.98,65.02,63.50
65.70,65.80,65.88,64.90
65.86,63.82,65.86,63.00
63.26,64.02,64.19,62.71
64.06,63.65,64.23,63.43
63.71,61.74,63.71,61.02
61.29,59.27,61.94,59.21
59.72,60.22,60.55,59.19
59.16,60.70,60.83,58.70
60.43,61.03,61.23,59.44
61.50,63.00,63.66,61.34
64.05,62.96,64.16,62.71
63.24,63.49,64.25,62.85
63.80,62.73,64.32,62.30
63.33,63.22,63.60,62.14
63.03,63.65,63.88,62.65
63.15,64.88,65.24,63.07
64.88,65.17,65.60,64.00
64.78,64.32,64.93,63.80
64.53,65.17,65.20,63.79
64.90,64.11,65.08,63.31
64.28,64.21,64.45,63.43
64.23,65.71,66.06,64.13
66.05,62.85,67.36,62.68
63.28,63.03,63.34,61.25
62.19,64.17,64.59,61.74
64.38,67.32,67.38,64.15
66.87,65.73,67.85,65.45
66.47,63.67,66.61,63.62
63.81,61.06,64.46,60.82
61.15,62.76,62.98,61.15
63.13,63.44,63.77,62.48
63.40,62.34,63.95,62.13
62.81,63.97,63.99,62.81
64.42,65.53,66.21,63.90
64.95,66.06,66.86,64.90
65.64,64.74,66.01,64.11
64.13,65.21,65.35,63.25
64.90,66.42,66.46,64.77
66.33,68.20,69.05,66.18
68.25,68.77,69.02,68.03
68.90,71.43,71.47,68.90
71.27,74.00,74.33,71.13
73.34,72.55,74.02,71.86
72.00,72.68,73.09,71.46
72.67,76.50,76.67,72.67
76.37,75.69,76.83,75.09
73.21,75.32,75.68,72.53
75.14,77.86,78.10,74.95
78.17,76.31,78.82,76.14
75.77,74.33,76.51,73.88
74.92,76.21,76.36,73.34
78.65,73.78,78.98,70.02
72.75,73.25,73.70,71.03
73.42,72.92,74.15,71.71
71.87,72.20,72.72,71.01
70.52,68.54,70.76,68.07
67.75,66.18,68.50,62.05
65.74,63.03,66.74,62.19
66.57,67.43,67.65,65.10
66.80,66.11,67.97,65.82
66.51,69.25,69.38,66.41
69.23,69.56,70.50,68.69
68.99,68.15,69.27,66.96
68.52,68.39,68.94,65.85
69.66,67.52,70.84,67.39
67.12,66.52,67.99,65.53
64.95,63.64,65.01,62.69
62.46,65.43,66.37,62.07
65.17,62.09,65.30,61.92
60.02,63.52,63.77,59.27
64.28,63.48,65.57,63.13
65.31,66.75,66.76,64.55
66.37,64.70,66.73,64.50
63.92,64.68,65.91,62.65
65.15,68.35,68.38,65.09
67.65,69.88,71.69,67.54
69.15,69.41,71.96,68.31
69.66,66.93,70.43,66.75
66.76,69.01,69.20,65.92
69.71,69.60,73.50,68.78
71.21,73.26,73.35,70.75
72.27,72.95,73.83,71.62
73.92,72.85,74.60,72.60
73.67,76.54,76.86,73.61
75.70,74.79,76.43,74.47
74.81,75.30,75.57,74.13
75.71,76.50,76.56,74.83
77.45,75.44,77.94,74.54
75.56,71.89,76.19,71.55
71.65,73.28,73.97,70.98
72.91,71.52,73.16,71.16
72.00,72.76,73.55,71.40
73.12,74.07,75.12,71.93
72.60,71.67,72.84,71.30
71.77,72.19,73.88,71.47
72.72,73.06,73.53,70.04
73.41,74.16,74.95,72.95
75.99,77.80,78.16,75.99
78.35,79.05,80.29,77.86
80.29,79.66,80.47,77.91
79.69,80.13,80.22,79.17
80.06,80.02,80.70,78.32
80.98,80.08,81.34,79.72
79.97,80.10,81.09,78.91
79.95,79.23,80.15,78.22
78.73,76.15,78.73,75.63
76.21,77.43,77.85,75.50
76.24,78.98,79.11,75.62
79.81,77.85,80.21,77.41
78.96,79.15,80.69,78.44
78.64,79.98,80.13,77.43
80.39,82.14,82.64,79.68
82.95,80.14,83.16,79.26
80.17,79.82,80.65,77.69
82.00,81.45,83.77,79.83
80.52,80.20,81.22,79.49
81.95,80.94,82.63,80.79
80.79,80.67,81.47,79.63
81.66,79.61,81.87,79.00
79.19,77.89,80.36,77.69
77.41,75.92,77.41,74.90
76.48,75.78,76.48,75.43
74.97,75.05,75.87,74.32
74.02,72.10,74.02,71.88
71.00,73.12,73.34,70.00
73.05,72.72,73.51,71.93
72.52,72.79,72.96,71.68
73.35,75.75,76.17,72.97
75.75,76.61,77.22,75.33
76.60,75.07,76.93,74.78
74.17,73.43,74.34,72.36
73.73,73.49,74.62,73.10
72.29,72.29,73.48,71.04
