BASI,Bioanalytical Systems,NASDAQ
1.16,1.05,1.17,1.05
1.15,1.08,1.15,1.08
1.08,1.10,1.10,1.05
1.10,1.05,1.10,1.05
1.06,1.14,1.14,1.05
1.12,1.07,1.13,1.05
1.06,1.06,1.08,1.05
1.06,1.10,1.24,1.05
1.10,1.05,1.20,1.05
1.06,1.05,1.13,1.05
1.07,0.98,1.10,0.97
1.00,0.98,1.05,0.98
0.98,0.98,0.98,0.98
0.90,0.91,0.98,0.90
0.89,0.87,0.92,0.84
0.92,0.85,0.92,0.85
0.89,0.80,0.89,0.80
0.90,0.79,0.90,0.79
nan,0.79,nan,nan
0.78,0.78,0.78,0.78
0.78,0.75,0.78,0.75
0.80,0.75,0.89,0.75
0.76,0.76,0.76,0.76
0.88,0.80,0.88,0.80
0.93,0.76,0.93,0.76
0.90,0.75,0.90,0.75
0.90,0.78,0.90,0.76
0.85,0.77,0.85,0.77
0.85,0.78,0.85,0.78
nan,0.78,nan,nan
0.78,0.78,0.79,0.70
0.77,0.80,0.80,0.77
0.79,0.75,0.79,0.75
0.80,0.80,0.80,0.80
0.78,0.77,0.78,0.77
0.75,0.70,0.80,0.70
0.73,0.70,0.74,0.70
0.72,0.74,0.74,0.72
0.79,0.79,0.80,0.79
0.87,0.80,0.87,0.76
0.75,0.75,0.76,0.75
0.75,0.71,0.86,0.65
0.72,0.71,0.73,0.68
0.80,0.68,0.80,0.68
0.87,0.74,0.87,0.74
0.75,0.75,0.75,0.75
0.79,0.80,0.85,0.70
0.78,0.78,0.83,0.78
0.83,0.68,0.83,0.68
0.74,0.80,0.80,0.74
0.79,0.79,0.79,0.79
nan,0.79,nan,nan
0.78,0.78,0.78,0.70
0.69,0.71,0.74,0.68
0.69,0.69,0.70,0.69
0.70,0.74,0.78,0.70
0.74,0.71,0.74,0.71
0.77,0.72,0.78,0.70
0.70,0.74,0.80,0.70
0.80,0.95,1.42,0.80
1.03,1.29,1.38,1.00
N/A,N/A,N/A,N/A
1.38,1.22,1.38,1.15
1.37,1.31,1.45,1.20
1.29,1.32,1.45,1.20
1.31,1.39,1.45,1.22
1.45,1.32,1.45,1.23
1.31,1.44,1.50,1.31
1.41,1.36,1.42,1.36
1.32,1.27,1.38,1.25
1.26,1.36,1.44,1.26
1.26,1.25,1.29,1.25
1.25,1.24,1.25,1.23
1.20,1.20,1.21,1.20
1.20,1.18,1.20,1.18
1.16,1.14,1.35,1.08
1.14,1.24,1.27,1.14
1.22,1.12,1.22,1.12
1.15,1.20,1.20,1.12
1.22,1.12,1.22,1.12
1.09,1.08,1.10,1.08
1.08,1.10,1.10,1.05
1.10,1.10,1.10,1.10
1.09,1.12,1.13,1.09
1.12,1.12,1.13,1.12
1.13,1.13,1.15,1.00
1.06,1.01,1.06,1.01
1.01,1.00,1.02,0.92
1.01,0.99,1.01,0.84
1.00,1.08,1.09,1.00
1.02,1.10,1.10,1.00
1.01,0.98,1.01,0.88
nan,0.98,nan,nan
0.94,0.94,0.94,0.94
nan,0.94,nan,nan
0.90,0.91,0.98,0.90
0.91,0.91,0.91,0.91
nan,0.91,nan,nan
0.90,1.12,1.12,0.74
1.07,1.06,1.10,1.00
nan,1.06,nan,nan
1.08,0.95,1.08,0.90
0.94,0.99,0.99,0.93
0.93,0.93,0.93,0.93
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
nan,0.95,nan,nan
1.03,1.03,1.03,1.03
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.94,0.93,0.94,0.93
1.03,0.93,1.12,0.93
0.93,1.12,1.12,0.93
1.11,0.94,1.11,0.94
0.95,0.95,0.95,0.95
nan,0.95,nan,nan
0.95,0.95,0.95,0.95
nan,0.95,nan,nan
0.96,0.95,0.96,0.93
nan,0.95,nan,nan
nan,0.95,nan,nan
0.93,0.93,0.93,0.93
0.93,0.93,0.94,0.93
0.93,0.93,0.93,0.93
nan,0.93,nan,nan
nan,0.93,nan,nan
nan,0.93,nan,nan
nan,0.93,nan,nan
nan,0.93,nan,nan
0.93,0.93,0.93,0.93
nan,0.93,nan,nan
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
0.93,0.93,0.93,0.93
nan,0.93,nan,nan
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.92,0.92,0.92,0.92
0.93,1.04,1.04,0.93
0.93,0.92,1.08,0.92
0.92,0.93,1.05,0.92
nan,0.93,nan,nan
1.03,1.03,1.03,1.03
1.03,0.95,1.22,0.95
1.09,0.98,1.10,0.95
0.95,0.95,0.95,0.95
0.95,0.93,0.95,0.93
nan,0.93,nan,nan
nan,0.93,nan,nan
