PHII,PHI,NASDAQ
21.79,21.50,21.79,21.50
21.40,21.50,21.50,20.95
21.62,20.41,21.62,20.41
20.34,20.40,20.47,20.34
20.40,20.40,20.40,20.40
20.40,20.40,20.40,20.40
20.40,20.40,20.40,20.40
19.69,20.19,20.19,19.60
20.19,20.31,20.31,20.19
20.06,19.15,20.06,19.15
19.15,19.15,19.15,19.15
18.80,19.35,19.35,18.80
18.93,18.93,18.93,18.93
19.00,19.09,19.09,19.00
18.58,18.58,18.58,18.58
18.80,19.13,19.13,18.80
19.61,20.38,20.38,19.61
19.28,19.91,19.91,19.25
19.50,19.78,19.78,19.50
19.78,19.78,19.78,19.78
19.78,19.78,19.78,19.78
18.48,18.49,18.49,18.47
18.49,18.49,18.49,18.49
18.75,19.92,19.92,18.75
19.80,19.00,19.80,18.15
18.95,18.05,18.95,17.33
17.85,18.69,18.73,17.85
18.94,19.16,19.40,18.79
18.33,19.10,19.10,18.33
19.35,19.35,19.35,19.35
19.35,19.04,19.35,19.04
19.79,19.90,19.90,19.65
20.00,20.30,20.30,19.82
20.00,20.12,20.12,20.00
20.00,20.39,20.39,20.00
20.25,20.25,20.25,20.25
19.53,19.20,19.53,19.20
19.79,21.39,21.39,19.70
20.64,21.13,21.14,20.21
21.66,21.38,22.45,21.38
21.97,22.00,22.50,21.97
22.44,21.58,22.44,21.58
22.00,22.75,22.75,21.94
22.75,22.61,23.05,22.43
22.43,22.70,22.70,22.43
22.70,22.70,22.70,22.70
24.10,21.96,24.10,21.15
21.94,21.94,21.94,21.94
21.94,21.94,21.94,21.94
21.09,21.12,21.25,21.09
21.12,21.12,21.12,21.12
20.38,21.18,21.18,20.38
20.40,20.51,20.51,20.40
20.82,20.49,20.82,20.00
20.49,20.49,20.49,20.49
20.49,20.49,20.49,20.49
20.53,20.29,20.70,20.29
20.10,20.10,20.10,20.10
20.14,20.85,20.85,20.10
20.94,21.03,21.03,20.94
21.05,21.58,22.18,21.05
21.58,21.58,21.58,21.58
22.49,22.25,22.49,22.25
22.45,22.29,22.45,22.29
22.25,22.75,22.75,22.24
22.78,22.78,22.78,22.78
22.33,22.11,22.33,22.11
22.33,21.65,22.33,21.65
20.92,21.10,21.10,20.92
21.10,21.10,21.10,21.10
21.10,21.10,21.10,21.10
22.02,21.45,22.02,21.45
21.45,21.45,21.45,21.45
20.83,21.30,21.45,20.67
21.10,21.00,21.10,20.94
20.55,21.61,21.85,20.46
21.43,21.28,21.92,21.28
21.30,21.37,21.38,21.23
21.12,20.92,21.12,20.92
20.80,21.12,21.12,20.80
21.24,21.24,21.24,21.24
22.28,21.07,22.92,20.86
21.49,21.15,21.49,20.53
21.14,20.57,21.14,20.57
20.33,19.58,20.33,19.01
19.45,18.73,19.45,18.73
19.05,19.10,20.52,18.80
19.37,19.82,20.03,19.00
19.92,20.01,20.35,19.50
20.40,20.27,20.40,19.75
20.21,19.70,20.27,19.70
19.50,19.50,19.50,19.50
20.12,21.23,21.23,20.12
21.34,20.56,21.34,20.49
20.35,19.73,20.35,19.73
19.20,18.00,19.20,18.00
18.02,17.99,18.02,17.99
17.84,17.84,17.84,17.84
17.30,17.72,17.72,17.30
17.88,17.63,17.88,17.63
17.80,18.00,18.14,17.78
18.19,18.03,18.31,18.03
18.03,18.03,18.03,18.03
18.03,18.03,18.03,18.03
17.51,17.41,17.55,17.41
17.41,15.95,17.41,15.95
15.78,14.92,15.78,14.70
14.92,15.41,15.49,14.92
15.15,15.23,15.23,15.12
15.23,15.23,15.23,15.23
15.60,15.60,15.60,15.60
15.98,16.25,16.51,15.98
16.74,16.74,16.74,16.74
16.20,16.20,16.20,16.20
16.09,16.09,16.09,16.09
16.03,15.91,16.26,15.30
15.77,16.09,16.09,15.77
16.23,15.45,16.31,15.45
15.45,15.51,15.80,15.45
15.51,15.51,15.51,15.51
15.97,16.07,16.07,15.66
15.90,15.73,16.31,15.63
15.23,15.07,15.37,15.05
15.35,15.05,15.35,15.05
14.03,14.00,14.03,14.00
14.00,14.00,14.00,14.00
14.01,14.00,14.10,14.00
13.72,13.15,13.93,13.15
13.16,13.17,13.81,13.16
13.15,13.25,13.45,13.15
13.60,13.60,13.60,13.60
14.49,15.00,15.00,14.24
15.57,15.00,15.65,15.00
14.86,14.86,14.86,14.85
14.86,14.86,14.86,14.86
14.82,14.69,15.00,14.32
15.09,15.09,15.09,14.91
15.09,15.09,15.09,15.09
16.06,15.78,16.06,15.78
16.05,15.90,16.05,15.90
15.94,16.32,16.34,15.94
16.35,16.60,16.60,16.35
16.57,16.57,16.57,16.57
16.57,16.57,16.57,16.57
16.44,16.89,16.99,16.33
16.50,16.70,17.19,15.92
17.12,17.06,17.19,17.06
17.00,16.88,17.07,16.86
17.00,17.07,17.55,16.72
16.78,16.38,16.79,16.16
16.47,16.49,16.49,16.47
16.47,16.37,16.81,16.28
16.55,16.00,16.55,15.71
15.85,15.65,16.12,15.45
14.31,15.23,16.15,14.31
14.95,14.96,14.96,14.95
14.98,15.26,15.68,14.98
15.44,15.33,15.44,14.98
15.13,14.95,15.14,14.94
14.35,14.35,14.35,14.35
14.42,14.43,14.43,14.42
14.41,14.32,14.41,14.32
14.72,15.19,15.40,14.70
15.71,15.18,15.71,15.18
15.75,15.42,16.00,15.42
15.46,15.35,15.46,15.35
15.35,15.35,15.35,15.35
15.25,15.90,15.98,15.25
15.84,15.84,15.84,15.84
15.74,15.74,15.74,15.74
15.67,14.93,15.67,14.80
15.04,14.95,15.14,14.95
15.00,14.84,15.14,14.84
14.55,14.50,14.55,14.01
14.51,14.51,14.51,14.51
15.15,15.39,15.60,15.15
15.44,15.44,15.44,15.44
15.50,15.52,15.75,15.37
15.55,16.00,16.00,15.55
15.68,15.90,16.00,15.68
15.90,15.90,15.90,15.90
15.76,15.70,15.76,15.70
15.70,15.70,15.70,15.70
15.70,15.70,15.70,15.70
15.70,15.70,15.70,15.70
15.70,15.80,15.80,15.70
15.96,15.70,16.24,15.67
15.93,15.60,15.95,15.52
15.60,15.60,15.60,15.60
15.81,15.42,15.81,14.86
15.02,15.62,15.96,15.02
16.24,15.51,16.24,14.98
15.13,15.20,15.20,15.10
14.81,15.35,15.55,14.54
15.39,15.39,15.39,15.39
15.46,15.46,15.46,15.46
15.56,15.90,16.21,15.17
15.99,15.75,16.00,15.70
15.75,15.75,15.75,15.75
16.06,16.24,16.24,16.00
