LD,iPath Bloomberg Lead Subindex Total Return SM Index ETN,NASDAQ
64.50,64.93,65.68,64.14
64.30,66.50,67.00,64.30
67.00,68.29,69.63,67.00
67.91,66.45,69.85,66.45
67.80,66.29,67.80,65.68
67.24,66.18,67.24,66.18
63.01,62.41,63.29,62.21
63.15,64.65,64.72,62.70
64.83,65.23,65.65,64.45
63.59,63.41,63.59,63.41
63.97,64.30,64.30,62.82
63.66,60.25,63.66,60.00
60.25,59.50,60.25,57.51
56.25,57.81,58.35,56.25
57.75,58.15,58.15,56.56
54.96,56.30,56.57,54.96
55.13,53.58,55.13,53.34
53.82,53.11,53.92,52.72
52.65,51.66,53.60,51.65
50.77,52.45,53.47,50.31
53.67,54.76,54.79,53.67
54.00,52.43,54.00,52.27
51.60,50.90,51.60,49.84
50.03,49.66,50.14,49.31
48.03,50.39,50.39,48.03
51.49,52.94,53.61,51.35
52.82,53.60,54.31,52.00
52.76,55.15,55.60,52.76
54.52,54.51,54.62,54.36
59.30,59.26,59.44,56.49
62.42,59.34,62.42,58.41
59.66,59.99,60.82,59.54
57.82,60.35,61.28,57.82
59.41,60.00,60.80,59.41
60.00,58.16,60.00,57.17
57.04,57.16,57.16,56.57
56.00,55.58,56.04,54.99
56.42,56.30,56.42,55.47
55.99,56.58,56.58,55.94
56.34,56.32,56.45,55.96
57.84,57.42,58.12,57.42
56.58,56.58,56.58,56.58
56.58,56.58,56.58,56.58
58.69,59.00,59.00,58.55
57.99,57.87,57.99,57.28
59.00,58.34,59.72,58.26
58.22,58.19,58.74,57.79
57.99,57.99,57.99,57.99
56.90,56.86,56.90,56.86
57.26,57.35,57.35,57.26
58.28,58.29,58.29,57.86
58.29,58.29,58.29,58.29
57.62,57.62,58.20,57.62
55.65,56.00,56.03,55.10
55.50,54.28,55.67,53.40
53.28,51.91,53.28,51.52
52.41,53.05,53.51,52.41
53.97,54.49,54.69,53.97
55.06,55.33,55.33,55.06
55.07,54.75,56.04,54.75
54.77,54.92,55.34,54.77
56.15,55.96,56.15,55.96
57.01,57.52,57.52,56.94
57.51,58.75,58.98,57.51
58.90,58.62,59.37,58.39
58.78,58.78,58.78,58.78
59.25,58.83,59.25,58.83
59.61,60.26,60.26,59.61
60.50,60.50,60.50,60.18
60.68,60.60,60.68,60.22
59.97,59.87,60.54,59.87
60.00,58.43,60.80,57.22
58.19,58.19,58.19,58.19
60.23,59.88,60.23,59.88
59.88,59.88,59.88,59.88
58.81,59.23,59.30,58.81
56.65,59.40,59.40,56.65
58.99,59.31,60.28,58.99
59.46,57.99,60.23,57.14
57.71,57.71,57.71,57.71
57.17,57.17,57.17,57.17
56.94,56.93,56.94,56.93
56.32,55.83,56.32,55.83
54.75,52.37,54.75,52.36
49.81,49.88,51.00,48.04
49.88,49.88,49.88,49.88
51.30,51.30,51.30,51.30
54.10,53.88,54.10,53.88
52.39,51.98,52.39,51.98
52.40,52.37,52.40,52.37
52.37,52.37,52.37,52.37
49.53,49.94,49.94,49.53
47.41,44.80,47.41,44.80
46.99,46.99,46.99,46.99
44.75,44.64,44.75,44.48
44.20,44.51,44.56,43.69
42.34,45.03,45.03,42.34
46.58,46.48,46.58,46.48
44.74,44.94,45.00,44.74
44.68,44.58,44.68,44.58
46.54,46.64,46.64,46.54
46.09,46.08,46.09,46.08
