FFIV,F5 Networks,NASDAQ
53.35,53.98,54.47,53.35
53.28,52.52,53.49,51.57
52.20,52.76,53.32,52.20
52.75,52.23,53.05,51.60
52.17,52.96,52.96,51.88
53.57,52.45,53.60,52.19
52.14,51.02,52.49,50.40
51.02,52.39,52.71,51.02
52.30,52.14,53.00,51.66
51.93,51.39,52.80,51.13
51.48,52.33,52.73,51.25
52.21,53.01,53.11,51.50
55.38,54.61,56.19,53.07
54.72,52.28,54.94,51.90
52.63,53.48,53.70,51.86
53.26,52.39,53.59,52.27
52.26,51.63,52.65,51.10
51.52,50.72,51.73,49.64
51.00,49.43,51.49,49.27
49.53,50.39,50.41,49.33
48.41,50.48,50.82,47.84
50.25,50.46,51.47,49.77
49.93,48.36,50.22,48.31
48.94,48.43,48.94,47.11
48.51,48.52,49.69,48.49
49.11,50.25,50.46,49.11
49.98,49.96,50.43,49.63
49.85,53.71,53.80,49.76
53.25,53.35,53.97,52.20
53.68,53.57,53.92,52.87
53.43,53.77,53.94,52.95
53.60,54.68,54.79,53.09
54.54,54.94,55.57,54.37
55.34,54.90,55.50,54.62
54.44,54.33,54.89,53.51
54.38,55.57,56.16,53.98
54.81,55.37,55.38,54.12
55.37,55.80,55.84,55.00
56.11,58.25,58.48,56.00
58.41,59.69,60.23,58.29
59.75,61.32,61.93,59.70
61.27,60.70,61.80,60.16
61.17,61.22,61.66,60.99
61.45,60.88,62.06,60.77
60.96,61.66,62.45,60.62
62.44,62.67,63.48,61.56
62.95,63.74,63.74,62.00
63.99,63.10,64.00,62.37
62.99,63.07,63.27,62.25
63.04,62.51,63.17,62.15
62.82,64.60,64.89,62.55
64.86,64.31,65.10,63.80
63.28,61.75,63.29,60.86
61.66,62.78,63.03,61.03
62.88,63.60,63.68,62.14
63.50,63.99,64.26,63.00
64.51,62.65,65.10,62.65
62.91,62.56,63.72,61.98
62.70,62.62,63.05,62.20
62.76,62.47,63.29,61.89
62.19,61.63,62.89,61.51
61.69,62.14,63.45,61.44
62.70,65.29,65.69,62.70
65.26,65.12,65.40,63.95
65.29,64.56,65.53,63.96
64.11,63.92,64.36,62.25
63.86,64.76,64.92,63.48
64.93,63.99,65.17,63.68
64.07,65.21,65.45,63.87
65.31,67.34,67.69,65.31
67.40,67.13,67.77,66.31
66.90,66.25,67.25,65.38
66.37,65.76,66.67,64.00
66.01,65.96,66.65,65.51
65.84,66.96,67.28,65.60
65.17,71.79,71.80,65.02
71.67,71.28,72.60,70.60
71.30,70.41,71.92,70.26
70.00,69.61,70.84,68.47
70.10,69.57,70.38,68.48
70.36,70.39,71.52,69.29
70.63,68.43,71.30,68.40
67.33,71.08,71.21,67.33
69.54,69.33,70.25,68.95
68.36,69.23,69.96,67.59
68.93,65.74,69.69,60.50
64.98,63.33,65.73,60.72
66.50,68.57,68.57,66.00
67.76,69.79,70.99,67.53
70.23,72.85,73.15,70.09
72.39,70.69,74.00,70.34
69.59,70.00,70.33,68.59
70.03,69.61,71.40,67.83
70.57,68.87,71.14,68.40
68.50,68.65,69.61,67.05
66.36,64.73,66.81,64.10
64.08,66.90,67.54,62.99
66.91,67.32,68.46,66.53
65.38,68.59,68.62,63.31
69.72,68.69,71.62,68.54
70.39,73.22,73.24,70.39
72.59,70.33,72.59,69.87
70.02,67.76,70.55,67.65
68.46,69.28,69.41,67.60
70.22,71.96,72.12,69.90
70.19,69.01,71.39,68.64
69.01,67.05,70.38,66.82
67.32,66.83,68.00,65.00
66.66,66.81,68.42,64.39
68.27,68.10,68.99,66.79
67.16,69.95,69.95,66.92
71.00,70.47,71.83,70.01
71.41,72.97,73.29,70.88
72.10,74.69,75.24,72.01
75.28,73.42,75.93,72.77
73.36,73.81,74.62,72.94
74.99,74.22,77.10,73.80
74.44,73.17,76.00,73.03
72.66,74.36,75.24,72.32
74.08,71.98,74.09,71.53
72.02,71.89,72.30,70.10
72.22,73.51,74.48,72.21
71.46,69.09,71.97,68.83
69.10,68.57,70.52,67.72
68.51,69.60,69.91,66.79
69.98,68.65,69.98,67.97
69.90,70.14,72.46,69.26
70.50,75.12,75.19,70.50
75.61,75.53,76.16,74.16
75.18,75.23,75.90,74.40
75.13,76.67,77.96,74.96
77.50,76.86,77.70,74.93
77.07,77.87,79.21,77.04
78.24,78.70,79.00,76.91
77.94,76.37,78.52,76.29
75.24,76.25,77.03,75.02
75.00,76.79,77.00,73.76
77.15,73.11,77.74,72.48
80.10,83.40,83.85,79.40
83.20,87.21,87.35,82.74
87.16,87.48,87.69,85.81
87.88,86.09,87.97,85.16
85.76,85.78,87.21,84.60
86.87,86.53,87.70,84.35
85.27,87.83,88.34,84.51
87.96,88.60,90.25,87.01
88.14,88.59,89.27,87.51
88.51,89.82,90.00,87.87
89.51,88.95,90.83,88.37
87.49,88.48,89.50,86.72
89.40,91.41,91.97,88.75
90.84,92.23,92.70,89.99
89.56,86.82,89.94,86.01
82.47,82.77,84.68,80.00
82.83,83.88,84.96,82.27
82.96,83.89,85.19,82.34
85.21,87.91,89.77,84.70
88.52,88.86,89.52,87.89
88.46,88.73,89.60,88.12
88.12,91.04,91.63,88.08
90.76,89.27,91.60,88.76
87.56,86.27,87.64,85.57
85.63,86.89,87.08,84.01
87.88,87.66,89.60,87.35
88.70,89.02,89.89,86.00
89.09,89.24,90.97,89.00
88.58,87.43,89.21,86.46
89.84,90.74,91.17,89.21
91.22,91.11,91.69,89.83
92.72,93.80,94.48,92.00
93.22,93.52,94.43,92.25
94.37,96.36,97.05,93.56
97.00,95.73,98.01,94.70
95.63,94.15,95.63,92.75
96.31,98.87,99.72,95.91
98.47,98.66,100.17,97.57
99.13,99.14,99.73,97.20
99.32,100.52,100.92,98.00
100.56,100.98,101.45,99.33
101.96,104.64,105.20,100.99
104.91,103.38,104.91,102.03
102.63,100.49,103.82,99.61
99.17,102.49,104.10,99.04
104.24,103.07,105.72,102.81
103.50,103.23,104.10,101.19
103.66,104.06,105.50,100.80
104.12,104.41,105.50,102.96
105.09,103.81,107.30,102.56
104.82,103.29,105.27,101.65
103.65,105.89,109.00,103.16
107.85,111.50,112.05,107.51
108.50,97.54,109.80,96.87
98.20,98.98,100.88,94.10
94.15,94.69,95.25,90.12
95.63,91.18,96.14,90.63
91.62,95.61,96.68,90.59
96.64,96.74,97.69,95.00
97.40,95.66,97.43,95.00
96.35,97.20,97.75,94.83
97.23,93.17,97.45,91.57
91.00,90.99,92.47,89.05
90.80,91.93,93.26,89.05
92.50,92.82,94.10,91.52
93.23,98.45,98.54,93.01
100.00,100.83,101.95,99.95
100.32,102.54,103.75,99.27
111.79,117.58,118.99,111.53
117.95,116.78,118.47,114.60
116.77,117.70,119.88,116.53
117.98,116.37,118.24,115.30
115.22,117.35,118.37,115.19
116.51,122.92,122.96,116.51
124.53,120.89,125.39,120.38
121.92,123.00,124.22,119.32
122.86,122.82,124.31,120.85
122.94,120.42,124.00,119.84
120.26,122.89,124.85,119.77
119.19,123.70,123.99,117.43
123.21,123.86,127.95,121.11
124.36,119.55,124.68,118.91
118.43,115.95,120.30,115.37
116.52,115.01,118.90,112.10
117.99,120.51,121.90,117.73
121.18,122.69,123.63,119.70
122.51,131.93,132.20,122.13
129.65,129.14,131.50,127.21
132.25,132.55,133.70,131.09
131.11,135.04,135.23,130.56
134.67,134.18,136.00,131.93
132.43,131.88,133.00,131.26
134.11,138.96,139.88,134.11
138.66,137.15,139.59,135.84
135.84,139.28,141.62,135.52
139.48,139.80,140.58,137.61
142.34,137.61,143.00,137.32
138.32,137.17,139.17,135.72
138.30,138.92,139.33,136.00
142.94,143.09,143.55,138.68
143.72,139.06,143.75,138.71
139.41,133.65,140.22,132.82
133.05,130.38,135.99,130.13
130.96,134.07,134.38,129.59
135.01,136.01,138.24,132.63
136.75,135.60,136.99,133.34
136.06,136.64,136.99,133.93
136.76,136.17,137.00,134.83
136.09,135.60,136.25,134.60
135.26,134.90,135.70,133.02
135.08,133.38,135.63,133.05
133.63,133.68,134.65,132.02
133.38,132.41,133.80,132.25
132.35,130.16,132.44,129.14
132.89,134.33,137.69,132.77
135.19,132.07,135.96,131.59
131.80,137.29,137.30,131.80
137.89,138.07,139.20,135.76
138.15,138.35,139.00,135.50
138.17,142.69,143.55,138.07
144.00,142.65,144.10,141.10
143.85,142.61,143.85,141.62
142.08,143.95,145.76,141.37
144.47,144.17,145.00,141.45
144.42,141.78,145.73,139.77
141.89,138.78,143.60,135.60
111.19,109.15,114.75,106.10
