MTB,M&T Bank Corporation Common Stock,NASDAQ
67.63,67.01,67.65,66.32
66.80,68.21,68.39,66.70
68.43,70.49,70.90,68.15
70.58,73.12,73.67,70.13
72.56,73.84,74.35,72.43
73.94,73.14,74.18,72.97
72.72,71.69,73.00,71.30
71.75,73.62,74.15,70.89
73.61,75.34,75.68,73.47
74.90,73.16,75.28,72.94
73.21,74.70,75.15,72.46
73.65,77.69,78.32,73.65
77.80,78.59,80.31,77.80
78.37,75.59,78.60,75.27
76.37,75.00,76.84,73.78
74.46,73.73,75.52,73.27
73.83,76.30,76.65,73.52
76.34,75.72,77.10,75.25
75.90,73.75,76.04,73.50
74.23,74.90,75.26,74.23
75.13,75.00,75.80,74.45
74.46,72.17,74.49,72.08
71.78,70.64,71.91,69.91
70.65,72.67,72.75,70.09
72.31,71.29,72.64,71.08
71.99,71.99,72.99,71.37
72.00,72.67,73.37,71.71
72.79,72.40,72.87,71.89
71.75,72.07,72.19,70.89
73.04,75.12,75.34,72.77
75.37,74.49,75.64,73.80
74.65,75.43,75.50,74.41
75.37,76.60,76.65,75.23
77.08,78.09,78.32,76.99
78.09,77.22,78.09,75.91
76.99,78.20,78.97,76.81
77.33,76.58,77.33,75.55
76.54,77.43,77.64,75.76
77.35,77.80,78.12,77.00
77.97,78.46,79.09,77.86
78.54,76.60,78.68,76.14
75.87,76.16,76.59,75.27
76.68,78.55,78.63,76.68
78.45,78.73,78.91,78.00
78.35,78.79,79.17,77.59
78.79,79.56,80.00,78.44
79.36,80.30,80.50,79.13
80.93,80.00,81.33,79.78
79.90,80.31,80.48,79.72
82.00,81.45,82.00,80.15
81.64,82.79,82.92,81.52
82.60,84.00,84.10,82.49
83.28,83.28,85.00,83.02
82.83,83.25,83.47,81.76
83.33,83.21,83.33,81.85
82.90,83.04,84.00,82.77
83.64,82.45,84.60,82.35
82.79,80.81,83.69,80.34
81.03,80.95,81.46,79.72
80.82,79.76,81.17,78.70
79.52,79.38,80.13,78.75
79.86,79.57,80.00,78.74
79.91,81.61,81.83,79.41
81.76,84.46,84.64,81.62
84.32,83.35,84.99,82.71
83.29,84.13,84.43,82.89
84.22,85.34,85.45,83.95
85.35,85.31,85.67,84.41
85.31,84.92,85.37,83.91
85.41,86.79,87.00,85.35
87.62,86.14,87.62,86.05
86.31,84.25,86.53,82.30
84.41,84.10,86.84,82.72
84.81,85.00,86.35,83.89
85.33,86.28,87.50,85.09
85.93,87.82,88.00,85.31
87.83,88.49,88.73,86.88
88.19,85.45,88.66,85.25
85.00,84.09,86.30,83.52
84.65,85.43,86.78,84.65
86.80,89.44,89.77,86.59
89.06,87.35,89.56,87.17
88.05,89.15,89.22,88.00
87.99,87.12,88.36,86.64
86.54,87.41,88.52,85.65
87.03,84.27,88.41,80.61
85.08,84.07,86.77,83.60
88.08,88.46,89.00,86.36
86.81,88.77,90.00,86.81
89.42,90.69,90.80,88.81
90.36,90.22,91.47,89.93
89.47,87.25,89.60,86.13
87.47,87.84,88.42,85.77
88.49,83.61,88.57,83.14
83.44,83.39,85.10,81.90
82.00,79.70,82.53,79.68
78.50,84.00,84.08,77.86
84.10,81.40,84.10,81.26
79.87,80.81,81.12,78.84
81.89,80.32,82.52,80.11
80.95,81.48,81.76,79.75
81.54,79.24,81.86,78.87
78.77,77.53,79.55,76.97
78.19,79.67,79.72,77.65
79.60,78.96,80.37,77.95
77.55,75.36,77.83,75.14
76.00,74.24,76.38,74.20
74.50,76.59,76.81,74.11
76.89,76.26,77.08,75.60
76.96,78.64,78.78,76.85
77.82,78.39,78.49,76.66
79.02,77.53,79.63,77.21
78.44,79.36,79.60,77.73
79.18,81.93,83.19,79.05
82.98,89.34,90.99,82.77
88.06,90.71,90.86,86.62
90.31,94.45,95.98,90.28
94.28,93.71,96.15,93.03
94.03,91.02,94.75,90.50
90.54,86.69,90.54,86.32
87.46,88.37,89.42,87.25
87.77,89.24,89.65,87.50
87.94,86.29,89.05,85.89
86.40,84.95,87.88,84.79
84.95,87.20,87.79,84.20
88.04,84.89,88.04,84.34
86.65,85.96,87.67,84.93
86.51,89.23,89.43,86.15
89.82,88.62,90.59,87.23
88.06,90.23,90.49,87.79
89.93,89.12,90.02,88.25
90.20,91.51,91.69,89.83
90.78,89.94,91.15,88.94
89.94,88.78,90.34,87.45
87.56,85.73,87.95,85.50
86.50,86.08,86.69,84.78
84.60,85.08,85.50,83.50
87.32,83.50,89.25,82.85
84.72,86.68,87.33,84.34
86.64,89.56,89.99,86.01
90.00,92.38,92.50,89.06
93.30,89.85,93.47,89.70
89.82,87.83,90.54,87.50
88.50,87.00,88.98,85.52
86.35,87.34,88.65,85.60
88.78,89.56,90.32,88.24
89.49,87.99,89.78,87.86
88.88,88.60,88.89,87.50
87.50,87.67,88.04,86.50
86.89,86.88,87.04,85.01
87.60,87.95,88.38,86.61
87.09,87.91,88.60,86.41
86.57,84.39,86.65,84.39
83.49,85.19,85.61,83.37
