ILMN,Illumina,NASDAQ
31.12,30.55,31.23,30.42
30.37,30.35,30.50,29.76
30.24,32.22,32.43,30.24
32.24,32.77,33.21,32.00
32.60,33.15,33.28,32.08
33.30,33.82,34.03,33.05
33.73,39.17,39.24,33.09
39.66,40.51,40.90,38.79
40.15,39.03,40.33,38.44
39.30,39.02,39.93,38.49
38.93,38.09,39.26,37.23
37.92,37.69,38.25,37.03
37.77,37.54,38.38,37.49
37.41,36.50,38.17,36.40
36.72,36.45,37.00,36.25
36.13,36.28,36.84,35.70
36.01,37.04,37.09,35.84
37.25,36.30,38.33,35.91
36.33,36.69,37.57,36.33
36.70,37.24,37.53,36.54
37.12,37.83,37.92,36.75
37.81,37.85,38.33,37.13
37.42,36.62,37.49,36.39
35.18,35.48,36.81,34.25
35.53,35.67,36.05,35.00
35.50,35.83,36.00,35.34
35.30,35.59,35.81,34.94
35.60,36.63,37.00,35.50
36.45,37.01,37.03,36.25
37.02,37.18,37.21,36.41
36.95,36.73,37.29,36.61
36.84,36.64,37.07,36.42
36.69,36.60,36.83,36.38
36.53,36.37,36.75,36.06
36.37,36.01,36.45,35.95
36.21,36.14,36.47,35.96
35.99,36.47,36.50,35.40
35.89,36.32,36.46,35.81
36.59,37.99,37.99,36.31
37.84,38.02,38.42,37.59
38.27,38.88,38.99,38.10
38.90,38.27,38.92,38.14
38.29,38.82,39.00,38.16
38.68,38.67,38.95,38.26
38.69,39.00,39.42,38.26
38.89,39.44,39.44,38.69
39.42,40.30,40.41,38.99
40.36,40.51,40.72,39.94
40.53,39.98,40.60,39.68
40.00,40.15,40.34,39.75
39.85,39.85,40.43,39.71
39.74,39.65,40.00,39.46
39.75,39.85,40.12,39.63
39.84,40.19,40.43,39.80
40.14,40.02,40.20,39.47
40.00,39.30,40.12,39.21
39.37,39.02,39.46,38.63
39.00,39.17,39.42,38.29
39.11,39.20,39.48,38.93
39.09,39.17,39.32,38.71
39.08,38.90,39.22,38.81
39.54,39.30,39.64,39.03
39.30,39.26,39.52,39.07
39.01,39.20,39.33,38.97
39.03,38.94,39.11,38.75
38.77,38.25,38.80,37.95
38.14,38.51,38.54,38.00
38.54,38.11,38.72,37.95
38.00,38.22,38.22,37.50
38.31,38.57,38.79,38.25
38.51,38.49,38.64,38.22
38.30,38.38,38.67,38.08
38.21,37.35,38.46,37.06
37.52,37.49,37.67,37.03
37.37,37.17,37.47,37.02
37.04,37.23,37.52,36.70
37.01,37.12,37.29,36.73
37.11,36.91,37.15,36.75
36.98,36.93,38.11,36.85
37.00,37.64,38.46,36.87
41.00,42.52,43.11,40.87
42.82,41.83,43.11,41.54
40.92,41.79,41.97,40.85
41.00,41.54,41.80,40.56
41.52,42.02,42.51,41.12
41.58,40.71,41.74,39.54
40.44,39.92,40.81,39.23
41.56,41.89,42.39,41.03
41.16,42.16,42.48,41.02
42.20,42.82,42.94,42.02
42.61,42.17,42.81,42.17
41.92,41.94,41.99,41.10
42.00,41.49,42.15,40.66
41.67,41.34,42.03,41.11
41.31,40.58,41.43,40.40
39.70,39.47,40.52,39.25
39.03,39.30,39.80,38.90
39.20,39.03,39.39,38.84
38.35,39.63,39.95,38.09
39.93,40.51,41.07,39.36
41.01,42.25,42.26,41.01
42.25,42.04,42.71,41.75
42.00,41.49,42.45,41.44
41.62,42.93,43.00,41.32
42.83,43.41,43.61,42.62
41.64,41.60,43.04,41.24
42.02,42.45,43.60,42.01
42.31,42.14,42.39,41.08
42.56,42.67,44.47,42.50
43.18,43.95,44.31,43.01
43.70,44.99,45.04,43.61
45.09,44.45,45.60,44.38
44.64,44.80,45.00,44.26
44.48,45.01,45.16,44.48
44.96,44.84,45.32,44.43
44.63,44.51,44.94,44.22
44.90,44.58,45.26,44.44
44.54,43.91,44.99,43.86
44.19,43.74,44.80,43.60
43.62,43.62,44.35,43.54
43.66,44.62,44.98,43.39
44.75,45.06,45.72,44.14
44.69,43.37,44.69,43.31
43.40,43.53,44.60,42.86
44.10,42.81,44.10,41.42
42.82,43.09,43.40,42.37
43.39,42.47,43.78,42.16
41.60,43.82,43.85,41.37
43.84,44.44,44.74,43.65
44.27,44.72,44.85,44.12
44.43,43.60,44.63,43.26
43.90,44.65,45.08,43.78
44.53,44.25,44.76,43.64
44.09,44.82,45.62,43.80
44.98,43.63,44.98,43.16
43.85,43.89,44.40,43.39
42.50,43.35,43.52,42.50
43.39,42.51,43.39,42.24
42.80,43.04,43.72,42.60
42.49,42.50,42.79,41.81
42.50,42.75,43.97,42.37
42.86,41.26,43.05,41.15
44.48,44.05,45.49,43.11
44.21,44.05,44.55,42.95
43.43,44.83,44.92,43.22
45.00,45.40,46.10,44.83
45.07,44.92,45.28,44.15
43.89,46.04,46.06,43.89
45.67,46.51,46.68,45.67
46.40,47.21,47.28,46.26
47.20,47.22,47.44,46.60
46.92,46.41,47.25,46.10
45.73,45.93,46.07,44.97
45.23,45.43,46.10,45.22
45.45,45.76,46.40,45.42
45.76,45.43,45.91,45.15
45.57,45.84,46.28,45.38
45.58,46.00,46.40,44.76
46.08,44.90,46.08,44.40
44.96,45.00,45.36,44.35
45.10,44.71,45.74,44.51
44.40,43.51,44.50,43.48
43.52,43.90,44.00,42.74
43.95,43.51,44.17,43.43
43.59,44.03,44.18,42.92
43.81,43.37,44.20,43.37
43.03,42.89,43.76,42.60
43.20,43.89,44.25,42.90
43.77,44.76,44.76,43.64
44.80,44.61,45.00,44.47
44.61,44.58,44.67,44.24
44.71,45.00,45.35,44.70
45.21,45.01,45.24,44.70
45.19,45.04,45.22,43.88
45.08,44.54,45.19,44.29
44.28,46.02,46.35,44.20
45.40,46.98,46.99,45.40
46.52,48.95,49.18,46.13
49.00,48.30,49.41,48.10
48.92,49.23,49.40,47.72
49.07,49.65,49.93,48.90
49.79,49.41,50.54,49.29
49.26,49.59,50.93,48.88
50.15,50.17,50.22,49.52
50.01,49.52,50.17,49.50
49.38,49.95,50.54,48.66
49.93,50.00,50.51,49.54
50.03,49.20,50.64,48.93
49.43,49.09,49.59,48.85
49.04,49.77,50.06,49.00
50.43,51.16,51.99,50.43
50.99,50.78,51.33,50.52
50.79,49.39,50.98,49.15
49.50,49.13,49.77,48.91
48.99,48.88,49.40,48.80
