ORLY,O'Reilly Automotive,NASDAQ
39.24,38.50,39.24,38.10
38.35,38.56,38.57,38.07
38.44,38.39,38.75,38.18
38.22,38.27,38.58,38.15
38.11,37.93,38.31,37.89
37.93,38.13,38.17,37.55
38.90,38.85,39.46,38.67
38.95,38.98,39.21,38.75
38.77,38.79,38.98,38.46
38.45,38.21,39.15,38.02
38.21,38.61,38.71,38.00
38.25,37.95,38.36,37.70
37.85,37.84,38.43,37.57
37.81,37.86,38.77,37.66
38.72,38.58,38.87,38.35
38.40,38.46,38.69,37.92
38.17,38.27,38.42,37.69
38.48,37.73,38.48,37.47
38.39,37.80,38.49,37.78
38.05,38.24,38.31,37.76
38.15,38.85,38.95,38.10
38.65,38.93,39.02,38.49
38.61,38.28,38.82,38.14
38.22,38.47,38.68,37.92
38.43,38.19,38.83,38.18
38.57,38.88,39.06,38.28
38.90,39.02,39.17,38.58
39.35,39.52,39.62,38.65
39.24,39.80,39.87,39.13
39.90,39.85,40.16,39.61
39.84,40.79,40.98,39.75
38.45,38.36,38.72,37.58
38.52,38.91,39.18,38.40
39.00,38.72,39.15,38.52
38.75,38.60,38.95,38.42
38.80,39.29,39.37,38.72
38.83,39.50,39.50,38.51
39.63,39.30,39.68,39.14
39.29,39.57,39.58,38.91
39.52,39.53,39.69,39.25
39.51,39.26,39.65,39.14
38.89,39.52,39.59,38.88
39.55,39.72,39.80,39.39
39.65,39.77,40.09,39.55
39.58,39.74,40.02,39.57
40.11,40.26,40.40,39.62
40.06,40.33,40.40,39.91
40.35,40.43,40.43,40.13
40.44,40.46,40.56,40.20
40.50,41.11,41.12,40.35
40.97,41.89,41.90,40.94
41.97,41.91,42.21,41.65
42.11,42.00,42.18,41.72
41.99,42.76,42.92,41.93
42.78,43.00,43.00,42.45
42.71,42.04,42.75,41.88
42.33,41.96,42.35,41.93
41.91,42.03,42.22,41.75
41.02,41.76,42.05,40.77
41.88,41.83,42.08,41.42
41.65,41.71,41.94,41.45
41.81,41.93,42.03,41.56
41.98,42.07,42.12,41.67
41.84,41.91,42.16,41.79
41.40,41.73,41.95,41.40
41.58,41.61,41.67,41.30
41.70,41.83,41.88,41.31
41.81,41.88,42.00,41.46
41.96,42.15,42.21,41.73
42.39,43.53,43.57,42.33
43.41,43.82,44.00,43.41
43.73,43.58,43.99,43.38
43.64,43.84,43.94,43.23
43.96,44.35,44.44,43.82
44.35,44.67,44.77,43.98
44.51,46.03,46.15,44.50
46.19,46.27,46.31,45.62
46.38,46.56,46.83,46.32
46.56,45.88,46.79,45.80
45.94,46.34,46.75,45.67
49.50,49.60,50.09,48.63
49.00,48.87,49.69,48.85
48.78,49.72,49.72,48.60
48.20,48.45,48.76,47.53
48.30,48.31,49.34,48.17
47.46,46.92,48.18,45.22
47.07,46.35,47.72,45.85
48.16,48.37,48.60,47.68
48.03,48.23,48.85,47.76
48.30,48.94,48.98,48.06
48.59,48.07,48.84,48.04
47.96,47.92,48.38,47.52
48.16,48.40,48.58,47.40
48.73,48.09,49.20,47.93
47.99,48.78,49.18,47.59
48.17,47.77,49.62,47.77
47.07,47.89,48.62,47.00
47.18,47.60,48.33,47.18
46.85,49.49,49.72,46.70
49.75,49.16,50.27,49.04
49.95,50.67,50.73,49.73
50.42,51.02,51.70,50.21
50.93,50.62,51.28,50.34
50.97,51.39,51.43,50.30
51.26,51.40,51.60,50.81
50.56,49.63,50.74,49.33
49.77,48.49,49.94,48.41
48.40,49.40,49.50,48.05
49.58,48.95,50.20,48.73
49.38,49.48,49.71,48.51
48.82,49.81,50.07,48.81
50.51,50.32,50.97,50.27
50.67,51.13,51.16,50.21
51.07,50.62,51.12,50.53
50.87,50.38,50.93,50.15
50.34,49.93,50.80,49.70
50.06,49.66,50.44,49.39
49.66,49.07,50.43,48.94
49.25,49.90,50.18,49.25
49.68,48.87,49.89,48.53
48.84,49.15,49.46,48.51
49.12,48.61,49.15,48.41
48.33,47.83,48.42,47.23
47.64,47.56,48.47,47.30
47.45,48.00,48.15,46.86
48.02,47.68,48.12,47.62
48.10,46.75,48.43,46.31
46.70,46.80,47.15,46.06
46.87,46.35,47.00,45.66
46.42,46.07,46.53,45.79
46.09,46.19,46.32,45.65
46.49,47.60,47.81,46.37
47.52,47.52,47.83,47.15
47.40,48.32,48.42,47.35
48.39,47.09,48.39,47.03
47.09,47.91,48.40,47.01
47.35,48.74,48.79,47.13
48.78,47.03,48.91,46.80
47.54,48.00,48.34,47.54
47.76,49.04,49.12,47.76
49.28,49.94,49.96,48.70
50.00,48.98,50.17,48.88
49.03,49.39,49.79,48.85
49.39,48.99,49.65,48.23
48.86,49.28,49.37,48.62
49.88,49.08,49.90,49.02
48.28,48.16,48.91,48.00
48.10,47.75,48.25,47.30
47.45,47.85,48.00,47.09
48.01,47.14,48.01,46.78
47.91,47.27,47.91,46.91
46.88,46.83,47.14,46.57
46.42,46.27,46.55,45.75
45.75,46.97,47.22,45.74
46.64,46.84,47.00,46.25
46.59,47.13,47.18,46.52
47.41,47.80,48.01,47.20
47.85,48.08,48.45,47.51
47.75,47.47,48.04,47.15
47.46,47.82,47.84,46.95
47.81,47.10,48.02,47.06
46.77,47.17,47.48,46.09
47.00,47.33,47.50,46.84
47.45,47.21,47.60,47.18
47.43,47.61,47.78,46.89
47.45,46.93,47.57,46.93
46.82,47.27,47.37,46.56
47.50,48.87,49.00,47.50
48.57,49.65,49.65,48.57
49.83,50.13,50.44,49.53
50.29,49.58,50.31,49.48
49.67,50.26,50.29,49.55
50.60,50.16,50.94,49.80
50.08,50.12,50.54,49.98
50.27,51.18,51.24,50.17
51.04,51.08,51.60,51.04
50.87,51.52,51.52,50.80
51.32,51.66,51.76,51.09
51.84,51.95,52.00,51.37
51.97,52.66,52.74,51.87
52.57,52.39,52.66,51.71
52.35,53.34,53.37,52.31
52.89,52.73,53.50,52.59
53.30,53.47,53.54,52.90
53.31,52.99,53.33,52.71
53.38,53.90,54.00,52.74
53.64,54.07,54.19,53.63
53.88,53.20,53.89,52.62
53.67,53.36,54.35,53.14
53.27,53.39,53.77,52.88
53.78,54.06,54.42,53.57
53.83,53.65,54.18,53.52
53.92,53.80,54.00,53.34
53.77,53.49,54.05,53.20
53.37,52.85,53.45,52.71
52.73,53.36,53.45,52.40
53.44,52.84,53.53,52.75
52.79,53.26,53.42,52.46
53.59,53.69,53.79,53.02
53.53,53.12,53.71,52.99
52.80,53.01,53.33,52.61
53.17,53.73,53.99,52.97
53.49,53.64,53.96,53.04
53.63,54.02,54.06,53.31
54.25,54.60,54.84,54.21
54.43,54.35,54.82,53.93
53.91,54.40,54.43,53.42
55.00,57.12,57.59,54.79
57.10,58.50,58.60,56.87
58.65,57.65,58.82,57.37
57.63,57.17,57.86,57.04
57.12,57.51,57.75,56.93
58.09,58.20,58.42,57.54
58.21,58.43,58.79,58.13
58.33,58.71,59.04,58.21
58.88,58.29,58.92,57.87
58.38,59.15,59.15,58.10
59.00,60.36,60.82,58.64
59.88,59.63,60.25,59.01
59.92,59.32,59.98,59.18
58.86,58.38,59.68,58.37
58.35,58.82,58.98,58.07
59.27,59.44,60.00,59.00
59.47,59.50,59.63,59.09
60.00,60.24,60.82,59.50
59.93,59.87,59.95,59.26
60.27,60.71,61.00,60.08
60.39,60.67,60.91,60.30
60.27,59.92,60.49,59.26
59.51,60.18,60.34,59.01
60.74,60.71,61.32,60.52
60.77,61.75,61.75,60.63
61.54,61.61,61.86,61.24
61.63,61.19,61.82,61.11
61.96,60.54,62.40,60.22
60.68,61.13,61.18,60.68
61.40,61.54,61.54,60.53
61.65,61.45,61.80,61.18
61.86,61.27,62.04,61.11
61.56,61.81,62.03,61.20
61.83,62.01,62.24,61.51
61.98,63.04,63.05,61.86
62.97,62.77,63.03,62.30
62.98,62.54,63.04,62.25
62.82,61.93,62.98,61.81
61.89,61.21,62.10,61.12
61.07,60.24,61.15,60.06
60.15,60.54,60.96,59.21
60.47,60.64,60.85,60.30
60.88,60.64,61.12,60.50
60.70,60.95,61.06,60.50
60.96,60.42,61.06,60.28
60.99,60.69,61.70,60.43
60.51,58.11,60.62,57.90
58.04,58.27,58.59,57.39
58.18,56.44,58.18,56.35
56.64,56.43,56.71,56.02
56.30,56.76,56.93,56.20
56.83,56.25,57.49,56.23
56.82,57.16,57.49,56.41
57.15,56.71,57.15,56.62
56.67,57.31,57.31,56.45
57.45,56.91,57.92,56.68
56.65,57.40,57.61,56.47
57.36,57.88,58.60,57.36
58.03,57.50,58.05,57.02
57.33,57.25,57.49,56.51
57.00,56.29,57.03,55.85
56.30,56.99,57.03,55.60
57.18,57.73,57.82,56.88
57.64,56.51,57.77,56.44
56.55,56.83,57.44,56.29
57.31,56.92,57.46,56.85
56.71,55.65,57.15,55.52
55.62,56.50,56.63,55.50
56.40,57.58,57.65,56.27
57.58,57.74,57.98,57.51
57.67,58.21,58.23,57.52
58.09,58.31,58.51,57.80
58.00,57.39,58.00,56.52
57.36,57.63,57.78,56.69
57.31,57.33,57.63,56.64
57.25,57.70,57.70,56.90
59.09,58.28,59.35,57.96
56.87,55.25,57.00,55.14
54.94,55.25,55.92,54.72
53.87,55.02,55.58,53.44
54.89,54.42,55.23,54.04
54.42,54.58,54.94,53.33
54.64,55.34,55.43,54.60
55.68,55.58,56.80,55.18
55.62,55.15,55.96,54.85
55.04,55.91,56.08,55.04
56.15,56.55,56.79,55.74
56.34,56.38,56.67,55.87
56.66,55.38,56.83,55.38
55.46,56.00,56.28,55.11
55.83,55.96,56.26,55.57
55.48,55.73,55.95,55.27
55.44,56.02,56.15,54.78
55.54,55.57,55.77,54.81
54.64,55.33,55.95,54.50
54.97,55.07,55.58,54.56
55.69,55.46,56.02,55.00
56.15,55.47,56.16,55.05
56.13,56.45,57.29,56.03
56.32,56.51,56.58,56.04
56.37,57.13,57.32,55.80
57.41,57.89,58.28,57.19
57.99,58.12,58.50,57.79
58.34,56.72,58.55,56.71
56.78,56.83,57.01,56.51
57.32,57.85,57.89,56.96
57.80,57.46,57.98,56.82
57.60,57.88,58.31,57.60
57.75,57.67,57.84,56.12
57.52,58.23,59.09,57.52
58.57,57.49,58.63,57.44
57.43,57.20,58.04,56.93
57.33,56.50,57.40,56.26
56.50,56.31,56.68,55.64
56.10,56.05,56.59,55.99
55.15,55.38,55.60,54.98
55.08,55.84,55.96,55.08
55.61,56.34,56.55,55.61
55.70,56.78,56.87,55.47
56.72,56.64,56.95,56.22
57.29,58.09,58.10,57.24
58.09,58.03,58.24,57.55
58.10,58.07,58.20,57.55
59.21,57.97,59.21,57.77
58.02,58.45,58.69,57.98
58.89,58.55,58.98,57.27
58.56,59.06,59.50,58.39
59.27,59.55,59.89,59.22
59.29,59.67,60.00,59.29
59.60,59.65,60.26,59.36
59.55,59.87,60.32,59.00
60.32,59.70,60.60,59.70
59.67,59.66,59.97,59.30
59.75,60.26,60.30,59.71
60.06,60.77,60.86,59.96
59.56,61.17,61.24,59.56
61.25,60.90,61.29,60.53
61.13,60.26,61.13,59.96
60.17,59.51,60.28,59.41
