SBNY,Signature Bank - Common Stock,NASDAQ
32.27,32.32,32.44,31.75
32.18,32.00,32.54,31.90
32.00,31.87,32.19,31.56
31.79,32.17,32.36,31.65
32.09,32.25,32.64,31.75
32.32,31.69,32.64,31.53
31.48,31.45,31.55,31.16
31.48,31.63,31.85,31.01
31.56,32.05,32.20,31.28
32.14,31.97,32.14,31.48
31.94,32.58,32.92,31.69
32.31,32.17,32.89,31.34
32.31,33.85,34.00,31.96
33.72,33.59,34.30,33.01
33.97,33.51,34.03,33.16
33.67,34.33,36.21,33.67
33.96,35.40,35.40,33.96
35.57,34.92,35.85,34.62
35.15,34.58,35.57,34.47
34.62,34.82,34.98,34.58
34.95,35.15,35.21,34.74
34.92,34.67,35.37,34.11
34.51,33.99,34.70,33.91
34.01,34.78,35.10,33.72
34.72,34.13,34.79,33.97
34.63,34.14,34.63,33.95
33.95,34.17,34.32,33.50
34.02,34.24,34.50,33.90
34.00,34.24,34.31,33.88
34.35,34.88,34.89,34.08
34.90,34.85,34.90,34.36
34.83,34.95,35.03,34.59
34.96,35.43,35.64,34.92
35.50,36.53,36.58,35.44
36.47,36.77,36.96,36.28
36.95,37.60,37.84,36.81
37.15,37.72,37.84,37.13
37.69,37.23,37.69,37.04
37.32,37.87,37.90,37.32
37.86,38.28,38.36,37.86
38.23,38.30,38.56,38.18
38.27,38.36,38.47,38.10
38.34,39.05,39.19,38.34
39.04,38.65,39.20,38.58
38.41,38.65,38.71,38.14
38.62,38.75,38.79,38.41
38.49,38.99,38.99,38.49
39.00,38.75,39.00,38.60
38.75,38.63,38.75,38.47
38.62,38.44,38.72,38.30
37.41,38.48,38.60,36.90
38.33,38.04,38.51,37.86
38.10,38.10,38.46,37.71
37.92,38.22,38.24,37.52
38.35,38.02,38.47,37.46
37.85,37.76,38.22,37.59
37.89,37.30,38.59,36.81
37.32,36.69,37.48,36.58
36.83,37.19,37.24,36.72
37.21,37.20,37.60,36.95
37.00,37.05,37.70,36.98
37.32,37.39,37.59,36.91
37.52,37.27,37.52,36.95
37.14,37.66,37.87,36.89
37.73,37.80,38.10,37.54
37.78,38.56,38.64,37.69
38.61,38.61,38.70,38.23
38.57,38.81,38.87,38.36
38.77,38.00,38.92,37.94
38.10,38.46,38.51,37.80
38.54,38.74,38.96,38.51
38.74,38.93,39.17,38.20
38.79,38.80,39.05,38.01
38.85,38.80,38.95,38.50
38.90,39.00,39.15,38.62
38.62,39.94,40.14,38.62
39.84,40.50,40.50,39.54
40.43,39.62,40.48,39.58
39.65,41.74,43.12,38.82
41.88,40.64,41.89,40.26
40.97,41.80,42.33,40.66
41.68,40.38,42.08,40.38
40.45,40.64,40.66,39.68
40.10,40.00,40.10,39.29
39.61,40.11,40.31,39.58
39.82,39.25,41.21,38.00
39.04,37.98,39.78,37.66
38.84,40.34,40.49,38.62
39.78,40.93,41.25,39.57
41.00,42.39,42.46,40.76
42.14,41.63,42.24,41.39
41.44,40.41,41.44,40.01
40.67,40.19,41.12,39.09
40.47,39.12,40.90,38.85
38.93,38.59,40.02,38.29
38.28,37.27,38.75,37.18
37.18,37.62,38.21,36.89
37.78,36.84,38.18,36.82
36.53,37.46,37.59,35.85
37.60,37.92,38.73,37.60
38.12,38.09,38.59,37.72
38.10,37.84,38.22,37.21
37.45,37.29,38.33,37.25
37.32,37.91,37.94,37.12
37.80,38.34,38.63,37.67
37.57,36.53,37.75,36.47
36.58,36.82,37.29,36.44
37.02,37.08,37.51,36.21
37.47,36.92,37.49,36.59
37.45,37.44,37.56,36.79
37.05,37.57,37.69,37.05
37.90,37.19,38.10,36.90
37.12,37.40,37.57,36.77
37.12,37.77,38.22,37.12
38.00,37.36,38.00,36.97
37.38,37.43,37.47,36.72
37.92,38.05,38.36,37.49
38.05,37.97,38.73,37.81
37.95,38.20,38.38,37.64
38.03,37.47,38.04,37.34
37.68,38.44,39.02,37.27
38.52,39.51,39.82,38.52
38.94,38.57,39.37,38.21
38.68,38.01,39.00,37.99
38.15,37.70,38.29,36.40
37.92,37.38,37.98,37.24
37.79,37.19,38.07,36.89
37.39,38.16,38.24,37.16
38.33,38.02,38.67,37.37
38.09,38.63,38.70,37.97
38.45,38.28,38.78,37.83
38.75,39.18,39.31,38.52
39.00,38.58,39.25,38.11
38.51,38.18,38.62,37.49
37.83,36.98,37.91,36.65
36.98,36.74,37.13,36.27
36.27,37.18,37.23,36.01
37.33,36.63,37.70,36.52
37.20,37.89,37.94,37.01
37.64,38.70,38.79,37.42
38.90,39.50,39.52,38.28
39.73,38.70,39.98,38.28
38.73,39.30,39.86,38.73
39.65,39.31,39.65,38.66
38.86,38.44,39.29,38.18
38.96,39.30,39.35,38.64
39.13,38.96,39.34,38.76
38.98,38.92,39.15,38.49
38.77,38.58,39.03,38.45
38.11,38.31,38.37,37.70
38.57,39.36,39.51,38.32
39.00,40.12,40.50,39.00
39.53,38.48,39.80,38.40
37.86,37.84,38.23,37.42
37.61,37.81,38.14,37.45
37.56,38.18,38.22,37.55
38.64,38.63,38.74,37.92
38.61,39.01,39.38,38.47
38.99,38.69,39.23,38.68
38.51,37.46,38.51,36.92
37.57,37.24,37.80,37.19
36.83,36.74,37.04,36.04
36.40,37.09,37.17,36.10
37.16,36.94,37.60,36.82
37.33,37.39,37.44,36.38
37.28,36.14,37.28,36.09
36.22,36.54,37.07,36.20
37.10,37.49,37.52,36.53
37.55,37.67,37.71,37.12
37.96,37.94,38.16,37.48
37.90,37.32,38.11,37.30
37.43,37.49,37.88,37.24
37.85,37.51,37.92,37.15
37.59,37.49,37.88,37.25
37.94,38.24,38.39,37.74
38.25,37.25,38.25,37.05
37.08,37.54,37.68,36.91
37.38,37.21,37.42,36.81
37.55,37.55,38.07,36.73
37.53,39.19,39.29,37.27
39.07,38.60,39.16,38.37
38.41,38.09,38.71,37.70
37.74,37.46,38.52,37.41
38.02,38.41,38.43,37.61
38.30,37.93,38.36,37.81
37.90,38.59,38.70,37.40
38.39,38.86,39.01,38.17
37.51,38.84,38.97,37.50
39.20,38.89,39.30,38.55
38.69,38.73,39.26,38.59
39.00,39.20,39.40,38.60
39.08,38.86,39.36,38.68
39.10,38.62,39.10,38.41
38.66,38.65,38.82,38.31
38.51,38.41,38.75,38.27
38.50,38.66,38.95,38.19
38.74,39.23,39.54,38.29
39.19,38.94,39.38,38.65
39.36,38.75,39.41,38.71
38.86,39.36,39.42,38.71
38.83,39.31,39.66,38.78
39.48,39.15,39.48,38.92
39.34,39.16,39.85,38.85
39.31,39.50,39.56,39.10
39.69,39.23,39.69,39.00
42.00,42.23,43.29,41.00
42.13,42.17,43.39,42.08
42.56,42.68,42.89,42.35
42.57,42.24,42.83,41.98
42.37,41.98,42.49,41.43
42.45,42.26,42.62,41.92
42.21,42.60,42.79,41.97
43.00,44.10,44.37,42.98
44.16,44.81,44.85,43.85
44.54,44.43,44.80,44.10
44.37,43.21,44.37,43.10
43.35,44.31,44.31,43.18
43.81,44.24,44.30,43.66
43.77,43.81,44.22,43.69
43.92,43.47,44.23,43.47
43.23,43.23,43.52,42.61
43.44,42.85,43.48,42.66
43.50,44.33,44.41,43.50
44.39,44.28,44.52,43.87
44.23,44.15,44.42,43.92
43.86,43.86,44.25,43.59
43.99,44.41,44.88,43.70
44.12,43.73,44.78,43.70
43.52,44.02,44.30,43.52
43.64,43.90,44.42,43.41
44.40,45.29,45.42,44.40
45.37,45.50,45.68,45.15
45.35,45.37,45.42,44.86
45.07,45.59,45.73,44.94
45.93,45.96,46.23,45.49
46.00,46.40,46.79,45.70
46.43,46.70,46.93,46.19
46.90,47.58,47.84,46.65
47.64,47.78,48.06,47.39
47.98,47.32,47.98,46.88
47.39,47.54,48.28,47.14
47.78,48.88,49.15,47.55
48.75,49.02,49.56,48.27
49.01,48.71,49.18,48.62
48.88,49.65,50.03,48.88
50.02,50.96,51.30,50.02
51.24,51.18,51.71,50.96
50.96,50.80,51.32,50.55
51.05,50.46,51.06,50.39
50.57,50.21,50.57,50.11
50.36,50.35,50.50,50.09
50.44,50.06,50.75,50.00
50.42,51.13,51.27,50.42
51.40,50.96,51.45,50.11
50.87,50.58,51.15,50.43
50.38,48.99,50.38,48.80
49.14,48.01,49.95,47.89
47.66,48.47,48.92,47.23
48.49,48.41,48.98,48.13
48.67,48.11,48.81,47.94
47.96,48.73,48.98,47.96
48.62,50.42,50.44,48.62
50.42,50.43,50.55,49.84
50.56,49.89,50.91,49.65
49.56,49.68,50.21,49.34
50.08,49.80,50.35,49.71
49.32,50.01,50.23,49.32
50.51,53.77,53.84,50.51
54.36,53.55,54.60,53.42
53.72,53.86,54.82,53.48
53.66,52.57,54.04,52.34
52.96,52.24,53.59,52.24
52.44,53.90,54.01,52.03
53.57,52.53,54.05,52.44
52.34,52.26,52.75,51.72
52.22,52.34,52.40,51.93
52.28,53.17,53.50,52.12
53.01,52.89,53.46,52.49
52.67,53.03,53.41,52.44
52.83,53.01,53.15,52.67
52.73,53.96,54.21,52.73
53.72,54.33,54.34,53.61
54.33,52.85,54.41,52.85
53.06,53.42,53.47,52.99
53.48,53.33,53.63,52.70
53.69,54.38,54.38,53.69
53.86,52.79,53.98,52.68
52.91,52.40,52.91,51.77
52.44,51.62,52.44,50.99
51.66,52.62,52.68,51.64
52.93,51.89,53.19,51.64
52.06,51.58,52.06,51.30
51.46,51.36,51.59,50.97
51.89,52.89,53.02,51.89
53.99,54.65,55.46,53.55
54.85,54.59,54.88,53.81
54.43,56.00,56.25,54.31
56.08,55.88,56.37,55.41
55.18,54.50,55.43,54.50
54.04,53.61,54.75,53.55
54.29,53.55,54.29,53.05
52.32,53.05,53.44,52.18
52.96,52.75,53.49,52.72
53.35,52.95,53.54,52.59
53.36,54.08,54.22,53.36
54.46,54.60,55.03,54.21
54.59,54.01,54.97,53.94
53.84,54.00,54.30,53.30
53.89,54.41,54.54,53.65
54.66,55.30,56.50,54.57
55.34,55.29,55.77,55.07
55.29,55.38,55.64,54.90
55.64,56.15,56.16,55.19
56.10,56.40,56.99,55.90
56.67,57.32,57.77,56.23
57.56,57.46,57.74,57.28
57.30,57.28,57.62,57.05
57.63,57.18,57.67,57.09
57.12,56.18,57.55,56.18
56.67,56.18,57.19,55.67
56.11,55.98,56.74,55.50
55.89,55.54,56.04,55.53
55.88,55.42,56.00,55.02
55.20,55.51,55.54,54.98
55.32,56.25,56.31,55.14
55.46,55.57,55.99,55.14
55.90,55.32,55.95,54.86
55.82,55.80,56.27,55.33
56.11,56.15,56.18,55.25
56.00,57.23,57.40,56.00
57.50,57.18,58.43,56.99
57.16,58.24,58.66,56.59
58.21,58.32,58.36,57.78
58.43,58.21,58.65,57.90
58.39,57.56,58.40,57.48
57.43,57.23,57.78,56.81
57.21,56.36,57.21,56.10
56.09,55.00,56.47,54.47
55.54,55.04,56.01,54.83
55.17,55.23,55.41,54.71
55.56,55.70,55.91,55.38
55.66,55.04,55.66,54.91
54.78,55.56,55.77,54.66
55.59,54.60,55.60,54.35
54.84,54.68,55.26,54.68
54.25,55.29,55.40,54.09
55.40,55.69,55.73,54.93
56.00,55.56,56.12,54.94
55.18,54.92,55.71,54.91
54.18,54.74,54.92,54.12
54.81,54.82,55.08,54.36
54.60,55.04,55.25,54.01
55.00,55.61,55.64,55.00
55.73,55.72,56.00,55.51
56.27,56.92,56.92,55.83
56.68,55.00,56.98,54.99
55.17,55.03,55.33,54.95
54.17,54.52,55.06,54.17
54.35,54.14,54.75,53.86
54.63,54.40,55.00,54.22
54.33,54.11,54.54,54.04
54.33,54.49,54.85,53.95
54.16,53.61,54.46,53.02
53.95,53.83,54.21,53.38
54.18,54.03,54.44,53.82
53.38,53.81,54.01,53.23
53.90,54.69,54.71,53.73
54.99,55.15,55.25,54.52
54.96,55.45,55.80,54.81
55.68,55.66,55.80,55.16
55.36,55.16,55.78,55.12
54.70,55.68,56.00,54.00
55.91,55.81,56.03,55.28
55.69,55.87,56.69,55.41
55.87,55.93,56.02,55.25
56.19,56.51,56.63,55.79
56.65,57.20,57.31,56.38
57.32,58.05,58.33,56.96
58.25,58.53,58.58,57.81
56.55,57.45,57.61,56.53
57.50,57.79,58.19,57.37
57.11,57.57,57.95,57.11
57.06,57.54,57.74,57.03
57.41,57.67,58.30,57.41
57.89,58.14,58.68,57.50
58.33,57.50,58.43,57.35
57.58,57.67,58.30,57.35
57.70,58.00,58.14,57.45
58.42,59.43,59.50,58.29
59.57,60.64,60.79,58.95
60.78,60.42,61.54,60.30
60.50,60.69,61.05,59.88
59.89,60.23,60.62,59.87
60.24,60.08,61.02,59.38
59.72,58.96,60.33,58.76
58.96,58.60,59.18,58.57
58.06,59.16,59.39,57.82
60.00,59.40,60.25,59.00
59.16,58.59,59.76,58.59
58.60,59.01,59.34,57.68
58.45,56.41,58.98,56.38
56.99,55.82,56.99,54.72
55.48,51.21,56.39,51.19
52.90,56.60,56.61,51.29
55.27,52.37,56.29,52.31
52.42,54.49,55.21,51.77
55.02,52.64,55.39,52.51
53.31,54.36,54.36,53.14
53.98,53.02,54.53,52.85
53.58,53.48,54.08,52.83
52.08,49.74,52.08,49.46
48.80,47.68,49.88,47.52
48.70,48.65,49.00,48.20
48.61,51.60,51.61,48.22
51.49,52.42,53.03,51.04
52.97,50.67,53.90,50.00
50.16,52.61,52.81,49.59
53.19,54.56,54.59,53.07
54.25,54.58,55.12,53.68
54.82,55.62,55.96,54.43
55.56,54.40,56.41,54.22
53.12,52.27,54.13,52.00
51.37,52.15,52.73,50.79
53.38,56.07,56.19,53.22
55.47,52.97,55.62,52.71
52.37,50.56,52.75,49.43
49.31,51.36,51.42,49.31
51.63,52.17,52.77,51.13
52.77,53.15,53.68,51.42
53.86,53.67,53.89,52.91
53.78,52.99,54.16,52.71
52.27,51.96,52.77,51.45
52.00,50.90,52.68,50.88
50.95,47.41,50.95,47.30
46.08,46.40,47.29,45.39
46.37,47.51,47.83,46.31
48.15,48.91,49.05,47.29
49.95,50.11,50.95,49.60
50.09,48.00,50.16,47.94
49.27,49.27,49.75,47.80
48.41,47.72,49.08,47.60
47.59,44.73,47.83,44.50
44.07,49.31,49.35,44.07
49.40,50.33,50.99,48.16
50.31,52.02,52.05,49.48
51.98,49.55,51.98,49.40
50.65,51.48,51.80,50.13
50.84,51.44,51.99,50.57
52.33,52.40,53.23,51.75
51.86,51.48,52.45,50.31
51.88,51.13,52.25,50.21
50.51,48.31,51.15,48.20
48.59,49.73,50.00,48.30
49.77,49.91,50.48,49.34
49.77,50.71,50.74,49.15
51.62,52.34,52.35,50.17
52.35,53.45,53.90,52.31
52.98,52.28,53.11,50.63
53.37,53.72,54.16,52.50
55.20,57.46,58.25,54.94
56.91,56.54,57.62,56.11
55.66,55.71,56.82,55.29
53.74,54.85,56.99,53.26
55.22,56.90,57.20,55.13
57.56,58.07,58.74,55.93
57.34,57.25,57.62,56.41
57.10,57.70,58.00,56.63
58.00,58.04,58.31,56.79
56.37,55.30,57.11,55.19
56.25,55.76,57.13,55.49
56.51,57.64,58.08,56.07
57.19,55.39,57.78,54.75
55.27,57.39,57.62,54.96
56.87,56.03,57.27,55.85
56.10,55.49,56.75,55.16
55.30,55.55,55.87,54.91
54.51,53.90,54.59,53.38
53.88,53.29,54.14,53.04
52.76,51.88,53.20,51.84
51.66,51.54,52.56,51.41
53.30,54.41,54.47,53.10
54.42,53.57,54.55,53.32
55.94,58.43,58.46,55.67
58.38,57.45,58.44,57.33
58.30,58.64,59.48,57.91
59.55,59.05,59.89,58.66
58.95,59.36,59.87,58.41
59.04,58.46,59.04,57.12
58.11,56.95,58.18,56.92
57.29,59.10,59.30,57.12
58.05,57.86,58.82,57.04
58.43,56.92,58.93,56.51
56.33,56.81,57.56,56.25
57.82,57.74,58.10,57.24
58.16,58.06,59.33,57.52
58.45,57.52,58.94,57.33
58.71,59.61,59.81,57.85
59.28,60.04,60.20,58.59
60.20,61.21,61.30,59.55
61.27,60.75,61.51,60.59
60.69,61.60,61.98,60.46
61.42,60.86,61.64,60.43
60.99,60.76,61.41,60.56
60.77,59.99,61.16,59.93
61.58,60.87,62.05,60.74
60.27,60.24,60.96,59.81
60.44,61.09,61.69,59.02
61.20,61.16,61.83,60.24
61.64,62.75,62.90,61.24
63.55,62.82,64.28,62.57
62.77,62.37,62.83,62.00
62.53,62.42,62.88,61.31
61.38,62.57,62.75,61.38
62.98,61.98,63.85,61.62
61.84,62.23,62.25,61.60
62.26,62.49,62.72,61.75
62.33,62.28,62.72,61.94
61.99,61.90,62.35,61.45
60.90,60.04,62.14,58.40
60.04,59.91,60.62,59.70
60.09,58.18,60.13,57.89
57.75,58.39,58.93,57.75
58.00,58.17,58.70,58.00
58.67,58.15,58.79,57.75
58.49,59.09,59.28,58.29
59.00,58.67,59.12,58.51
59.26,59.54,59.99,59.20
59.24,58.46,59.26,58.26
58.12,59.09,59.70,58.12
59.19,58.61,59.35,58.12
58.71,57.94,59.03,57.69
57.39,57.65,57.94,56.76
58.32,58.65,58.79,57.67
58.44,58.69,58.78,58.04
59.01,58.55,59.24,58.35
58.62,59.48,59.72,58.53
59.79,59.46,59.79,59.15
59.54,59.72,60.16,58.87
59.78,58.41,59.78,58.19
58.58,59.35,59.41,57.91
59.33,59.88,60.20,58.98
59.18,59.83,60.45,58.62
59.97,59.57,60.02,59.16
59.62,59.36,60.20,59.25
59.69,59.85,60.70,59.33
59.73,59.14,60.00,58.94
58.90,59.56,60.00,58.66
58.56,58.88,59.26,58.56
59.14,59.43,59.92,58.66
60.10,60.37,60.57,59.50
60.32,61.51,62.19,60.23
61.72,61.59,61.96,61.03
62.19,63.16,63.16,61.55
62.88,62.72,63.46,61.99
62.97,64.28,64.51,62.51
64.61,64.43,65.57,63.99
64.51,65.21,65.98,63.52
64.64,64.62,65.23,64.21
64.79,63.95,65.10,63.95
63.36,63.55,63.93,62.98
63.51,63.34,63.71,62.00
64.10,64.97,64.99,63.50
65.10,64.19,65.10,64.15
64.16,63.99,64.69,63.31
63.58,63.64,63.89,62.45
64.23,63.04,64.23,62.73
62.79,63.62,63.89,62.24
63.78,63.87,64.17,62.98
63.51,63.55,63.95,63.11
63.21,63.65,64.15,63.21
62.19,62.90,63.39,62.10
63.09,62.72,63.11,62.50
63.37,64.11,64.14,63.08
63.95,64.61,64.96,63.92
64.13,63.84,64.30,63.59
63.96,64.32,64.83,63.73
65.03,65.21,65.82,64.81
65.00,64.18,65.01,63.87
64.25,64.01,65.09,63.56
65.27,64.21,65.27,64.16
63.18,64.38,64.47,63.05
64.85,64.03,64.85,62.95
64.54,64.52,65.47,64.24
64.31,65.71,65.71,64.07
65.74,66.56,66.76,65.13
66.59,65.69,66.59,65.17
65.42,65.62,66.90,65.42
65.00,65.10,65.40,64.57
65.09,64.77,65.53,64.31
64.39,64.19,64.74,63.65
63.89,64.45,64.77,63.86
63.88,63.96,64.30,63.46
63.06,62.63,63.38,62.05
63.11,63.47,63.74,62.83
62.78,63.43,63.87,62.09
62.83,62.18,63.24,62.13
62.03,61.48,62.76,61.21
61.82,61.27,62.08,61.25
61.40,60.44,61.53,60.36
60.30,59.45,60.84,59.30
59.69,59.79,60.27,59.08
60.75,61.01,61.81,60.60
60.28,60.82,60.96,59.45
61.00,62.16,62.16,60.34
62.37,61.89,62.37,61.48
62.24,62.48,62.80,61.93
61.93,61.96,62.52,61.73
61.63,61.41,61.85,60.90
59.91,58.70,61.17,58.55
58.71,58.46,59.26,58.07
58.06,58.41,58.88,57.85
58.90,58.87,59.30,58.52
59.20,59.85,60.87,59.20
59.72,60.33,60.64,59.36
60.87,60.28,61.05,60.22
60.57,59.99,60.74,59.58
60.01,59.12,60.84,58.79
59.10,59.42,59.78,58.64
59.52,60.45,60.59,58.99
60.08,59.33,60.40,58.86
59.38,59.86,60.53,59.37
59.80,59.83,60.08,59.37
60.00,58.25,60.19,58.17
58.25,58.74,59.04,58.24
58.30,58.34,59.20,57.74
58.55,58.35,58.76,58.06
58.54,58.59,58.87,58.10
58.02,59.25,59.37,57.40
60.41,60.97,61.04,59.90
60.97,60.85,61.57,60.24
60.58,61.83,61.83,60.55
61.68,61.13,61.93,60.96
60.68,60.93,61.07,60.43
61.05,60.71,61.05,59.91
60.95,60.58,61.26,60.11
60.47,60.55,60.78,60.25
60.21,60.32,60.64,59.85
60.40,62.19,62.27,60.25
61.96,60.74,62.21,60.62
60.94,60.85,61.22,60.06
60.78,60.75,61.22,60.58
60.93,59.99,61.12,59.91
59.80,59.26,59.92,59.22
58.10,58.08,58.53,57.79
58.99,60.12,61.40,58.99
60.63,61.25,61.36,60.14
62.11,63.56,63.68,61.97
63.91,64.88,65.68,63.34
64.84,64.74,65.47,64.65
64.92,64.50,64.92,63.95
64.99,63.91,65.06,63.79
63.03,63.84,64.11,62.91
64.79,64.48,64.97,64.20
64.68,64.15,64.99,64.15
64.47,64.36,64.94,63.39
64.18,64.35,64.58,64.06
64.21,63.76,64.63,63.61
63.38,63.47,63.73,63.17
63.16,63.48,63.57,62.80
63.72,63.90,64.21,63.38
