DJCO,Daily Journal Corp. (S.C.) - Common Stock,NASDAQ
59.20,59.20,59.20,59.20
60.00,61.00,61.00,59.80
59.80,59.50,60.11,59.50
59.60,59.50,60.50,59.45
59.50,59.50,59.50,59.50
60.00,60.00,61.00,60.00
60.00,60.00,60.00,60.00
60.50,60.50,60.50,60.50
60.00,61.00,61.18,60.00
61.00,65.15,65.15,61.00
69.16,62.01,69.16,62.00
63.00,63.00,63.00,63.00
63.00,63.00,63.00,63.00
62.00,64.50,65.00,62.00
64.49,64.90,65.00,64.49
64.95,64.52,64.95,64.50
64.60,64.95,64.95,64.00
63.02,64.96,65.00,63.02
64.75,64.75,64.75,64.75
64.90,64.00,65.00,64.00
64.25,64.24,64.25,64.24
64.24,64.24,64.24,64.24
65.00,65.50,65.53,65.00
63.85,63.85,63.85,63.85
61.04,64.97,65.50,61.04
64.00,64.82,65.00,64.00
64.82,64.82,64.82,64.82
64.00,64.00,64.00,64.00
61.53,63.99,63.99,61.53
61.76,64.13,64.16,61.76
64.13,64.13,64.13,64.13
64.13,64.13,64.13,64.13
64.50,64.50,64.50,63.52
64.50,65.70,65.70,64.50
64.23,64.23,64.23,64.23
64.50,64.50,64.50,64.50
65.50,65.50,65.50,65.50
65.97,65.24,66.00,65.24
67.00,65.00,67.50,64.98
65.00,65.00,67.49,65.00
67.00,66.25,67.00,66.00
67.88,68.00,69.77,65.72
67.75,67.37,69.71,67.37
66.44,67.00,69.57,66.44
67.00,68.04,69.22,67.00
68.50,69.00,69.00,68.45
64.01,69.71,69.71,64.01
69.70,69.71,69.71,69.70
69.70,69.60,69.70,69.50
69.58,69.50,69.58,69.50
69.50,69.50,69.50,69.50
69.50,69.50,69.50,69.50
69.50,69.50,69.50,69.50
69.50,69.50,69.50,69.50
69.50,69.50,69.50,69.50
65.86,65.90,65.90,65.73
68.89,68.97,68.97,68.89
68.97,68.97,68.97,68.97
69.51,68.34,69.51,66.10
69.00,66.56,69.00,66.13
66.60,66.78,66.78,66.60
66.78,66.78,66.78,66.78
66.18,68.88,68.88,66.15
68.88,68.88,68.88,68.88
68.87,67.50,69.00,67.16
67.50,67.50,67.50,67.50
68.64,69.00,69.00,68.64
68.92,69.00,69.00,68.92
68.93,70.00,70.00,68.40
70.00,70.00,70.00,70.00
73.59,71.00,73.59,70.90
71.00,70.00,71.00,70.00
70.50,71.00,71.00,70.50
71.00,71.00,71.00,71.00
70.30,71.00,71.00,69.16
70.00,71.13,71.17,70.00
73.44,72.50,73.44,72.50
72.99,72.99,72.99,72.99
69.15,69.50,69.54,69.15
69.66,69.90,69.90,69.66
73.52,71.04,73.57,71.00
71.31,71.31,71.31,71.31
69.40,71.00,71.50,69.35
71.00,71.26,71.26,71.00
73.60,71.00,73.60,71.00
71.44,71.25,71.44,71.00
73.43,72.00,73.43,71.88
73.28,71.00,75.00,71.00
71.70,72.00,72.00,71.70
71.00,71.00,71.30,71.00
71.00,71.00,71.00,71.00
71.79,70.02,71.79,70.02
70.36,71.00,71.06,70.36
71.00,71.00,71.00,70.75
71.00,71.00,71.00,71.00
71.00,70.00,71.00,70.00
70.10,70.10,70.15,70.10
70.80,70.80,70.80,70.80
70.80,70.80,70.80,70.80
71.00,71.31,71.31,71.00
71.33,71.00,71.99,71.00
71.00,71.00,71.97,71.00
71.00,71.00,71.25,71.00
71.00,71.00,71.00,71.00
71.00,71.00,71.00,71.00
71.00,71.00,71.00,71.00
71.50,71.50,71.50,71.50
67.79,71.00,71.28,67.66
71.00,71.00,71.00,71.00
71.50,71.00,71.50,71.00
