FXC,Guggenheim CurrencyShares Canadian Dollar Trust,NASDAQ
95.91,95.72,96.27,95.60
96.03,95.95,96.23,95.75
96.28,96.54,96.62,96.12
96.57,96.31,96.57,96.09
96.43,96.66,96.80,96.09
96.66,96.46,96.80,96.36
95.96,95.90,96.28,95.71
96.36,96.72,96.84,95.87
96.73,97.40,97.46,96.68
97.26,96.82,97.26,96.62
96.50,96.71,96.75,96.44
95.08,95.18,95.27,94.99
95.15,94.75,95.35,94.68
94.38,94.18,94.57,93.97
93.92,94.16,94.27,93.89
93.30,93.77,94.04,93.20
93.56,93.57,93.71,93.21
94.05,93.43,94.10,93.40
93.51,93.19,93.71,93.16
93.25,93.80,93.81,93.25
93.97,94.19,94.22,93.76
94.01,93.75,94.15,93.73
93.46,92.86,93.47,92.64
93.25,93.06,93.35,92.46
93.18,92.72,93.33,92.70
93.24,93.30,93.57,92.62
93.26,93.72,93.98,93.04
94.09,94.78,95.02,93.87
94.54,94.71,94.82,94.22
95.42,95.47,95.67,95.31
95.33,95.31,95.46,95.15
95.46,95.66,95.79,95.27
94.95,95.73,95.88,94.90
95.89,95.54,95.89,95.42
95.42,94.25,95.50,94.15
94.32,94.49,94.76,94.16
93.32,94.06,94.07,93.28
94.09,94.70,94.75,93.87
95.15,95.62,95.69,94.91
96.41,96.13,96.50,96.08
96.49,96.51,96.95,96.40
96.66,96.63,96.77,96.37
96.99,96.66,97.05,96.63
97.05,96.93,97.14,96.75
96.90,97.04,97.28,96.86
96.97,97.06,97.47,96.94
96.76,97.21,97.34,96.53
97.86,97.80,98.00,97.71
97.69,97.68,97.78,97.33
97.98,98.22,98.27,97.86
98.55,98.59,98.89,98.39
98.61,98.24,98.65,98.18
98.61,97.96,98.64,97.82
97.28,97.75,97.75,97.25
97.73,98.02,98.09,97.60
97.32,97.12,97.50,96.86
97.76,97.18,97.78,97.16
96.94,97.00,97.04,96.66
97.41,97.57,97.84,97.41
97.90,97.66,98.03,97.56
98.12,98.07,98.22,97.66
98.49,98.75,98.89,98.45
99.08,99.29,99.45,99.06
99.51,99.43,99.66,99.40
99.46,99.07,99.63,98.98
98.64,99.30,99.37,98.55
99.03,99.16,99.24,98.85
98.91,99.22,99.44,98.87
99.31,99.40,99.41,98.91
99.72,99.67,100.02,99.60
99.71,99.22,99.87,99.18
99.09,98.24,99.18,97.93
97.67,98.07,98.15,97.55
99.56,99.67,99.84,99.49
99.95,99.65,100.07,99.41
99.49,99.56,99.73,99.17
99.01,99.65,99.65,98.93
99.51,99.42,99.65,99.31
98.70,97.82,99.00,97.77
98.35,98.67,98.81,97.93
99.13,99.01,99.29,98.85
98.91,98.00,98.91,97.81
98.25,98.53,98.54,97.94
97.50,97.11,97.59,97.05
96.41,96.68,97.04,96.12
96.10,94.59,96.55,92.50
95.45,95.34,95.81,94.27
97.17,97.16,97.31,96.72
97.11,97.43,98.05,97.05
97.83,97.60,98.02,97.43
97.86,97.53,98.27,97.50
96.83,96.48,96.83,95.87
96.29,96.28,96.45,95.41
97.04,95.98,97.13,95.59
95.25,95.31,95.51,94.43
93.40,93.19,93.89,92.83
92.86,93.94,94.32,92.79
94.18,93.86,94.29,93.82
91.94,93.01,93.04,91.82
93.29,93.11,94.06,93.01
94.21,94.76,94.90,94.06
95.00,94.59,95.11,94.37
94.38,94.41,95.46,94.24
95.04,95.84,95.93,94.90
95.85,95.56,95.91,95.10
94.89,93.81,95.10,93.63
94.01,93.84,94.60,93.76
94.33,94.90,95.00,93.95
95.67,95.28,95.98,95.21
96.42,96.48,96.70,96.10
95.95,96.26,96.46,95.78
97.02,96.33,97.30,96.28
