JW.B,John Wiley & Sons,NASDAQ
42.00,41.78,42.00,41.68
41.68,41.55,41.68,41.54
41.59,41.96,41.96,41.59
41.91,42.15,42.15,41.59
40.62,40.62,40.62,40.62
41.65,42.60,42.60,41.65
42.04,42.18,42.18,42.04
41.50,41.95,41.95,41.50
43.04,43.04,43.04,43.04
42.40,42.30,42.40,41.38
41.32,42.65,42.65,41.32
41.50,42.00,42.00,41.50
42.07,42.30,42.30,41.95
41.66,42.30,42.30,41.66
41.49,42.38,42.38,41.49
42.00,42.06,42.06,41.65
41.99,42.45,42.54,41.94
42.46,42.23,42.46,42.06
42.50,41.73,42.50,41.70
42.02,41.95,42.02,41.95
41.68,41.65,41.68,41.65
41.50,41.53,41.53,41.50
41.23,40.56,41.23,40.56
40.30,39.97,40.37,39.69
38.51,38.51,38.51,38.51
39.96,40.31,40.38,39.96
39.76,40.15,40.28,39.69
39.63,40.50,40.50,39.63
40.24,40.38,40.38,40.24
40.93,40.93,40.93,40.93
39.33,39.33,39.33,39.33
41.60,41.60,41.60,41.60
41.86,41.87,41.87,41.86
40.85,40.85,40.85,40.85
42.04,42.04,42.04,42.04
42.07,42.07,42.07,42.07
42.07,42.07,42.07,42.07
42.57,41.75,42.75,41.75
42.57,42.57,42.57,42.57
39.49,39.49,39.49,39.49
43.07,42.93,43.14,42.93
42.98,43.00,43.00,42.98
41.48,41.48,41.48,41.48
43.30,43.26,43.30,43.26
43.31,43.58,43.58,43.31
42.88,43.60,43.60,42.88
43.10,43.36,43.36,42.53
42.91,43.23,43.57,42.91
43.89,43.74,44.43,42.93
43.34,43.61,43.84,43.34
43.89,43.46,43.89,43.46
43.52,43.26,43.52,43.23
43.73,43.09,43.73,43.02
43.03,42.85,43.03,42.63
42.62,42.46,42.62,42.46
42.50,42.35,42.54,41.96
42.54,42.47,42.72,42.31
42.52,42.85,42.99,42.52
43.04,43.07,43.08,42.44
42.80,43.31,43.36,42.80
43.30,43.31,43.47,43.12
43.50,43.47,43.50,43.36
43.56,43.50,44.00,43.48
43.84,43.49,43.84,43.49
43.22,43.22,43.30,43.22
43.52,43.51,43.80,43.51
43.55,42.91,43.92,42.91
42.61,42.85,43.20,42.61
42.83,42.83,42.83,42.83
42.61,42.72,42.72,42.61
42.78,42.84,42.84,42.78
43.48,42.88,43.49,42.79
42.76,42.51,42.86,42.51
42.67,43.48,43.48,42.67
43.45,42.96,43.45,42.66
42.32,42.72,42.78,42.07
42.95,43.40,43.40,42.92
42.98,43.49,43.58,42.97
43.64,43.56,43.64,43.17
43.95,43.24,44.75,42.98
43.53,42.81,43.53,42.81
43.10,42.41,43.10,42.38
41.97,42.62,42.62,41.97
41.97,41.88,42.04,41.88
41.76,41.89,42.14,41.66
41.56,41.22,41.84,41.04
41.20,40.30,41.20,39.77
40.38,41.65,41.65,40.38
41.49,41.53,41.98,41.30
41.70,41.52,41.70,41.41
41.69,41.62,41.69,41.48
41.08,41.36,41.36,41.08
41.69,41.26,41.69,41.26
40.73,40.53,40.86,40.53
40.62,40.45,40.62,39.77
39.19,39.43,39.75,38.98
39.13,39.73,39.80,39.13
39.66,39.80,39.80,39.52
38.36,38.97,39.18,38.33
39.62,39.46,39.67,39.46
36.08,36.08,36.08,36.08
36.78,36.78,36.78,36.78
39.40,38.48,39.40,38.34
38.46,39.00,39.00,38.46
39.16,39.13,39.18,38.94
38.40,38.05,38.46,37.83
37.94,38.11,38.55,37.80
37.65,37.30,37.65,37.30
37.27,36.83,37.27,36.83
37.58,37.40,37.58,36.05
37.67,37.98,38.00,37.48
38.59,38.46,38.73,38.41
38.55,39.30,39.30,38.55
38.87,39.03,39.03,38.79
39.02,39.60,39.65,38.60
39.58,39.71,39.79,39.58
40.55,39.65,40.75,39.65
40.32,39.88,40.32,39.88
36.43,36.43,36.43,36.43
39.94,39.94,39.94,39.94
39.65,39.75,39.76,39.28
39.97,40.06,40.18,39.95
39.78,39.25,39.78,39.25
39.20,38.60,39.41,38.47
