JJP,iPath Bloomberg Precious Metals Subindex Total Return SM Index ETN,NASDAQ
74.01,74.51,74.51,74.01
74.44,73.96,74.44,73.85
73.78,74.29,74.29,73.65
71.90,71.90,71.90,71.90
72.02,72.65,72.65,72.02
72.70,71.35,72.70,70.96
71.24,71.25,71.25,71.24
72.59,72.39,72.59,71.96
72.04,72.12,72.12,72.04
71.25,71.76,71.76,71.25
72.21,72.58,72.66,71.92
73.05,73.89,73.89,73.05
73.70,73.38,73.70,73.38
73.99,73.96,74.01,73.71
73.44,71.67,73.44,71.15
75.31,76.35,76.35,75.31
76.16,77.09,77.23,76.16
78.19,78.62,78.62,77.00
79.70,76.99,80.23,76.99
78.30,78.00,78.30,76.94
78.29,78.07,78.29,77.40
76.84,75.61,76.84,75.17
75.47,74.54,76.09,74.52
74.11,73.84,74.32,73.30
74.28,73.64,74.28,73.64
75.45,75.28,75.86,75.28
75.60,75.88,75.92,74.99
75.94,76.98,76.98,75.87
76.98,77.11,77.36,76.74
77.11,77.02,77.11,76.71
75.85,75.79,75.85,75.37
75.80,76.35,76.44,75.54
77.39,77.87,78.04,77.39
78.38,78.32,78.38,77.90
78.34,78.36,79.16,78.26
79.52,80.07,80.07,79.41
81.21,81.61,81.64,80.34
82.50,79.35,82.57,79.13
79.77,77.90,79.77,77.57
79.44,78.26,79.44,78.26
78.26,78.36,78.48,77.63
79.37,79.35,79.63,79.33
80.22,79.66,80.22,79.15
79.11,78.59,79.28,78.50
77.42,77.80,77.80,77.42
78.10,78.63,78.66,76.78
78.00,78.85,79.16,78.00
78.49,78.89,79.03,78.49
78.80,78.76,78.85,78.76
78.46,78.51,78.71,78.46
83.01,78.63,83.01,78.60
79.93,80.57,80.62,79.81
80.87,81.52,81.52,80.87
80.76,80.73,80.79,80.50
81.92,81.64,81.92,81.28
86.36,81.33,86.36,81.33
81.04,79.10,81.04,78.58
77.83,78.51,78.55,77.41
78.39,78.12,78.40,78.02
78.10,77.60,78.10,77.60
78.55,78.14,78.55,77.61
