PSDV,pSivida Corp. - Common Stock,NASDAQ
3.66,3.69,3.84,3.56
3.64,3.62,3.69,3.60
3.61,3.66,3.70,3.61
3.70,3.87,3.90,3.70
3.75,3.95,3.98,3.75
3.93,3.94,4.10,3.93
3.94,4.05,4.05,3.94
4.04,4.02,4.72,3.75
4.10,4.00,4.12,3.93
4.00,3.84,4.00,3.80
3.96,4.08,4.08,3.81
4.04,4.01,4.09,3.90
3.99,3.96,4.04,3.90
3.90,4.00,4.01,3.89
3.96,3.87,3.96,3.77
3.84,3.68,3.84,3.65
3.61,3.50,3.73,3.50
3.59,3.40,3.59,3.30
3.37,3.52,3.52,3.37
3.52,3.57,3.61,3.37
3.57,3.55,3.57,3.50
3.52,3.62,3.69,3.52
3.68,3.53,3.69,3.46
3.49,3.50,3.50,3.37
3.58,3.50,3.58,3.43
3.48,3.42,3.48,3.32
3.64,3.50,3.64,3.41
3.42,3.44,3.50,3.40
3.40,3.40,3.49,3.35
3.44,3.42,3.55,3.36
3.40,3.32,3.47,3.31
3.25,3.29,3.30,3.08
3.24,3.50,3.50,3.15
3.50,3.39,3.53,3.31
3.33,3.29,3.41,3.16
3.34,3.28,3.34,3.24
3.28,3.30,3.31,3.23
3.25,3.23,3.27,3.18
3.24,3.18,3.33,3.12
3.21,3.28,3.33,3.15
3.54,3.50,3.70,3.45
3.48,3.58,3.58,3.27
3.55,3.67,3.67,3.48
3.67,3.69,3.69,3.58
3.61,3.81,3.85,3.60
3.76,3.95,3.95,3.70
3.95,3.90,3.96,3.85
3.86,4.00,4.10,3.85
4.05,3.99,4.05,3.85
4.00,3.95,4.00,3.89
3.95,4.03,4.05,3.95
4.00,4.01,4.06,3.99
4.03,4.03,4.08,3.99
4.01,3.90,4.02,3.90
3.86,4.04,4.08,3.86
4.05,4.01,4.05,3.98
4.00,4.01,4.05,3.91
4.06,3.97,4.06,3.89
3.96,4.05,4.05,3.91
4.01,4.04,4.04,3.87
4.05,3.94,4.05,3.91
3.90,3.99,4.00,3.89
3.91,4.01,4.04,3.90
4.05,4.25,4.25,3.98
4.32,4.45,4.59,4.28
4.59,4.70,5.14,4.48
4.79,4.70,4.79,4.57
4.83,4.83,5.08,4.75
4.80,4.98,5.00,4.60
4.98,5.09,5.10,4.92
4.95,5.13,5.14,4.91
5.09,4.98,5.13,4.95
4.90,4.85,5.00,4.84
4.86,4.88,4.97,4.75
4.99,4.93,5.01,4.90
4.99,4.89,5.00,4.75
