IYT,iShares Transportation AverageETF,NASDAQ
74.11,74.27,74.64,74.11
74.16,74.91,75.29,74.13
74.92,74.64,75.26,74.52
74.63,74.40,74.69,73.95
74.81,75.86,75.96,74.76
76.01,76.52,76.69,75.96
76.02,75.89,76.34,75.29
75.81,75.94,76.07,75.03
75.79,76.00,76.14,75.57
75.85,75.07,76.00,74.78
75.22,75.34,75.64,75.16
74.59,74.68,74.71,73.50
74.77,73.68,75.54,73.16
73.50,72.13,73.53,71.98
72.54,72.35,72.77,71.84
72.16,72.24,72.78,71.63
71.99,72.49,72.67,71.54
72.69,70.94,72.69,70.64
71.07,70.07,71.80,70.04
70.39,71.24,71.33,70.30
71.22,71.84,71.94,71.06
71.17,71.03,71.53,70.59
70.46,68.83,70.46,68.79
68.75,69.01,69.46,67.56
68.91,68.55,69.47,68.19
69.24,69.75,70.39,69.23
69.72,69.62,69.91,68.98
69.71,70.80,71.01,69.69
70.24,70.80,70.80,69.79
71.47,72.11,72.22,71.11
72.55,72.33,72.61,71.73
72.26,72.33,72.39,71.90
72.29,73.21,73.57,72.20
73.54,73.86,74.07,73.54
74.03,73.59,74.46,73.15
73.67,73.95,74.37,73.60
72.98,74.43,74.54,72.56
74.52,75.00,75.00,73.85
75.29,75.36,75.97,75.20
75.60,75.01,76.01,74.97
75.15,75.04,75.74,74.94
75.13,75.32,75.55,74.70
75.64,75.90,76.15,75.48
76.09,76.29,76.66,76.00
76.07,77.23,77.81,76.07
77.40,77.70,78.46,77.36
77.34,78.28,78.29,77.34
78.67,78.31,78.67,77.64
78.29,78.52,78.57,77.79
78.64,79.20,79.28,78.50
79.35,79.34,79.81,79.04
79.10,80.11,80.21,78.96
79.36,79.36,80.45,79.00
78.68,79.42,79.64,78.56
79.40,79.89,79.94,78.71
79.68,78.99,79.77,78.83
79.38,78.35,79.90,78.20
78.48,78.43,79.07,77.91
78.81,79.00,79.56,78.48
78.85,79.25,79.56,78.72
78.95,79.09,79.46,78.59
79.45,79.26,79.96,78.71
79.64,79.67,79.80,79.13
79.35,79.94,80.14,79.23
80.03,79.41,80.03,78.92
79.15,80.38,80.54,79.04
80.40,81.25,81.34,80.36
81.36,81.53,81.60,81.24
81.50,81.81,82.00,80.75
82.23,83.81,83.89,82.12
84.39,85.23,85.90,84.29
84.83,83.87,85.18,83.08
83.71,83.22,84.10,82.58
83.72,83.94,84.31,82.99
83.83,84.18,84.67,83.77
83.54,84.86,85.04,82.59
85.06,85.60,85.76,84.56
85.78,85.79,86.37,85.60
85.51,83.81,85.99,83.48
84.03,84.02,84.44,83.29
84.80,85.83,86.17,84.80
86.16,84.36,86.79,84.18
84.82,86.56,86.69,84.79
85.50,83.43,85.53,82.70
82.50,82.36,83.54,81.68
81.63,79.62,85.64,75.18
79.61,77.71,80.27,76.88
81.54,81.87,82.01,78.71
81.22,82.30,83.42,80.37
82.70,84.05,84.36,82.70
83.99,82.69,84.09,82.44
81.84,81.26,82.27,80.38
81.27,81.09,82.01,79.16
81.79,79.97,82.17,79.58
79.83,79.21,80.31,77.60
78.21,75.45,78.21,75.14
74.45,76.64,77.20,73.60
77.00,76.06,77.39,76.00
74.53,76.12,76.12,71.76
76.29,76.84,78.34,76.29
78.78,79.31,79.38,77.90
79.20,78.74,79.46,77.78
77.76,76.85,78.96,76.65
77.10,79.12,79.14,76.99
79.49,79.37,80.21,78.24
77.54,75.43,78.12,75.05
75.45,73.25,75.77,73.16
73.89,74.08,74.35,72.23
74.56,74.23,76.50,73.87
75.53,77.31,77.46,75.53
76.37,78.26,78.39,76.01
78.96,78.68,80.15,78.56
79.51,80.99,81.03,79.39
80.55,80.13,81.23,79.92
80.63,80.24,80.67,78.81
80.26,80.39,80.73,79.90
81.65,80.28,81.87,79.81
80.25,77.27,80.48,76.98
77.13,77.31,77.85,76.00
76.39,75.94,77.25,75.60
76.05,76.51,76.70,75.26
77.22,75.95,77.22,75.79
74.33,72.89,74.37,72.45
72.85,72.36,73.98,72.19
72.45,72.62,73.50,70.68
73.05,70.95,73.05,70.54
71.76,70.52,72.65,69.94
70.61,73.19,73.36,70.61
73.85,74.29,74.43,73.54
74.55,75.16,75.21,74.20
74.87,75.20,75.89,74.42
76.78,76.68,77.07,75.82
76.59,77.31,77.86,76.35
76.96,76.77,77.04,75.61
76.45,74.45,76.47,74.23
74.65,74.60,74.90,73.33
73.21,75.92,76.00,73.21
76.69,74.78,76.77,74.32
76.91,77.61,78.14,76.55
77.49,78.80,78.99,77.49
79.39,80.98,81.00,79.37
81.38,79.85,81.58,79.76
79.85,79.90,80.34,79.30
80.50,79.76,81.00,78.77
79.28,79.75,80.18,78.37
80.93,81.35,81.35,80.35
81.22,80.19,81.22,79.31
80.57,81.46,81.49,80.50
80.56,81.15,81.32,80.15
80.31,80.54,81.00,79.45
80.83,81.66,81.82,80.69
80.86,80.42,80.96,79.68
79.00,77.13,79.00,76.62
75.67,76.68,76.98,75.50
76.49,76.11,76.78,75.96
75.58,76.02,76.44,75.18
77.46,77.71,78.45,76.97
77.86,78.11,78.67,77.04
77.62,76.40,77.80,75.38
75.94,76.17,76.24,74.89
76.52,75.40,77.20,75.27
74.06,73.86,74.48,72.74
73.07,74.07,74.37,72.50
74.38,74.21,75.49,73.93
74.60,75.81,76.05,73.56
75.68,74.58,76.08,74.45
74.30,74.64,75.31,73.71
75.67,77.53,77.84,75.66
77.77,78.54,78.72,77.68
79.66,79.42,80.46,79.15
79.20,78.69,79.20,78.10
78.87,79.68,80.40,78.87
80.52,79.49,80.77,79.17
79.72,79.72,80.12,79.44
80.77,80.47,81.01,80.21
80.36,80.57,81.29,80.10
80.37,81.09,81.21,80.11
80.41,80.20,80.65,79.73
80.62,80.33,80.63,79.69
80.50,81.04,81.45,80.50
81.02,81.71,82.26,81.02
81.43,81.01,82.13,80.60
80.16,79.19,80.57,78.85
80.18,81.44,81.59,80.10
81.78,81.47,81.95,81.34
81.71,81.74,81.94,80.49
