RDCM,Radcom Ltd. - Ordinary Shares,NASDAQ
1.55,1.70,1.74,1.55
1.60,1.60,1.70,1.60
1.71,1.73,1.74,1.60
1.74,1.74,1.74,1.64
1.74,1.75,1.75,1.74
1.75,1.67,1.77,1.63
1.75,1.73,1.75,1.65
1.68,1.84,1.84,1.68
1.81,1.86,1.90,1.80
1.88,1.84,1.89,1.84
1.70,1.81,1.82,1.65
1.73,1.72,1.74,1.72
1.75,1.69,1.75,1.62
1.63,1.70,1.74,1.63
1.72,1.77,1.77,1.72
1.72,1.78,1.78,1.72
1.77,1.82,1.82,1.73
1.80,1.80,1.85,1.80
1.83,1.95,1.98,1.83
1.99,2.10,2.13,1.90
2.19,2.11,2.40,2.11
2.19,1.98,2.30,1.98
2.18,2.14,2.18,2.10
2.12,2.15,2.15,2.09
2.11,2.10,2.15,2.10
2.11,2.00,2.15,1.91
1.93,1.91,1.93,1.90
1.96,1.91,1.96,1.82
1.91,1.91,1.91,1.91
1.86,1.91,2.00,1.86
1.90,1.97,1.97,1.87
1.85,1.95,1.99,1.85
1.85,1.93,2.00,1.82
1.91,2.00,2.09,1.91
2.06,2.06,2.06,2.06
2.06,2.09,2.11,1.91
2.09,2.09,2.09,2.09
2.00,2.09,2.09,2.00
2.00,2.05,2.08,2.00
2.00,2.00,2.03,1.95
1.91,2.00,2.01,1.90
2.06,2.05,2.10,2.00
2.07,2.04,2.10,1.99
1.97,1.97,1.97,1.97
1.97,2.00,2.00,1.97
2.00,2.00,2.00,2.00
2.00,2.08,2.08,2.00
2.06,2.08,2.10,2.06
2.02,2.07,2.07,2.00
2.07,2.07,2.07,2.07
2.01,2.00,2.02,1.94
2.01,2.10,2.10,2.01
2.01,2.01,2.02,1.97
2.03,2.10,2.15,2.03
2.14,2.15,2.19,2.14
2.04,3.46,4.05,2.04
3.91,3.08,3.95,2.98
3.01,2.93,3.33,2.76
2.89,3.02,3.14,2.77
2.95,2.90,3.00,2.90
2.85,2.89,2.90,2.76
2.85,2.85,3.07,2.76
2.90,3.06,3.12,2.90
3.10,3.07,3.20,2.95
3.12,3.55,3.69,3.12
3.65,3.40,3.65,3.35
3.60,3.69,3.70,3.30
3.70,3.56,3.72,3.44
3.52,3.43,3.52,3.36
3.57,3.49,3.57,3.40
3.46,3.33,3.50,3.33
3.31,4.28,4.43,3.28
4.38,5.88,6.80,4.38
6.13,5.65,6.13,5.18
5.58,4.47,5.67,4.32
4.40,4.72,5.10,4.22
5.11,4.86,5.16,4.83
5.00,4.43,5.01,4.25
4.37,4.23,4.38,4.00
4.49,4.04,4.50,4.00
4.03,4.00,4.17,3.84
4.00,4.10,4.20,3.92
4.28,4.43,4.47,4.15
4.38,4.13,4.50,4.10
4.10,4.34,4.40,4.02
4.33,4.38,4.65,4.00
4.32,4.14,4.32,4.05
4.17,4.48,4.50,4.17
4.37,4.45,4.50,4.31
4.37,4.28,4.40,4.28
4.41,4.41,4.57,4.37
4.39,4.33,4.39,4.30
4.33,4.04,4.33,4.00
4.00,4.01,4.09,4.00
4.01,4.01,4.16,4.01
4.00,3.81,4.10,3.80
3.78,3.70,3.80,3.43
3.60,3.86,3.91,3.50
5.10,4.83,5.16,4.28
4.99,4.56,5.06,4.51
4.80,4.77,5.10,4.69
4.83,4.62,4.87,4.50
4.50,4.66,4.86,4.50
4.66,4.65,4.75,4.55
4.75,4.64,4.80,4.53
4.54,4.45,4.63,4.44
4.41,4.37,4.58,4.32
4.43,4.41,4.47,4.41
4.70,4.38,4.70,4.37
4.51,4.57,4.60,4.49
4.41,4.43,4.54,4.20
4.49,4.57,4.58,4.40
4.50,4.35,4.50,4.21
4.36,4.06,4.47,4.06
4.06,4.18,4.38,4.06
4.23,4.24,4.35,4.08
4.34,4.33,4.45,4.25
4.30,4.30,4.33,4.30
4.00,4.05,4.39,4.00
4.02,4.20,4.20,4.02
4.03,4.12,4.25,4.01
5.25,5.13,5.38,4.96
4.95,5.03,5.27,4.90
5.19,5.00,5.42,4.80
5.02,4.92,5.05,4.75
5.00,5.24,5.25,5.00
5.25,5.37,5.50,5.25
5.44,5.40,5.49,5.31
5.50,5.36,5.54,5.35
5.63,4.87,5.63,4.87
5.00,4.95,5.10,4.90
5.00,5.33,5.39,4.94
5.31,5.40,5.47,5.31
5.54,5.36,5.54,5.33
5.39,5.36,5.40,5.35
5.45,5.45,5.49,5.39
5.50,5.45,5.50,5.40
5.49,5.34,5.50,5.34
5.49,5.49,5.50,5.40
