PVH,PVH Corp. Common Stock,NASDAQ
40.92,41.10,41.55,40.52
41.03,42.64,42.72,41.00
42.51,43.66,43.76,42.51
43.45,43.66,44.50,43.45
43.39,43.59,43.73,43.14
43.84,43.50,43.87,43.13
44.76,43.35,44.92,42.85
43.62,43.72,43.92,43.35
43.55,43.64,44.13,43.51
43.29,43.21,43.90,43.06
43.32,43.51,43.60,42.94
43.04,43.25,43.44,42.89
43.29,42.64,43.52,42.25
42.67,41.51,42.84,41.34
41.99,41.02,41.99,40.95
40.94,40.01,41.31,39.94
39.87,40.22,40.33,39.54
40.31,40.00,40.48,39.80
40.20,39.29,40.33,39.20
39.58,39.81,39.96,39.30
39.76,40.66,40.69,39.69
40.34,40.04,40.35,39.74
39.67,39.54,40.41,39.50
39.52,38.69,39.52,38.25
38.86,38.60,39.42,38.47
38.94,39.26,39.50,38.65
39.03,39.13,39.51,38.86
39.16,39.87,39.93,38.90
39.56,40.22,40.25,39.26
40.46,40.85,40.87,40.08
41.60,42.38,43.07,41.50
42.39,42.68,42.73,42.28
42.71,42.38,42.99,42.13
42.35,42.36,42.51,42.15
42.15,42.50,42.79,41.90
42.56,43.22,43.28,42.41
42.61,42.99,43.03,42.33
43.09,43.52,43.61,42.97
43.61,44.30,44.32,43.50
44.31,44.14,44.59,43.85
43.89,42.44,43.89,42.38
42.63,42.90,43.00,42.49
43.19,44.31,44.31,43.13
44.42,46.24,46.65,44.35
46.01,45.71,46.78,45.46
45.60,46.28,46.45,45.41
45.94,47.67,48.37,45.71
47.82,47.74,48.78,47.44
52.00,52.40,54.64,51.25
52.64,53.78,53.90,52.61
53.78,54.18,54.18,53.09
54.22,54.08,54.75,53.62
53.73,53.73,54.48,53.25
53.46,55.43,56.07,52.97
56.57,56.09,56.88,55.01
55.92,56.70,56.84,55.09
56.93,55.52,57.28,55.44
55.56,57.03,57.07,55.55
56.98,57.02,57.57,55.88
56.92,57.08,57.37,56.46
56.97,57.36,57.80,56.88
57.76,58.27,58.37,57.52
58.29,60.03,60.30,58.29
59.99,60.08,60.20,59.50
60.13,59.93,60.48,59.53
59.79,61.31,61.39,59.05
61.68,62.67,62.67,61.68
62.80,62.75,63.00,62.13
62.75,62.86,63.04,62.51
62.68,64.16,64.25,62.68
63.91,64.25,64.62,63.76
63.91,63.71,64.83,63.30
63.38,62.84,63.92,61.54
63.23,62.43,63.52,61.97
62.39,65.64,65.84,62.39
65.14,67.08,67.50,65.00
67.88,67.05,68.18,66.65
66.79,66.24,67.24,65.70
66.06,64.31,66.38,64.11
64.72,63.57,65.59,63.17
64.14,65.41,65.91,64.13
65.27,63.01,65.75,62.89
