CMLS,Cumulus Media Inc. - Common Stock,NASDAQ
18.64,18.48,18.64,17.68
18.08,18.64,19.92,17.84
18.32,18.96,19.20,18.16
18.96,19.76,19.76,18.00
19.60,18.64,19.60,18.32
18.80,19.52,19.52,18.24
19.36,18.64,19.36,18.56
18.72,19.12,19.52,18.48
18.80,19.12,19.52,18.48
18.56,19.76,19.76,18.40
19.44,20.56,20.64,19.44
20.08,21.12,21.52,20.08
21.12,20.32,21.12,19.92
20.00,20.64,20.80,19.76
20.08,20.00,20.40,19.84
20.00,20.64,21.04,20.00
20.96,20.16,21.52,20.08
20.08,19.76,20.08,19.76
20.16,19.60,20.16,19.36
18.72,19.28,19.52,18.56
19.12,20.16,20.16,19.04
nan,20.16,nan,nan
20.24,19.68,22.00,19.44
21.68,19.36,21.68,19.20
19.28,19.60,20.32,19.20
19.52,20.16,20.40,19.36
20.00,19.68,20.54,19.52
19.68,19.20,19.68,18.80
19.33,20.24,20.24,18.96
20.24,20.16,20.24,20.00
20.41,20.16,21.28,20.08
19.52,19.92,20.00,19.44
19.92,20.40,20.48,19.68
20.40,20.64,20.80,20.32
20.40,20.80,21.52,20.24
21.16,21.04,21.16,20.72
21.52,20.88,21.76,20.72
20.24,21.68,21.68,20.00
21.92,23.20,23.20,21.60
23.20,24.23,25.12,23.04
24.40,24.48,24.96,24.24
24.32,25.52,26.80,24.16
25.84,25.76,25.92,24.88
25.68,26.80,27.60,25.34
26.88,26.72,26.98,26.25
26.24,26.64,26.80,25.76
26.64,27.05,27.20,26.64
26.88,27.28,27.36,26.88
27.20,27.60,27.76,27.08
27.68,27.76,28.24,26.89
27.68,27.20,28.64,27.20
27.60,26.80,27.60,26.16
27.04,24.56,27.04,24.56
24.72,25.68,26.16,24.72
25.37,25.28,25.52,24.80
25.52,25.44,25.68,24.96
25.76,25.44,26.72,25.20
25.36,25.20,25.76,25.20
25.20,26.40,26.56,25.20
27.04,26.72,27.60,26.00
26.80,27.20,27.20,26.64
N/A,N/A,N/A,N/A
27.52,27.14,27.52,26.88
27.07,27.60,27.60,27.07
27.20,28.80,28.80,27.20
27.52,29.92,30.40,27.28
30.16,32.56,33.60,30.16
32.80,33.28,33.84,32.40
32.88,35.52,36.00,32.88
35.60,37.44,37.83,35.20
37.92,40.00,40.00,37.36
40.32,39.76,40.64,38.56
39.92,38.32,41.52,37.13
38.88,39.68,40.32,38.48
39.68,40.64,41.76,39.68
40.72,43.68,43.92,39.92
43.36,41.04,44.00,40.00
41.28,40.72,41.68,40.00
39.76,39.92,40.64,39.20
40.40,39.92,40.40,38.80
39.84,39.60,40.48,38.96
39.60,39.04,40.72,38.80
38.88,39.44,40.00,36.96
39.36,39.04,39.92,38.16
38.40,38.24,39.12,37.60
38.00,38.00,38.56,34.80
37.92,36.80,38.48,36.40
37.36,38.80,39.60,36.08
39.60,38.00,39.60,37.76
37.84,38.80,39.12,37.84
38.80,38.48,39.52,38.16
38.24,38.24,38.96,37.92
37.84,37.68,39.20,37.52
37.52,38.04,38.80,37.44
38.00,38.00,38.16,37.28
37.52,36.00,37.52,35.92
35.36,33.68,36.32,33.60
33.68,33.52,34.48,33.12
32.32,32.16,33.68,31.12
32.56,31.60,34.48,31.60
32.08,33.36,33.84,31.68
33.68,32.80,33.92,31.92
32.32,31.92,33.12,29.84
32.40,32.00,32.40,31.60
31.84,33.44,34.00,31.75
32.40,32.40,33.52,31.84
32.64,31.76,33.36,31.36
32.16,30.88,32.16,30.16
30.64,29.60,32.72,29.28
30.40,31.92,32.00,29.28
31.92,31.36,32.40,30.80
31.36,31.12,31.68,29.68
30.96,30.96,31.20,29.92
30.48,30.40,31.12,30.00
30.88,30.96,30.96,29.36
31.44,31.12,31.52,29.84
31.12,31.04,31.44,30.48
30.96,30.56,31.36,30.16
30.72,30.40,30.80,29.20
29.92,29.60,30.08,29.48
29.92,27.12,30.00,26.72
27.68,25.44,27.68,25.36
25.04,23.44,25.28,23.28
23.20,21.36,23.20,20.88
21.52,22.32,22.80,20.24
22.40,22.40,22.56,21.68
22.48,21.60,23.12,21.20
21.60,22.16,22.56,21.60
22.32,22.00,23.04,21.60
22.00,22.00,22.48,21.68
22.00,20.96,22.32,20.64
21.20,22.00,23.12,21.20
22.16,22.24,22.56,21.61
22.40,21.36,22.96,20.80
21.20,20.00,21.52,19.84
