NPK,National Presto Industries,NASDAQ
110.70,113.55,114.30,110.70
113.05,112.05,113.80,111.65
111.60,112.05,113.71,111.38
112.05,111.32,112.48,110.88
111.21,111.36,111.45,110.68
111.61,110.90,111.61,109.83
110.39,110.97,111.50,109.88
110.88,113.30,113.73,110.27
113.00,114.17,114.22,112.24
114.32,113.53,115.07,112.16
114.21,117.17,117.33,114.00
115.90,116.66,117.32,114.79
116.38,115.23,116.80,114.45
115.48,116.30,116.49,115.12
118.68,114.81,118.68,114.36
114.77,113.27,115.53,113.23
112.90,115.37,115.38,111.73
115.37,113.85,117.16,113.78
114.52,114.52,116.86,113.35
115.00,114.87,116.30,114.09
115.29,116.82,118.83,115.29
116.93,115.64,116.93,114.11
115.47,111.57,115.73,111.03
112.07,109.95,112.07,107.65
110.20,109.85,111.89,109.65
111.75,112.76,113.70,110.99
112.76,113.04,113.21,112.00
113.02,114.49,114.63,112.38
113.29,115.45,115.45,112.52
115.92,115.60,117.33,114.49
115.81,115.95,116.58,114.74
116.20,117.69,117.70,115.80
117.96,122.02,122.75,116.30
122.91,123.93,125.03,122.91
124.26,128.04,128.92,124.26
128.80,126.65,130.58,126.60
126.48,126.44,127.12,122.21
126.90,126.16,128.31,125.28
127.16,128.74,129.18,127.00
122.58,121.71,124.78,120.22
122.65,120.92,123.34,119.72
121.96,123.99,124.39,120.52
124.88,124.78,124.88,123.15
125.00,126.02,127.29,125.00
126.02,127.00,128.15,126.02
127.57,127.84,127.84,125.36
127.44,127.42,127.44,124.57
127.48,125.95,127.48,125.00
126.96,125.63,126.96,123.62
126.75,125.90,126.75,124.63
125.72,125.09,126.90,124.95
125.00,127.08,127.61,125.00
126.42,126.42,128.10,125.62
125.43,124.61,125.43,121.42
124.30,125.05,125.53,123.65
124.90,123.29,125.22,123.13
123.59,121.89,123.95,121.56
121.98,120.50,122.69,119.98
120.50,121.01,123.15,119.01
123.60,122.39,123.60,122.00
122.31,118.91,123.06,118.90
119.95,116.58,119.95,116.00
116.66,116.51,117.34,115.35
116.73,114.64,116.87,113.48
115.27,110.30,115.27,107.05
106.46,109.79,110.73,102.53
109.81,111.50,112.20,108.35
111.96,112.00,112.44,110.98
111.42,112.09,113.00,111.42
113.26,113.61,114.26,112.11
112.98,114.48,114.50,112.98
114.59,113.56,114.75,112.02
112.66,114.28,114.28,112.51
114.57,114.16,114.91,113.85
114.34,114.90,114.99,113.90
114.57,116.45,116.45,114.21
116.56,116.65,117.27,115.93
116.53,116.27,118.00,116.07
116.65,114.16,117.60,113.17
115.65,113.63,115.65,113.48
114.29,115.71,115.72,113.43
116.13,111.97,116.13,111.96
113.19,114.36,114.38,112.34
113.13,113.08,113.91,111.48
112.64,110.72,113.00,110.50
110.59,107.92,123.18,105.91
104.56,105.23,108.00,104.56
108.94,110.80,110.80,107.13
109.60,109.37,110.83,108.79
109.75,110.28,111.05,109.50
112.43,108.79,112.43,108.17
108.73,109.31,109.51,108.00
110.21,109.10,110.21,107.83
110.05,107.45,110.06,107.24
107.35,107.19,107.91,105.79
105.42,98.54,105.42,97.88
97.41,101.09,101.23,95.00
100.50,97.57,100.53,97.57
95.15,95.42,97.42,92.32
96.01,94.98,96.96,93.63
97.22,100.34,101.01,95.84
100.79,97.24,100.79,96.40
96.81,96.18,97.91,94.06
96.98,98.62,98.62,95.52
97.58,98.82,99.35,97.10
96.28,95.52,98.35,95.18
95.69,91.96,95.80,91.79
92.72,92.27,92.84,91.17
92.99,91.56,93.51,91.12
92.75,93.63,93.72,92.07
93.32,96.13,96.19,92.00
97.10,98.27,99.96,97.00
99.11,98.81,99.61,97.28
98.41,99.82,100.15,98.00
100.87,101.07,101.80,99.62
101.58,100.55,101.58,100.00
101.73,99.29,101.99,98.97
99.56,98.13,101.21,97.76
98.11,98.65,100.03,95.91
98.21,98.05,99.80,97.00
98.21,99.22,99.69,97.85
98.68,98.80,99.49,98.05
98.34,95.14,98.34,94.25
94.71,92.86,97.34,92.53
93.52,93.95,94.50,90.61
94.90,93.39,94.90,92.27
95.12,89.82,95.12,89.50
90.44,93.02,93.18,90.44
93.98,93.90,94.66,92.38
93.66,93.89,94.84,92.12
93.81,93.21,94.22,92.01
94.63,96.87,96.98,94.03
97.00,96.97,97.09,95.26
97.34,96.03,97.34,95.21
95.05,92.22,95.05,91.71
92.25,92.79,93.94,91.79
91.97,94.97,95.32,91.72
95.65,93.41,95.88,93.20
94.54,96.43,96.87,93.69
96.64,99.53,99.76,96.26
100.15,102.47,103.24,100.15
104.25,102.20,104.86,101.92
102.00,100.87,102.31,99.78
102.09,102.65,103.99,100.84
101.47,101.99,103.14,101.47
103.35,102.97,103.76,102.00
102.90,104.77,105.46,102.38
105.74,107.49,108.10,105.40
106.77,106.67,107.93,106.67
105.42,104.18,107.01,102.87
104.60,104.52,105.45,104.28
103.58,102.34,104.33,101.01
101.00,97.87,101.01,97.50
96.42,99.80,100.80,96.42
99.67,97.54,99.67,97.06
97.52,97.63,99.06,97.05
97.83,100.50,101.17,97.83
99.87,100.49,102.66,98.89
100.22,98.01,100.63,98.00
94.32,97.28,97.74,94.32
98.30,95.70,99.43,95.51
95.00,96.40,97.41,95.00
95.87,98.70,98.86,95.57
99.41,99.01,100.47,98.89
99.82,103.01,103.05,99.00
102.86,100.63,104.93,100.63
100.25,100.02,100.46,98.94
101.25,106.79,106.99,101.25
106.03,107.82,108.01,103.72
108.73,107.60,109.75,106.46
106.80,104.34,106.83,104.07
104.50,104.83,106.35,104.34
105.62,105.46,106.00,104.41
105.52,105.74,107.61,104.61
106.70,107.93,108.50,105.36
107.92,108.60,109.86,107.64
108.45,109.94,110.35,107.36
110.08,106.98,110.08,105.25
107.86,108.56,109.42,106.50
108.37,108.00,109.51,107.00
108.52,104.67,108.52,104.51
104.77,107.52,108.00,104.03
107.01,105.08,107.45,104.69
107.02,107.09,108.47,106.14
107.42,105.80,107.42,105.18
106.43,108.70,108.84,103.12
108.44,109.39,109.88,107.40
109.97,106.47,110.00,106.47
107.91,106.99,107.91,105.32
107.01,106.46,107.66,105.20
108.10,109.97,110.54,107.66
109.45,110.05,110.05,108.83
111.46,105.92,111.48,105.58
106.44,110.93,111.47,106.26
111.17,111.03,113.50,108.48
111.75,111.92,112.58,109.96
112.84,113.53,113.93,111.57
113.72,113.77,113.97,112.09
114.26,113.62,115.56,112.00
114.47,115.34,116.41,113.91
114.19,113.78,116.64,113.00
114.97,115.41,116.95,114.51
116.56,115.67,117.73,114.04
116.10,116.53,117.33,115.20
117.03,115.66,118.28,115.03
115.01,113.58,115.01,113.00
113.19,112.21,113.80,109.25
113.89,113.57,114.38,110.90
113.62,111.93,113.76,111.87
111.00,108.22,112.00,107.01
108.85,110.80,111.20,108.64
111.24,111.80,112.71,110.08
112.25,115.04,115.47,112.04
115.56,114.38,116.33,114.24
115.53,115.40,116.40,114.52
115.99,115.70,116.95,114.95
116.00,117.45,117.45,114.04
116.85,117.47,118.52,115.97
116.84,116.16,117.55,116.00
117.26,114.50,117.88,114.50
113.42,111.53,113.42,110.12
112.00,111.35,112.00,110.02
112.30,113.80,114.76,112.30
113.96,114.02,114.80,112.00
114.45,111.97,114.45,110.32
110.48,111.86,112.25,109.75
112.67,114.87,114.93,112.24
114.60,116.04,116.46,113.69
115.76,117.12,118.00,113.04
116.17,116.10,116.48,114.98
117.39,120.12,121.36,117.39
121.28,123.33,124.21,120.85
123.06,123.99,124.23,121.60
124.12,126.47,127.00,122.86
126.20,125.37,126.20,123.89
125.50,125.00,126.15,124.76
126.20,125.20,126.20,124.69
125.25,125.72,125.81,124.45
125.95,125.00,125.95,125.00
125.65,125.94,126.51,124.67
125.94,127.99,128.78,125.09
128.60,129.00,129.95,127.21
129.50,131.19,131.19,128.63
131.19,128.24,131.53,128.14
128.40,129.34,129.90,127.67
129.81,130.55,131.69,128.50
130.61,130.15,131.36,129.86
130.00,131.91,132.58,129.90
132.33,131.90,132.95,130.15
132.85,131.99,133.23,131.82
132.32,132.76,134.40,132.32
132.77,130.01,134.27,130.01
131.88,134.58,135.09,130.41
134.48,130.20,134.79,128.27
130.20,129.25,131.16,128.00
129.66,134.63,134.97,127.00
135.64,132.05,136.65,131.39
132.21,131.24,133.63,130.60
132.69,134.80,135.18,132.69
136.45,134.87,136.45,134.11
135.31,134.44,135.55,133.93
134.62,136.43,136.77,134.20
136.00,135.26,137.00,133.70
136.52,132.94,136.52,132.61
132.56,132.94,134.06,132.50
134.36,130.18,134.78,128.82
130.49,127.50,130.60,127.00
126.31,128.13,128.13,125.52
128.19,130.49,130.76,127.68
130.64,128.88,130.64,128.50
129.00,125.81,129.74,125.78
127.00,128.02,129.34,125.91
128.74,128.98,130.23,128.51
128.74,126.60,129.02,126.60
126.86,126.09,127.29,125.00
126.31,126.67,126.97,125.05
126.35,129.02,129.75,126.26
129.26,129.86,131.37,128.57
129.39,128.66,129.76,128.05
127.58,128.57,129.70,127.58
128.54,129.45,129.50,128.26
129.12,128.27,129.31,127.83
128.02,125.66,128.02,125.57
126.02,126.97,127.45,126.02
126.24,125.87,127.05,125.76
126.00,126.24,126.44,125.54
125.50,124.60,126.48,124.00
125.09,119.54,125.09,119.42
119.85,122.51,123.25,119.50
124.22,126.56,127.28,123.51
128.08,126.54,128.24,125.79
127.00,125.75,127.00,124.12
119.03,115.66,119.96,114.90
115.95,118.83,120.18,115.80
118.95,119.24,119.90,117.01
119.30,115.81,119.63,114.81
115.64,118.45,119.90,114.56
118.61,118.31,119.06,117.24
117.82,113.67,117.82,113.26
111.75,112.06,114.25,110.06
110.52,111.85,112.76,109.99
110.81,109.28,110.81,106.77
109.26,106.49,109.26,106.48
107.06,108.02,109.91,102.49
108.84,109.42,109.44,107.83
110.22,112.49,112.51,109.25
112.32,112.28,112.98,111.31
112.00,111.62,112.72,110.34
111.99,112.07,112.22,111.34
112.07,113.01,114.78,111.78
113.53,112.21,113.55,111.71
111.66,111.23,112.44,110.57
110.71,112.39,113.57,110.71
113.14,112.68,113.48,111.38
112.36,112.86,113.71,112.19
112.92,113.51,113.73,112.00
113.29,113.13,114.27,112.76
113.52,111.67,113.80,111.52
111.96,110.34,112.45,110.20
111.40,108.26,112.12,108.01
108.40,107.34,109.99,106.40
106.24,105.20,107.26,105.20
106.30,104.13,107.89,103.63
103.52,107.46,107.56,103.52
108.07,109.25,109.53,107.04
110.00,109.13,110.00,107.75
110.05,110.07,110.90,109.10
110.99,111.35,113.01,110.00
112.42,110.17,112.50,109.70
110.00,108.32,110.00,107.73
108.80,109.82,110.49,108.44
109.82,110.24,110.24,108.58
110.25,110.00,110.25,108.76
106.11,111.03,111.23,106.11
111.10,110.91,112.63,110.60
110.91,108.89,111.70,107.97
108.84,107.31,108.89,107.31
110.00,109.54,111.45,108.41
111.50,110.65,112.42,110.38
111.69,110.55,112.19,110.00
111.48,112.54,112.64,110.61
112.36,109.23,112.36,108.33
109.84,111.51,111.66,108.46
111.74,109.27,112.95,108.68
109.27,106.31,109.29,106.29
106.00,106.40,106.91,105.80
107.09,106.51,108.50,106.07
107.41,106.87,109.00,106.20
106.43,105.13,108.02,104.90
104.02,103.00,104.21,102.09
104.01,102.20,104.01,101.63
101.95,102.51,102.72,101.71
102.42,102.84,102.95,101.40
103.07,103.46,104.07,102.96
104.61,104.85,105.27,103.82
104.85,99.88,105.62,99.69
100.21,99.89,101.65,99.61
99.51,97.96,99.90,97.95
97.75,96.18,98.00,96.13
96.79,96.64,97.83,96.50
96.51,96.68,98.00,96.50
96.91,96.87,99.34,96.87
96.67,96.60,99.10,95.57
97.33,96.92,98.49,96.92
98.87,99.68,100.08,98.04
98.97,98.19,100.45,96.50
98.07,98.50,99.81,98.00
99.39,98.00,100.04,98.00
97.95,98.75,98.94,97.72
99.44,99.87,99.95,98.93
99.52,99.52,101.13,98.74
98.24,99.62,99.62,98.04
100.01,99.74,100.01,98.90
99.82,100.65,101.03,99.82
101.10,101.10,101.70,100.03
101.57,100.94,101.57,100.08
101.60,101.49,102.38,100.91
102.07,102.15,102.65,101.43
102.19,101.77,102.19,101.17
102.00,102.44,102.65,101.52
103.54,102.97,104.32,102.22
101.52,102.92,103.14,101.18
101.33,101.18,101.65,100.76
101.01,101.78,102.38,101.01
102.69,102.23,102.95,101.05
102.50,100.65,102.99,100.65
100.73,102.15,102.36,100.57
102.50,101.75,103.35,101.08
102.90,103.79,103.86,102.38
104.32,103.18,105.25,102.22
104.00,105.40,105.44,104.00
104.85,103.18,104.98,103.18
102.01,102.83,103.82,102.01
103.01,102.39,103.49,102.00
101.92,101.16,102.77,101.15
101.19,100.18,103.04,100.18
100.00,101.74,101.97,99.35
102.53,98.16,102.53,96.71
97.98,94.49,100.08,94.49
94.45,93.50,94.48,91.21
93.02,90.48,93.76,90.00
92.00,91.01,92.97,89.20
89.88,87.01,91.56,87.01
87.90,94.05,94.17,87.02
93.05,89.77,95.04,89.50
88.02,93.88,95.00,88.01
94.05,92.29,94.43,92.04
93.81,95.00,95.00,93.34
93.80,93.52,94.30,92.67
94.37,93.40,94.38,92.47
90.84,89.08,91.67,88.98
88.11,88.77,91.43,88.11
90.22,86.96,90.56,86.32
87.24,90.49,90.67,86.30
90.45,92.33,92.33,88.86
93.00,88.92,93.38,88.68
88.67,92.10,92.17,87.65
93.00,95.66,95.75,93.00
95.55,96.88,97.26,94.00
97.67,97.00,98.07,95.97
96.74,94.73,97.63,94.00
92.74,91.82,94.48,90.00
89.30,90.33,91.12,88.62
91.63,92.83,93.84,90.06
92.39,90.03,93.05,90.03
87.51,87.71,89.69,87.30
87.71,89.94,90.07,87.64
90.42,95.46,95.90,90.42
95.93,93.77,96.38,91.90
94.28,92.58,95.03,91.58
92.59,92.75,92.80,92.05
91.86,91.89,92.99,91.04
91.95,89.98,92.10,88.94
89.24,86.45,91.02,86.30
86.48,86.18,87.51,85.55
86.25,88.17,88.57,86.25
88.95,89.57,89.57,87.26
91.00,92.18,94.31,90.01
92.52,86.31,92.68,86.05
88.50,88.71,89.77,86.48
87.63,86.91,89.45,86.41
85.52,83.01,86.80,83.00
82.76,90.00,90.59,82.76
90.33,91.36,91.83,90.02
90.84,92.11,92.19,90.13
91.80,90.61,95.60,89.13
92.10,92.91,92.95,90.67
91.78,93.97,94.88,91.69
94.28,93.93,94.77,93.52
93.04,93.90,93.92,90.02
94.94,95.96,96.00,93.52
94.87,92.90,94.87,92.35
92.92,96.11,96.57,92.09
95.98,92.89,97.89,92.00
93.00,93.18,93.95,91.00
94.90,96.20,96.33,94.27
96.79,97.23,97.92,96.09
97.28,94.51,97.28,94.37
95.87,94.88,96.23,93.72
96.67,99.94,100.00,96.67
98.33,98.16,99.29,98.00
98.00,95.50,98.13,95.35
92.76,91.21,94.62,90.71
93.19,93.39,94.94,91.35
94.29,95.86,96.18,92.37
94.50,95.12,95.49,93.74
94.75,95.20,95.30,92.84
95.34,95.28,96.13,92.86
93.04,91.66,94.90,91.51
93.24,93.42,94.31,91.80
95.00,95.68,95.68,93.94
95.84,93.36,96.25,92.95
92.68,94.77,95.03,92.29
93.57,93.88,95.96,93.34
94.27,92.73,94.59,92.40
92.90,93.79,94.27,92.08
92.52,90.81,92.88,90.81
90.74,90.06,91.50,89.99
89.97,88.52,90.13,87.83
88.10,87.69,89.86,87.10
89.06,91.98,93.09,89.06
92.12,92.12,92.82,90.54
95.00,94.47,95.00,91.87
93.81,94.38,96.37,92.47
95.37,93.29,95.55,92.36
93.00,92.68,93.00,91.75
92.47,94.07,94.87,91.77
93.19,94.21,95.02,92.43
92.99,90.75,93.71,90.75
91.03,93.24,93.24,90.60
91.68,92.34,92.76,91.41
92.94,91.50,94.66,91.15
91.11,90.75,91.76,90.10
91.72,92.22,93.02,91.34
93.11,93.89,94.50,92.00
94.91,92.17,94.91,91.43
93.68,95.38,95.52,93.68
95.09,96.80,97.00,94.06
97.09,97.42,98.15,95.51
98.10,97.42,98.10,96.84
97.15,97.07,97.39,96.30
97.11,96.46,97.42,95.86
96.33,96.96,97.32,95.99
96.65,93.60,96.65,93.45
94.98,94.76,95.73,94.13
94.45,94.41,95.48,94.14
94.38,94.49,94.97,93.30
94.78,94.34,94.78,93.50
