IEO,iShares U.S. Oil & Gas Exploration & Production ETF,NASDAQ
54.71,56.05,56.11,54.71
56.12,56.65,56.69,55.85
56.62,57.08,57.29,56.20
56.99,56.73,56.99,56.08
56.52,57.08,57.08,55.93
57.47,56.43,57.73,55.96
55.83,55.24,55.83,54.98
55.29,55.87,55.93,54.31
55.76,56.22,56.38,55.63
56.07,55.59,56.23,55.26
55.57,56.07,56.09,55.23
55.51,55.33,55.51,54.72
55.51,54.52,55.86,54.42
54.48,53.45,54.90,53.36
53.94,54.11,54.71,53.88
53.79,53.40,54.40,53.26
53.45,53.17,53.96,52.23
53.57,52.84,53.73,51.87
53.15,51.94,53.87,51.52
52.30,53.65,53.78,52.30
54.00,54.85,54.93,53.38
54.56,54.32,54.94,53.98
53.60,51.57,53.67,51.49
51.50,51.59,51.62,49.78
51.62,51.19,52.21,50.99
51.95,52.20,52.79,51.51
51.98,51.87,52.24,50.90
51.85,53.05,53.10,51.66
52.33,53.08,53.11,51.91
53.95,54.55,54.76,53.95
54.85,54.70,55.06,54.18
54.58,55.06,55.11,54.42
54.99,55.12,55.49,54.73
55.62,54.31,55.62,54.09
54.10,53.07,54.10,52.85
53.06,53.45,53.67,52.91
52.69,53.65,53.75,52.13
53.79,53.73,54.05,53.29
54.25,54.52,54.76,54.20
54.92,55.03,55.47,54.88
55.22,55.04,55.58,55.02
55.10,54.58,55.45,54.35
55.03,55.55,55.63,55.03
55.59,55.25,55.77,55.06
54.95,55.48,55.85,54.87
55.56,56.09,56.18,55.40
55.98,56.20,56.35,55.94
56.58,56.24,56.59,55.95
56.03,55.60,56.04,54.74
55.91,55.78,55.91,55.23
55.99,56.15,56.44,55.82
56.07,54.66,56.11,54.42
53.85,53.85,54.83,53.27
53.14,53.69,53.80,52.76
53.71,54.24,54.30,53.68
53.97,54.03,54.50,53.72
54.39,52.57,54.57,52.44
52.74,52.39,52.74,51.86
52.72,53.91,53.94,52.72
53.95,54.05,54.06,53.50
54.04,54.32,54.74,53.89
54.86,55.70,55.82,54.86
56.01,56.93,57.10,55.91
56.80,56.91,57.24,56.74
56.78,56.44,56.99,56.10
56.09,56.53,56.71,55.50
56.85,57.18,57.45,56.77
57.16,57.13,57.65,56.95
57.08,56.85,57.19,56.24
57.13,57.50,57.52,56.60
57.52,57.69,57.93,57.48
57.00,56.53,57.49,56.18
56.07,56.15,56.40,55.43
56.52,57.27,57.48,56.52
57.34,57.05,57.41,56.66
56.57,57.42,57.53,56.11
57.44,58.81,58.91,57.12
58.90,58.51,59.09,58.42
58.15,56.58,58.53,56.41
56.90,57.00,57.29,56.34
57.44,56.91,57.79,56.39
56.84,56.70,57.51,55.99
57.01,57.65,58.30,56.43
56.77,56.30,56.77,55.66
55.46,54.90,56.01,54.37
54.50,52.95,55.10,39.96
52.90,51.30,53.29,50.52
52.30,53.81,54.04,52.30
53.47,53.37,54.33,53.21
53.70,54.72,54.95,53.55
54.60,54.43,55.31,54.07
54.02,53.30,54.07,52.37
53.54,52.39,53.77,51.30
53.14,52.19,53.83,51.96
51.81,51.37,52.25,50.25
49.96,48.79,50.37,48.75
48.12,49.95,50.21,47.54
49.94,48.61,49.95,48.35
46.83,48.92,48.97,46.72
49.50,49.19,50.26,49.00
50.31,51.89,51.89,50.31
51.65,51.35,52.34,51.09
50.61,48.88,51.17,48.85
49.30,51.68,51.68,49.08
51.97,53.06,53.19,51.12
52.06,50.84,53.67,50.52
51.25,50.37,52.02,50.32
50.56,51.13,51.24,49.86
51.72,50.37,52.69,50.15
51.58,53.05,53.05,51.58
52.38,53.64,53.64,52.34
54.20,53.62,54.91,53.53
54.15,55.20,55.28,54.10
54.67,55.14,55.61,54.34
55.59,54.64,55.59,54.00
54.84,54.74,54.93,54.04
55.55,54.23,55.87,53.89
54.38,52.47,54.38,52.22
52.32,52.08,52.42,51.68
51.99,50.74,52.22,50.56
50.88,51.36,51.76,50.27
51.64,50.50,51.64,50.46
49.60,48.47,49.60,48.06
48.25,47.90,49.08,47.85
47.91,47.78,48.36,46.44
47.80,47.30,48.37,46.99
48.11,47.45,48.86,47.07
47.68,49.51,49.51,47.68
50.13,50.35,50.44,49.34
50.35,50.37,50.47,49.95
50.23,50.09,50.72,49.64
50.69,50.79,51.06,50.48
50.58,50.73,51.15,50.06
50.59,50.84,51.00,49.77
50.54,49.07,50.54,48.80
49.21,49.01,49.36,48.49
48.30,50.10,50.32,48.21
50.48,49.58,50.64,49.19
50.15,50.62,51.01,50.15
50.55,51.03,51.06,50.09
51.29,51.79,51.79,51.03
51.82,50.73,52.06,50.37
50.84,50.28,50.94,50.02
51.04,50.19,51.12,49.73
49.76,50.14,50.38,49.42
51.40,51.81,51.90,50.98
51.75,51.84,52.12,51.18
52.14,52.47,52.62,51.92
51.95,52.52,52.68,51.68
51.83,51.95,52.00,51.00
52.40,52.14,52.40,51.58
51.16,51.74,51.95,51.12
50.62,49.85,50.62,49.64
49.25,49.43,49.89,48.79
49.44,49.17,49.83,49.13
48.90,48.96,49.07,48.50
49.73,49.76,49.99,49.22
49.70,49.38,49.70,49.00
49.05,48.61,49.19,48.45
48.65,47.99,48.65,47.64
48.37,47.93,48.49,47.88
47.29,46.94,47.49,46.50
46.49,46.57,46.80,45.71
47.00,46.50,47.36,46.28
46.91,47.80,47.89,46.04
47.79,47.42,48.20,47.39
47.13,47.08,47.71,46.79
47.85,48.87,49.00,47.85
48.95,49.36,49.38,48.51
49.80,50.15,50.33,49.65
49.98,49.25,49.98,49.02
49.26,49.72,49.86,49.26
50.50,49.73,50.50,49.51
50.02,50.24,50.43,50.02
50.94,50.82,50.94,50.28
50.70,50.54,51.10,50.34
50.18,50.44,50.51,50.00
50.19,50.07,50.58,49.88
50.34,49.65,50.34,49.54
49.81,50.56,50.68,49.64
50.53,50.40,50.68,49.84
50.41,49.94,50.96,49.81
49.34,49.58,50.05,49.24
50.13,50.88,51.02,49.99
50.90,50.66,51.05,50.58
50.71,50.82,50.95,49.93
50.76,51.81,51.95,50.67
52.34,51.90,52.42,51.23
52.36,52.70,52.89,52.22
52.69,51.96,52.78,51.69
52.57,53.18,53.36,52.44
53.06,53.46,53.78,53.06
53.93,53.28,53.93,52.90
53.31,54.18,54.35,53.20
54.29,54.49,54.71,54.25
54.29,54.23,54.50,53.51
54.87,54.92,55.22,54.43
54.88,54.72,55.31,54.39
55.16,54.84,55.17,54.29
54.68,55.36,55.51,54.63
54.73,53.46,54.73,53.12
53.58,53.90,54.19,53.40
53.98,53.46,54.36,52.89
53.57,53.65,53.76,53.31
53.97,53.78,54.52,53.72
53.43,53.35,53.67,53.19
52.98,53.29,53.33,52.35
53.55,53.11,53.74,52.95
53.16,53.55,53.72,52.99
54.37,54.11,54.96,53.78
54.57,54.95,55.18,54.19
55.07,54.99,55.07,54.11
55.98,56.62,56.68,55.98
56.69,56.86,56.86,56.29
56.65,57.21,57.28,56.50
58.00,57.51,58.54,57.22
57.59,58.34,58.35,57.08
57.87,59.04,59.09,57.87
58.29,58.08,58.55,57.65
58.47,57.76,58.58,57.72
57.06,56.60,57.09,56.00
56.66,56.79,57.16,56.36
57.64,57.95,58.18,57.58
57.69,58.57,58.64,57.43
58.26,58.72,58.81,57.62
57.74,57.42,57.87,57.15
57.73,58.49,58.49,57.69
57.94,57.93,58.44,57.78
57.43,58.32,58.45,57.25
57.81,57.90,58.44,57.49
58.99,59.49,59.58,58.70
59.71,60.63,60.66,59.57
60.22,61.19,61.27,60.22
60.92,61.65,61.80,60.92
62.51,61.45,62.71,61.34
61.34,60.62,61.57,60.37
60.88,60.63,61.07,60.08
61.06,61.05,61.16,60.61
61.36,61.38,62.06,61.34
61.68,61.09,61.68,60.82
61.08,60.95,61.54,60.81
60.81,61.13,61.23,60.23
60.89,61.06,61.23,60.86
61.04,61.85,61.87,60.94
62.13,62.66,62.70,61.89
62.98,62.88,62.98,62.60
62.96,62.97,63.07,62.62
62.91,62.66,62.94,62.42
62.92,62.92,63.01,62.62
63.34,63.65,63.73,63.03
63.97,63.79,64.26,63.59
63.70,63.85,64.25,63.65
64.69,64.45,64.89,64.37
64.91,63.83,64.99,63.00
63.59,64.28,64.34,63.23
64.71,63.82,64.71,63.60
64.15,64.07,64.21,63.44
63.95,64.33,64.42,63.47
64.78,65.18,65.21,64.63
65.82,65.96,66.06,65.46
66.17,65.70,66.17,65.40
65.72,66.30,66.30,65.15
66.32,66.98,66.99,65.93
67.17,65.83,67.17,65.74
65.34,65.03,65.35,64.31
65.79,65.32,65.79,64.94
65.30,65.59,65.67,64.99
65.46,64.81,65.46,64.07
65.00,66.06,66.19,64.65
66.23,65.38,66.23,65.10
65.48,65.09,65.67,64.85
65.47,67.63,67.66,65.47
68.11,68.42,68.73,67.80
68.51,68.65,69.26,68.05
68.75,68.28,68.75,67.46
68.60,68.12,68.66,67.63
68.34,68.37,69.00,68.21
68.47,68.43,68.48,67.66
68.34,67.55,68.44,67.10
67.34,68.17,68.27,67.05
68.18,68.36,68.60,67.81
68.54,69.68,69.72,68.54
69.66,69.14,69.87,68.88
69.50,69.80,69.94,69.31
69.81,70.53,70.72,69.68
70.76,70.55,70.94,70.07
70.90,69.22,71.29,68.96
69.39,70.93,71.25,69.39
71.51,70.09,71.62,69.73
70.33,72.14,72.19,70.33
72.35,72.38,72.79,71.65
72.54,70.40,72.71,70.26
70.07,70.58,70.68,69.58
71.05,71.86,71.91,70.71
71.95,71.66,71.98,71.00
72.09,71.14,72.51,70.47
71.24,69.96,71.24,69.89
69.65,69.95,70.67,69.65
68.98,67.38,68.98,66.92
66.71,68.87,69.25,66.51
68.18,69.61,69.82,68.18
66.94,68.95,69.48,66.78
69.06,68.25,70.25,67.38
69.27,70.25,70.46,69.08
71.29,70.20,71.29,69.84
71.43,72.31,72.31,71.23
72.17,72.40,72.56,72.06
72.46,72.25,72.49,71.69
72.86,72.56,72.86,71.52
72.59,73.51,73.77,72.26
73.67,72.66,74.12,72.66
72.82,73.84,73.92,72.02
74.54,74.60,75.09,73.78
74.59,74.50,75.33,74.48
75.14,74.67,75.33,74.41
75.03,74.79,75.26,74.64
74.69,74.70,75.16,74.39
75.45,73.70,75.45,73.39
73.85,73.70,74.05,72.94
74.19,74.06,74.67,73.50
73.84,71.93,74.04,71.65
71.09,69.37,71.26,69.04
70.20,70.12,70.67,69.52
69.79,70.34,70.52,69.19
70.67,70.97,70.99,69.82
69.64,69.62,69.94,68.88
69.50,70.34,70.41,69.46
71.41,71.90,72.12,71.19
72.00,71.96,72.30,71.29
72.14,71.72,72.14,71.06
72.04,72.24,72.61,71.67
72.33,72.18,72.50,70.79
71.92,72.77,72.91,71.61
72.73,74.76,74.77,72.73
75.01,74.08,75.41,73.63
73.47,71.82,73.49,71.08
71.50,69.88,71.50,69.45
68.86,68.50,69.69,67.78
69.24,69.23,71.00,68.39
69.51,70.89,71.23,69.39
71.00,71.25,71.54,70.26
70.94,68.75,70.94,68.18
68.39,68.29,68.86,67.28
68.48,68.02,68.93,67.23
67.71,67.35,69.10,67.11
66.98,67.31,67.51,66.29
67.40,68.62,69.11,67.38
68.83,68.21,69.18,67.76
68.20,68.92,69.37,67.50
67.60,67.68,68.07,67.16
68.25,68.71,69.43,68.25
68.21,69.99,70.24,68.21
69.73,70.30,70.40,69.25
70.63,70.88,71.54,70.39
71.90,71.65,72.28,70.60
71.42,69.52,71.90,69.37
69.52,69.60,70.29,68.79
68.52,69.55,70.18,68.10
69.26,67.67,69.68,67.51
68.12,67.58,68.48,67.23
67.60,67.83,68.81,67.60
68.08,68.57,68.92,67.97
68.12,67.46,68.31,67.25
67.49,65.90,67.90,65.20
66.67,67.30,67.71,66.67
66.53,65.91,67.30,65.49
66.02,65.81,66.57,65.16
66.60,65.64,66.60,65.06
65.49,65.38,65.76,64.83
65.81,67.04,67.35,65.81
66.69,66.78,67.81,66.69
65.40,66.39,66.45,64.46
66.60,65.35,66.60,65.20
65.08,65.55,65.76,64.67
65.97,67.46,67.49,65.97
67.78,68.54,69.03,67.43
68.97,69.36,69.52,68.94
69.23,70.00,70.17,68.39
69.90,70.64,71.10,69.90
70.39,70.32,70.48,69.69
71.25,71.42,71.66,70.90
70.37,70.73,70.91,70.15
69.59,68.27,69.80,68.06
68.13,68.22,69.23,67.81
68.81,68.83,69.92,68.63
69.22,68.22,69.60,68.10
70.20,72.06,72.07,70.20
71.77,71.61,71.83,70.93
72.06,73.43,73.47,72.06
73.62,73.48,73.81,73.01
73.85,74.56,74.90,73.85
74.59,74.96,74.97,74.06
74.08,74.60,75.26,73.72
74.49,74.34,75.08,73.85
73.78,72.46,73.78,72.21
72.51,72.20,73.29,71.99
71.10,71.74,72.43,70.94
72.85,71.86,73.05,71.11
71.39,69.61,72.33,69.57
69.61,69.27,69.93,67.37
68.31,64.00,68.31,63.84
65.08,62.60,65.63,60.39
60.04,56.81,60.42,56.19
57.84,60.25,60.25,56.34
59.36,58.53,61.10,58.40
59.14,62.09,63.03,58.72
63.01,62.21,63.56,61.75
62.95,64.40,64.43,62.95
63.47,62.83,63.91,62.20
63.61,63.09,64.60,62.82
61.11,59.19,61.11,58.47
58.26,58.04,60.12,57.90
59.63,57.10,59.78,56.74
57.46,59.41,59.41,56.80
59.28,59.84,59.93,58.65
60.26,58.49,60.69,58.32
58.00,59.79,59.99,57.04
60.77,61.94,61.98,60.48
61.47,62.74,63.16,61.11
63.31,63.09,64.35,62.54
63.29,62.55,64.19,62.42
60.86,60.55,61.37,60.11
58.37,59.96,60.03,58.05
61.00,62.32,62.48,60.93
62.09,61.57,63.11,61.23
60.79,59.38,61.11,58.86
58.14,59.24,59.41,57.70
59.44,59.65,59.99,58.49
59.94,60.51,61.23,58.80
61.29,61.95,61.97,60.85
62.06,61.87,62.47,61.05
60.28,60.76,61.37,59.44
61.12,60.18,61.96,60.11
59.97,57.81,60.81,57.80
55.58,53.72,55.58,52.64
52.88,52.47,53.66,52.28
53.05,54.80,54.87,51.77
56.25,55.88,57.45,55.53
55.97,53.27,56.44,53.21
54.87,53.28,54.87,51.98
52.29,51.18,52.44,51.16
50.50,48.71,50.82,48.65
47.70,50.93,51.06,46.51
51.28,53.29,53.52,50.59
53.09,54.76,55.00,52.62
55.14,53.47,55.21,53.18
54.40,56.26,56.36,54.40
55.51,56.10,56.92,55.49
56.85,56.74,57.81,56.51
56.17,56.94,57.25,55.18
57.88,59.66,59.66,57.88
59.71,58.92,60.04,58.68
58.80,60.99,61.32,57.91
60.74,60.56,61.89,60.16
60.54,60.75,61.15,59.33
61.59,62.40,62.54,61.40
62.83,63.02,63.47,62.56
62.80,60.79,62.80,60.58
62.02,62.49,62.82,60.48
64.98,66.16,67.00,64.50
65.26,67.29,67.37,65.26
66.21,63.92,66.21,63.89
61.02,61.91,62.90,60.56
63.56,64.76,64.87,63.56
65.91,66.45,66.61,64.42
65.92,66.82,66.98,65.18
66.83,66.91,67.51,65.79
67.34,67.90,68.01,66.45
65.46,64.53,66.49,64.44
65.70,65.92,66.48,64.36
67.06,67.17,67.61,66.93
66.60,66.09,66.89,65.40
65.99,66.42,66.85,65.43
65.67,65.31,67.25,65.16
65.14,62.97,65.44,62.42
63.53,63.05,63.76,62.43
61.63,61.91,62.12,60.68
61.71,61.15,62.11,60.49
60.23,58.75,60.25,58.75
58.50,58.24,59.24,58.21
60.50,60.98,61.49,60.39
61.16,62.08,62.60,61.02
64.72,65.57,65.66,64.62
65.37,64.99,66.18,64.82
65.97,64.95,66.22,64.80
66.25,65.64,66.60,65.07
65.55,65.73,66.33,65.02
65.43,64.94,65.43,64.18
64.57,62.58,64.74,62.40
63.01,64.29,64.46,62.85
63.47,62.31,63.47,61.42
62.65,61.24,63.65,60.59
60.36,58.74,60.58,58.62
59.83,58.66,59.86,58.32
59.13,59.49,59.83,58.74
59.62,58.00,59.76,57.82
59.41,60.58,60.71,59.41
60.59,61.20,61.37,59.87
61.37,61.84,62.03,61.20
61.94,61.95,62.26,61.48
61.81,62.30,62.59,61.81
62.07,60.82,62.48,60.69
61.28,61.48,61.55,60.92
61.30,61.42,61.77,61.26
63.00,63.53,63.93,62.79
63.28,64.12,64.24,63.05
63.85,64.11,64.23,63.11
64.41,63.75,64.41,63.63
63.71,63.77,64.24,63.48
64.86,64.23,65.07,64.10
64.01,62.98,64.04,62.81
62.85,62.63,63.47,62.50
62.08,62.08,62.30,61.49
62.97,62.86,63.23,62.34
62.77,63.99,64.02,62.58
64.42,63.48,64.42,63.34
63.38,63.14,63.53,62.57
63.70,64.97,65.16,63.70
64.30,64.52,64.56,63.85
64.44,66.36,66.48,63.83
66.74,64.46,66.80,64.13
64.15,64.75,64.94,63.98
63.96,64.59,64.65,63.42
65.06,64.53,65.18,63.96
65.14,64.60,65.17,64.23
64.64,64.94,65.34,64.28
65.79,66.20,66.30,65.44
66.01,67.08,67.09,65.68
66.99,68.05,68.24,66.38
68.21,68.10,68.50,67.58
68.28,68.44,68.76,67.62
68.00,67.74,68.00,67.20
68.40,68.44,68.83,67.71
68.39,68.99,69.30,68.39
69.44,69.61,70.29,69.04
69.67,70.78,70.92,69.23
71.27,70.95,71.45,70.47
71.41,71.04,71.50,70.73
71.00,70.62,71.32,70.43
70.61,71.41,71.47,69.96
71.65,71.53,71.95,71.33
71.00,71.12,71.71,70.77
71.14,70.56,71.46,70.13
70.62,69.39,70.86,69.08
69.76,70.51,70.60,69.58
70.36,69.18,70.36,68.97
69.05,68.74,69.05,67.87
67.51,67.28,67.69,66.77
67.43,68.11,68.36,67.16
68.62,69.19,69.43,68.24
69.46,69.45,70.06,69.28
69.39,68.45,69.39,68.03
68.81,69.33,69.33,67.90
69.25,68.56,69.81,68.29
68.60,68.96,69.40,68.20
69.15,70.06,70.22,69.08
70.00,70.61,70.97,69.75
69.85,68.79,69.85,68.68
68.91,68.22,68.91,67.98
67.29,66.20,67.38,65.80
66.29,67.28,67.49,65.91
67.76,67.64,68.11,67.21
67.76,66.94,67.76,66.91
66.55,65.59,66.62,65.01
65.10,65.24,65.27,64.12
65.68,65.79,66.03,64.92
65.72,66.77,67.33,65.28
66.39,66.19,66.59,65.52
65.34,65.05,65.66,64.65
64.66,64.59,65.77,64.40
63.40,63.53,64.03,63.10
63.34,62.03,63.76,61.90
62.77,61.40,62.85,61.33
61.47,63.10,63.36,61.47
62.89,61.95,63.09,61.86
62.33,60.83,62.55,60.63
61.55,61.84,62.38,61.41
61.58,61.05,61.59,60.83
61.10,61.28,61.95,60.93
61.84,60.81,62.04,60.80
59.75,60.85,61.09,59.43
61.03,61.19,61.44,60.50
61.93,62.69,62.72,61.44
62.16,63.79,63.81,62.16
63.81,64.15,64.22,63.37
64.17,64.54,64.64,63.64
64.81,65.51,65.98,64.45
64.65,63.77,64.65,63.67
63.64,62.27,63.83,62.07
61.54,60.79,61.79,60.34
60.59,60.52,61.07,59.80
59.99,60.31,60.34,58.60
59.25,60.06,60.42,58.60
60.67,60.30,61.36,60.14
59.85,59.39,60.82,59.28
58.64,58.14,58.72,58.08
58.30,56.69,58.45,56.46
56.83,56.25,58.06,56.19
56.33,55.37,56.75,55.29
55.74,55.20,56.48,54.99
55.36,57.13,57.13,55.36
57.30,56.56,58.20,56.27
55.97,56.99,57.06,55.03
57.30,56.39,57.34,55.65
56.43,56.58,56.95,56.31
57.24,57.93,58.39,57.24
57.03,55.87,57.05,55.50
55.88,55.41,55.98,54.06
53.88,53.09,54.24,52.95
53.32,53.05,53.60,52.01
52.89,54.24,54.38,52.89
54.80,56.38,56.47,54.80
57.21,56.13,57.95,55.99
55.73,56.05,56.07,54.83
56.76,54.77,56.98,54.74
55.16,55.74,55.91,54.73
55.42,54.72,55.94,54.47
54.99,55.63,55.91,54.57
55.92,56.87,56.88,55.56
56.13,56.02,56.41,55.57
56.31,56.82,57.14,56.02
56.88,56.45,57.38,55.97
56.53,53.67,56.53,53.58
54.18,54.55,54.82,53.40
53.65,53.20,53.69,52.68
53.30,53.88,54.09,52.84
54.20,55.26,55.50,54.20
54.98,55.79,55.86,54.69
